Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,10.55,10.70,10.53,10.63,10613900,10.60
2013-12-30,10.68,10.77,10.51,10.53,14515700,10.50
2013-12-27,10.40,10.70,10.40,10.69,18997600,10.66
2013-12-26,10.38,10.49,10.33,10.43,12199800,10.40
2013-12-24,10.20,10.40,10.18,10.36,14292100,10.33
2013-12-23,9.99,10.17,9.95,10.13,17904200,10.10
2013-12-20,10.01,10.08,9.92,9.94,19384100,9.91
2013-12-19,9.79,10.05,9.77,9.97,24727400,9.94
2013-12-18,9.70,9.86,9.66,9.83,26156000,9.80
2013-12-17,9.55,9.75,9.51,9.70,22101200,9.67
2013-12-16,9.54,9.62,9.51,9.57,16882700,9.54
2013-12-13,9.36,9.51,9.34,9.51,20909900,9.49
2013-12-12,9.31,9.44,9.29,9.37,15080800,9.35
2013-12-11,9.61,9.61,9.31,9.34,17187500,9.32
2013-12-10,9.47,9.62,9.46,9.56,16886600,9.53
2013-12-09,9.40,9.52,9.38,9.48,15874500,9.46
2013-12-06,9.44,9.48,9.35,9.36,16862500,9.34
2013-12-05,9.36,9.40,9.31,9.35,21364000,9.33
2013-12-04,9.35,9.52,9.33,9.36,29955200,9.34
2013-12-03,9.53,9.57,9.32,9.42,33457600,9.40
2013-12-02,9.62,9.65,9.51,9.55,20717100,9.52
2013-11-29,9.68,9.72,9.60,9.61,8727600,9.58
2013-11-27,9.66,9.78,9.62,9.64,23990500,9.61
2013-11-26,9.56,9.67,9.43,9.65,37133900,9.62
2013-11-25,9.73,9.75,9.52,9.59,41906200,9.56
2013-11-22,9.11,9.27,9.07,9.24,24306800,9.22
2013-11-21,9.11,9.20,9.07,9.12,25818700,9.10
2013-11-20,9.09,9.14,9.02,9.05,15449000,9.03
2013-11-19,8.95,9.30,8.95,9.13,25522500,9.11
2013-11-18,9.06,9.09,8.93,8.95,15426000,8.93
2013-11-15,8.97,9.10,8.97,9.03,12810200,9.01
2013-11-14,9.04,9.05,8.89,8.98,17043000,8.96
2013-11-13,8.84,9.00,8.78,8.99,14448100,8.97
2013-11-12,9.02,9.06,8.85,8.92,18104000,8.90
2013-11-11,9.08,9.24,9.01,9.03,17960300,9.01
2013-11-08,9.03,9.08,8.78,9.06,23678200,9.04
2013-11-07,9.39,9.45,8.88,8.95,52969400,8.93
2013-11-06,9.83,9.87,9.62,9.66,20060200,9.63
2013-11-05,9.82,9.89,9.63,9.78,25414500,9.72
2013-11-04,9.33,9.97,9.32,9.92,55086800,9.86
2013-11-01,9.31,9.37,9.15,9.27,22047500,9.22
2013-10-31,9.44,9.51,9.25,9.27,25951600,9.22
2013-10-30,9.46,9.59,9.36,9.46,23228600,9.41
2013-10-29,9.57,9.63,9.46,9.54,24030400,9.49
2013-10-28,9.22,9.64,9.21,9.56,42869700,9.51
2013-10-25,9.25,9.32,9.14,9.24,23256900,9.19
2013-10-24,9.27,9.33,9.05,9.25,28356400,9.20
2013-10-23,9.25,9.30,9.00,9.27,55258800,9.22
2013-10-22,8.65,9.63,8.64,9.36,94154700,9.31
2013-10-21,8.64,8.68,8.54,8.60,16232600,8.55
2013-10-18,8.64,8.68,8.53,8.63,21264300,8.58
2013-10-17,8.48,8.60,8.47,8.59,20515400,8.54
2013-10-16,8.37,8.54,8.37,8.53,25026900,8.48
2013-10-15,8.47,8.52,8.35,8.38,25409800,8.33
2013-10-14,8.27,8.49,8.27,8.45,19441500,8.40
2013-10-11,8.34,8.42,8.24,8.32,27434000,8.27
2013-10-10,8.18,8.42,8.16,8.35,40852800,8.30
2013-10-09,8.17,8.30,8.09,8.10,66321400,8.05
2013-10-08,8.01,8.01,7.88,7.94,36144300,7.89
2013-10-07,7.90,8.00,7.84,7.97,36772500,7.92
2013-10-04,7.90,8.06,7.88,7.96,19953300,7.91
2013-10-03,7.99,8.01,7.82,7.86,33826400,7.82
2013-10-02,7.93,8.07,7.89,8.02,38182000,7.97
2013-10-01,8.10,8.19,8.04,8.17,16085900,8.12
2013-09-30,8.10,8.20,8.07,8.12,19967500,8.07
2013-09-27,8.25,8.28,8.18,8.20,14112800,8.15
2013-09-26,8.33,8.36,8.24,8.27,15441500,8.22
2013-09-25,8.33,8.40,8.30,8.33,11181100,8.28
2013-09-24,8.27,8.40,8.26,8.30,15362900,8.25
2013-09-23,8.25,8.37,8.25,8.28,13094400,8.23
2013-09-20,8.44,8.44,8.26,8.29,47155400,8.24
2013-09-19,8.61,8.68,8.40,8.44,33078100,8.39
2013-09-18,8.24,8.61,8.22,8.55,38949500,8.50
2013-09-17,8.10,8.30,8.10,8.26,22308200,8.21
2013-09-16,8.17,8.18,8.09,8.10,15468200,8.05
2013-09-13,8.15,8.18,8.06,8.08,14983400,8.03
2013-09-12,8.12,8.20,8.09,8.16,15754400,8.11
2013-09-11,8.04,8.19,8.01,8.19,26732900,8.14
2013-09-10,8.04,8.10,7.96,8.05,28526100,8.00
2013-09-09,7.96,8.15,7.94,8.08,37544800,8.03
2013-09-06,7.90,7.95,7.85,7.92,17400800,7.88
2013-09-05,7.83,7.91,7.81,7.87,22406700,7.83
2013-09-04,7.79,7.84,7.73,7.84,28502800,7.80
2013-09-03,7.79,7.84,7.70,7.72,28807500,7.68
2013-08-30,7.82,7.84,7.68,7.70,43742000,7.66
2013-08-29,7.92,7.94,7.79,7.81,25760500,7.77
2013-08-28,7.91,8.01,7.90,7.93,13504900,7.88
2013-08-27,7.99,8.03,7.90,7.92,16725300,7.88
2013-08-26,8.07,8.12,8.04,8.06,12851800,8.01
2013-08-23,8.04,8.12,8.01,8.05,11141900,8.00
2013-08-22,7.92,8.06,7.91,8.03,19335400,7.98
2013-08-21,7.98,8.00,7.83,7.84,24098100,7.80
2013-08-20,7.95,8.02,7.92,8.00,15372000,7.95
2013-08-19,8.07,8.09,7.93,7.94,18594600,7.89
2013-08-16,8.08,8.12,7.95,8.12,29891700,8.07
2013-08-15,8.09,8.18,8.01,8.16,16348500,8.11
2013-08-14,8.16,8.24,8.07,8.16,12842400,8.11
2013-08-13,8.28,8.29,8.12,8.15,17232600,8.10
2013-08-12,8.22,8.28,8.18,8.26,21705000,8.21
2013-08-09,7.92,8.22,7.92,8.22,38472400,8.17
2013-08-08,7.86,7.92,7.76,7.91,18757400,7.87
2013-08-07,7.88,8.00,7.78,7.79,20546000,7.75
2013-08-06,7.99,8.03,7.91,7.91,15887100,7.84
2013-08-05,7.94,8.01,7.91,8.00,19279700,7.92
2013-08-02,7.94,8.03,7.91,7.97,12050400,7.89
2013-08-01,8.00,8.08,7.93,7.95,18071900,7.87
2013-07-31,8.02,8.08,7.94,7.95,14872800,7.87
2013-07-30,8.04,8.06,7.98,8.03,11533200,7.95
2013-07-29,8.06,8.06,8.00,8.04,8394100,7.96
2013-07-26,8.00,8.08,7.96,8.07,8731000,7.99
2013-07-25,8.04,8.11,7.93,8.03,12347000,7.95
2013-07-24,8.14,8.14,8.01,8.05,11937500,7.97
2013-07-23,8.15,8.21,8.10,8.14,13853800,8.06
2013-07-22,8.10,8.14,8.07,8.12,8124700,8.04
2013-07-19,8.23,8.23,8.04,8.07,23767400,7.99
2013-07-18,8.19,8.25,8.18,8.21,11850900,8.13
2013-07-17,8.13,8.21,8.12,8.19,10398900,8.11
2013-07-16,8.17,8.18,8.07,8.11,10436100,8.03
2013-07-15,8.09,8.18,8.08,8.17,7514000,8.09
2013-07-12,8.08,8.14,8.02,8.10,19159600,8.02
2013-07-11,8.02,8.11,7.98,8.10,18365900,8.02
