Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,52.99,53.06,52.36,52.81,3019700,51.93
2013-12-30,52.73,53.03,52.60,53.01,2898800,52.13
2013-12-27,52.92,53.05,52.38,52.55,2354100,51.67
2013-12-26,52.59,53.06,52.34,52.99,2401500,52.11
2013-12-24,52.78,52.79,52.28,52.36,1747000,51.49
2013-12-23,52.73,52.94,52.24,52.58,4957700,51.70
2013-12-20,52.77,53.01,52.29,52.59,12471800,51.71
2013-12-19,53.21,53.21,52.02,52.63,8383400,51.75
2013-12-18,52.78,54.43,52.22,54.32,9635600,53.42
2013-12-17,53.43,53.92,53.00,53.63,7987300,52.74
2013-12-16,53.42,54.78,52.98,53.37,9846300,52.48
2013-12-13,52.30,52.60,51.84,52.37,6465300,51.50
2013-12-12,52.56,52.62,51.80,52.39,7766400,51.52
2013-12-11,52.67,53.25,52.02,52.67,10775500,51.79
2013-12-10,51.25,54.13,50.72,52.14,14906900,51.27
2013-12-09,51.45,51.81,50.77,51.21,5470800,50.36
2013-12-06,50.17,51.50,50.05,51.35,7285800,50.49
2013-12-05,49.42,50.07,49.05,49.76,5449100,48.93
2013-12-04,49.75,50.29,49.30,49.67,5309200,48.84
2013-12-03,49.13,50.26,48.97,49.97,9480100,49.14
2013-12-02,48.49,48.68,48.02,48.39,4321900,47.58
2013-11-29,48.43,48.93,48.07,48.45,4044300,47.64
2013-11-27,48.83,48.95,48.24,48.25,3414900,47.45
2013-11-26,48.38,49.18,48.31,48.60,4732300,47.79
2013-11-25,49.00,49.28,48.32,48.41,3343200,47.60
2013-11-22,48.65,49.14,48.57,48.94,5810100,48.12
2013-11-21,48.28,48.67,47.99,48.57,4459800,47.76
2013-11-20,48.42,48.54,47.83,47.95,3120300,47.15
2013-11-19,48.73,49.00,48.37,48.46,4050700,47.65
2013-11-18,48.89,49.96,48.73,48.87,8585700,48.06
2013-11-15,48.03,48.75,48.00,48.44,6257100,47.63
2013-11-14,47.99,48.47,47.69,48.04,3411800,47.24
2013-11-13,47.36,47.93,47.29,47.85,3745100,47.05
2013-11-12,48.45,48.48,47.28,47.48,5351100,46.69
2013-11-11,48.23,48.67,48.19,48.57,2282900,47.76
2013-11-08,47.13,48.10,46.83,48.03,5190900,47.23
2013-11-07,48.17,48.36,47.18,47.24,4444900,46.45
2013-11-06,48.50,48.74,48.00,48.05,4308100,47.25
2013-11-05,48.59,48.76,48.03,48.17,4095400,47.37
2013-11-04,49.19,49.19,48.00,48.76,4095600,47.95
2013-11-01,48.64,49.33,48.50,48.96,3866900,48.14
2013-10-31,48.68,49.00,48.44,48.45,4563700,47.64
2013-10-30,49.57,49.57,48.72,48.80,4011600,47.99
2013-10-29,49.48,50.20,49.48,49.79,5022900,48.96
2013-10-28,49.13,49.97,48.97,49.42,5555000,48.60
2013-10-25,49.10,49.83,48.56,49.30,6956800,48.48
2013-10-24,48.63,48.98,47.74,47.93,5077900,47.13
2013-10-23,48.76,48.86,48.28,48.33,4130300,47.52
2013-10-22,48.39,49.31,48.11,49.00,6937500,48.18
2013-10-21,48.08,48.55,47.76,48.35,4713200,47.54
2013-10-18,48.38,48.95,47.77,48.33,9212900,47.52
2013-10-17,46.95,48.32,46.95,48.17,7242400,47.37
2013-10-16,46.31,47.27,46.20,47.06,4399900,46.28
2013-10-15,46.05,46.38,45.75,46.08,3533300,45.31
2013-10-14,45.21,46.45,45.07,46.33,3377300,45.56
2013-10-11,45.70,45.70,44.96,45.65,2985700,44.89
2013-10-10,45.10,45.68,44.51,45.68,3967500,44.92
2013-10-09,44.72,45.31,44.32,44.81,5113000,43.67
2013-10-08,46.29,46.32,44.39,44.52,7091500,43.39
2013-10-07,46.12,46.98,46.09,46.09,4703700,44.92
2013-10-04,46.18,46.88,46.00,46.80,4141400,45.61
2013-10-03,45.60,46.34,45.10,46.01,7020800,44.84
2013-10-02,45.34,45.97,45.12,45.95,4056800,44.78
2013-10-01,44.81,45.90,44.81,45.80,4159700,44.63
2013-09-30,44.52,44.95,44.03,44.73,5818400,43.59
2013-09-27,44.87,44.90,44.02,44.33,6617300,43.20
2013-09-26,45.33,45.62,44.81,45.00,5033900,43.86
2013-09-25,46.09,46.16,45.02,45.33,4571900,44.18
2013-09-24,46.95,46.95,45.94,45.98,7162700,44.81
2013-09-23,47.56,47.56,46.93,47.10,3179500,45.90
2013-09-20,47.44,48.00,47.33,47.84,10495300,46.62
2013-09-19,48.21,48.23,47.31,47.40,5326500,46.19
2013-09-18,47.19,48.42,46.88,47.92,6689400,46.70
2013-09-17,45.92,47.70,45.86,47.60,7293800,46.39
2013-09-16,45.32,45.95,45.19,45.82,3531700,44.65
2013-09-13,44.71,44.89,44.43,44.89,2273500,43.75
2013-09-12,44.84,44.95,44.50,44.70,2597900,43.56
2013-09-11,44.81,44.97,44.39,44.95,3441700,43.81
2013-09-10,44.58,44.81,44.10,44.78,4282300,43.64
2013-09-09,43.88,44.44,43.50,44.43,3287500,43.30
2013-09-06,43.53,44.35,42.89,43.89,3992200,42.77
2013-09-05,43.03,43.66,43.00,43.51,3355500,42.40
2013-09-04,42.60,43.14,42.59,43.13,3190700,42.03
2013-09-03,43.00,43.28,42.31,42.59,2925600,41.51
2013-08-30,42.76,43.03,42.30,42.61,3170700,41.53
2013-08-29,42.32,43.09,42.26,42.62,2788900,41.54
2013-08-28,42.53,42.81,42.35,42.56,3009700,41.48
2013-08-27,43.02,43.09,42.60,42.63,4473000,41.55
2013-08-26,43.43,43.74,43.19,43.45,3493400,42.34
2013-08-23,43.01,43.50,42.85,43.43,2738100,42.33
2013-08-22,42.40,43.10,42.29,42.92,4077700,41.83
2013-08-21,42.82,42.88,42.25,42.31,4118800,41.23
2013-08-20,43.29,43.48,42.85,42.97,2803000,41.88
