Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,103.16,103.76,103.06,103.53,686400,102.22
2013-12-30,102.64,103.21,102.61,102.92,518900,101.61
2013-12-27,102.88,102.88,102.32,102.62,527700,101.32
2013-12-26,102.16,102.85,101.95,102.69,586200,101.39
2013-12-24,101.60,102.07,101.35,102.07,492200,100.77
2013-12-23,101.83,101.91,101.14,101.75,904100,100.46
2013-12-20,100.42,101.55,100.29,101.19,1362600,99.90
2013-12-19,99.85,100.42,99.63,100.36,1811200,99.09
2013-12-18,98.99,100.06,98.22,100.04,1757200,98.77
2013-12-17,99.61,99.66,98.76,98.80,1233300,97.55
2013-12-16,99.30,99.96,99.00,99.20,1156200,97.94
2013-12-13,99.69,100.01,99.18,99.26,1121000,98.00
2013-12-12,99.83,100.26,99.47,99.57,1461300,98.31
2013-12-11,101.14,101.35,99.69,99.90,1321900,98.63
2013-12-10,101.25,101.71,101.12,101.25,921400,99.96
2013-12-09,102.01,102.30,101.24,101.60,1063000,100.31
2013-12-06,101.08,102.15,101.01,101.95,1031100,100.66
2013-12-05,100.64,100.95,99.70,100.09,1080700,98.82
2013-12-04,101.22,102.28,100.17,101.05,1001600,99.77
2013-12-03,101.41,101.93,100.57,101.40,1424200,100.11
2013-12-02,102.59,102.82,101.63,101.79,1417900,100.50
2013-11-29,103.32,104.07,102.61,102.78,617000,101.47
2013-11-27,102.66,103.56,102.50,103.15,1121700,101.84
2013-11-26,102.27,103.22,102.02,102.62,1340000,101.32
2013-11-25,102.91,102.92,102.26,102.46,863400,101.16
2013-11-22,101.46,102.77,101.15,102.59,1684000,101.29
2013-11-21,98.29,101.88,98.16,101.53,2750100,100.24
2013-11-20,98.96,99.02,97.58,97.85,922800,96.61
2013-11-19,98.27,98.78,98.10,98.55,1033300,97.30
2013-11-18,98.75,99.40,98.27,98.43,884000,97.18
2013-11-15,98.30,98.72,98.08,98.70,1019800,97.45
2013-11-14,97.58,98.37,97.25,98.30,843400,97.05
2013-11-13,96.20,97.40,96.19,97.30,1597500,96.06
2013-11-12,98.21,98.36,95.86,96.41,2667500,95.19
2013-11-11,98.37,98.95,98.27,98.52,1146300,97.27
2013-11-08,97.52,98.34,97.19,98.28,1485700,97.03
2013-11-07,97.55,98.00,97.30,97.40,2037900,96.16
2013-11-06,97.01,97.81,96.66,97.78,942000,96.54
2013-11-05,96.40,96.69,95.91,96.61,845000,95.38
2013-11-04,96.08,96.57,95.96,96.48,1174800,95.25
2013-11-01,95.44,96.08,95.09,95.86,1321700,94.64
2013-10-31,96.21,96.32,95.43,95.44,1161700,94.23
2013-10-30,96.65,96.79,95.86,96.24,1348700,95.02
2013-10-29,96.21,96.57,95.92,96.39,909000,95.17
2013-10-28,96.07,96.25,95.68,95.82,1285000,94.60
2013-10-25,97.00,97.24,95.98,96.14,1049000,94.92
2013-10-24,96.78,97.08,96.57,96.74,946500,95.51
2013-10-23,95.33,98.07,95.33,96.29,1728400,95.07
2013-10-22,97.98,98.39,97.69,97.80,1690300,96.56
2013-10-21,97.08,97.68,97.05,97.48,1068400,96.24
2013-10-18,96.53,96.99,96.06,96.97,1431800,95.74
2013-10-17,95.38,96.99,95.13,96.90,874100,95.67
2013-10-16,94.28,96.04,94.21,95.75,1245200,94.53
2013-10-15,94.05,94.67,93.76,93.79,822000,92.60
2013-10-14,93.67,94.56,93.49,94.50,725100,93.30
2013-10-11,93.01,94.17,92.63,94.10,698500,92.90
2013-10-10,91.87,93.19,91.86,93.17,883900,91.99
2013-10-09,91.62,91.86,90.52,91.01,1000900,89.85
