Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,81.68,82.46,81.48,82.22,2113800,81.24
2013-12-30,81.71,82.20,80.68,82.06,2551900,81.09
2013-12-27,82.46,83.45,82.43,82.51,2466200,81.53
2013-12-26,81.47,82.53,81.23,82.15,2399200,81.17
2013-12-24,80.86,81.39,80.65,81.31,1564700,80.34
2013-12-23,80.51,81.70,79.98,81.55,4405000,80.58
2013-12-20,79.72,80.98,79.60,80.55,6782700,79.59
2013-12-19,77.52,79.95,77.49,79.51,10933800,78.57
2013-12-18,74.15,75.80,74.15,75.62,6325600,74.72
2013-12-17,74.53,74.79,73.96,74.00,4082900,73.12
2013-12-16,74.09,74.86,74.09,74.62,4172100,73.73
2013-12-13,74.27,74.62,73.79,73.94,2841400,73.06
2013-12-12,74.42,74.87,74.04,74.08,3266300,73.20
2013-12-11,75.51,76.00,74.28,74.40,3000800,73.52
2013-12-10,75.11,75.69,74.37,75.41,2350700,74.51
2013-12-09,75.64,75.98,75.01,75.13,2434400,74.24
2013-12-06,75.97,76.22,75.17,75.53,3259400,74.63
2013-12-05,76.14,76.29,75.63,75.79,2197300,74.89
2013-12-04,75.50,76.35,75.14,76.07,3550500,75.17
2013-12-03,76.33,77.24,76.03,77.09,2138700,76.17
2013-12-02,77.42,77.64,76.15,76.33,2489300,75.42
2013-11-29,77.75,78.25,77.34,77.47,1560600,76.55
2013-11-27,77.41,78.01,77.21,77.61,1755200,76.69
2013-11-26,77.38,77.96,77.26,77.37,2002800,76.45
2013-11-25,77.82,77.96,77.05,77.21,1863000,76.29
2013-11-22,78.49,78.53,77.65,77.84,2175200,76.92
2013-11-21,78.36,78.72,77.88,78.43,2201500,77.50
2013-11-20,78.47,79.30,77.86,78.16,2447600,77.23
2013-11-19,78.64,79.24,78.40,78.47,2720600,77.54
2013-11-18,78.02,79.45,77.96,78.52,3836600,77.59
2013-11-15,77.47,78.51,77.41,78.02,6371000,77.09
2013-11-14,76.81,77.58,76.28,77.06,3943500,76.14
2013-11-13,76.24,77.57,75.56,77.41,3826800,76.49
2013-11-12,75.44,76.60,75.31,76.30,4196900,75.39
2013-11-11,75.15,75.71,75.00,75.49,1778200,74.59
2013-11-08,75.39,75.99,75.02,75.24,2909400,74.35
2013-11-07,74.37,76.28,74.37,75.55,4435800,74.65
2013-11-06,73.44,75.23,73.43,75.04,4268900,74.15
2013-11-05,72.79,73.75,72.33,73.36,2834800,72.49
2013-11-04,73.10,73.23,72.54,72.71,2942700,71.85
2013-11-01,73.89,74.16,72.92,73.00,3300700,72.13
2013-10-31,74.24,74.37,73.50,73.50,2773600,72.63
2013-10-30,74.78,75.26,74.21,74.25,2835000,73.37
2013-10-29,74.45,74.95,74.30,74.91,2780700,74.02
2013-10-28,73.60,74.44,73.44,74.32,2893600,73.44
2013-10-25,73.50,73.76,73.30,73.61,2564900,72.74
2013-10-24,73.74,73.97,73.35,73.50,3761200,72.63
2013-10-23,73.65,73.91,73.27,73.78,2711500,72.90
2013-10-22,73.62,74.16,73.27,73.95,2990800,73.07
2013-10-21,73.03,73.60,72.85,73.53,3067200,72.66
2013-10-18,72.95,73.11,72.31,72.88,4100600,72.01
2013-10-17,71.81,72.91,71.56,72.85,2998300,71.98
2013-10-16,72.01,72.67,71.83,72.43,2441000,71.57
2013-10-15,72.26,72.52,71.56,71.60,2267800,70.75
2013-10-14,72.17,72.83,71.95,72.66,1734000,71.80
2013-10-11,71.56,72.75,71.35,72.71,2747800,71.85
2013-10-10,70.99,71.44,70.81,71.26,3247200,70.41
2013-10-09,70.58,70.75,69.78,70.28,5006100,69.45
2013-10-08,72.51,72.92,70.73,71.09,5089300,69.33
2013-10-07,72.51,73.47,72.31,72.35,2966300,70.56
2013-10-04,73.33,73.82,72.99,73.26,2241300,71.44
2013-10-03,73.37,73.60,73.01,73.14,2760900,71.33
2013-10-02,73.38,73.70,73.01,73.51,2512100,71.69
2013-10-01,73.54,74.52,73.31,73.82,2529400,71.99
2013-09-30,74.06,74.19,73.50,73.64,5534400,71.81
2013-09-27,74.50,74.65,72.36,74.09,8859200,72.25
2013-09-26,76.50,76.73,75.62,75.87,5003300,73.99
2013-09-25,75.44,76.33,75.00,76.12,3259800,74.23
2013-09-24,76.29,76.65,74.75,75.14,5160600,73.28
2013-09-23,77.10,77.50,76.29,76.36,2870600,74.47
