Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,166.00,168.37,165.50,168.00,763600,168.00
2013-12-30,165.49,165.97,164.40,165.64,351200,165.64
2013-12-27,165.65,165.88,164.39,165.14,443100,165.14
2013-12-26,165.08,166.73,164.07,165.63,714700,165.63
2013-12-24,165.95,166.12,164.01,164.90,518100,164.90
2013-12-23,163.68,166.58,163.67,165.96,950900,165.96
2013-12-20,165.29,165.59,161.92,162.51,3088000,162.51
2013-12-19,164.61,166.04,163.33,165.29,872200,165.29
2013-12-18,160.42,165.40,158.57,164.90,1452300,164.90
2013-12-17,159.64,160.85,156.40,159.89,1754700,159.89
2013-12-16,161.47,162.91,159.44,159.66,1024000,159.66
2013-12-13,159.54,161.36,158.92,159.82,892400,159.82
2013-12-12,160.15,161.42,158.76,159.38,1326500,159.38
2013-12-11,164.06,170.51,160.12,160.38,1291900,160.38
2013-12-10,165.99,166.39,161.10,163.55,1913100,163.55
2013-12-09,166.75,167.80,165.64,166.16,1085900,166.16
2013-12-06,164.30,168.15,163.52,166.73,1600400,166.73
2013-12-05,161.05,163.45,159.97,162.90,1227500,162.90
2013-12-04,161.57,162.24,159.34,161.05,1133500,161.05
2013-12-03,163.13,163.67,161.29,162.62,1518100,162.62
2013-12-02,163.46,164.61,162.21,163.38,1067000,163.38
2013-11-29,163.93,163.93,162.42,163.07,492500,163.07
2013-11-27,163.43,165.47,162.80,163.70,807900,163.70
2013-11-26,163.00,164.02,161.30,162.53,1576900,162.53
2013-11-25,164.68,165.00,162.57,162.92,718300,162.92
2013-11-22,163.14,165.00,162.93,164.83,684400,164.83
2013-11-21,163.58,164.91,162.18,162.95,750700,162.95
2013-11-20,160.82,163.52,159.85,163.20,911500,163.20
2013-11-19,162.94,163.45,160.45,160.85,1122000,160.85
2013-11-18,165.51,166.32,162.22,162.95,1162100,162.95
2013-11-15,163.29,165.47,163.00,165.27,1429300,165.27
2013-11-14,163.35,164.49,162.07,163.43,931800,163.43
2013-11-13,161.36,162.96,159.21,162.88,1220300,162.88
2013-11-12,160.18,163.56,159.13,161.66,1680300,161.66
2013-11-11,157.38,160.61,156.77,160.28,1903300,160.28
2013-11-08,155.01,156.87,154.53,156.73,1399300,156.73
2013-11-07,156.09,158.49,153.42,154.41,1514400,154.41
2013-11-06,157.34,159.69,155.86,156.09,1232000,156.09
2013-11-05,157.25,157.87,155.25,156.53,1117000,156.53
2013-11-04,158.06,158.14,155.20,157.40,956600,157.40
2013-11-01,155.14,158.15,154.86,158.12,1045700,158.12
2013-10-31,156.39,157.13,154.57,154.58,1425500,154.58
2013-10-30,155.24,157.09,154.97,156.63,2162100,156.63
2013-10-29,152.97,154.70,151.26,154.27,3127600,154.27
2013-10-28,147.68,148.15,144.91,145.86,1801500,145.86
2013-10-25,146.30,149.19,146.01,148.15,1266400,148.15
2013-10-24,146.42,147.12,145.56,146.42,1080500,146.42
2013-10-23,145.84,146.12,143.71,145.75,1678800,145.75
2013-10-22,146.71,147.95,146.30,146.89,1657700,146.89
2013-10-21,147.15,148.00,145.52,146.60,1077900,146.60
2013-10-18,147.75,148.00,144.77,146.92,1480600,146.92
2013-10-17,142.67,147.22,142.66,146.87,1427100,146.87
2013-10-16,140.72,144.34,140.60,144.05,1317400,144.05
2013-10-15,141.80,142.85,140.50,140.54,1108500,140.54
2013-10-14,140.51,141.91,139.46,141.65,822900,141.65
2013-10-11,141.23,143.06,140.24,141.71,819300,141.71
2013-10-10,138.80,142.85,138.80,140.68,1318200,140.68
2013-10-09,140.51,141.69,136.52,137.30,2134600,137.30
2013-10-08,143.71,143.71,138.84,139.80,2418200,139.80
2013-10-07,146.17,146.78,144.07,144.16,1371000,144.16
2013-10-04,143.69,149.80,143.69,146.90,1637600,146.90
2013-10-03,145.89,147.47,144.49,144.49,2283800,144.49
2013-10-02,145.00,147.48,143.82,146.38,2177200,146.38
2013-10-01,144.00,145.76,142.26,145.10,1773400,145.10
2013-09-30,143.50,144.11,142.06,144.00,9667600,144.00
2013-09-27,142.70,145.50,141.35,144.30,2479900,144.30
2013-09-26,139.32,143.19,138.76,142.67,1796700,142.67
2013-09-25,139.90,140.78,138.73,139.09,864100,139.09
2013-09-24,138.42,139.77,137.31,139.33,1049500,139.33
2013-09-23,136.33,138.84,136.33,138.60,1176400,138.60
2013-09-20,138.89,139.12,135.50,135.50,2523400,135.50
2013-09-19,139.49,139.78,137.79,138.40,680900,138.40
2013-09-18,137.50,139.14,136.54,139.10,1268600,139.10
2013-09-17,136.99,138.07,136.29,137.69,858400,137.69
2013-09-16,137.98,138.35,136.39,136.81,844400,136.81
2013-09-13,136.22,136.99,135.10,135.59,538200,135.59
2013-09-12,135.42,137.06,135.00,136.39,1280200,136.39
2013-09-11,135.93,136.07,134.75,135.15,1137500,135.15
2013-09-10,136.19,137.35,135.50,135.68,1116200,135.68
2013-09-09,137.40,138.44,135.58,135.90,901900,135.90
2013-09-06,140.02,140.94,137.14,137.39,1348300,137.39
2013-09-05,138.76,140.97,138.76,140.06,1112100,140.06
2013-09-04,136.76,140.14,136.58,139.00,2039700,139.00
2013-09-03,136.68,138.09,135.96,136.94,1186000,136.94
2013-08-30,135.18,135.94,133.91,135.18,844900,135.18
2013-08-29,132.08,135.88,131.56,135.37,742100,135.37
2013-08-28,131.23,132.69,130.06,132.11,709000,132.11
2013-08-27,133.96,134.73,131.03,131.43,949900,131.43
2013-08-26,133.87,135.45,133.50,135.15,729600,135.15
2013-08-23,135.17,135.30,132.86,133.89,703100,133.89
2013-08-22,134.10,134.86,133.77,134.70,560900,134.70
2013-08-21,135.10,135.43,132.38,133.57,1099100,133.57
2013-08-20,134.36,135.93,134.36,135.05,943200,135.05
2013-08-19,134.78,136.24,134.26,134.53,942800,134.53
2013-08-16,134.34,135.50,132.75,134.52,1072900,134.52
2013-08-15,136.71,136.80,134.56,134.87,1210400,134.87
2013-08-14,134.41,139.10,134.41,137.94,1869700,137.94
2013-08-13,133.16,134.96,133.16,134.64,888800,134.64
2013-08-12,133.80,134.81,131.87,133.24,691800,133.24
2013-08-09,134.48,135.89,133.77,133.87,656600,133.87
2013-08-08,135.72,136.32,133.70,134.42,703200,134.42
2013-08-07,135.59,136.95,133.80,135.43,1073000,135.43
2013-08-06,136.48,137.12,134.60,135.62,772100,135.62
2013-08-05,135.76,138.00,135.53,136.85,808300,136.85
2013-08-02,136.00,136.73,135.06,135.89,1115300,135.89
2013-08-01,134.76,136.12,134.60,135.78,1037800,135.78
2013-07-31,135.20,136.25,134.00,134.27,1342800,134.27
2013-07-30,134.76,136.29,134.61,135.38,1734600,135.38
2013-07-29,133.99,135.99,133.11,134.48,2441800,134.48
2013-07-26,128.74,134.73,128.70,132.71,3387400,132.71
2013-07-25,126.32,129.81,124.45,128.85,1849400,128.85
2013-07-24,126.30,127.82,124.80,126.75,1036300,126.75
2013-07-23,128.29,128.53,125.65,126.41,784800,126.41
2013-07-22,125.22,128.53,125.02,127.93,1908400,127.93
2013-07-19,125.22,125.75,123.43,125.42,1004000,125.42
2013-07-18,122.44,125.32,122.04,124.35,1260000,124.35
2013-07-17,122.80,123.44,121.12,122.08,1298700,122.08
2013-07-16,125.65,125.74,122.17,122.84,1104900,122.84
2013-07-15,126.76,126.77,124.78,125.18,1203500,125.18
2013-07-12,125.40,126.52,124.79,126.18,1218600,126.18
2013-07-11,125.42,125.56,123.35,125.00,1135800,125.00
2013-07-10,126.04,126.30,123.30,124.07,1155000,124.07
2013-07-09,127.45,127.45,125.40,125.71,897700,125.71
2013-07-08,127.00,127.04,124.41,126.49,884300,126.49
2013-07-05,125.26,126.51,123.99,126.37,764200,126.37
2013-07-03,123.83,124.05,122.01,123.99,699300,123.99
2013-07-02,125.53,127.21,123.75,123.83,1030500,123.83
2013-07-01,126.63,127.62,125.13,125.44,1406200,125.44
2013-06-28,124.98,127.56,124.98,126.22,1918800,126.22
2013-06-27,123.92,126.47,123.70,125.86,1633500,125.86
2013-06-26,122.41,124.57,122.23,123.29,1102000,123.29
2013-06-25,121.25,122.38,120.65,121.54,905900,121.54
2013-06-24,120.78,121.89,118.92,120.22,1201800,120.22
2013-06-21,121.54,122.61,119.59,121.52,1723200,121.52
2013-06-20,122.70,123.23,119.69,120.22,1624200,120.22
2013-06-19,125.42,125.69,123.21,123.71,869000,123.71
2013-06-18,125.22,126.27,124.44,125.67,621500,125.67
2013-06-17,127.33,127.57,123.76,124.94,1260100,124.94
2013-06-14,126.21,127.50,125.64,126.45,795200,126.45
2013-06-13,123.51,126.65,122.64,126.46,1230700,126.46
2013-06-12,125.46,126.02,123.53,123.79,812500,123.79
2013-06-11,125.11,126.07,123.50,125.09,1204900,125.09
2013-06-10,124.43,125.12,123.16,125.04,1014800,125.04
2013-06-07,122.36,124.12,121.69,124.12,848800,124.12
2013-06-06,119.98,122.12,119.13,122.00,1199000,122.00
2013-06-05,119.39,121.45,118.68,120.34,2060000,120.34
2013-06-04,123.79,123.84,119.91,119.91,1789000,119.91
2013-06-03,123.73,125.25,121.85,123.57,1364400,123.57
2013-05-31,124.20,125.50,123.23,123.29,1040600,123.29
2013-05-30,122.95,125.47,122.95,124.23,1056300,124.23
2013-05-29,123.92,124.31,121.71,122.62,1459400,122.62
2013-05-28,127.44,128.64,124.07,124.77,2308300,124.77
2013-05-24,127.90,128.12,125.95,127.23,1839000,127.23
2013-05-23,129.11,129.77,127.50,128.08,1803500,128.08
2013-05-22,129.75,133.00,128.72,130.04,3040500,130.04
2013-05-21,127.02,131.14,125.49,130.20,2762900,130.20
2013-05-20,127.80,131.24,126.63,127.15,7425100,127.15
2013-05-17,123.37,125.93,123.01,125.50,1414900,125.50
2013-05-16,124.25,126.53,123.44,123.61,2657600,123.61
2013-05-15,121.65,125.51,121.45,123.88,1824800,123.88
2013-05-14,120.31,125.00,119.53,121.68,3720300,121.68
2013-05-13,119.00,121.56,117.64,120.52,3887800,120.52
2013-05-10,107.58,121.13,105.56,119.86,8052200,119.86
2013-05-09,104.86,107.66,104.86,106.81,863200,106.81
2013-05-08,107.07,108.31,107.07,107.29,877000,107.29
2013-05-07,107.66,108.14,106.52,107.22,1168700,107.22
2013-05-06,106.63,108.02,105.60,107.20,1018100,107.20
2013-05-03,106.64,107.08,105.98,106.46,1153000,106.46
2013-05-02,107.06,110.50,104.97,106.49,2466100,106.49
2013-05-01,105.24,105.68,103.75,104.39,2313200,104.39
2013-04-30,105.52,106.04,104.78,105.73,2061700,105.73
2013-04-29,105.24,107.76,104.29,105.58,5715500,105.58
2013-04-26,99.03,101.46,99.03,100.94,1431400,100.94
2013-04-25,98.70,99.52,98.48,98.89,599100,98.89
2013-04-24,99.06,99.35,98.09,98.28,624000,98.28
2013-04-23,98.48,99.55,98.08,98.77,925100,98.77
2013-04-22,98.40,98.95,97.81,97.85,636500,97.85
2013-04-19,96.95,98.63,96.72,98.48,706100,98.48
2013-04-18,97.61,98.25,96.52,96.68,611200,96.68
2013-04-17,96.51,97.96,96.26,97.73,960400,97.73
2013-04-16,96.45,97.01,96.15,96.97,608900,96.97
2013-04-15,97.31,97.80,96.01,96.03,823500,96.03
2013-04-12,97.47,98.00,97.17,97.33,516500,97.33
2013-04-11,97.25,98.13,97.15,97.76,801300,97.76
2013-04-10,97.80,97.86,96.82,97.21,1040600,97.21
2013-04-09,98.46,98.46,97.43,97.71,1097000,97.71
2013-04-08,97.33,98.38,96.44,98.36,1064800,98.36
2013-04-05,95.19,97.41,94.75,97.19,1135800,97.19
2013-04-04,95.62,96.12,94.56,95.84,1003700,95.84
2013-04-03,96.48,96.48,94.35,95.27,1513100,95.27
2013-04-02,95.00,98.37,94.98,96.68,1510000,96.68
2013-04-01,92.33,93.13,91.88,92.46,707700,92.46
2013-03-28,91.13,92.37,90.96,92.11,971800,92.11
2013-03-27,90.83,91.29,90.00,91.07,863000,91.07
2013-03-26,91.59,91.71,90.77,91.09,1149700,91.09
2013-03-25,90.78,91.26,90.46,91.07,925800,91.07
2013-03-22,90.31,90.88,89.83,90.31,689500,90.31
2013-03-21,89.84,90.48,89.51,90.12,1011500,90.12
2013-03-20,89.84,90.21,89.31,89.86,894900,89.86
2013-03-19,90.79,90.97,89.20,89.80,955400,89.80
2013-03-18,90.25,91.06,89.83,90.54,1026900,90.54
2013-03-15,90.72,92.12,90.26,91.59,1552900,91.59
2013-03-14,91.58,91.95,90.99,91.08,1230300,91.08
2013-03-13,89.95,92.33,89.73,91.58,1817600,91.58
2013-03-12,88.72,90.31,88.50,90.10,1519300,90.10
2013-03-11,87.23,88.52,87.04,88.37,1208500,88.37
2013-03-08,86.74,87.71,86.55,87.56,843000,87.56
2013-03-07,87.01,87.46,86.46,86.64,852000,86.64
2013-03-06,86.57,87.20,86.54,86.86,1195900,86.86
2013-03-05,86.25,86.99,85.81,86.46,951300,86.46
2013-03-04,85.55,86.36,85.28,86.20,817500,86.20
2013-03-01,85.17,85.85,84.41,85.54,960400,85.54
2013-02-28,85.94,86.20,85.16,85.16,1368400,85.16
2013-02-27,84.90,86.22,84.90,85.88,950200,85.88
2013-02-26,83.23,86.97,83.19,84.67,1479300,84.67
2013-02-25,83.52,85.00,83.14,83.14,1373400,83.14
2013-02-22,83.72,83.95,82.44,83.44,1292500,83.44
2013-02-21,82.70,84.03,82.02,83.75,2093400,83.75
2013-02-20,84.52,85.01,82.93,83.10,1285300,83.10
2013-02-19,87.40,87.70,84.39,84.81,2054800,84.81
2013-02-15,86.28,86.37,85.03,85.24,1280600,85.24
2013-02-14,86.23,87.44,85.00,86.49,786400,86.49
2013-02-13,86.04,86.82,85.02,86.73,721800,86.73
2013-02-12,86.73,86.73,85.65,85.78,790500,85.78
2013-02-11,87.13,87.54,86.35,86.66,843500,86.66
2013-02-08,87.26,87.82,86.79,87.45,622300,87.45
2013-02-07,87.08,87.13,85.99,87.13,759100,87.13
2013-02-06,86.41,87.07,86.07,87.07,907500,87.07
2013-02-05,86.29,87.00,85.97,86.54,1143200,86.54
2013-02-04,86.76,87.92,86.20,86.65,1149200,86.65
2013-02-01,86.62,87.97,86.18,87.88,1396600,87.88
2013-01-31,85.28,86.85,85.01,86.39,1492900,86.39
2013-01-30,85.55,85.88,85.23,85.88,1612800,85.88
2013-01-29,84.81,86.04,84.01,85.84,1474600,85.84
2013-01-28,84.22,84.72,83.68,84.26,1292200,84.26
2013-01-25,86.47,86.60,83.76,84.27,2459500,84.27
