Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,81.24,81.55,80.65,80.80,1104600,80.30
2013-12-30,80.82,81.10,80.51,81.08,718700,80.58
2013-12-27,80.96,81.14,80.56,80.72,723000,80.22
2013-12-26,80.45,80.87,80.13,80.75,875300,80.25
2013-12-24,79.78,80.29,79.60,80.22,599600,79.73
2013-12-23,80.31,80.40,79.72,79.94,1426200,79.45
2013-12-20,79.42,80.24,78.98,79.97,3547300,79.48
2013-12-19,79.35,79.85,78.87,79.43,2483200,78.94
2013-12-18,77.72,79.15,77.12,79.09,2858900,78.60
2013-12-17,76.80,77.52,76.62,77.25,1712100,76.77
2013-12-16,77.53,77.97,77.19,77.52,1359200,77.04
2013-12-13,77.66,77.77,76.98,77.02,1654800,76.55
2013-12-12,77.21,77.75,77.10,77.15,2987200,76.67
2013-12-11,78.30,78.55,77.22,77.43,2905400,76.95
2013-12-10,78.86,79.05,78.36,78.51,2000400,77.55
2013-12-09,79.70,79.77,78.56,79.01,2375400,78.04
2013-12-06,79.45,79.77,79.13,79.66,1870700,78.69
2013-12-05,78.95,79.53,78.40,78.53,2218900,77.57
2013-12-04,79.89,80.14,78.74,79.33,1861500,78.36
2013-12-03,80.35,80.82,79.70,80.34,2847300,79.36
2013-12-02,79.95,80.13,79.44,79.57,1367500,78.60
2013-11-29,80.18,80.65,79.98,80.02,835000,79.04
2013-11-27,80.30,80.52,79.96,80.33,1063400,79.35
2013-11-26,83.18,83.82,79.80,80.31,2319500,79.33
2013-11-25,80.00,80.40,79.94,80.12,1687200,79.14
2013-11-22,79.65,80.04,79.56,80.01,1550400,79.03
2013-11-21,79.32,79.87,79.13,79.78,1925000,78.80
2013-11-20,79.91,80.13,78.81,79.05,2875800,78.08
2013-11-19,78.80,80.44,78.28,79.71,6780200,78.73
2013-11-18,77.36,77.70,77.14,77.36,1761400,76.41
2013-11-15,76.87,77.40,76.55,77.33,2347700,76.38
2013-11-14,76.64,77.43,76.51,76.97,2190300,76.03
2013-11-13,75.65,76.50,75.24,76.45,2436900,75.51
2013-11-12,75.69,75.90,75.39,75.72,1812600,74.79
2013-11-11,75.83,76.04,75.50,75.76,1166700,74.83
2013-11-08,75.44,76.03,75.21,76.01,1379200,75.08
2013-11-07,76.15,76.41,75.21,75.33,1532700,74.41
2013-11-06,75.34,76.05,75.32,75.83,1253500,74.90
2013-11-05,75.25,75.67,74.74,75.51,1166900,74.59
2013-11-04,75.72,75.91,74.95,75.51,1581100,74.59
2013-11-01,75.35,75.48,74.89,75.31,1852300,74.39
2013-10-31,74.26,75.25,74.01,75.03,2727000,74.11
2013-10-30,75.91,75.91,73.77,74.30,2169500,73.39
2013-10-29,76.04,76.66,75.57,76.35,1683400,75.42
2013-10-28,75.32,76.08,75.15,75.67,1648100,74.74
2013-10-25,75.31,75.71,74.96,75.51,1167800,74.59
2013-10-24,75.30,75.64,75.14,75.41,1389900,74.49
2013-10-23,75.24,75.31,74.83,75.11,1111600,74.19
2013-10-22,74.92,75.75,74.64,75.45,1366700,74.53
2013-10-21,73.99,74.75,73.89,74.70,1238600,73.79
2013-10-18,74.15,74.50,73.87,74.19,1722700,73.28
2013-10-17,73.41,74.15,73.25,74.08,1412500,73.17
2013-10-16,72.95,73.79,72.72,73.72,1814200,72.82
2013-10-15,72.54,72.71,72.18,72.32,1791200,71.43
2013-10-14,72.36,72.89,72.14,72.86,987300,71.97
2013-10-11,71.26,72.53,71.22,72.51,1076000,71.62
2013-10-10,70.84,71.93,70.61,71.81,1402500,70.93
2013-10-09,70.25,70.60,69.91,70.28,1415400,69.42
2013-10-08,71.14,71.24,70.17,70.24,1503100,69.38
2013-10-07,70.89,71.35,70.52,71.02,880600,70.15
2013-10-04,71.26,71.61,70.94,71.52,1241000,70.64
2013-10-03,71.71,72.00,70.89,71.10,1362600,70.23
2013-10-02,72.00,72.11,71.66,72.02,1729700,71.14
2013-10-01,72.58,72.58,71.89,72.16,1485300,71.28
2013-09-30,72.31,72.51,71.89,72.38,1760700,71.49
2013-09-27,72.70,72.73,71.61,72.56,1396000,71.67
2013-09-26,72.83,73.20,72.57,72.92,1199300,72.03
2013-09-25,73.09,73.22,72.32,72.52,1172000,71.63
2013-09-24,72.45,73.30,72.29,72.95,1918700,72.06
2013-09-23,74.20,74.62,72.71,73.13,3039100,72.24
2013-09-20,74.76,74.88,74.36,74.43,2407900,73.52
2013-09-19,74.89,74.95,74.48,74.68,1657400,73.77
2013-09-18,74.17,74.86,73.75,74.74,1654100,73.83
2013-09-17,74.24,74.41,73.90,74.16,2295100,73.25
2013-09-16,74.85,74.93,74.03,74.10,1957800,73.19
2013-09-13,74.23,74.33,73.46,74.09,1882400,73.18
2013-09-12,73.91,74.51,73.75,74.18,1336100,73.27
2013-09-11,73.36,74.11,73.18,74.01,3066300,73.10
2013-09-10,74.38,74.38,73.74,73.74,3156000,72.41
2013-09-09,73.14,73.94,73.14,73.79,1700300,72.46
2013-09-06,72.45,73.28,71.37,73.13,2315700,71.81
2013-09-05,71.83,72.38,71.79,72.34,1167600,71.03
2013-09-04,70.09,72.12,69.76,72.05,1671800,70.75
2013-09-03,71.98,72.45,71.00,71.41,1816200,70.12
2013-08-30,71.29,71.31,70.76,71.16,1506000,69.87
2013-08-29,70.78,71.64,70.42,71.30,1417700,70.01
2013-08-28,71.12,71.40,70.85,70.94,1589200,69.66
2013-08-27,71.22,71.58,70.90,70.94,1631800,69.66
2013-08-26,69.89,72.48,69.89,72.03,1099200,70.73
2013-08-23,72.48,72.56,72.01,72.28,1318400,70.97
2013-08-22,72.01,72.64,71.90,72.44,809500,71.13
2013-08-21,72.15,72.38,71.61,71.83,1564400,70.53
2013-08-20,71.79,72.51,71.75,72.34,1230000,71.03
2013-08-19,71.61,72.24,71.61,71.90,1388800,70.60
2013-08-16,71.47,72.08,71.38,71.89,1792600,70.59
2013-08-15,72.22,72.24,71.35,71.61,1553400,70.32
2013-08-14,72.84,73.08,72.64,72.68,1391400,71.37
2013-08-13,72.99,73.03,72.64,72.99,2495100,71.67
2013-08-12,72.01,72.83,71.90,72.80,1275400,71.48
2013-08-09,72.07,72.60,71.94,72.46,1238800,71.15
2013-08-08,72.36,72.65,71.95,72.34,1375400,71.03
2013-08-07,72.11,72.28,71.67,71.99,1460900,70.69
2013-08-06,71.48,72.38,71.10,72.24,1691800,70.93
