Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,260.99,264.31,260.50,262.93,580800,262.93
2013-12-30,257.47,260.60,256.74,260.05,468800,260.05
2013-12-27,256.16,259.36,256.00,258.15,457100,258.15
2013-12-26,255.72,258.26,253.18,255.30,436000,255.30
2013-12-24,255.46,256.07,252.26,254.22,335000,254.22
2013-12-23,252.00,259.42,251.87,255.87,869000,255.87
2013-12-20,251.05,256.77,250.50,250.50,5801700,250.50
2013-12-19,252.34,255.38,250.09,251.00,711200,251.00
2013-12-18,248.97,254.40,246.59,254.17,614800,254.17
2013-12-17,254.40,254.40,243.03,248.12,768900,248.12
2013-12-16,252.55,255.54,248.16,248.64,780700,248.64
2013-12-13,245.97,250.96,244.75,250.87,806800,250.87
2013-12-12,248.00,248.27,240.40,245.97,1164500,245.97
2013-12-11,248.38,249.51,243.31,243.70,513900,243.70
2013-12-10,245.85,250.91,245.85,247.28,493200,247.28
2013-12-09,248.97,250.81,245.60,245.84,490800,245.84
2013-12-06,242.90,249.58,242.07,248.70,615000,248.70
2013-12-05,240.00,242.18,239.44,241.42,299700,241.42
2013-12-04,238.91,241.68,238.49,241.09,342800,241.09
2013-12-03,240.34,243.35,238.99,240.99,540000,240.99
2013-12-02,240.77,242.82,238.06,239.94,694100,239.94
2013-11-29,242.18,244.73,241.97,242.26,224000,242.26
2013-11-27,241.87,243.99,240.82,241.63,388700,241.63
2013-11-26,244.39,244.39,239.22,240.72,566200,240.72
2013-11-25,243.28,244.25,240.81,242.82,405400,242.82
2013-11-22,243.50,244.75,241.97,243.27,528700,243.27
2013-11-21,245.66,245.98,242.35,243.14,716300,243.14
2013-11-20,247.73,250.02,243.92,244.58,694200,244.58
2013-11-19,248.46,250.73,246.57,247.70,484000,247.70
2013-11-18,249.00,251.64,247.26,248.40,423200,248.40
2013-11-15,251.01,253.77,247.25,249.11,580600,249.11
2013-11-14,248.97,251.67,248.86,251.27,407000,251.27
2013-11-13,242.47,248.68,240.06,248.48,476700,248.48
2013-11-12,244.89,246.48,243.41,244.15,492200,244.15
2013-11-11,242.95,246.35,242.95,244.63,365600,244.63
2013-11-08,237.67,243.04,237.61,242.86,627200,242.86
2013-11-07,243.32,245.63,237.24,237.45,556200,237.45
2013-11-06,241.58,243.85,240.47,243.21,726900,243.21
2013-11-05,239.10,241.55,237.46,240.03,569400,240.03
2013-11-04,238.29,240.47,237.03,239.56,451100,239.56
2013-11-01,236.73,238.49,235.02,236.78,399200,236.78
2013-10-31,235.00,238.67,234.01,237.06,544600,237.06
2013-10-30,236.82,236.93,233.79,235.45,345500,235.45
2013-10-29,235.03,236.51,233.18,236.09,279400,236.09
2013-10-28,234.51,235.44,231.74,233.59,373900,233.59
