Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,46.77,46.85,46.49,46.74,1454700,46.25
2013-12-30,46.58,46.69,46.42,46.64,1920900,46.15
2013-12-27,46.36,46.53,46.15,46.50,1657200,46.02
2013-12-26,46.69,46.77,46.34,46.42,1527100,45.94
2013-12-24,46.35,46.69,46.18,46.59,602400,46.10
2013-12-23,46.95,47.00,46.36,46.41,2466500,45.93
2013-12-20,46.45,47.09,46.42,46.72,4407100,46.23
2013-12-19,46.20,46.59,45.56,46.38,4386300,45.90
2013-12-18,45.92,46.53,45.24,46.51,3408300,46.03
2013-12-17,46.00,46.02,45.66,45.82,2334600,45.34
2013-12-16,46.05,46.48,45.73,45.97,3333200,45.49
2013-12-13,45.89,46.09,45.57,45.80,2180000,45.32
2013-12-12,45.83,46.26,45.75,45.89,2806000,45.41
2013-12-11,46.25,46.25,45.72,45.78,2954200,45.30
2013-12-10,46.84,46.95,46.06,46.16,3488400,45.68
2013-12-09,46.93,46.99,46.39,46.72,4209500,46.23
2013-12-06,46.54,47.20,46.51,47.10,3607600,46.61
2013-12-05,46.72,46.82,46.40,46.48,4218000,46.00
2013-12-04,46.73,47.14,46.45,46.86,3559500,46.37
2013-12-03,46.44,46.98,46.36,46.87,3170900,46.38
2013-12-02,47.21,47.21,46.35,46.63,3557600,46.14
2013-11-29,47.08,47.51,47.05,47.06,1519200,46.57
2013-11-27,47.42,47.53,47.01,47.07,3276600,46.58
2013-11-26,47.62,47.78,47.34,47.44,3647500,46.95
2013-11-25,47.70,47.86,47.42,47.55,2935800,47.05
2013-11-22,47.54,47.79,47.32,47.70,2622700,47.20
2013-11-21,47.61,47.87,47.36,47.63,2524200,47.13
2013-11-20,48.09,48.26,47.46,47.51,3390500,47.01
2013-11-19,48.20,48.39,47.84,48.01,3682700,47.51
2013-11-18,48.24,48.40,48.00,48.32,4476700,47.82
2013-11-15,47.46,47.85,47.31,47.84,3113500,47.34
2013-11-14,47.41,47.74,47.27,47.59,3672700,47.09
2013-11-13,47.17,47.33,46.55,47.32,4503700,46.83
2013-11-12,47.76,47.85,47.30,47.37,7700500,46.88
2013-11-11,46.82,47.78,46.55,47.10,5700900,46.61
2013-11-08,46.09,46.28,45.35,46.25,3783600,45.77
2013-11-07,46.75,46.88,46.17,46.25,3239700,45.77
2013-11-06,46.25,46.79,46.05,46.74,3399200,46.25
2013-11-05,47.19,47.37,46.57,46.57,5175800,45.59
2013-11-04,47.21,47.27,46.68,47.19,3914900,46.20
2013-11-01,47.00,47.28,46.87,47.04,2989200,46.05
2013-10-31,47.16,47.27,46.34,46.84,3948600,45.85
2013-10-30,47.42,47.58,47.04,47.10,3836900,46.11
2013-10-29,47.38,47.59,47.15,47.27,3176300,46.27
2013-10-28,47.23,47.56,47.13,47.30,12285900,46.30
2013-10-25,46.68,47.30,46.44,47.28,9816800,46.28
2013-10-24,46.52,46.80,46.16,46.72,8961900,45.74
