Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,14.45,14.55,14.39,14.51,2330800,14.46
2013-12-30,14.48,14.52,14.28,14.46,4131800,14.41
2013-12-27,14.51,14.60,14.36,14.45,2515100,14.40
2013-12-26,14.47,14.64,14.45,14.46,2892100,14.41
2013-12-24,14.36,14.53,14.23,14.47,1851900,14.42
2013-12-23,14.37,14.49,14.34,14.39,4803000,14.34
2013-12-20,14.17,14.41,14.14,14.32,9718700,14.27
2013-12-19,14.14,14.24,14.03,14.12,5860800,14.07
2013-12-18,14.05,14.27,13.81,14.21,7681100,14.16
2013-12-17,13.99,14.06,13.84,13.94,6803400,13.89
2013-12-16,13.82,14.11,13.75,13.96,9762600,13.91
2013-12-13,13.53,13.95,13.49,13.68,37696900,13.63
2013-12-12,14.02,14.27,13.77,13.85,14114500,13.80
2013-12-11,14.47,14.57,14.28,14.32,5386500,14.27
2013-12-10,14.69,14.75,14.44,14.49,5185500,14.44
2013-12-09,15.04,15.06,14.67,14.71,4751100,14.66
2013-12-06,14.88,15.14,14.78,15.02,7457300,14.97
2013-12-05,15.26,15.29,14.68,14.74,11045800,14.69
2013-12-04,14.83,15.54,14.73,15.31,13164800,15.25
2013-12-03,14.41,14.89,14.35,14.88,7908600,14.83
2013-12-02,14.57,14.70,14.45,14.47,3855900,14.42
2013-11-29,14.45,14.66,14.40,14.57,2144900,14.52
2013-11-27,14.50,14.55,14.31,14.47,3496600,14.42
2013-11-26,14.50,14.55,14.28,14.43,3802300,14.38
2013-11-25,14.67,14.73,14.50,14.53,3494500,14.48
2013-11-22,14.60,14.73,14.55,14.62,3777100,14.57
2013-11-21,14.70,14.77,14.60,14.63,3720300,14.58
2013-11-20,14.75,14.83,14.57,14.59,4933700,14.54
2013-11-19,14.97,15.03,14.65,14.70,7229000,14.65
2013-11-18,15.28,15.30,14.94,14.96,5661700,14.91
2013-11-15,15.17,15.30,15.01,15.28,6125700,15.22
2013-11-14,15.16,15.25,15.01,15.20,7375400,15.14
2013-11-13,14.78,15.12,14.65,15.11,7122300,15.06
2013-11-12,14.53,14.93,14.51,14.86,11397800,14.81
2013-11-11,14.19,14.56,14.15,14.56,6251600,14.51
2013-11-08,13.74,14.24,13.61,14.21,6265800,14.16
2013-11-07,14.09,14.36,13.62,13.70,6617100,13.65
2013-11-06,13.96,14.09,13.93,14.05,3820100,14.00
2013-11-05,14.04,14.09,13.93,13.96,4566600,13.91
2013-11-04,14.05,14.20,13.94,14.12,6881700,14.07
2013-11-01,14.08,14.17,13.92,13.99,5283600,13.94
2013-10-31,14.22,14.29,13.97,14.09,4648600,14.04
2013-10-30,14.33,14.49,14.13,14.24,3010200,14.19
2013-10-29,14.39,14.46,14.27,14.30,2169300,14.21
2013-10-28,14.31,14.40,14.21,14.35,4283000,14.26
2013-10-25,14.10,14.34,14.03,14.31,2466000,14.22
2013-10-24,14.07,14.19,13.97,14.07,3740400,13.98
2013-10-23,14.26,14.36,14.01,14.05,4324600,13.96
2013-10-22,14.28,14.42,14.25,14.30,4098100,14.21
2013-10-21,14.19,14.37,14.14,14.22,3700800,14.13
2013-10-18,14.10,14.32,14.04,14.21,3790200,14.12
2013-10-17,13.73,14.21,13.68,14.06,6067900,13.97
2013-10-16,13.61,13.80,13.57,13.75,3055100,13.66
2013-10-15,13.74,13.81,13.51,13.54,2888200,13.45
2013-10-14,13.63,13.82,13.46,13.81,3896300,13.72
2013-10-11,13.56,13.73,13.50,13.69,2375300,13.60
2013-10-10,13.31,13.57,13.21,13.55,4400200,13.46
2013-10-09,13.32,13.37,13.19,13.22,4135700,13.14
2013-10-08,13.37,13.58,13.27,13.30,3388300,13.21
2013-10-07,13.29,13.38,13.25,13.29,2716200,13.20
2013-10-04,13.27,13.47,13.20,13.38,2664900,13.29
2013-10-03,13.31,13.34,13.16,13.25,2856900,13.16
2013-10-02,13.35,13.41,13.22,13.35,3229400,13.26
2013-10-01,13.33,13.45,13.26,13.38,2272600,13.29
2013-09-30,13.39,13.43,13.24,13.29,3764000,13.20
2013-09-27,13.56,13.62,13.37,13.47,2771300,13.38
2013-09-26,13.52,13.65,13.49,13.59,2705500,13.50
2013-09-25,13.54,13.66,13.28,13.51,3453100,13.42
2013-09-24,13.53,13.60,13.42,13.52,4684200,13.43
2013-09-23,13.31,13.58,13.31,13.51,5136200,13.42
2013-09-20,13.58,13.60,13.35,13.38,4232000,13.29
2013-09-19,13.70,13.77,13.51,13.59,2635900,13.50
2013-09-18,13.29,13.75,13.21,13.65,4670800,13.56
2013-09-17,13.38,13.46,13.30,13.32,5708200,13.23
2013-09-16,13.40,13.55,13.26,13.35,4866500,13.26
2013-09-13,13.37,13.44,13.23,13.27,3764200,13.18
2013-09-12,13.46,13.49,13.28,13.38,3657500,13.29
2013-09-11,13.58,13.58,13.37,13.43,4061700,13.34
2013-09-10,13.39,13.57,13.35,13.57,5811600,13.48
2013-09-09,13.10,13.32,13.08,13.29,4148400,13.20
2013-09-06,12.75,13.36,12.75,13.09,10308800,13.01
2013-09-05,12.59,12.73,12.59,12.71,2394300,12.63
2013-09-04,12.72,12.75,12.55,12.64,2562300,12.56
2013-09-03,12.87,12.94,12.64,12.70,3430600,12.62
2013-08-30,12.80,12.86,12.65,12.71,3229600,12.63
2013-08-29,12.86,12.96,12.72,12.78,1931200,12.70
2013-08-28,12.72,12.92,12.67,12.86,3171600,12.78
2013-08-27,12.79,12.93,12.71,12.73,5698100,12.65
2013-08-26,12.93,13.06,12.83,12.95,5002600,12.87
2013-08-23,12.95,12.97,12.79,12.91,2044600,12.83
2013-08-22,12.65,12.94,12.60,12.88,3461000,12.80
2013-08-21,12.65,12.72,12.52,12.62,3547300,12.54
2013-08-20,12.53,12.72,12.39,12.69,3770200,12.61
2013-08-19,12.59,12.64,12.38,12.49,4464800,12.41
2013-08-16,12.78,12.78,12.55,12.66,2733000,12.58
2013-08-15,12.90,12.94,12.74,12.81,3644500,12.73
2013-08-14,12.95,13.07,12.87,12.99,3424300,12.91
2013-08-13,13.11,13.11,12.89,12.97,4810200,12.89
2013-08-12,13.06,13.12,13.00,13.08,3170700,13.00
2013-08-09,13.11,13.33,13.08,13.09,3605600,13.01
2013-08-08,12.89,13.38,12.78,13.13,5706200,13.05
2013-08-07,12.68,12.88,12.59,12.87,4572700,12.79
2013-08-06,12.70,12.82,12.65,12.76,5994600,12.68
2013-08-05,12.57,12.82,12.53,12.78,4252400,12.70
2013-08-02,12.66,12.70,12.49,12.66,2713900,12.58
2013-08-01,12.53,12.70,12.40,12.66,3259700,12.58
2013-07-31,12.35,12.59,12.24,12.44,4778400,12.36
2013-07-30,12.45,12.48,12.34,12.38,3755300,12.30
2013-07-29,12.47,12.54,12.39,12.40,2804900,12.28
2013-07-26,12.38,12.49,12.32,12.48,2518700,12.36
2013-07-25,12.37,12.47,12.25,12.45,3674300,12.33
2013-07-24,12.72,12.72,12.32,12.42,2570000,12.30
2013-07-23,12.68,12.82,12.55,12.76,2056500,12.64
2013-07-22,12.82,12.87,12.66,12.68,2993600,12.56
2013-07-19,12.73,12.90,12.71,12.83,3721600,12.71
2013-07-18,12.74,12.83,12.72,12.75,3592700,12.63
2013-07-17,12.86,12.90,12.67,12.74,3123800,12.62
2013-07-16,12.84,12.89,12.72,12.77,3469600,12.65
2013-07-15,12.60,12.90,12.58,12.87,3748400,12.75
2013-07-12,12.50,12.62,12.45,12.60,3330800,12.48
2013-07-11,12.41,12.54,12.39,12.53,4191200,12.41
2013-07-10,12.01,12.28,11.98,12.26,6342200,12.14
2013-07-09,11.98,12.11,11.97,12.03,5249200,11.91
2013-07-08,11.89,12.01,11.88,11.92,4803900,11.81
2013-07-05,11.87,11.91,11.72,11.86,3694300,11.75
2013-07-03,11.70,11.97,11.62,11.83,2864900,11.72
2013-07-02,11.90,12.04,11.77,11.81,5972000,11.70
2013-07-01,12.11,12.11,11.85,11.90,5311800,11.79
2013-06-28,11.98,12.11,11.87,11.99,7134900,11.87
2013-06-27,11.97,12.10,11.90,11.96,7370700,11.84
2013-06-26,11.75,11.97,11.71,11.91,5247600,11.80
2013-06-25,11.51,11.78,11.40,11.67,6100000,11.56
2013-06-24,11.38,11.59,11.24,11.41,5858200,11.30
2013-06-21,11.51,11.61,11.17,11.48,7723500,11.37
2013-06-20,11.63,11.74,11.38,11.43,7258000,11.32
2013-06-19,12.13,12.17,11.68,11.68,7135400,11.57
2013-06-18,12.28,12.30,12.14,12.17,7075900,12.05
2013-06-17,12.42,12.48,12.18,12.25,4514300,12.13
2013-06-14,12.41,12.50,12.29,12.36,2304400,12.24
2013-06-13,12.17,12.41,12.12,12.39,3163100,12.27
2013-06-12,12.40,12.43,12.10,12.18,3640800,12.06
2013-06-11,12.16,12.39,12.06,12.31,4736500,12.19
2013-06-10,12.51,12.55,12.24,12.26,3919100,12.14
2013-06-07,12.32,12.61,12.28,12.51,4139200,12.39
2013-06-06,12.06,12.33,12.02,12.28,5945900,12.16
2013-06-05,12.21,12.25,12.02,12.07,4877000,11.95
2013-06-04,12.31,12.38,12.18,12.28,6288900,12.16
2013-06-03,12.21,12.39,12.04,12.29,7857800,12.17
2013-05-31,12.28,12.51,12.20,12.20,5623100,12.08
2013-05-30,12.40,12.66,12.30,12.31,4496400,12.19
2013-05-29,12.33,12.43,12.07,12.37,6643300,12.25
2013-05-28,12.75,12.77,12.27,12.42,7682500,12.30
2013-05-24,12.80,12.83,12.60,12.66,2892400,12.54
2013-05-23,12.75,12.98,12.55,12.90,5943900,12.78
2013-05-22,13.01,13.24,12.75,12.84,7910800,12.72
2013-05-21,12.93,13.05,12.84,13.00,8428200,12.87
2013-05-20,12.98,13.02,12.85,12.93,4060700,12.81
2013-05-17,12.88,13.00,12.86,12.99,4908300,12.86
2013-05-16,13.01,13.06,12.78,12.86,8298400,12.74
2013-05-15,13.14,13.27,12.98,13.08,10861600,12.95
2013-05-14,13.02,13.28,12.98,13.13,5578600,13.00
2013-05-13,13.24,13.24,12.96,13.01,5855100,12.88
2013-05-10,13.00,13.32,12.72,13.31,12089500,13.18
2013-05-09,13.79,13.80,13.18,13.22,7820500,13.09
2013-05-08,13.92,14.00,13.78,13.90,4829200,13.77
2013-05-07,13.83,13.98,13.76,13.96,5013500,13.83
2013-05-06,13.81,13.86,13.70,13.83,2747200,13.70
2013-05-03,13.91,13.98,13.79,13.82,4678400,13.69
2013-05-02,13.86,13.88,13.70,13.83,3763500,13.70
