Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,66.87,67.01,66.58,66.80,1210100,66.40
2013-12-30,67.25,67.62,66.65,66.69,1950600,66.29
2013-12-27,67.15,67.38,66.87,67.25,990300,66.85
2013-12-26,66.41,67.43,66.32,67.11,1313400,66.71
2013-12-24,66.23,66.54,66.15,66.48,884100,66.09
2013-12-23,66.09,66.60,65.99,66.35,2238300,65.96
2013-12-20,65.92,66.50,65.55,65.65,4240400,65.26
2013-12-19,66.24,66.40,65.90,66.00,2466100,65.61
2013-12-18,66.27,66.68,65.47,66.59,3184700,66.20
2013-12-17,66.37,66.44,65.87,66.01,1446700,65.62
2013-12-16,66.18,66.62,65.97,66.36,1451900,65.97
2013-12-13,65.92,66.25,65.61,65.96,1316300,65.57
2013-12-12,65.82,65.99,65.54,65.64,2286000,65.25
2013-12-11,66.25,66.25,65.59,65.72,1913700,65.33
2013-12-10,66.22,66.39,66.00,66.27,1694000,65.88
2013-12-09,66.58,66.81,66.24,66.45,1692400,66.06
2013-12-06,66.42,66.73,66.11,66.64,1460100,66.24
2013-12-05,65.45,66.35,65.35,65.70,1938900,65.31
2013-12-04,65.52,66.14,65.22,65.71,1674600,65.32
2013-12-03,66.02,66.31,65.13,65.54,2298000,65.15
2013-12-02,66.35,67.23,66.11,66.25,1886400,65.86
2013-11-29,66.56,66.96,66.35,66.37,941000,65.98
2013-11-27,66.67,66.70,66.26,66.44,1170100,66.05
2013-11-26,66.25,66.78,66.25,66.44,1612400,66.05
2013-11-25,66.50,66.81,66.11,66.22,1091500,65.83
2013-11-22,66.23,66.69,66.19,66.57,1379400,66.18
2013-11-21,66.22,66.79,66.08,66.54,1922700,66.15
2013-11-20,66.34,66.58,66.03,66.21,1378400,65.82
2013-11-19,66.90,67.01,66.22,66.28,1649000,65.89
2013-11-18,67.19,67.47,66.77,66.90,2248600,66.50
2013-11-15,67.20,67.52,66.42,67.48,2768800,66.71
2013-11-14,66.28,67.50,66.20,67.47,2148800,66.70
2013-11-13,65.39,66.27,65.24,66.27,2086400,65.52
2013-11-12,65.40,65.79,64.99,65.25,1709400,64.51
2013-11-11,65.57,65.99,65.50,65.68,1396000,64.93
2013-11-08,64.44,65.82,64.37,65.75,2731000,65.00
2013-11-07,64.92,65.58,64.22,64.26,2229000,63.53
2013-11-06,64.58,65.04,64.48,64.82,1797700,64.08
2013-11-05,65.00,65.06,64.38,64.45,2310900,63.72
2013-11-04,65.01,65.15,64.49,65.06,2504900,64.32
2013-11-01,65.17,65.45,64.90,65.10,2028800,64.36
2013-10-31,64.77,65.33,64.65,64.98,3363800,64.24
2013-10-30,64.68,65.78,64.01,65.02,6336700,64.28
2013-10-29,66.68,67.00,66.51,67.00,1910700,66.24
2013-10-28,66.24,66.79,65.98,66.47,1634200,65.71
2013-10-25,66.10,66.33,65.85,66.30,1710600,65.55
2013-10-24,65.85,66.18,65.31,66.14,1305200,65.39
2013-10-23,65.95,66.01,65.13,65.61,1257200,64.86
2013-10-22,65.78,66.51,65.76,66.06,1711900,65.31
2013-10-21,65.46,65.87,65.06,65.50,2044100,64.75
2013-10-18,66.15,66.15,64.95,65.78,3546300,65.03
2013-10-17,65.48,66.18,65.32,66.11,1598900,65.36
2013-10-16,64.79,65.73,64.59,65.64,2453300,64.89
2013-10-15,64.21,64.78,64.10,64.33,1861300,63.60
2013-10-14,64.05,64.65,63.61,64.49,1131500,63.76
2013-10-11,63.63,64.50,63.46,64.48,1767700,63.75
2013-10-10,63.04,63.65,62.96,63.61,1601400,62.89
2013-10-09,62.27,62.54,61.96,62.28,1445300,61.57
2013-10-08,62.84,63.12,62.11,62.15,1848800,61.44
2013-10-07,63.17,63.48,62.92,62.92,1204700,62.20
2013-10-04,62.82,63.94,62.78,63.73,1574600,63.00
2013-10-03,62.91,63.19,62.18,62.91,1723300,62.19
2013-10-02,62.99,63.21,62.53,63.21,2030600,62.49
2013-10-01,62.61,63.43,62.60,63.42,2168200,62.70
2013-09-30,61.52,62.21,61.29,61.99,2110000,61.28
