Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,51.21,51.34,50.91,51.05,4956300,50.93
2013-12-30,51.10,51.31,51.02,51.11,4159600,50.99
2013-12-27,50.99,51.33,50.90,51.18,4297500,51.06
2013-12-26,51.30,51.38,50.93,51.00,4185100,50.88
2013-12-24,51.23,51.31,50.98,51.28,2338000,51.15
2013-12-23,51.42,51.47,51.08,51.24,5408800,51.12
2013-12-20,50.33,51.11,50.26,51.03,10954900,50.91
2013-12-19,50.00,50.62,49.86,50.36,9069900,50.24
2013-12-18,49.33,50.27,49.00,50.25,15302100,50.13
2013-12-17,50.03,50.10,49.24,49.36,14939500,49.24
2013-12-16,50.86,51.05,50.17,50.28,15584100,50.16
2013-12-13,49.44,49.96,49.19,49.73,8262500,49.61
2013-12-12,48.56,49.97,48.42,49.42,14566800,49.30
2013-12-11,49.14,49.26,48.59,48.70,8684900,48.58
2013-12-10,49.46,49.72,49.18,49.30,9262500,49.18
2013-12-09,49.69,50.21,49.45,49.56,6949400,49.44
2013-12-06,48.74,49.71,48.61,49.55,9826800,49.43
2013-12-05,48.70,48.84,48.03,48.19,9131500,48.07
2013-12-04,48.45,49.22,48.30,48.94,8267000,48.82
2013-12-03,49.43,49.55,48.47,48.65,12229800,48.53
2013-12-02,49.77,50.25,49.61,49.71,8425600,49.49
2013-11-29,49.74,50.15,49.54,49.75,4413400,49.53
2013-11-27,49.39,49.71,49.11,49.65,6177500,49.43
2013-11-26,50.02,50.05,49.35,49.39,6384300,49.17
2013-11-25,49.59,50.40,49.56,49.80,8023700,49.58
2013-11-22,48.97,49.67,48.92,49.59,9173300,49.37
2013-11-21,48.47,49.11,48.45,48.92,9811700,48.70
2013-11-20,48.87,48.90,48.03,48.26,10474100,48.05
2013-11-19,48.81,49.13,48.51,48.78,7254200,48.56
2013-11-18,49.47,49.52,48.80,48.96,7130900,48.74
2013-11-15,49.20,49.59,49.01,49.30,10091900,49.08
2013-11-14,48.74,49.33,48.40,49.31,10289700,49.09
2013-11-13,48.13,48.66,47.90,48.58,12084300,48.36
2013-11-12,48.71,48.96,48.01,48.19,10822200,47.98
2013-11-11,48.46,49.06,48.39,48.84,7471400,48.62
2013-11-08,47.59,48.94,47.50,48.54,15671400,48.32
2013-11-07,47.70,48.14,47.11,47.30,17749200,47.09
2013-11-06,48.50,48.58,47.48,47.59,19388800,47.38
2013-11-05,49.01,49.10,48.27,48.29,13164900,48.08
2013-11-04,48.47,49.17,48.36,49.08,18396900,48.86
2013-11-01,48.67,49.10,48.02,48.28,51746100,48.07
2013-10-31,51.92,52.10,51.43,51.65,12978600,51.42
2013-10-30,52.42,52.50,51.50,51.97,7883000,51.74
2013-10-29,51.59,52.28,51.43,52.25,8085500,52.02
2013-10-28,51.83,51.92,51.22,51.43,6891300,51.20
2013-10-25,51.89,52.27,51.65,51.85,5735200,51.62
2013-10-24,51.99,52.15,51.34,51.80,7613100,51.57
2013-10-23,52.14,52.22,51.46,51.86,6277100,51.63
2013-10-22,52.28,53.33,52.15,52.29,10496900,52.06
2013-10-21,52.48,52.76,51.91,52.00,7282100,51.77
2013-10-18,52.18,52.40,51.71,52.30,8125500,52.07
2013-10-17,51.14,51.90,50.97,51.85,6922200,51.62
2013-10-16,50.34,51.48,50.27,51.26,9334500,51.03
2013-10-15,50.18,50.56,49.90,50.02,7396400,49.80
2013-10-14,49.63,50.33,49.57,50.23,6925700,50.01
2013-10-11,49.67,50.00,49.43,50.00,6766100,49.78
2013-10-10,48.29,49.62,48.24,49.58,11424100,49.36
2013-10-09,47.68,48.07,47.18,47.73,10523200,47.52
2013-10-08,48.80,49.06,47.67,47.70,8813500,47.49
2013-10-07,49.04,49.12,48.72,48.73,5298400,48.51
2013-10-04,48.87,49.55,48.71,49.53,5700000,49.31
2013-10-03,49.06,49.48,48.34,48.85,7884300,48.63
2013-10-02,48.87,49.22,48.59,49.22,6839200,49.00
2013-10-01,48.52,49.32,48.51,49.10,6652100,48.88
2013-09-30,48.61,49.12,48.32,48.63,7642600,48.41
2013-09-27,49.18,49.38,48.95,49.15,6019700,48.93
2013-09-26,49.69,49.80,49.20,49.45,5690700,49.23
2013-09-25,49.35,49.66,49.02,49.54,9457000,49.32
2013-09-24,49.14,49.93,49.09,49.24,6304300,49.02
2013-09-23,49.60,49.68,48.92,49.16,10175300,48.94
2013-09-20,49.97,50.35,49.69,49.95,10201800,49.73
2013-09-19,50.79,50.82,49.81,49.86,11023500,49.64
2013-09-18,50.29,50.99,50.17,50.57,9975500,50.35
2013-09-17,49.67,50.50,49.33,50.46,8993800,50.24
2013-09-16,50.16,50.24,49.63,49.69,8848900,49.47
2013-09-13,49.38,49.77,49.14,49.70,8199000,49.48
2013-09-12,49.90,49.93,49.15,49.28,7342400,49.06
2013-09-11,49.41,49.75,48.94,49.75,7975100,49.53
2013-09-10,49.55,49.76,49.18,49.42,9210400,49.20
2013-09-09,48.36,49.19,48.35,49.19,10510000,48.87
2013-09-06,48.90,48.91,48.10,48.18,9875400,47.87
2013-09-05,48.44,48.94,48.30,48.67,9852100,48.36
2013-09-04,47.61,48.56,47.54,48.29,9894600,47.98
2013-09-03,47.10,48.15,47.04,47.67,12953200,47.36
2013-08-30,46.64,46.71,46.19,46.46,6442200,46.16
2013-08-29,46.31,47.15,46.17,46.58,7150000,46.28
2013-08-28,46.12,46.88,45.94,46.41,7172300,46.11
2013-08-27,46.69,46.78,46.11,46.16,10262900,45.86
