Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,26.09,26.22,25.85,25.91,870700,25.69
2013-12-30,26.07,26.18,25.98,26.12,511400,25.89
2013-12-27,25.89,26.08,25.66,26.06,1012100,25.84
2013-12-26,25.87,26.16,25.64,25.91,529700,25.69
2013-12-24,25.74,25.91,25.69,25.87,274800,25.65
2013-12-23,25.97,26.01,25.74,25.77,668000,25.55
2013-12-20,25.71,25.92,25.34,25.89,1721600,25.67
2013-12-19,26.01,26.01,25.07,25.70,1237400,25.48
2013-12-18,25.75,26.11,25.24,26.06,2253800,25.84
2013-12-17,25.73,25.86,25.55,25.79,1288000,25.57
2013-12-16,25.75,25.77,25.50,25.72,1147600,25.50
2013-12-13,25.57,25.84,25.42,25.67,1331000,25.45
2013-12-12,25.45,25.83,25.24,25.45,1542200,25.23
2013-12-11,26.07,26.18,25.45,25.52,1393400,25.30
2013-12-10,26.02,26.38,25.92,26.08,942500,25.86
2013-12-09,25.79,26.08,25.73,26.04,1011400,25.82
2013-12-06,25.93,26.11,25.74,25.85,1090900,25.63
2013-12-05,25.83,25.84,25.46,25.76,1516100,25.54
2013-12-04,24.88,26.30,24.80,25.83,3573600,25.61
2013-12-03,24.97,25.14,24.78,25.00,942800,24.78
2013-12-02,25.01,25.26,24.91,25.00,1076600,24.78
2013-11-29,25.46,25.46,24.97,25.11,654300,24.89
2013-11-27,25.18,25.44,25.13,25.33,1055800,25.11
2013-11-26,25.61,25.62,25.10,25.16,1221400,24.94
2013-11-25,25.64,25.67,25.37,25.54,770100,25.32
2013-11-22,25.76,25.84,25.44,25.60,605800,25.38
2013-11-21,25.59,25.74,25.46,25.72,602800,25.50
2013-11-20,25.83,26.16,25.39,25.50,1071300,25.28
2013-11-19,25.91,26.06,25.68,25.84,883800,25.62
2013-11-18,26.19,26.38,25.88,25.90,833700,25.68
2013-11-15,26.30,26.49,26.13,26.24,831100,26.01
2013-11-14,26.50,26.79,26.28,26.29,750600,26.06
2013-11-13,26.14,26.46,26.06,26.43,845800,26.20
2013-11-12,26.34,26.50,26.15,26.40,966800,25.93
2013-11-11,26.59,26.64,26.36,26.48,568400,26.01
2013-11-08,26.44,26.59,25.92,26.50,1373600,26.03
2013-11-07,27.26,27.50,26.57,26.58,2307300,26.11
2013-11-06,27.65,27.74,27.47,27.52,764100,27.03
2013-11-05,27.70,27.77,27.45,27.54,1251100,27.05
