Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,54.32,54.60,54.20,54.54,1562200,54.26
2013-12-30,53.68,54.33,53.64,54.23,2375700,53.95
2013-12-27,53.79,53.95,53.46,53.65,1886300,53.37
2013-12-26,54.03,54.07,53.66,53.77,1297100,53.49
2013-12-24,53.69,53.97,53.64,53.97,692600,53.69
2013-12-23,54.00,54.07,53.61,53.70,1816900,53.42
2013-12-20,53.08,54.05,53.08,53.77,5598000,53.49
2013-12-19,52.45,53.33,52.33,53.25,3017300,52.97
2013-12-18,52.50,52.75,51.75,52.74,3144900,52.47
2013-12-17,52.70,52.75,52.00,52.18,2275000,51.91
2013-12-16,53.19,53.22,52.67,52.83,1895900,52.56
2013-12-13,52.91,53.28,52.73,52.81,1535500,52.54
2013-12-12,52.96,53.19,52.76,52.79,2065600,52.52
2013-12-11,53.78,53.98,52.97,53.07,2740700,52.79
2013-12-10,53.91,54.21,53.78,53.78,1371700,53.50
2013-12-09,54.05,54.45,54.05,54.11,1586600,53.83
2013-12-06,53.98,54.46,53.95,54.32,2106100,54.04
2013-12-05,53.46,53.71,53.17,53.40,2607900,53.12
2013-12-04,53.29,53.82,53.03,53.57,2502100,53.29
2013-12-03,53.66,53.91,53.25,53.51,2549200,53.23
2013-12-02,54.28,54.35,53.82,53.91,1793300,53.63
2013-11-29,54.61,54.71,54.19,54.27,1163300,53.99
2013-11-27,54.55,54.84,54.26,54.38,1769000,54.10
2013-11-26,54.43,54.79,54.31,54.49,1778000,54.21
2013-11-25,54.75,54.80,54.50,54.55,1560700,54.02
2013-11-22,54.34,54.75,54.18,54.71,1689100,54.18
2013-11-21,53.88,54.48,53.81,54.32,2191700,53.79
2013-11-20,54.07,54.15,53.58,53.67,1418800,53.15
2013-11-19,54.21,54.37,53.87,54.03,1295400,53.50
2013-11-18,54.70,54.71,54.14,54.24,2047200,53.71
2013-11-15,54.34,54.71,54.21,54.70,1777100,54.17
2013-11-14,54.00,54.50,53.81,54.47,1713600,53.94
2013-11-13,53.18,53.95,53.13,53.95,2094200,53.42
2013-11-12,53.93,54.03,53.24,53.38,2005100,52.86
2013-11-11,54.07,54.26,53.85,54.16,1476100,53.63
2013-11-08,52.98,54.16,52.96,54.12,2362600,53.59
2013-11-07,53.68,53.85,52.93,52.94,2233500,52.42
2013-11-06,53.22,53.65,53.09,53.62,1715900,53.10
2013-11-05,53.06,53.30,52.78,52.99,1593200,52.47
2013-11-04,53.50,53.67,53.11,53.18,1791000,52.66
2013-11-01,53.31,53.41,52.76,53.28,3130800,52.76
2013-10-31,52.43,53.56,52.29,53.06,4230500,52.54
2013-10-30,53.28,53.56,52.52,52.96,3133100,52.44
2013-10-29,53.52,53.58,53.18,53.36,2098900,52.84
2013-10-28,53.26,53.43,53.05,53.16,2127100,52.64
2013-10-25,53.54,53.72,53.20,53.35,1740900,52.83
2013-10-24,53.16,53.56,53.14,53.55,2721500,53.03
2013-10-23,53.62,53.69,52.77,53.08,3200200,52.56
2013-10-22,54.10,54.57,53.65,53.77,2902900,53.25
2013-10-21,53.97,54.18,53.47,53.82,2053800,53.29
2013-10-18,54.10,54.14,53.66,53.87,2011100,53.34
2013-10-17,53.39,54.00,53.38,53.95,1754000,53.42
2013-10-16,52.76,53.90,52.73,53.64,3512400,53.12
2013-10-15,52.53,52.90,52.28,52.41,1852900,51.90
2013-10-14,52.30,52.92,52.23,52.82,2162300,52.30
2013-10-11,51.93,52.52,51.80,52.52,1855500,52.01
2013-10-10,51.55,52.02,51.55,51.98,2275100,51.47
2013-10-09,50.61,51.14,50.21,50.94,3532500,50.44
2013-10-08,51.45,51.69,50.47,50.49,3516800,50.00
2013-10-07,51.86,51.91,51.49,51.50,3100800,51.00
2013-10-04,50.92,52.37,50.75,52.35,5002800,51.84
2013-10-03,50.84,50.98,50.24,50.89,4243900,50.39
2013-10-02,51.13,51.19,50.66,51.19,3011100,50.69
2013-10-01,50.67,50.85,50.47,50.73,2837700,50.23
2013-09-30,50.77,50.96,50.45,50.55,3399600,50.06
2013-09-27,51.23,51.45,50.97,51.07,2622000,50.57
2013-09-26,51.53,51.92,51.26,51.35,2331800,50.85
2013-09-25,51.76,52.12,51.59,51.61,3111700,51.11
2013-09-24,52.05,52.23,51.72,51.75,2623300,51.24
2013-09-23,51.78,52.49,51.60,52.16,4580900,51.65
2013-09-20,52.82,52.98,51.95,52.00,5117700,51.49
2013-09-19,52.00,52.80,51.97,52.62,4229200,52.11
2013-09-18,51.22,51.90,50.98,51.82,3774300,51.31
2013-09-17,50.78,51.45,50.73,51.19,2539700,50.69
2013-09-16,50.46,50.78,50.39,50.51,1772500,50.02
2013-09-13,50.45,50.51,50.01,50.06,1817200,49.57
2013-09-12,50.60,50.72,50.08,50.12,2606900,49.63
2013-09-11,49.39,50.19,49.37,50.11,3160300,49.62
2013-09-10,49.57,49.69,48.95,49.44,3397100,48.96
2013-09-09,48.45,49.23,48.45,49.18,2501200,48.70
2013-09-06,48.64,48.79,47.83,48.40,2940700,47.93
2013-09-05,48.29,48.65,48.23,48.48,2548700,48.01
2013-09-04,48.42,48.70,48.10,48.24,2928500,47.77
2013-09-03,48.92,49.08,48.16,48.46,2883600,47.99
2013-08-30,48.16,48.33,47.75,47.92,2864200,47.45
2013-08-29,47.74,48.22,47.66,48.07,2033900,47.60
2013-08-28,47.54,47.98,47.32,47.75,2256800,47.28
2013-08-27,48.28,48.45,47.80,47.82,2491000,47.11
2013-08-26,49.18,49.19,48.71,48.75,2341600,48.02
2013-08-23,49.31,49.39,48.97,49.27,1504700,48.53
2013-08-22,48.81,49.54,48.80,49.40,1431400,48.66
2013-08-21,48.86,49.29,48.61,48.82,2503000,48.09
2013-08-20,48.99,49.33,48.82,49.04,2346200,48.31
2013-08-19,49.28,49.32,48.94,48.94,2137300,48.21
2013-08-16,49.16,49.75,49.07,49.39,4463800,48.65
2013-08-15,49.67,50.12,49.20,49.36,2454400,48.62
2013-08-14,50.71,50.71,50.14,50.22,1929700,49.47
2013-08-13,50.29,50.76,50.04,50.48,1718000,49.73
2013-08-12,50.38,50.73,50.16,50.26,2779500,49.51
2013-08-09,50.38,50.92,50.34,50.66,2094500,49.90
2013-08-08,50.41,50.94,50.26,50.39,3445600,49.64
2013-08-07,50.50,50.61,50.14,50.17,4881300,49.42
2013-08-06,51.20,51.23,50.46,50.70,3984100,49.94
2013-08-05,51.83,51.83,51.11,51.29,2933900,50.52
2013-08-02,52.09,52.30,51.77,52.15,2910000,51.37
2013-08-01,51.93,52.61,51.75,52.22,3829400,51.44
2013-07-31,50.83,51.50,50.75,50.98,2942500,50.22
2013-07-30,51.50,51.50,50.86,50.91,2433800,50.15
2013-07-29,51.57,51.57,51.21,51.35,1762500,50.58
2013-07-26,50.99,51.55,50.97,51.52,2068800,50.75
2013-07-25,51.13,51.28,50.61,51.22,2933900,50.45
2013-07-24,52.14,52.37,50.72,50.99,3555800,50.23
2013-07-23,52.36,52.38,51.77,52.08,2525400,51.30
2013-07-22,52.08,52.45,51.93,52.41,1389700,51.63
2013-07-19,52.09,52.18,51.63,52.10,1937000,51.32
2013-07-18,51.31,52.38,51.25,52.08,3134800,51.30
2013-07-17,51.20,51.39,50.94,51.03,2239400,50.27
2013-07-16,51.19,51.57,50.89,51.00,1732700,50.24
2013-07-15,51.21,51.28,50.65,51.20,2966700,50.44
2013-07-12,50.43,51.11,50.41,51.11,1903100,50.35
2013-07-11,50.76,50.85,50.27,50.38,2735600,49.63
2013-07-10,50.54,50.57,49.87,50.30,2928000,49.55
2013-07-09,50.31,50.65,50.09,50.55,3136700,49.80
2013-07-08,49.32,50.34,49.32,50.07,4121800,49.32
2013-07-05,48.71,49.15,48.62,49.13,1754700,48.40
2013-07-03,48.30,48.64,48.04,48.47,1103600,47.75
2013-07-02,48.68,49.21,48.38,48.52,2590000,47.80
2013-07-01,48.30,49.02,48.28,48.69,2751400,47.96
2013-06-28,48.30,48.57,48.10,48.12,3726300,47.40
2013-06-27,48.06,48.42,48.00,48.30,2486200,47.58
2013-06-26,47.11,47.90,46.96,47.76,4191400,47.05
2013-06-25,46.87,47.20,46.78,46.88,3358200,46.18
2013-06-24,46.68,47.02,46.29,46.60,4401300,45.90
2013-06-21,46.95,47.43,46.50,47.23,7306500,46.52
2013-06-20,46.74,47.99,46.47,46.57,5456300,45.87
2013-06-19,47.61,47.92,47.04,47.05,3277300,46.35
2013-06-18,47.64,47.73,47.27,47.67,2060900,46.96
2013-06-17,47.09,47.66,47.05,47.42,2192600,46.71
2013-06-14,47.42,47.55,46.77,46.87,2723400,46.17
2013-06-13,46.97,47.52,46.53,47.41,3063800,46.70
2013-06-12,47.51,47.60,46.97,47.02,4353000,46.32
2013-06-11,46.96,47.56,46.63,47.25,4054100,46.54
2013-06-10,47.51,47.74,47.14,47.30,3518800,46.59
2013-06-07,46.81,47.52,46.63,47.46,3965000,46.75
2013-06-06,45.84,46.49,45.60,46.49,4163900,45.80
2013-06-05,46.45,46.65,45.83,45.86,4327700,45.18
2013-06-04,47.39,47.66,46.45,46.68,4947600,45.98
2013-06-03,48.24,48.37,47.11,47.47,5572300,46.76
2013-05-31,48.66,49.00,48.24,48.24,3024300,47.52
2013-05-30,48.69,49.05,48.59,48.83,3215900,48.10
2013-05-29,48.25,48.83,48.10,48.55,3198200,47.82
2013-05-28,49.15,49.49,48.55,48.82,3294900,47.84
2013-05-24,48.56,48.84,48.03,48.73,3131600,47.76
2013-05-23,48.41,49.01,48.26,48.76,3869000,47.79
2013-05-22,48.99,49.88,48.54,48.79,4997300,47.82
2013-05-21,49.48,49.55,48.53,49.08,5987200,48.10
2013-05-20,49.99,50.18,49.72,49.80,3028200,48.80
2013-05-17,50.19,50.27,49.76,50.00,4360500,49.00
2013-05-16,50.36,50.53,50.03,50.16,2849100,49.16
2013-05-15,50.33,50.69,50.12,50.66,3399900,49.65
2013-05-14,49.38,50.38,49.36,50.36,3931400,49.35
2013-05-13,49.22,49.50,49.12,49.40,1794800,48.41
2013-05-10,49.50,49.64,49.17,49.39,2965200,48.40
2013-05-09,49.62,49.69,49.27,49.43,3222900,48.44
2013-05-08,49.26,49.70,49.18,49.69,3377400,48.70
2013-05-07,49.13,49.37,49.07,49.31,3156200,48.32
2013-05-06,48.57,49.20,48.55,49.10,2760300,48.12
2013-05-03,49.23,49.42,48.55,48.69,4783000,47.72
2013-05-02,48.56,48.81,48.08,48.25,5378400,47.29
2013-05-01,49.28,49.54,48.38,48.40,4699000,47.43
2013-04-30,49.27,49.48,49.05,49.26,3147400,48.28
2013-04-29,49.30,49.50,49.06,49.25,2723800,48.27
2013-04-26,49.56,49.77,49.09,49.09,3672300,48.11
2013-04-25,49.86,49.97,49.30,49.53,3851800,48.54
2013-04-24,49.65,49.89,49.56,49.70,3034200,48.71
2013-04-23,49.39,49.98,49.36,49.80,3809600,48.80
2013-04-22,48.96,49.16,48.50,49.01,1692000,48.03
2013-04-19,48.64,49.02,48.54,48.97,2276900,47.99
2013-04-18,48.86,49.00,48.22,48.44,4683400,47.47
2013-04-17,49.31,49.36,48.72,49.07,3589700,48.09
2013-04-16,49.34,49.55,49.17,49.50,2668100,48.51
2013-04-15,50.17,50.24,49.09,49.09,3385000,48.11
2013-04-12,50.07,50.56,50.02,50.35,2675600,49.34
2013-04-11,49.89,50.43,49.77,50.28,3474700,49.28
2013-04-10,49.86,50.04,49.57,49.73,3700400,48.74
2013-04-09,50.20,50.39,49.65,49.73,3739200,48.74
2013-04-08,49.24,50.16,49.24,50.11,4154500,49.11
2013-04-05,49.03,49.50,48.78,49.32,3763500,48.33
2013-04-04,49.53,49.85,49.26,49.51,2560800,48.52
2013-04-03,49.95,49.95,49.25,49.38,3178700,48.39
2013-04-02,49.52,49.92,49.42,49.81,2885300,48.81
2013-04-01,49.17,49.64,49.09,49.28,2879600,48.30
2013-03-28,48.75,49.13,48.73,49.07,2464600,48.09
2013-03-27,48.38,48.75,48.31,48.67,1831700,47.70
2013-03-26,48.57,48.90,48.47,48.65,2308300,47.68
2013-03-25,48.92,49.00,48.33,48.48,4346300,47.51
2013-03-22,48.03,48.26,47.79,48.22,2147800,47.26
2013-03-21,47.81,48.13,47.66,47.80,2145300,46.84
2013-03-20,47.95,48.13,47.84,47.93,3033400,46.97
2013-03-19,48.01,48.19,47.51,47.64,3427700,46.69
2013-03-18,47.36,48.23,47.19,47.86,3312600,46.90
2013-03-15,48.00,48.30,47.89,47.98,4523800,47.02
2013-03-14,47.99,48.28,47.83,48.20,2623000,47.24
2013-03-13,47.75,47.98,47.73,47.93,2361300,46.97
2013-03-12,47.74,47.88,47.55,47.71,2453700,46.76
2013-03-11,47.39,47.76,47.26,47.75,2619200,46.80
