Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,133.06,133.48,131.22,132.88,455600,132.88
2013-12-30,131.72,133.04,130.15,132.70,685100,132.70
2013-12-27,133.47,133.47,131.01,131.57,652700,131.57
2013-12-26,132.00,133.75,130.01,132.91,531000,132.91
2013-12-24,130.81,131.99,129.47,131.06,319800,131.06
2013-12-23,131.38,132.44,130.12,130.90,901500,130.90
2013-12-20,131.48,131.68,128.52,130.64,2245600,130.64
2013-12-19,129.24,131.11,126.08,130.75,1523200,130.75
2013-12-18,123.51,128.90,122.69,128.65,1986900,128.65
2013-12-17,123.31,124.12,121.44,123.06,1342000,123.06
2013-12-16,124.14,125.38,122.02,123.78,990400,123.78
2013-12-13,124.33,124.62,122.10,123.69,1341800,123.69
2013-12-12,120.99,123.42,120.87,122.35,1039000,122.35
2013-12-11,124.55,125.48,121.37,121.60,1208100,121.60
2013-12-10,125.70,126.84,123.31,125.25,1128800,125.25
2013-12-09,127.14,128.09,125.24,125.84,1598400,125.84
2013-12-06,124.10,129.22,122.23,125.45,1022400,125.45
2013-12-05,122.19,123.08,121.07,122.17,831200,122.17
2013-12-04,121.04,123.18,120.14,122.65,875100,122.65
2013-12-03,122.42,122.82,120.87,122.16,839000,122.16
2013-12-02,124.58,124.80,122.22,123.80,740100,123.80
2013-11-29,121.67,124.80,121.12,124.50,622400,124.50
2013-11-27,122.99,123.20,120.20,121.24,484400,121.24
2013-11-26,122.26,122.87,120.22,121.90,639400,121.90
2013-11-25,123.66,123.93,121.35,122.17,696500,122.17
2013-11-22,121.97,123.29,120.43,122.79,1013700,122.79
2013-11-21,119.69,122.04,119.69,121.30,708800,121.30
2013-11-20,118.99,121.68,117.74,119.06,779600,119.06
2013-11-19,120.36,121.14,117.33,118.45,885500,118.45
2013-11-18,124.52,124.69,120.38,120.97,861900,120.97
2013-11-15,119.85,124.08,118.49,124.07,1768100,124.07
2013-11-14,116.94,120.11,116.35,119.97,1222300,119.97
2013-11-13,115.45,116.65,114.00,116.60,815900,116.60
2013-11-12,115.54,116.26,113.14,115.72,974300,115.72
2013-11-11,118.20,118.40,114.62,116.17,871800,116.17
2013-11-08,114.54,118.56,114.54,117.43,1054000,117.43
