Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,17.53,17.70,17.43,17.68,5533900,17.59
2013-12-30,17.43,17.55,17.40,17.49,3601800,17.40
2013-12-27,17.52,17.52,17.36,17.43,3655700,17.34
2013-12-26,17.41,17.48,17.38,17.44,3836300,17.35
2013-12-24,17.43,17.54,17.39,17.39,4504900,17.30
2013-12-23,17.25,17.53,17.25,17.51,10214000,17.42
2013-12-20,16.83,17.26,16.83,17.19,17970700,17.10
2013-12-19,16.94,17.03,16.79,16.88,9392500,16.79
2013-12-18,16.83,17.07,16.69,17.03,11832300,16.94
2013-12-17,16.63,16.91,16.62,16.80,8851700,16.71
2013-12-16,16.80,16.81,16.64,16.66,11428800,16.57
2013-12-13,16.86,16.87,16.63,16.70,9167100,16.61
2013-12-12,16.83,16.85,16.69,16.72,9532700,16.63
2013-12-11,16.91,17.02,16.81,16.83,10718900,16.74
2013-12-10,16.80,16.91,16.61,16.83,14962400,16.74
2013-12-09,16.81,17.02,16.60,16.83,15108500,16.74
2013-12-06,16.66,16.84,16.61,16.83,11892500,16.74
2013-12-05,16.63,16.82,16.41,16.50,14029600,16.41
2013-12-04,17.11,17.11,16.46,16.61,24734900,16.52
2013-12-03,17.03,17.19,16.81,17.12,11605000,17.03
2013-12-02,17.27,17.27,17.10,17.11,7517600,17.02
2013-11-29,17.40,17.45,17.28,17.30,3493600,17.21
2013-11-27,17.49,17.51,17.27,17.35,9707000,17.26
2013-11-26,17.26,17.63,17.17,17.52,12534300,17.43
2013-11-25,17.30,17.31,17.16,17.27,5810100,17.18
2013-11-22,17.27,17.27,17.08,17.25,6782100,17.16
2013-11-21,16.88,17.30,16.82,17.27,13571500,17.18
2013-11-20,16.83,16.97,16.75,16.83,10679700,16.74
2013-11-19,16.86,17.01,16.76,16.82,9281500,16.73
2013-11-18,17.38,17.52,16.89,16.94,15640500,16.75
2013-11-15,17.70,17.74,17.11,17.52,14485600,17.32
2013-11-14,17.86,17.87,17.50,17.56,12172700,17.36
2013-11-13,17.53,17.67,17.40,17.67,11174500,17.47
2013-11-12,17.71,17.76,17.57,17.64,7535700,17.44
2013-11-11,17.75,17.99,17.64,17.80,9599800,17.60
2013-11-08,17.45,17.80,17.27,17.75,12424600,17.55
2013-11-07,17.89,17.93,17.33,17.36,11617200,17.17
2013-11-06,17.85,17.94,17.60,17.92,7458500,17.72
2013-11-05,17.60,17.90,17.44,17.77,11222700,17.57
2013-11-04,17.78,17.80,17.61,17.75,7987800,17.55
2013-11-01,17.85,17.85,17.59,17.70,9637700,17.50
2013-10-31,17.82,18.05,17.81,17.86,10982700,17.66
2013-10-30,18.02,18.09,17.74,17.88,6476000,17.68
2013-10-29,17.85,18.14,17.76,18.01,11641400,17.81
2013-10-28,17.67,17.81,17.67,17.73,7463500,17.53
2013-10-25,17.74,17.77,17.56,17.70,8395100,17.50
2013-10-24,17.67,17.85,17.54,17.82,12099000,17.62
2013-10-23,17.92,17.98,17.32,17.40,14888200,17.21
2013-10-22,17.94,18.10,17.86,18.07,10795700,17.87
2013-10-21,18.10,18.10,17.82,17.87,8772500,17.67
2013-10-18,18.03,18.10,17.94,18.05,8948200,17.85
2013-10-17,17.73,18.12,17.72,18.09,11486200,17.89
2013-10-16,17.88,18.17,17.84,17.96,13369600,17.76
2013-10-15,18.08,18.17,17.81,17.82,11641500,17.62
2013-10-14,17.88,18.18,17.73,18.10,9525900,17.90
2013-10-11,17.74,18.09,17.67,18.00,9161200,17.80
2013-10-10,17.48,17.93,17.45,17.89,10925800,17.69
2013-10-09,17.57,17.58,17.15,17.34,13941000,17.15
2013-10-08,17.73,17.92,17.39,17.51,16676600,17.31
2013-10-07,17.34,17.98,17.25,17.77,16581100,17.57
2013-10-04,17.33,17.66,17.32,17.57,11027200,17.37
2013-10-03,17.50,17.51,17.24,17.33,13018900,17.14
2013-10-02,17.41,17.71,17.30,17.51,16213800,17.31
2013-10-01,17.58,17.59,17.28,17.47,13296800,17.27
2013-09-30,17.40,17.66,17.30,17.53,15514100,17.33
2013-09-27,17.67,17.77,17.38,17.60,14484200,17.40
2013-09-26,17.86,17.90,17.58,17.77,16844800,17.57
2013-09-25,17.28,17.94,17.25,17.84,34664700,17.64
2013-09-24,17.33,17.52,16.95,17.45,88903900,17.26
2013-09-23,15.87,16.07,15.83,15.99,10665700,15.81
2013-09-20,16.07,16.24,15.89,15.93,12211300,15.75
2013-09-19,16.28,16.43,16.08,16.09,7989400,15.91
