Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,52.64,52.82,52.47,52.67,474900,52.61
2013-12-30,52.45,52.63,52.25,52.52,466600,52.46
2013-12-27,52.53,52.89,52.33,52.45,339800,52.39
2013-12-26,52.61,52.66,52.09,52.57,370700,52.51
2013-12-24,52.05,52.67,52.05,52.55,412800,52.49
2013-12-23,52.29,52.29,51.98,52.06,846800,52.00
2013-12-20,51.50,52.35,51.44,52.03,1797300,51.97
2013-12-19,51.21,51.47,51.02,51.37,929500,51.31
2013-12-18,50.13,51.29,49.87,51.24,1544200,51.18
2013-12-17,49.80,50.29,49.56,50.12,1703500,50.06
2013-12-16,49.41,49.98,49.41,49.83,1359700,49.77
2013-12-13,48.98,49.51,48.98,49.28,1231500,49.22
2013-12-12,48.54,49.01,48.39,48.98,995500,48.92
2013-12-11,49.13,49.25,48.57,48.61,1028600,48.56
2013-12-10,49.23,49.56,49.10,49.16,811500,49.10
2013-12-09,49.68,49.79,49.29,49.38,1039600,49.32
2013-12-06,49.34,49.51,49.11,49.48,871500,49.42
2013-12-05,48.85,49.18,48.77,48.90,658300,48.84
2013-12-04,48.48,49.33,48.13,49.13,863700,49.07
2013-12-03,48.59,48.90,48.51,48.72,861300,48.61
2013-12-02,49.16,49.35,48.76,48.84,784300,48.72
2013-11-29,49.51,49.70,49.11,49.22,609200,49.10
2013-11-27,49.43,49.58,49.27,49.49,499200,49.37
2013-11-26,49.55,49.91,49.37,49.38,1082600,49.26
2013-11-25,49.83,49.96,49.32,49.44,1007000,49.32
2013-11-22,49.50,49.77,49.27,49.75,911400,49.63
2013-11-21,48.66,49.35,48.45,49.33,563500,49.21
2013-11-20,48.81,48.83,48.33,48.45,1019800,48.34
2013-11-19,49.04,49.11,48.42,48.60,953800,48.49
2013-11-18,49.56,49.60,48.88,49.03,913700,48.91
2013-11-15,49.07,49.32,48.98,49.25,822200,49.13
2013-11-14,49.12,49.31,48.83,49.10,574900,48.98
2013-11-13,48.43,49.08,48.39,49.07,917000,48.95
2013-11-12,48.52,48.72,48.34,48.71,1044800,48.60
2013-11-11,48.61,48.74,48.26,48.65,684600,48.54
2013-11-08,47.99,48.55,47.83,48.53,878300,48.42
2013-11-07,48.61,49.03,47.92,47.94,2126800,47.83
2013-11-06,48.00,48.65,47.90,48.38,1012600,48.27
2013-11-05,47.76,48.06,47.34,47.91,767300,47.80
2013-11-04,47.93,48.20,47.72,48.03,945700,47.92
2013-11-01,47.85,47.94,47.41,47.80,960700,47.69
2013-10-31,47.66,48.11,47.33,47.83,931500,47.72
2013-10-30,48.19,48.40,47.42,47.62,1270600,47.51
2013-10-29,47.80,47.82,47.07,47.82,2186000,47.71
2013-10-28,47.01,47.12,45.98,46.12,1919800,46.01
2013-10-25,46.69,47.25,46.69,47.09,1865200,46.98
2013-10-24,46.76,47.00,46.67,46.68,768400,46.57
2013-10-23,46.78,46.99,46.40,46.72,871600,46.61
2013-10-22,46.39,46.97,46.39,46.87,1026100,46.76
2013-10-21,46.21,46.53,46.19,46.31,1147500,46.20
2013-10-18,45.92,46.36,45.92,46.07,1584900,45.96
2013-10-17,45.05,45.71,45.00,45.66,854900,45.55
2013-10-16,45.19,45.35,44.93,45.14,896000,45.03
2013-10-15,45.43,45.59,44.83,44.93,738600,44.82
2013-10-14,45.11,45.71,44.99,45.61,723100,45.50
2013-10-11,45.09,45.56,45.01,45.43,830100,45.32
2013-10-10,44.25,45.15,44.14,45.09,1068700,44.98
2013-10-09,43.95,44.16,43.40,43.71,1881300,43.61
2013-10-08,44.69,44.91,43.91,43.93,1577700,43.83
2013-10-07,44.48,44.98,44.39,44.74,894800,44.63
2013-10-04,44.84,45.23,44.67,44.98,1329000,44.87
2013-10-03,45.20,45.42,44.44,44.83,1570900,44.72
2013-10-02,45.58,45.58,44.97,45.44,1169000,45.33
2013-10-01,46.13,46.38,45.43,45.69,1806800,45.58
2013-09-30,45.15,46.10,45.15,46.02,1671500,45.91
2013-09-27,45.88,45.99,45.59,45.64,1384600,45.53
2013-09-26,46.21,46.35,45.82,46.21,1758400,46.10
2013-09-25,46.25,46.61,46.02,46.17,2892900,46.06
2013-09-24,45.97,46.41,45.89,46.22,2640200,46.11
2013-09-23,45.85,46.19,45.81,46.03,3233500,45.92
2013-09-20,46.27,46.52,45.46,46.00,27213500,45.89
2013-09-19,45.94,46.49,45.83,46.02,1729300,45.91
2013-09-18,45.36,45.95,45.19,45.78,1469100,45.67
2013-09-17,45.26,45.47,45.11,45.47,1703700,45.36
2013-09-16,45.62,45.89,45.13,45.32,1073200,45.21
2013-09-13,45.89,45.93,44.88,45.14,2075700,45.03
2013-09-12,45.60,47.00,45.17,45.57,4202000,45.46
2013-09-11,44.32,44.49,44.09,44.49,1178100,44.33
2013-09-10,44.23,44.43,44.06,44.31,1587300,44.15
2013-09-09,44.18,44.31,43.87,43.90,1683600,43.74
2013-09-06,43.88,44.28,43.39,43.98,884100,43.82
2013-09-05,43.47,44.03,43.34,43.86,669900,43.70
2013-09-04,42.65,43.48,42.48,43.37,1503700,43.21
