Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,79.94,80.13,79.30,79.82,1438500,79.50
2013-12-30,78.95,79.88,78.94,79.80,1201000,79.48
2013-12-27,79.11,79.11,78.34,78.82,1444900,78.51
2013-12-26,78.88,79.07,78.42,78.84,951300,78.53
2013-12-24,78.34,78.79,78.22,78.71,559700,78.40
2013-12-23,79.02,79.30,78.25,78.42,1785300,78.11
2013-12-20,78.27,78.76,77.76,77.95,3072900,77.64
2013-12-19,78.08,78.60,77.47,78.11,2554500,77.80
2013-12-18,77.22,78.37,75.91,78.22,3121900,77.91
2013-12-17,76.17,76.82,75.88,76.39,2656100,76.09
2013-12-16,76.86,76.98,75.65,76.09,3439600,75.79
2013-12-13,77.00,77.74,76.50,76.76,2253300,76.46
2013-12-12,77.25,77.45,76.60,76.69,2299700,76.39
2013-12-11,79.09,79.20,77.55,77.81,2760500,77.21
2013-12-10,78.71,79.48,78.39,79.21,1794200,78.60
2013-12-09,78.17,78.90,77.69,78.84,2165300,78.23
2013-12-06,78.31,78.49,77.47,78.08,1465300,77.48
2013-12-05,77.37,78.16,76.72,77.75,2018900,77.15
2013-12-04,77.33,78.41,77.14,77.43,2197200,76.84
2013-12-03,77.83,78.12,77.55,77.71,2039300,77.11
2013-12-02,77.63,78.63,77.30,78.21,2036400,77.61
2013-11-29,78.36,78.88,77.61,77.77,834800,77.17
2013-11-27,77.90,78.50,77.39,78.37,1444000,77.77
2013-11-26,76.95,78.49,76.93,78.03,3368700,77.43
2013-11-25,77.34,77.39,76.63,77.00,2077100,76.41
2013-11-22,77.65,77.80,76.22,77.28,2078200,76.69
2013-11-21,78.19,78.36,77.43,77.59,2058100,76.99
2013-11-20,78.48,79.56,77.44,78.13,2196800,77.53
2013-11-19,78.57,79.06,77.93,78.10,2041500,77.50
2013-11-18,79.18,79.39,78.45,78.57,1236500,77.97
2013-11-15,78.88,79.49,78.79,79.28,1852100,78.67
2013-11-14,78.64,79.42,78.00,79.10,2065400,78.49
2013-11-13,77.57,78.30,77.41,78.17,2000900,77.57
2013-11-12,77.72,78.41,77.19,77.96,2408800,77.36
2013-11-11,79.01,79.01,77.42,77.45,2277000,76.86
2013-11-08,78.47,78.77,76.44,77.79,3746200,77.19
2013-11-07,79.57,80.05,78.64,78.77,2878000,78.17
2013-11-06,78.95,79.81,78.78,79.53,2104300,78.92
2013-11-05,78.90,79.80,78.31,78.60,3250200,78.00
2013-11-04,79.42,79.71,78.67,79.00,1868400,78.39
2013-11-01,79.45,80.43,78.61,79.37,2759400,78.76
2013-10-31,80.25,80.96,79.13,79.35,3676800,78.74
2013-10-30,79.05,81.36,78.75,80.69,3562900,80.07
2013-10-29,80.26,80.52,79.67,80.29,1917700,79.67
2013-10-28,80.94,80.96,79.90,80.30,2541800,79.68
2013-10-25,80.30,80.87,79.71,80.82,2251900,80.20
2013-10-24,79.39,80.56,79.16,80.38,2188700,79.76
2013-10-23,79.56,79.64,78.34,79.00,2242400,78.39
2013-10-22,79.60,80.97,79.33,80.13,3649600,79.51
2013-10-21,78.70,79.76,78.26,79.51,3199400,78.90
2013-10-18,79.70,79.95,78.74,79.01,2778000,78.40
2013-10-17,76.95,79.48,76.78,79.34,3561100,78.73
2013-10-16,75.26,77.25,75.02,77.12,4014800,76.53
2013-10-15,74.29,75.17,74.27,74.73,2141200,74.16
2013-10-14,74.01,74.74,73.82,74.64,1794200,74.07
2013-10-11,73.62,74.73,73.60,74.44,2131400,73.87
2013-10-10,72.11,73.64,72.05,73.59,2665800,73.02
2013-10-09,72.08,72.38,71.55,71.62,2209000,71.07
2013-10-08,72.75,73.12,71.83,71.89,1944200,71.34
2013-10-07,72.39,73.55,72.31,73.03,1844900,72.47
2013-10-04,73.28,73.74,72.36,72.69,2649400,72.13
2013-10-03,73.85,73.97,73.19,73.43,2712900,72.87
2013-10-02,73.85,74.28,73.51,73.99,1766100,73.42
2013-10-01,74.13,74.45,73.81,74.06,2219200,73.49
2013-09-30,73.85,74.56,73.61,74.13,2719900,73.56
2013-09-27,74.54,74.90,74.23,74.52,2552200,73.95
2013-09-26,73.90,74.63,73.83,74.63,1875100,74.06
2013-09-25,72.62,73.83,72.51,73.77,2270200,73.20
2013-09-24,73.04,73.42,72.37,72.85,2635300,72.29
2013-09-23,73.65,74.42,72.94,72.96,2305600,72.40
2013-09-20,74.93,75.02,73.64,73.92,3416000,73.35
2013-09-19,75.77,75.82,74.78,74.82,2338700,74.25
2013-09-18,74.00,75.99,72.76,75.75,4725500,74.89
2013-09-17,74.13,74.68,73.68,73.92,2935100,73.08
2013-09-16,75.16,75.74,74.22,74.27,2715400,73.43
2013-09-13,74.25,74.27,73.35,73.71,1919700,72.87
2013-09-12,75.15,75.15,73.72,74.12,2538300,73.28
2013-09-11,74.69,75.02,74.27,75.02,2613000,74.17
2013-09-10,74.69,74.95,74.09,74.58,3733500,73.73
2013-09-09,72.16,74.27,72.16,74.26,4212100,73.42
2013-09-06,71.05,72.44,70.71,71.91,6812300,71.09
2013-09-05,69.29,69.69,68.69,68.75,2641800,67.97
2013-09-04,69.23,69.49,68.92,69.24,3287200,68.45
2013-09-03,69.82,70.30,68.79,69.23,2446800,68.44
2013-08-30,69.76,69.94,69.32,69.49,2464600,68.70
2013-08-29,69.05,69.93,68.84,69.69,1964000,68.90
2013-08-28,69.95,70.33,69.08,69.09,3179600,68.31
2013-08-27,69.20,70.24,69.04,70.06,3515900,69.27
2013-08-26,70.02,70.49,69.70,69.94,2323300,69.15
2013-08-23,69.04,70.10,68.81,70.06,2524300,69.27
2013-08-22,68.71,69.01,67.89,68.88,2141200,68.10
2013-08-21,69.19,69.78,68.81,69.03,2083400,68.25
2013-08-20,68.40,69.99,68.39,69.38,2481500,68.59
2013-08-19,68.57,69.39,68.34,68.36,2361300,67.58
2013-08-16,69.16,69.58,68.55,68.58,2716200,67.80
2013-08-15,68.89,69.59,68.56,69.48,3105500,68.69
2013-08-14,69.44,69.93,69.03,69.70,3299100,68.91
2013-08-13,70.10,70.19,68.97,69.28,3529700,68.49
2013-08-12,70.10,70.18,69.35,69.66,3506900,68.87
2013-08-09,68.77,70.51,68.77,70.16,4988100,69.36
2013-08-08,69.01,69.40,68.03,68.99,4713200,68.21
2013-08-07,70.30,70.47,69.00,69.09,3922800,68.31
2013-08-06,70.72,71.28,70.06,70.27,3766300,69.47
2013-08-05,70.22,71.00,70.22,70.94,2671700,70.14
2013-08-02,71.21,72.19,70.49,70.50,3664700,69.70
2013-08-01,71.40,72.51,71.01,71.28,4097800,70.47
2013-07-31,72.79,73.16,69.74,70.79,7677400,69.99
2013-07-30,72.82,73.45,72.47,72.67,2931700,71.85
2013-07-29,72.57,73.04,72.23,72.42,2659200,71.60
2013-07-26,72.20,72.65,72.03,72.58,2580200,71.76
2013-07-25,73.34,73.51,72.09,72.31,4466600,71.49
2013-07-24,74.78,74.80,73.59,73.94,3459600,73.10
2013-07-23,74.63,75.01,74.10,74.75,3198200,73.90
2013-07-22,75.15,75.26,73.60,74.32,3882200,73.48
2013-07-19,74.55,75.16,74.34,75.13,4090600,74.28
2013-07-18,74.50,75.32,74.07,74.44,6358000,73.60
2013-07-17,73.02,74.70,71.50,73.87,26259800,73.03
2013-07-16,75.95,76.44,74.35,74.71,5977100,73.86
