Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,49.86,50.00,49.40,49.69,356000,49.69
2013-12-30,49.99,50.15,49.66,49.84,320500,49.84
2013-12-27,50.88,50.96,49.71,50.06,502300,50.06
2013-12-26,49.98,50.83,49.79,50.71,461100,50.71
2013-12-24,49.73,50.05,49.73,49.93,179000,49.93
2013-12-23,50.09,50.32,49.77,49.79,431500,49.79
2013-12-20,50.85,51.04,49.80,49.84,1493200,49.84
2013-12-19,51.14,51.68,50.39,51.07,680900,51.07
2013-12-18,49.37,51.40,49.02,51.36,1198800,51.36
2013-12-17,49.94,50.25,49.48,49.50,639300,49.50
2013-12-16,50.32,50.77,49.98,49.98,1377500,49.98
2013-12-13,49.80,50.27,49.66,50.01,668300,50.01
2013-12-12,49.76,49.82,49.29,49.61,644000,49.61
2013-12-11,50.47,50.54,49.60,49.77,563800,49.77
2013-12-10,50.44,51.06,50.30,50.33,829800,50.33
2013-12-09,50.60,51.11,50.37,50.48,638400,50.48
2013-12-06,50.80,51.05,50.27,50.55,637300,50.55
2013-12-05,50.15,51.26,49.99,50.46,865100,50.46
2013-12-04,48.95,50.53,48.60,50.21,996500,50.21
2013-12-03,48.58,49.31,48.52,49.02,641100,49.02
2013-12-02,48.95,49.27,48.45,48.80,601500,48.80
2013-11-29,48.23,49.50,48.23,49.04,182600,49.04
2013-11-27,49.18,49.45,48.99,49.41,471300,49.41
2013-11-26,49.26,49.56,48.87,49.15,555500,49.15
2013-11-25,49.22,49.29,48.93,49.19,421300,49.19
2013-11-22,49.13,49.32,48.90,49.04,398900,49.04
2013-11-21,48.73,49.30,48.56,49.15,412300,49.15
2013-11-20,48.65,49.37,48.46,48.67,349300,48.67
2013-11-19,48.61,49.45,48.42,48.61,637100,48.61
2013-11-18,49.89,50.11,48.61,48.74,826300,48.74
2013-11-15,49.40,49.94,49.27,49.86,693300,49.86
2013-11-14,49.50,49.81,49.05,49.39,1189200,49.39
2013-11-13,48.01,49.50,48.01,49.49,973200,49.49
2013-11-12,48.00,48.54,47.80,48.16,932100,48.16
2013-11-11,47.13,48.28,47.13,48.10,1210500,48.10
2013-11-08,46.96,47.16,46.62,47.08,1274500,47.08
2013-11-07,47.73,47.93,46.81,46.91,1261100,46.91
2013-11-06,48.56,48.64,47.31,47.61,786600,47.61
