Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,83.56,84.33,83.53,83.89,970500,83.71
2013-12-30,83.13,83.87,83.09,83.25,1540300,83.07
2013-12-27,83.89,84.00,82.93,83.41,1084600,83.23
2013-12-26,83.65,84.00,82.97,83.47,937400,83.29
2013-12-24,82.68,83.80,82.66,83.62,584700,83.44
2013-12-23,83.34,83.55,82.30,82.68,1183100,82.50
2013-12-20,83.40,83.72,82.92,82.94,2458400,82.76
2013-12-19,83.51,83.67,82.17,83.09,1721000,82.91
2013-12-18,82.00,84.06,81.74,83.93,2070300,83.75
2013-12-17,82.06,82.34,81.36,81.82,1297300,81.64
2013-12-16,81.89,82.33,81.46,81.85,1216200,81.67
2013-12-13,82.04,82.39,81.43,81.61,783600,81.43
2013-12-12,81.52,82.28,81.52,81.90,1300400,81.72
2013-12-11,82.87,83.24,81.59,81.75,1382800,81.57
2013-12-10,82.30,83.28,82.23,83.07,1359900,82.89
2013-12-09,82.61,83.34,82.38,82.90,1176700,82.72
2013-12-06,82.56,82.95,82.33,82.75,1226900,82.57
2013-12-05,81.13,81.72,81.02,81.46,1076700,81.28
2013-12-04,81.55,82.17,81.04,81.47,1149300,81.29
2013-12-03,81.61,82.55,81.56,81.88,1239300,81.70
2013-12-02,81.55,82.53,81.22,81.86,1072100,81.68
2013-11-29,82.21,82.42,81.54,81.64,432600,81.46
2013-11-27,81.89,82.37,81.73,82.29,1055800,82.11
2013-11-26,81.56,82.30,81.29,81.87,1898600,81.69
2013-11-25,82.50,82.50,81.30,81.37,1225600,81.19
2013-11-22,81.68,82.55,81.02,82.55,1499000,82.37
2013-11-21,80.66,81.52,80.64,81.38,1077200,81.20
2013-11-20,80.87,81.29,80.17,80.43,1028100,80.25
2013-11-19,81.25,81.82,80.36,80.53,1388500,80.35
2013-11-18,81.60,81.82,81.02,81.17,855300,80.99
2013-11-15,80.72,81.58,80.61,81.58,2342900,81.40
2013-11-14,80.41,81.32,80.20,80.81,1336700,80.63
2013-11-13,79.15,80.18,79.15,80.17,2130300,79.99
2013-11-12,81.26,81.44,80.32,80.57,933600,80.39
2013-11-11,80.62,81.73,80.56,81.70,1384100,81.52
2013-11-08,79.39,80.63,79.23,80.60,1779400,80.42
2013-11-07,80.21,80.22,79.38,79.43,2007600,79.26
2013-11-06,79.15,80.07,78.74,80.05,1835900,79.87
2013-11-05,78.49,79.08,78.32,78.69,1947900,78.52
2013-11-04,78.88,78.99,77.79,78.62,1542400,78.45
2013-11-01,79.38,79.45,78.44,78.77,1640200,78.60
2013-10-31,80.12,80.15,79.08,79.09,2230800,78.92
2013-10-30,79.49,80.42,78.51,80.24,3859300,80.06
2013-10-29,78.14,79.74,77.99,79.71,3496100,79.36
2013-10-28,77.59,78.40,77.55,78.07,2067100,77.73
2013-10-25,75.19,78.75,74.60,77.54,4473000,77.20
2013-10-24,76.15,76.90,75.45,75.58,2730100,75.25
2013-10-23,75.94,75.99,75.54,75.85,1594100,75.52
2013-10-22,75.42,76.52,75.37,76.36,2594500,76.02
2013-10-21,75.30,75.43,74.85,75.10,820700,74.77
2013-10-18,74.45,75.55,74.12,75.39,2481300,75.06
2013-10-17,73.60,74.49,73.33,74.20,2529200,73.87
2013-10-16,73.11,73.95,73.07,73.85,2362300,73.53
2013-10-15,73.41,73.90,72.56,72.63,2317100,72.31
2013-10-14,72.92,73.71,72.65,73.69,1428300,73.37
2013-10-11,72.99,73.24,72.81,73.10,1929100,72.78
2013-10-10,71.90,73.01,71.90,72.93,2814800,72.61
2013-10-09,71.48,71.68,70.72,71.25,1418000,70.94
2013-10-08,72.15,72.38,71.36,71.38,1291000,71.07
