Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,112.53,113.11,111.40,111.78,1178800,111.05
2013-12-30,112.48,113.32,112.47,112.59,422700,111.86
2013-12-27,113.87,113.99,112.95,113.43,476700,111.99
2013-12-26,112.93,113.83,112.77,113.66,483100,112.21
2013-12-24,112.61,113.54,112.35,112.79,452000,111.36
2013-12-23,111.74,112.61,111.16,112.52,692400,111.09
2013-12-20,111.21,112.26,111.10,111.30,1453000,109.88
2013-12-19,107.05,111.05,106.51,110.92,2244100,109.51
2013-12-18,107.88,107.99,105.74,107.28,1882800,105.92
2013-12-17,107.50,108.35,106.79,107.40,1315400,106.03
2013-12-16,108.01,108.65,107.07,107.30,860400,105.94
2013-12-13,107.59,108.26,107.39,107.72,686100,106.35
2013-12-12,106.72,107.75,106.13,107.48,697800,106.11
2013-12-11,108.94,108.97,106.74,106.83,702800,105.47
2013-12-10,108.49,109.77,108.44,109.10,625500,107.71
2013-12-09,109.36,109.51,108.67,109.18,833100,107.79
2013-12-06,107.81,109.55,107.45,109.51,762200,108.12
2013-12-05,107.00,107.35,106.18,106.51,674100,105.16
2013-12-04,107.00,107.80,106.45,107.45,725600,106.08
2013-12-03,107.50,107.50,106.31,107.16,991000,105.80
2013-12-02,108.95,109.18,107.50,107.69,1109700,106.32
2013-11-29,109.10,109.75,108.58,108.83,282400,107.45
2013-11-27,109.05,109.62,108.65,109.12,722400,107.73
2013-11-26,109.26,109.70,108.72,108.85,1079100,107.47
2013-11-25,111.17,111.61,109.51,109.72,670400,108.32
2013-11-22,110.00,111.42,109.25,111.17,1106700,109.76
2013-11-21,109.97,110.16,109.13,109.71,1009700,108.31
2013-11-20,109.99,110.35,109.25,109.60,861900,108.21
2013-11-19,109.94,110.64,109.50,110.09,898100,108.69
2013-11-18,110.54,110.93,109.61,109.94,839400,108.54
2013-11-15,109.02,110.69,108.81,110.59,1049400,109.18
2013-11-14,108.36,108.78,107.79,108.67,1048600,107.29
2013-11-13,107.73,108.41,107.43,108.04,1213400,106.67
2013-11-12,109.10,109.19,107.91,107.97,1025300,106.60
2013-11-11,109.50,109.88,108.85,109.09,874500,107.70
2013-11-08,108.25,109.63,108.10,109.45,890600,108.06
2013-11-07,109.78,109.88,108.02,108.26,1503600,106.88
2013-11-06,109.46,110.10,109.15,109.92,711700,108.52
2013-11-05,108.44,109.39,107.74,109.12,643600,107.73
2013-11-04,108.12,108.90,107.79,108.77,773500,107.39
2013-11-01,108.95,109.75,107.59,108.00,1140400,106.63
2013-10-31,107.30,109.39,106.40,109.01,1526700,107.62
2013-10-30,107.83,109.76,106.99,107.20,1746400,105.84
2013-10-29,108.21,109.40,107.00,107.47,2337500,106.10
2013-10-28,111.53,111.58,108.79,109.54,1626400,108.15
2013-10-25,111.16,111.87,110.65,111.73,896700,110.31
2013-10-24,110.65,111.73,110.53,111.38,715700,109.96
2013-10-23,111.68,111.94,110.06,110.65,719900,109.24
2013-10-22,111.23,111.95,111.08,111.73,744300,110.31
2013-10-21,109.98,110.99,109.91,110.66,545300,109.25
