Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,88.82,89.46,88.80,89.18,336800,88.98
2013-12-30,88.42,88.77,88.42,88.71,214000,88.51
2013-12-27,88.35,88.80,88.16,88.27,161600,88.07
2013-12-26,88.27,88.71,88.02,88.43,331400,88.23
2013-12-24,88.04,88.61,87.64,88.19,141200,87.99
2013-12-23,88.30,88.42,87.61,87.89,494000,87.70
2013-12-20,87.56,88.22,87.33,87.80,845400,87.61
2013-12-19,87.14,87.50,86.82,87.03,402100,86.84
2013-12-18,86.14,87.28,85.01,87.21,595000,87.02
2013-12-17,86.12,86.60,85.84,86.32,667100,86.13
2013-12-16,85.42,86.30,85.40,86.05,327700,85.86
2013-12-13,85.23,85.49,84.59,85.16,458400,84.97
2013-12-12,85.00,85.49,84.97,85.06,492100,84.87
2013-12-11,86.35,86.63,84.91,84.95,613100,84.76
2013-12-10,86.15,86.88,85.96,86.48,707400,86.29
2013-12-09,86.29,86.61,85.86,86.59,414500,86.40
2013-12-06,85.50,86.31,85.44,86.11,538000,85.72
2013-12-05,84.98,85.27,84.84,85.03,321000,84.64
2013-12-04,84.48,85.47,84.34,85.16,425500,84.77
2013-12-03,85.08,85.48,84.89,85.34,527500,84.95
2013-12-02,85.03,85.48,84.83,85.05,346500,84.66
2013-11-29,85.02,85.25,84.73,85.00,245800,84.61
2013-11-27,85.52,85.62,84.65,85.01,320300,84.62
2013-11-26,84.96,85.33,84.94,85.00,495100,84.61
2013-11-25,85.11,85.39,84.82,85.05,357800,84.66
2013-11-22,84.62,85.31,84.52,85.11,355200,84.72
2013-11-21,85.02,85.21,84.53,84.99,440800,84.61
2013-11-20,84.65,85.06,84.40,84.91,840500,84.53
2013-11-19,84.50,84.94,84.30,84.64,1078300,84.26
2013-11-18,84.25,85.25,84.25,84.78,1097500,84.40
2013-11-15,82.75,84.13,82.66,84.10,796900,83.72
2013-11-14,81.79,82.75,81.66,82.72,525900,82.35
2013-11-13,80.86,81.72,80.53,81.69,696800,81.32
2013-11-12,80.90,81.53,80.62,81.37,358200,81.00
2013-11-11,81.13,81.49,80.82,81.09,227600,80.72
2013-11-08,80.29,81.38,80.18,81.34,361500,80.97
2013-11-07,81.04,81.26,79.98,80.27,682300,79.91
2013-11-06,80.10,80.90,80.10,80.88,338400,80.51
2013-11-05,79.95,80.30,79.46,79.80,298100,79.44
2013-11-04,80.16,80.50,79.90,80.29,319900,79.93
2013-11-01,80.58,80.85,79.67,79.93,324100,79.57
2013-10-31,80.29,81.23,80.05,80.29,399100,79.93
2013-10-30,81.14,81.22,80.29,80.42,615000,80.06
2013-10-29,80.92,81.32,80.72,80.94,651600,80.57
2013-10-28,81.39,81.40,80.37,80.73,573400,80.36
2013-10-25,81.44,81.50,80.75,81.27,638600,80.90
2013-10-24,81.34,81.78,81.20,81.29,510400,80.92
2013-10-23,81.77,81.95,81.30,81.56,492300,81.19
2013-10-22,82.35,82.95,81.93,81.99,683600,81.62
2013-10-21,82.43,82.69,82.12,82.34,420800,81.97
2013-10-18,81.91,82.52,81.70,82.33,1128600,81.96
2013-10-17,79.08,81.95,78.31,81.12,1244600,80.75
2013-10-16,77.96,79.25,77.81,79.05,1368500,78.69
2013-10-15,76.73,78.00,76.54,77.45,927000,77.10
2013-10-14,76.61,77.57,76.32,77.10,505900,76.75
2013-10-11,75.86,77.11,75.86,77.05,620800,76.70
2013-10-10,76.48,76.93,76.11,76.18,802700,75.83
2013-10-09,74.93,75.90,74.17,75.69,755600,75.35
2013-10-08,75.69,76.21,74.79,74.83,717300,74.49
2013-10-07,75.89,76.38,75.58,75.81,329600,75.47
2013-10-04,76.47,76.55,76.17,76.49,607800,76.14
2013-10-03,77.19,77.46,75.73,76.25,382600,75.90
2013-10-02,77.01,77.55,76.55,77.55,414800,77.20
2013-10-01,77.39,77.92,77.05,77.62,458000,77.27
2013-09-30,76.79,77.68,76.70,77.38,452600,77.03
2013-09-27,77.45,77.62,77.04,77.54,310000,77.19
2013-09-26,77.78,78.26,77.51,77.98,316300,77.63
2013-09-25,77.40,78.03,76.85,77.79,473100,77.44
2013-09-24,77.42,77.97,76.58,77.33,402800,76.98
2013-09-23,77.01,77.68,76.68,77.40,580600,77.05
2013-09-20,78.01,78.39,76.61,76.76,853300,76.41
2013-09-19,78.38,78.79,78.30,78.68,466200,78.32
2013-09-18,78.00,78.39,77.40,78.34,441400,77.99
2013-09-17,78.04,78.38,77.72,78.12,371300,77.77
2013-09-16,78.42,78.48,77.69,78.08,539100,77.73
2013-09-13,78.02,78.19,76.83,77.29,445000,76.94
2013-09-12,78.11,78.20,77.56,77.73,367900,77.38
2013-09-11,77.71,78.35,77.46,78.11,387200,77.76
2013-09-10,76.82,78.02,76.72,78.02,749000,77.67
2013-09-09,75.79,77.32,75.79,76.20,994600,75.85
2013-09-06,75.69,75.91,74.74,75.15,730300,74.61
2013-09-05,76.28,76.68,75.59,75.63,442300,75.09
2013-09-04,75.31,76.58,75.19,76.36,438800,75.81
2013-09-03,76.25,76.65,74.94,75.35,803400,74.81
2013-08-30,76.39,76.61,75.39,75.77,330900,75.23
2013-08-29,75.83,76.80,75.82,76.35,195700,75.80
2013-08-28,75.25,76.41,75.25,76.09,380300,75.54
2013-08-27,76.01,76.58,75.09,75.17,358900,74.63
2013-08-26,77.79,78.04,77.02,77.04,277700,76.49
2013-08-23,77.96,78.35,77.47,77.80,503100,77.24
2013-08-22,75.87,77.88,75.61,77.82,785300,77.26
2013-08-21,75.24,76.06,74.97,75.57,680800,75.03
2013-08-20,74.17,75.70,74.06,75.53,510500,74.99
2013-08-19,74.70,74.70,74.11,74.12,508100,73.59
2013-08-16,74.86,75.52,74.65,74.79,537100,74.25
2013-08-15,75.87,75.94,75.04,75.09,414000,74.55
2013-08-14,77.27,77.49,76.57,76.80,391000,76.25
2013-08-13,77.95,78.15,77.19,77.39,499300,76.83
2013-08-12,77.47,77.78,77.28,77.49,381400,76.93
