Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,112.13,112.49,111.26,111.85,244300,111.35
2013-12-30,111.42,112.15,110.83,112.11,330300,111.61
2013-12-27,111.37,112.60,110.28,111.30,209700,110.80
2013-12-26,111.00,111.13,110.34,110.92,180600,110.43
2013-12-24,109.67,111.01,109.04,110.85,105400,110.36
2013-12-23,110.25,110.26,109.17,109.39,464600,108.90
2013-12-20,108.86,109.91,106.76,109.90,523100,109.41
2013-12-19,109.00,110.13,108.63,109.95,309200,109.46
2013-12-18,107.52,109.25,106.49,109.15,376600,108.66
2013-12-17,107.37,107.90,106.70,107.50,253100,107.02
2013-12-16,107.14,108.16,106.34,107.52,373200,107.04
2013-12-13,108.04,108.35,106.16,106.34,548800,105.87
2013-12-12,106.85,107.75,106.17,107.63,322600,107.15
2013-12-11,109.33,109.82,107.00,107.19,371500,106.71
2013-12-10,109.78,111.17,109.30,109.49,374200,109.00
2013-12-09,109.87,110.76,109.44,110.23,295500,109.26
2013-12-06,108.67,109.77,108.42,109.72,310400,108.76
2013-12-05,107.44,108.58,107.30,108.02,328800,107.07
2013-12-04,107.13,108.24,106.56,107.79,287000,106.84
2013-12-03,107.08,107.57,106.48,107.48,312800,106.54
2013-12-02,108.59,109.41,107.00,107.21,494400,106.27
2013-11-29,109.66,110.00,108.44,108.63,109600,107.67
2013-11-27,109.75,110.08,109.14,109.80,189700,108.83
2013-11-26,109.66,110.10,109.12,109.62,151800,108.66
2013-11-25,110.18,110.22,109.34,109.54,217900,108.58
2013-11-22,109.13,110.19,108.63,110.01,217900,109.04
2013-11-21,108.50,109.00,108.00,108.96,117600,108.00
2013-11-20,109.34,110.07,107.92,108.16,153900,107.21
2013-11-19,109.16,110.10,108.75,109.26,216600,108.30
2013-11-18,110.63,110.72,108.70,109.17,239900,108.21
2013-11-15,109.62,110.32,109.27,110.32,178300,109.35
2013-11-14,109.70,110.00,108.75,109.71,270000,108.75
2013-11-13,108.15,109.41,108.15,109.38,278100,108.42
2013-11-12,108.49,108.75,107.99,108.61,326800,107.66
2013-11-11,108.30,108.53,107.71,108.51,185300,107.56
2013-11-08,107.35,108.29,107.10,108.28,508900,107.33
2013-11-07,108.78,108.89,106.89,107.06,429700,106.12
2013-11-06,108.58,108.87,107.94,108.56,187700,107.61
2013-11-05,108.18,108.59,107.81,108.26,214600,107.31
2013-11-04,108.26,108.49,107.57,108.36,190700,107.41
2013-11-01,109.43,109.88,107.60,108.01,393600,107.06
2013-10-31,108.89,109.75,108.36,109.07,319900,108.11
2013-10-30,108.78,109.18,108.26,108.85,402800,107.89
2013-10-29,108.16,108.86,107.55,108.81,255700,107.85
2013-10-28,109.33,109.59,107.61,107.88,428100,106.93
2013-10-25,107.36,109.14,106.82,109.14,359500,108.18
2013-10-24,105.98,107.36,105.00,107.06,1117300,106.12
2013-10-23,111.43,111.43,105.32,107.00,1206300,106.06
2013-10-22,111.64,112.43,110.96,112.24,500900,111.25
2013-10-21,111.41,111.96,110.72,111.52,227100,110.54
2013-10-18,111.31,111.67,110.51,111.58,176400,110.60
2013-10-17,109.32,110.94,109.32,110.84,175300,109.87
2013-10-16,109.21,110.49,109.06,109.50,275500,108.54
2013-10-15,109.24,109.65,108.47,108.74,171900,107.78
2013-10-14,108.00,109.69,107.96,109.47,254500,108.51
2013-10-11,108.68,109.02,107.91,108.45,187200,107.50
2013-10-10,107.38,109.10,107.38,108.99,245300,108.03
2013-10-09,105.76,106.37,104.60,106.18,273900,105.25
2013-10-08,106.74,107.19,105.60,105.79,282300,104.86
2013-10-07,107.71,108.34,106.90,106.94,291100,106.00
2013-10-04,108.40,109.32,107.89,108.82,295900,107.86
2013-10-03,108.85,109.14,108.00,108.57,701000,107.62
2013-10-02,107.84,109.37,107.01,109.32,570900,108.36
2013-10-01,107.37,109.00,107.00,108.99,600500,108.03
2013-09-30,105.54,106.35,105.07,106.05,661500,105.12
2013-09-27,106.02,106.46,105.56,105.93,337800,105.00
2013-09-26,105.72,106.87,105.65,106.70,368700,105.76
2013-09-25,105.38,105.66,104.80,105.50,342000,104.57
2013-09-24,104.60,105.33,104.01,105.04,208000,104.12
2013-09-23,105.11,105.35,104.20,104.39,124700,103.47
2013-09-20,106.75,107.52,105.28,105.35,352500,104.42
2013-09-19,106.85,107.72,106.58,106.98,209600,106.04
2013-09-18,104.24,106.96,103.68,106.85,285800,105.91
2013-09-17,105.50,105.92,104.07,104.30,345200,103.38
2013-09-16,105.35,106.02,104.24,105.56,351700,104.63
2013-09-13,104.28,104.39,103.67,103.86,401100,102.95
2013-09-12,104.83,105.39,103.85,104.00,251100,103.09
2013-09-11,104.90,105.13,104.23,105.05,219700,104.13
2013-09-10,105.98,106.36,104.51,104.98,628400,103.58
2013-09-09,103.59,105.69,103.17,105.45,901900,104.05
2013-09-06,104.45,104.84,103.27,103.33,266800,101.95
2013-09-05,104.69,104.96,103.63,104.28,469500,102.89
2013-09-04,103.04,105.00,102.92,104.95,497700,103.55
2013-09-03,102.94,103.52,102.25,103.25,396700,101.87
2013-08-30,101.47,101.88,101.27,101.65,202300,100.30
2013-08-29,101.13,102.11,100.75,101.42,105800,100.07
2013-08-28,101.18,101.66,100.53,101.28,182500,99.93
2013-08-27,101.88,102.18,101.05,101.17,135000,99.82
2013-08-26,103.36,104.00,102.61,102.88,114200,101.51
2013-08-23,103.66,103.81,102.51,103.30,135400,101.92
2013-08-22,102.27,104.04,102.15,103.47,138700,102.09
2013-08-21,102.29,103.18,102.11,102.25,192900,100.89
2013-08-20,101.25,102.70,100.72,102.46,262000,101.09
2013-08-19,101.47,102.20,101.00,101.07,430200,99.72
2013-08-16,101.38,102.04,100.78,101.58,258700,100.23
2013-08-15,102.76,102.80,101.25,101.71,240000,100.35
