Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,89.87,90.79,89.52,90.73,3083500,90.27
2013-12-30,89.19,89.62,89.14,89.59,1769000,89.13
2013-12-27,88.82,89.51,88.82,89.19,1797400,88.74
2013-12-26,88.90,89.23,88.76,89.00,1745200,88.55
2013-12-24,88.34,88.74,88.19,88.69,1042700,88.24
2013-12-23,88.00,88.58,87.94,88.31,3242600,87.86
2013-12-20,86.71,87.78,86.44,87.57,6294500,87.12
2013-12-19,85.94,86.53,85.91,86.41,3956300,85.97
2013-12-18,84.30,86.12,83.55,85.99,5332300,85.55
2013-12-17,84.71,84.72,83.99,84.11,2893700,83.68
2013-12-16,83.96,84.97,83.96,84.52,3599000,84.09
2013-12-13,83.32,83.92,83.23,83.68,3594900,83.25
2013-12-12,83.78,84.28,83.21,83.30,3574300,82.88
2013-12-11,85.28,85.67,83.81,83.90,3782300,83.47
2013-12-10,85.38,85.74,85.08,85.29,2354200,84.86
2013-12-09,86.17,86.40,85.35,85.75,2436500,85.31
2013-12-06,85.59,86.09,85.35,85.93,2666600,85.49
2013-12-05,84.27,84.99,84.15,84.54,3677800,84.11
2013-12-04,84.21,85.24,83.76,84.50,3579700,84.07
2013-12-03,84.89,85.33,84.20,84.61,3546100,84.18
2013-12-02,86.02,86.53,85.16,85.29,3620800,84.86
2013-11-29,85.88,86.19,85.51,85.80,2144600,85.36
2013-11-27,85.26,85.66,84.98,85.59,2520000,85.15
2013-11-26,84.75,85.59,84.70,85.09,4896800,84.66
2013-11-25,84.32,84.76,84.08,84.59,3657700,84.16
2013-11-22,83.92,83.93,83.37,83.85,2690300,83.42
2013-11-21,82.63,84.00,82.57,83.95,4355200,83.52
2013-11-20,82.96,83.42,81.96,82.25,3510500,81.83
2013-11-19,82.38,82.88,82.27,82.46,2775000,82.04
2013-11-18,82.85,82.98,82.16,82.34,3104800,81.92
2013-11-15,83.03,83.26,82.37,82.80,4439700,82.38
2013-11-14,81.61,81.91,81.35,81.89,2284100,81.47
2013-11-13,80.57,81.47,80.22,81.44,2828200,81.03
2013-11-12,81.23,81.35,80.58,81.03,2237200,80.62
2013-11-11,81.59,81.68,81.19,81.40,2224200,80.99
2013-11-08,81.31,81.95,81.08,81.78,4369500,81.36
2013-11-07,82.33,82.60,80.88,80.92,3485800,80.51
2013-11-06,82.55,82.60,81.82,82.12,2636900,81.70
2013-11-05,81.63,82.13,81.09,81.90,2591400,81.48
2013-11-04,82.41,82.64,81.75,81.93,2643600,81.51
2013-11-01,82.12,82.64,81.79,82.16,3358900,81.74
2013-10-31,82.79,82.99,81.69,81.80,5637700,81.38
2013-10-30,83.70,83.83,82.80,83.10,3747800,82.68
2013-10-29,83.12,83.74,82.93,83.66,3485200,83.23
2013-10-28,82.72,83.14,82.03,82.76,4566100,82.34
2013-10-25,80.76,82.67,80.76,82.61,6291100,82.19
2013-10-24,80.77,81.00,80.45,80.90,3181800,80.49
2013-10-23,80.56,80.82,80.01,80.63,2895100,80.22
2013-10-22,80.77,81.17,80.43,80.87,3300000,80.46
2013-10-21,80.47,80.99,80.31,80.40,3691500,79.99
2013-10-18,80.11,80.68,79.31,80.52,7598200,80.11
2013-10-17,77.94,80.40,77.80,80.23,10366600,79.82
2013-10-16,75.64,76.75,75.45,76.32,6468200,75.93
2013-10-15,75.63,76.36,75.23,75.25,4113700,74.87
2013-10-14,75.33,76.11,75.10,76.07,3017200,75.68
2013-10-11,74.67,75.44,74.41,75.40,3913900,75.02
2013-10-10,73.19,74.67,73.01,74.66,3769900,74.28
2013-10-09,72.38,72.71,72.08,72.22,4701500,71.85
2013-10-08,73.03,73.10,72.13,72.22,3945800,71.85
2013-10-07,73.50,73.53,72.90,72.94,3320300,72.57
2013-10-04,73.88,74.33,73.61,74.31,2883500,73.93
2013-10-03,74.11,74.29,73.30,74.02,4364500,73.64
2013-10-02,75.13,75.29,74.17,74.58,4363400,74.20
2013-10-01,75.64,76.01,75.45,75.93,2969600,75.31
2013-09-30,74.97,75.85,74.64,75.52,3330500,74.91
2013-09-27,76.06,76.09,75.43,75.89,2522500,75.28
2013-09-26,76.00,77.00,75.78,76.32,2927000,75.70
2013-09-25,76.13,76.56,75.62,75.99,3090300,75.37
2013-09-24,76.39,76.94,75.96,76.07,3020200,75.45
2013-09-23,77.29,77.66,76.13,76.44,4078900,75.82
2013-09-20,77.62,77.89,77.15,77.32,10105500,76.69
2013-09-19,77.81,77.90,77.15,77.57,3997600,76.94
2013-09-18,76.99,77.81,76.54,77.64,4136000,77.01
2013-09-17,75.60,77.00,75.60,76.92,4047200,76.30
2013-09-16,76.34,76.43,75.44,75.60,4536200,74.99
2013-09-13,75.58,75.75,75.07,75.30,2664400,74.69
2013-09-12,75.29,75.61,74.97,75.29,2502200,74.68
2013-09-11,74.70,75.22,74.40,75.18,3297900,74.57
2013-09-10,74.22,74.66,74.00,74.60,3269100,74.00
2013-09-09,73.59,73.81,73.15,73.66,3189500,73.06
2013-09-06,73.92,74.02,72.40,73.35,3369200,72.76
2013-09-05,73.16,74.23,72.89,73.80,3600700,73.20
2013-09-04,72.52,73.50,72.23,73.14,2913300,72.55
2013-09-03,72.59,73.41,72.14,72.43,3994100,71.84
2013-08-30,72.15,72.24,71.47,71.91,3779500,71.33
2013-08-29,71.81,72.62,71.58,72.22,2957100,71.63
2013-08-28,71.70,72.34,71.54,72.01,2963200,71.43
2013-08-27,72.80,72.93,71.77,71.91,3712600,71.33
2013-08-26,73.76,74.47,73.43,73.61,2372400,73.01
2013-08-23,73.87,74.00,73.13,73.65,2518500,73.05
2013-08-22,73.66,74.00,73.40,73.86,2354900,73.26
2013-08-21,74.01,74.33,73.25,73.44,2983100,72.84
2013-08-20,74.41,74.67,73.80,74.27,2900900,73.67
2013-08-19,75.12,75.21,74.30,74.34,3478900,73.74
2013-08-16,74.86,75.35,74.65,75.17,4248200,74.56
2013-08-15,75.27,75.43,74.62,74.88,3834400,74.27
2013-08-14,76.04,76.43,75.75,75.88,2945400,75.27
2013-08-13,75.49,76.44,74.89,76.23,2964900,75.61
2013-08-12,75.11,75.61,74.89,75.49,2292600,74.88
2013-08-09,76.18,76.36,75.01,75.50,3963600,74.89
2013-08-08,75.79,77.27,75.48,76.19,3293600,75.57
2013-08-07,75.46,75.71,74.85,75.14,3083900,74.53
2013-08-06,75.87,76.10,75.47,75.81,2566000,75.20
2013-08-05,75.47,76.04,75.21,75.93,2237100,75.31
2013-08-02,75.62,75.73,75.00,75.69,2485400,75.08
2013-08-01,74.53,76.10,74.51,75.63,5981400,75.02
2013-07-31,75.15,75.86,73.47,73.77,10320700,73.17
2013-07-30,75.48,75.54,74.83,75.19,3762200,74.58
2013-07-29,75.16,75.36,74.33,75.06,3249400,74.45
2013-07-26,75.50,75.55,74.41,75.34,3537600,74.73
2013-07-25,75.06,75.81,75.03,75.77,4080300,75.16
2013-07-24,74.85,76.07,74.75,75.36,6139000,74.75
2013-07-23,75.03,75.18,74.36,74.41,4113000,73.81
2013-07-22,74.43,75.20,74.21,74.72,5456700,74.11
2013-07-19,73.62,74.74,73.47,74.06,8072500,73.46
2013-07-18,75.44,75.75,73.86,74.01,10352300,73.41
2013-07-17,75.35,77.45,74.62,76.80,16305300,76.18
2013-07-16,78.09,78.34,77.75,78.27,4637600,77.64
2013-07-15,78.61,78.63,77.50,77.85,4243300,77.22
2013-07-12,77.33,78.45,77.29,78.33,4878200,77.70
2013-07-11,77.54,77.62,76.56,76.94,5715000,76.32
2013-07-10,77.39,77.57,75.94,76.33,4872200,75.71
2013-07-09,77.74,77.95,77.08,77.61,3915200,76.98
2013-07-08,76.91,77.81,76.85,77.04,5106200,76.42
2013-07-05,75.31,76.37,75.12,76.31,4501500,75.69
2013-07-03,74.02,74.78,73.91,74.58,3007000,73.98
2013-07-02,75.43,76.29,74.30,74.62,5041200,74.02
2013-07-01,75.53,76.46,75.43,75.64,5007600,74.80
2013-06-28,75.01,75.33,74.33,74.76,7964400,73.93
2013-06-27,74.38,75.43,74.38,75.12,4215300,74.28
2013-06-26,73.64,74.25,73.33,73.90,4894200,73.08
2013-06-25,72.63,73.65,72.56,73.23,4754200,72.42
2013-06-24,72.57,72.84,71.68,72.01,6293100,71.21
2013-06-21,73.38,73.79,72.37,73.31,7547300,72.49
2013-06-20,73.76,74.00,72.81,72.92,5656500,72.11
2013-06-19,74.92,75.10,74.19,74.23,5989300,73.40
2013-06-18,74.08,75.47,74.03,74.98,5714700,74.15
2013-06-17,73.69,74.21,73.39,73.84,6020900,73.02
2013-06-14,74.79,74.98,72.72,72.97,8451000,72.16
2013-06-13,74.46,75.26,73.79,75.21,6738900,74.37
2013-06-12,76.94,77.00,74.68,74.72,7057200,73.89
2013-06-11,77.61,77.85,76.50,76.52,5442800,75.67
