Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,40.02,40.29,39.70,39.88,2926900,39.62
2013-12-30,40.26,40.26,39.32,40.01,3749900,39.75
2013-12-27,41.02,41.24,40.06,40.17,2729700,39.91
2013-12-26,40.24,41.17,40.24,41.04,3396600,40.77
2013-12-24,40.52,40.74,40.07,40.22,1520000,39.96
2013-12-23,39.76,40.74,39.58,40.61,4901100,40.34
2013-12-20,41.42,41.45,39.64,39.66,10066500,39.40
2013-12-19,42.00,42.00,41.20,41.35,3010600,41.08
2013-12-18,41.63,42.21,40.96,41.96,4616000,41.69
2013-12-17,41.64,41.68,40.84,41.22,3630700,40.95
2013-12-16,40.86,41.89,40.71,41.73,4278500,41.46
2013-12-13,40.38,41.25,40.38,40.51,3951400,40.25
2013-12-12,40.51,41.04,40.00,40.23,4934600,39.97
2013-12-11,41.36,41.49,40.26,40.51,3279000,40.25
2013-12-10,41.42,41.93,41.16,41.54,2486400,41.27
2013-12-09,41.07,41.87,41.07,41.36,4514500,41.09
2013-12-06,41.79,42.40,40.89,41.05,5002600,40.78
2013-12-05,42.57,43.19,41.54,41.60,5397400,41.16
2013-12-04,42.00,43.00,41.60,42.80,6631600,42.35
2013-12-03,40.84,42.01,40.32,42.00,6307000,41.55
2013-12-02,40.59,41.92,40.57,41.08,6429000,40.64
2013-11-29,40.19,40.60,39.82,40.55,4284900,40.12
2013-11-27,39.65,39.70,39.27,39.61,3959300,39.19
2013-11-26,39.92,40.10,39.23,39.62,7039900,39.20
2013-11-25,40.01,40.03,39.55,39.73,4057100,39.31
2013-11-22,39.28,39.49,39.10,39.37,4832400,38.95
2013-11-21,38.96,39.51,37.91,39.07,9749000,38.66
2013-11-20,39.01,39.75,38.45,38.71,11858000,38.30
2013-11-19,40.72,41.11,38.42,38.78,33161300,38.37
2013-11-18,43.94,44.35,43.21,43.56,7235100,43.10
2013-11-15,43.42,43.94,43.32,43.69,4922100,43.23
2013-11-14,43.93,44.10,42.92,43.33,5966800,42.87
2013-11-13,43.73,44.66,43.66,43.99,5376400,43.52
2013-11-12,44.17,44.50,43.54,43.77,3472400,43.31
2013-11-11,43.44,44.34,43.10,44.33,6906800,43.86
2013-11-08,40.85,42.41,40.85,42.41,4150600,41.96
2013-11-07,42.00,42.27,40.87,40.89,6137000,40.46
2013-11-06,44.13,44.23,41.47,41.71,9488200,41.27
2013-11-05,43.26,44.26,43.14,44.06,4000700,43.59
2013-11-04,43.03,43.45,43.01,43.28,3277000,42.82
