Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,110.75,110.94,110.10,110.49,473000,109.97
2013-12-30,110.35,110.61,109.50,110.60,606600,110.08
2013-12-27,110.07,110.70,110.07,110.35,295900,109.83
2013-12-26,109.96,110.13,109.37,110.10,313500,109.58
2013-12-24,109.26,109.95,109.10,109.68,358900,109.17
2013-12-23,109.25,109.59,108.98,109.43,469300,108.92
2013-12-20,107.88,108.97,107.65,108.88,1389900,108.37
2013-12-19,108.36,108.57,107.21,108.02,1205900,107.51
2013-12-18,106.06,108.72,105.53,108.55,1158300,108.04
2013-12-17,106.21,106.75,105.25,105.75,846100,105.25
2013-12-16,105.92,106.56,105.75,105.88,736900,105.38
2013-12-13,105.06,105.84,105.06,105.45,651400,104.96
2013-12-12,105.40,105.70,104.94,105.00,620300,104.51
2013-12-11,107.55,107.68,105.56,105.64,763800,105.14
2013-12-10,108.49,108.77,107.24,107.32,744600,106.82
2013-12-09,108.39,108.94,107.90,108.61,662500,108.10
2013-12-06,107.17,108.39,107.01,108.35,720000,107.84
2013-12-05,107.41,107.87,106.92,107.00,833100,105.96
2013-12-04,107.39,108.13,106.66,107.41,1072100,106.36
2013-12-03,106.01,108.51,106.01,108.41,1167000,107.35
2013-12-02,108.76,108.88,107.76,108.12,1167600,107.07
2013-11-29,109.19,109.44,108.44,108.59,411800,107.53
2013-11-27,109.01,109.53,108.83,108.94,648000,107.88
2013-11-26,109.19,109.48,108.86,108.89,699800,107.83
2013-11-25,109.61,110.13,109.17,109.24,522800,108.17
2013-11-22,109.14,109.45,108.74,109.11,533700,108.05
2013-11-21,108.89,109.81,108.80,109.16,499900,108.09
2013-11-20,108.28,109.24,108.12,108.68,542500,107.62
2013-11-19,108.06,108.61,107.43,108.44,716000,107.38
2013-11-18,109.47,109.58,107.89,108.12,691400,107.07
2013-11-15,108.67,109.33,108.67,109.12,789100,108.06
2013-11-14,108.45,109.46,108.15,108.66,973200,107.60
2013-11-13,108.07,108.35,107.17,108.03,1279000,106.98
2013-11-12,108.18,109.03,107.70,108.92,819800,107.86
2013-11-11,107.51,108.25,107.17,108.00,811100,106.95
2013-11-08,105.96,107.73,105.92,107.71,812400,106.66
2013-11-07,107.16,107.60,106.18,106.30,919900,105.26
2013-11-06,106.77,107.71,106.45,107.06,904600,106.02
2013-11-05,107.55,107.88,105.48,107.01,1094600,105.97
2013-11-04,105.64,106.77,105.22,106.56,732600,105.52
2013-11-01,105.56,106.06,104.60,105.17,727900,104.14
2013-10-31,105.67,105.99,105.13,105.13,548400,104.10
2013-10-30,106.50,106.74,105.39,105.65,419900,104.62
2013-10-29,106.57,106.99,105.95,106.50,399500,105.46
2013-10-28,105.24,106.57,105.14,106.35,563000,105.31
2013-10-25,105.99,106.18,105.16,105.55,614800,104.52
2013-10-24,106.77,106.90,105.59,106.01,691000,104.98
2013-10-23,105.75,106.86,105.25,106.57,671800,105.53
2013-10-22,105.00,106.26,104.99,105.44,765700,104.41
2013-10-21,104.35,105.26,103.80,105.02,571400,104.00
2013-10-18,104.33,105.02,103.81,104.81,736700,103.79
2013-10-17,102.60,104.22,102.34,104.09,465400,103.07
2013-10-16,101.55,102.88,101.29,102.88,667600,101.88
2013-10-15,102.30,102.73,101.05,101.06,801400,100.07
2013-10-14,102.17,102.99,101.59,102.76,491200,101.76
2013-10-11,101.31,102.85,101.12,102.81,693600,101.81
2013-10-10,99.95,101.16,99.65,101.16,499200,100.17
2013-10-09,98.46,99.43,98.44,99.10,641300,98.13
2013-10-08,99.48,99.70,98.30,98.33,635400,97.37
2013-10-07,99.73,100.07,99.43,99.43,380100,98.46
2013-10-04,99.50,100.66,99.32,100.42,526700,99.44
2013-10-03,100.28,100.53,99.09,99.50,702100,98.53
2013-10-02,100.56,100.72,99.20,100.65,679900,99.67
2013-10-01,100.11,101.05,99.93,100.92,528300,99.94
2013-09-30,99.41,100.47,98.85,100.02,795600,99.04
2013-09-27,100.48,100.76,99.53,99.89,781700,98.92
2013-09-26,100.43,101.10,100.30,100.92,413700,99.94
2013-09-25,101.10,101.19,100.25,100.25,532200,99.27
2013-09-24,101.77,102.00,100.94,101.09,765500,100.10
2013-09-23,102.04,102.33,101.57,101.88,577700,100.89
2013-09-20,102.93,102.97,101.88,102.06,1053800,101.06
2013-09-19,102.62,102.99,102.39,102.87,625100,101.87
2013-09-18,101.65,102.89,101.65,102.32,1050400,101.32
2013-09-17,100.73,101.22,100.57,100.80,484500,99.82
2013-09-16,101.02,101.17,99.96,100.73,771000,99.75
2013-09-13,99.71,100.09,99.32,99.99,379000,99.01
2013-09-12,100.21,100.43,99.51,99.65,546200,98.68
2013-09-11,99.77,100.54,99.45,100.36,715000,99.38
2013-09-10,100.22,100.51,99.59,99.69,585000,98.72
2013-09-09,99.20,100.14,98.90,99.72,694400,98.75
2013-09-06,98.88,100.06,97.94,99.38,792300,98.41
2013-09-05,98.56,98.92,97.97,98.82,529400,97.86
