Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,67.70,68.17,67.70,68.06,354600,67.88
2013-12-30,67.36,67.97,67.23,67.64,369900,67.46
2013-12-27,67.19,67.42,67.01,67.29,225500,67.11
2013-12-26,67.20,67.30,66.80,67.18,310400,67.00
2013-12-24,67.08,67.32,66.90,67.08,105100,66.90
2013-12-23,67.58,67.71,67.02,67.14,433300,66.96
2013-12-20,67.34,67.44,66.99,67.34,754700,67.16
2013-12-19,66.93,67.34,66.70,66.94,488600,66.76
2013-12-18,66.10,67.29,65.20,67.27,787200,67.09
2013-12-17,66.29,66.55,65.93,66.19,699400,66.01
2013-12-16,66.03,66.59,65.88,65.93,463600,65.75
2013-12-13,66.04,66.11,65.43,65.77,1115300,65.59
2013-12-12,67.14,67.16,65.72,65.94,964800,65.76
2013-12-11,67.40,67.92,67.19,67.38,1269300,67.20
2013-12-10,67.20,67.33,66.86,67.23,776500,67.05
2013-12-09,66.83,67.46,66.41,67.45,1123600,67.27
2013-12-06,66.75,66.75,65.89,66.71,905600,66.53
2013-12-05,66.53,66.80,65.83,66.15,673800,65.97
2013-12-04,66.58,66.75,65.66,66.65,463600,66.47
2013-12-03,66.19,66.94,66.06,66.80,361100,66.62
2013-12-02,67.50,67.50,66.43,66.55,490000,66.37
2013-11-29,67.74,67.89,67.40,67.53,230600,67.35
2013-11-27,67.09,67.83,66.71,67.73,390700,67.55
2013-11-26,67.40,67.55,66.90,66.99,705400,66.81
2013-11-25,67.91,68.12,67.38,67.63,353000,67.45
2013-11-22,67.90,68.11,67.51,67.85,404800,67.67
2013-11-21,67.69,68.25,67.51,67.98,470100,67.80
2013-11-20,67.61,68.23,67.28,67.38,580100,67.20
2013-11-19,67.62,68.25,67.53,67.64,899700,67.46
2013-11-18,68.01,68.22,67.51,67.66,411200,67.48
2013-11-15,68.45,68.74,67.57,68.02,350000,67.84
2013-11-14,68.03,68.54,67.79,68.27,474000,68.09
2013-11-13,67.26,67.87,66.67,67.86,460600,67.68
2013-11-12,67.62,67.88,67.32,67.44,334100,67.26
2013-11-11,68.20,68.72,67.38,67.87,408900,67.69
2013-11-08,67.25,68.13,67.02,68.12,712100,67.94
2013-11-07,68.50,68.50,67.09,67.54,885000,67.36
2013-11-06,67.07,68.70,67.07,68.59,1122400,68.40
2013-11-05,67.00,67.45,66.72,66.99,1252100,66.81
2013-11-04,67.09,67.38,66.92,67.14,1071900,66.96
2013-11-01,67.24,67.51,66.29,67.01,988700,66.60
2013-10-31,66.11,67.89,65.21,67.30,2043600,66.89
2013-10-30,70.28,70.35,67.72,67.83,1744600,67.42
2013-10-29,69.56,70.34,69.50,70.30,803900,69.87
2013-10-28,68.73,69.70,68.59,69.48,844300,69.06
2013-10-25,68.18,68.78,68.16,68.65,627700,68.23
2013-10-24,69.70,69.90,68.16,68.18,738600,67.77
2013-10-23,69.74,70.01,69.35,69.44,631300,69.02
2013-10-22,69.98,70.63,69.64,69.89,595100,69.47
2013-10-21,69.95,69.97,69.46,69.76,361800,69.34
2013-10-18,69.50,69.94,68.95,69.83,991600,69.41
2013-10-17,68.04,69.66,67.97,69.61,766600,69.19
2013-10-16,67.76,68.30,67.62,68.19,638900,67.78
2013-10-15,68.16,68.22,67.03,67.23,466800,66.82
2013-10-14,67.93,68.42,67.70,68.33,660100,67.92
2013-10-11,67.42,68.28,67.33,68.26,671800,67.85
2013-10-10,66.80,67.39,66.68,67.38,676600,66.97
2013-10-09,66.88,67.07,66.26,66.42,1168600,66.02
2013-10-08,67.30,67.68,66.73,66.75,1575500,66.35
2013-10-07,66.58,67.55,66.51,67.26,999900,66.85
2013-10-04,66.54,68.08,66.51,67.17,1605000,66.76
2013-10-03,66.69,66.88,65.90,66.59,1211800,66.19
2013-10-02,65.52,67.00,64.92,66.81,1681800,66.41
2013-10-01,64.47,65.72,64.42,65.72,759800,65.32
2013-09-30,63.99,65.00,63.80,64.65,1027300,64.26
2013-09-27,64.12,64.92,64.02,64.37,714100,63.98
2013-09-26,64.64,64.98,64.08,64.51,881800,64.12
2013-09-25,65.16,65.21,64.39,64.81,1279600,64.42
2013-09-24,65.56,65.69,64.96,65.02,843300,64.63
2013-09-23,65.51,65.90,65.30,65.66,566700,65.26
2013-09-20,66.56,66.64,65.71,65.74,1050300,65.34
2013-09-19,67.00,67.21,66.30,66.39,1264800,65.99
2013-09-18,65.75,67.00,65.18,66.92,1036700,66.51
2013-09-17,65.50,65.95,65.47,65.71,412500,65.31
2013-09-16,65.60,66.12,65.39,65.44,500100,65.04
2013-09-13,65.20,65.40,65.06,65.30,713000,64.90
2013-09-12,65.28,65.35,64.85,65.12,709200,64.73
2013-09-11,64.96,65.27,64.65,65.27,576900,64.87
2013-09-10,64.62,65.11,64.58,64.96,948500,64.57
2013-09-09,63.70,64.55,63.70,64.43,1128300,64.04
2013-09-06,63.64,63.83,62.91,63.75,1213100,63.36
2013-09-05,62.51,63.49,62.51,63.32,939200,62.94
2013-09-04,61.72,63.17,61.38,62.56,898500,62.18
2013-09-03,63.00,63.39,61.87,62.18,959200,61.80
2013-08-30,62.40,62.75,62.21,62.65,1008400,62.27
2013-08-29,60.86,62.52,60.86,62.41,996300,62.03
2013-08-28,61.33,61.70,60.82,61.08,832300,60.71
2013-08-27,61.55,61.81,60.92,61.42,684600,61.05
2013-08-26,62.15,62.30,61.75,61.99,485000,61.61
2013-08-23,62.50,62.79,61.99,62.12,587900,61.74
2013-08-22,61.81,62.66,61.55,62.47,394700,62.09
2013-08-21,62.20,62.50,61.77,61.82,587500,61.45
2013-08-20,61.98,62.80,61.59,62.52,773700,62.14
2013-08-19,62.00,62.39,61.64,61.67,522500,61.30
2013-08-16,62.20,62.56,61.80,62.20,711500,61.82
2013-08-15,62.67,62.67,62.00,62.08,688700,61.70
2013-08-14,63.50,63.85,62.95,63.10,1106400,62.72
2013-08-13,64.12,64.44,63.61,63.74,804100,63.35
2013-08-12,64.76,65.15,63.77,64.02,989700,63.63
2013-08-09,65.58,66.27,65.53,65.68,1054200,65.06
2013-08-08,65.33,66.87,64.68,66.28,1886100,65.65
2013-08-07,64.95,65.19,64.42,64.43,812600,63.82
2013-08-06,65.67,65.94,65.08,65.21,567400,64.59
2013-08-05,65.74,66.17,65.58,65.80,337600,65.18
2013-08-02,65.57,66.13,65.13,65.77,487800,65.15
2013-08-01,65.39,66.00,65.28,65.81,568300,65.19
2013-07-31,64.33,65.43,64.33,64.99,660400,64.38
2013-07-30,64.21,64.81,63.99,64.12,451800,63.51
2013-07-29,64.50,64.70,63.83,63.95,537100,63.35
2013-07-26,64.77,64.94,63.89,64.77,461500,64.16
2013-07-25,64.19,65.50,63.81,65.23,642000,64.61
2013-07-24,65.16,65.49,64.04,64.19,531400,63.58
2013-07-23,65.64,65.83,64.95,65.07,343000,64.45
2013-07-22,65.33,65.88,64.79,65.64,572100,65.02
2013-07-19,65.44,65.50,64.95,65.39,381600,64.77
2013-07-18,65.44,65.95,65.33,65.49,343100,64.87
2013-07-17,65.18,65.59,65.07,65.39,483600,64.77
2013-07-16,64.75,65.30,64.40,64.82,345400,64.21
2013-07-15,65.09,65.48,64.92,64.99,531100,64.38
2013-07-12,64.50,65.35,64.50,65.27,611900,64.65
2013-07-11,64.12,64.65,64.00,64.55,547200,63.94
2013-07-10,63.23,63.54,62.66,63.27,850200,62.67
2013-07-09,63.49,64.00,62.98,63.23,975200,62.63
2013-07-08,63.58,63.84,63.02,63.24,601100,62.64
2013-07-05,63.81,64.14,63.05,63.46,368000,62.86
2013-07-03,63.58,63.85,63.25,63.53,316500,62.93
2013-07-02,63.28,63.88,62.97,63.70,648000,63.10
2013-07-01,63.51,63.83,63.04,63.23,839800,62.63
2013-06-28,62.91,63.59,62.64,63.11,880600,62.51
2013-06-27,62.83,63.49,62.71,63.11,381900,62.51
2013-06-26,62.88,63.17,62.39,62.39,585300,61.80
2013-06-25,63.30,63.30,62.08,62.25,651200,61.66
2013-06-24,62.26,63.35,61.99,62.84,637500,62.25
2013-06-21,62.20,63.20,61.70,62.88,1063900,62.29
2013-06-20,63.38,63.58,61.64,61.75,827700,61.17
2013-06-19,65.04,65.32,63.86,63.86,545700,63.26
2013-06-18,65.14,65.53,64.68,65.01,641000,64.40
2013-06-17,65.75,66.00,64.84,64.99,515900,64.38
2013-06-14,65.01,65.60,64.78,65.35,558500,64.73
2013-06-13,64.36,65.43,63.93,65.22,770900,64.60
2013-06-12,65.74,65.78,64.48,64.48,455100,63.87
2013-06-11,64.75,65.84,64.20,65.34,612400,64.72
2013-06-10,65.65,65.65,65.00,65.49,815400,64.87
2013-06-07,64.41,65.51,64.41,65.18,936900,64.56
2013-06-06,64.67,64.92,63.80,64.20,785500,63.59
2013-06-05,65.09,65.47,64.39,64.79,850200,64.18
2013-06-04,65.22,65.78,64.68,65.39,696500,64.77
2013-06-03,64.95,65.13,63.43,65.08,851700,64.46
2013-05-31,66.31,66.67,64.83,64.84,938700,64.23
2013-05-30,66.51,66.96,66.45,66.63,380400,66.00
2013-05-29,66.89,67.27,66.19,66.64,551500,66.01
2013-05-28,67.92,68.51,67.18,67.30,599000,66.66
2013-05-24,66.94,67.66,66.60,67.26,545300,66.62
2013-05-23,66.82,67.65,66.64,67.39,427900,66.75
2013-05-22,68.24,69.10,67.26,67.64,495800,67.00
2013-05-21,68.32,68.66,67.44,68.37,472700,67.72
2013-05-20,68.81,68.82,68.16,68.33,299600,67.68
2013-05-17,68.73,69.05,68.35,68.94,617500,68.29
