Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,57.20,57.85,57.14,57.73,1175300,57.60
2013-12-30,57.12,57.52,56.99,57.19,1108400,57.06
2013-12-27,57.03,57.44,56.90,57.23,1567700,57.10
2013-12-26,56.79,57.32,56.38,57.18,1762200,56.93
2013-12-24,56.55,56.77,56.36,56.73,456900,56.48
2013-12-23,56.91,56.99,56.41,56.58,1201200,56.34
2013-12-20,55.79,56.90,55.49,56.25,3769000,56.01
2013-12-19,55.88,55.92,55.31,55.67,2691400,55.43
2013-12-18,54.82,56.07,53.98,56.03,3120600,55.79
2013-12-17,54.55,54.71,53.82,54.43,2253600,54.19
2013-12-16,54.41,54.88,54.23,54.65,1349300,54.41
2013-12-13,53.95,54.26,53.62,54.02,3952200,53.79
2013-12-12,53.73,54.05,53.57,53.70,1589400,53.47
2013-12-11,55.04,55.07,53.63,53.78,2654100,53.55
2013-12-10,55.54,55.54,54.58,54.99,2637800,54.75
2013-12-09,54.66,55.77,54.37,55.70,2571100,55.46
2013-12-06,54.88,54.88,54.42,54.58,2170200,54.34
2013-12-05,54.29,54.47,53.96,54.09,3361400,53.86
2013-12-04,54.36,54.98,54.05,54.55,1903700,54.31
2013-12-03,55.24,55.38,54.52,54.88,2278400,54.64
2013-12-02,55.43,55.96,55.25,55.51,1944000,55.27
2013-11-29,55.64,55.77,55.34,55.39,1145200,55.15
2013-11-27,55.14,55.51,55.06,55.47,1164600,55.23
2013-11-26,55.30,55.45,55.13,55.13,1183600,54.89
2013-11-25,55.72,55.77,55.38,55.42,1677800,55.18
2013-11-22,54.99,55.70,54.60,55.65,1866700,55.41
2013-11-21,53.91,54.58,53.71,54.52,1145600,54.28
2013-11-20,53.70,54.35,53.35,53.58,1819500,53.35
2013-11-19,53.68,54.15,53.48,53.79,1542800,53.56
2013-11-18,54.25,54.34,53.74,53.81,1890200,53.58
2013-11-15,54.47,54.60,53.80,54.15,1901500,53.92
2013-11-14,53.50,54.43,53.50,54.27,1811200,54.04
2013-11-13,52.33,53.49,52.33,53.46,2152100,53.23
2013-11-12,51.88,52.78,51.56,52.71,3495700,52.48
2013-11-11,52.35,53.19,51.62,51.88,2129500,51.66
2013-11-08,51.84,52.32,50.75,52.27,4778600,52.04
