Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,75.70,75.70,75.02,75.57,206500,75.31
2013-12-30,75.40,75.87,75.16,75.55,213700,75.29
2013-12-27,75.64,75.94,74.86,75.41,184900,75.15
2013-12-26,75.14,75.28,74.33,75.01,197900,74.75
2013-12-24,75.19,75.19,74.49,75.06,66900,74.80
2013-12-23,75.50,75.92,74.70,75.01,238300,74.75
2013-12-20,74.63,75.29,74.38,75.14,582100,74.88
2013-12-19,74.98,75.24,73.92,74.43,287400,74.17
2013-12-18,73.40,75.02,72.50,74.90,348000,74.64
2013-12-17,73.81,74.00,73.02,73.21,306000,72.96
2013-12-16,73.40,74.81,73.40,73.83,207400,73.58
2013-12-13,73.76,74.08,72.92,73.37,293200,73.12
2013-12-12,75.06,75.09,73.37,73.46,266600,73.21
2013-12-11,75.25,76.00,74.78,74.89,450400,74.63
2013-12-10,75.82,76.11,75.01,75.20,339300,74.94
2013-12-09,76.73,76.73,75.64,76.16,392800,75.90
2013-12-06,76.68,76.69,74.95,76.31,425900,76.05
2013-12-05,74.74,75.08,74.39,74.41,343200,74.15
2013-12-04,74.92,75.43,73.75,74.94,473200,74.68
2013-12-03,74.09,74.84,73.40,74.50,466900,74.24
2013-12-02,75.00,75.92,73.68,73.88,410800,73.63
2013-11-29,75.62,76.19,74.96,75.02,125500,74.47
2013-11-27,75.73,76.21,75.15,75.65,152300,75.10
2013-11-26,76.13,76.13,75.15,75.39,244600,74.84
2013-11-25,75.39,76.21,75.17,75.55,214400,75.00
2013-11-22,75.14,75.60,74.66,75.38,168800,74.83
2013-11-21,74.81,75.43,74.72,75.36,159800,74.81
2013-11-20,74.92,75.13,74.10,74.49,160000,73.95
2013-11-19,74.84,75.51,74.54,74.82,181600,74.27
2013-11-18,75.56,76.44,74.68,75.08,229800,74.53
2013-11-15,74.57,75.35,74.41,75.09,177600,74.54
2013-11-14,74.69,75.08,74.15,74.81,151000,74.26
2013-11-13,73.44,74.47,72.99,74.26,301500,73.72
2013-11-12,73.92,74.25,73.25,73.85,197300,73.31
2013-11-11,74.35,74.45,73.53,73.94,209300,73.40
2013-11-08,73.30,74.25,72.11,74.21,266700,73.67
2013-11-07,74.23,74.46,72.86,72.99,333700,72.46
2013-11-06,73.69,74.13,73.16,74.12,261000,73.58
2013-11-05,73.42,74.00,72.78,73.54,318200,73.00
2013-11-04,73.27,73.58,72.76,73.54,244800,73.00
2013-11-01,72.88,73.28,72.52,73.09,278500,72.56
2013-10-31,73.83,74.19,72.88,72.98,384500,72.45
2013-10-30,74.65,74.96,73.84,73.88,248500,73.34
2013-10-29,73.98,74.68,73.73,74.55,426100,74.01
2013-10-28,73.18,74.01,72.92,73.96,355400,73.42
2013-10-25,72.62,72.86,71.27,72.80,260900,72.27
2013-10-24,72.74,72.78,72.07,72.42,240400,71.89
2013-10-23,72.83,72.99,72.14,72.46,257800,71.93
2013-10-22,72.83,73.49,72.56,73.20,188500,72.67
2013-10-21,72.19,73.10,71.23,72.63,262000,72.10
2013-10-18,73.02,73.30,71.89,72.61,536400,72.08
2013-10-17,70.94,72.48,70.80,72.44,411200,71.91
2013-10-16,70.00,71.21,70.00,71.14,412000,70.62
2013-10-15,70.01,70.47,69.56,69.75,366200,69.24
2013-10-14,69.72,70.44,69.72,70.40,456600,69.89
2013-10-11,69.90,70.26,69.67,70.23,386200,69.72
2013-10-10,68.05,69.82,68.05,69.82,324500,69.31
2013-10-09,68.12,68.29,67.25,67.40,281500,66.91
2013-10-08,68.43,68.99,67.84,67.86,356400,67.37
2013-10-07,67.96,68.91,67.96,68.59,292500,68.09
2013-10-04,67.70,68.97,67.63,68.75,366400,68.25
2013-10-03,68.00,68.26,67.51,67.75,429200,67.26
2013-10-02,68.62,69.20,67.59,68.35,627800,67.85
2013-10-01,68.28,69.12,67.83,69.12,430900,68.62
2013-09-30,68.49,68.78,67.92,68.13,315300,67.63
2013-09-27,69.01,69.05,68.41,68.77,205700,68.27
2013-09-26,68.90,69.35,68.68,69.11,171500,68.61
2013-09-25,69.67,70.11,68.68,68.79,222300,68.29
2013-09-24,70.58,70.65,69.31,69.40,390300,68.89
2013-09-23,70.55,70.75,70.12,70.44,375800,69.93
2013-09-20,71.76,72.00,70.46,70.46,2176200,69.95
2013-09-19,72.39,72.53,71.41,71.48,377900,70.96
2013-09-18,71.12,72.17,70.12,72.08,307000,71.55
2013-09-17,70.74,71.05,70.63,70.92,224400,70.40
2013-09-16,71.02,71.35,70.50,70.72,301000,70.20
2013-09-13,69.94,70.10,69.48,70.03,245400,69.52
2013-09-12,69.63,69.77,69.43,69.63,212100,69.12
2013-09-11,69.30,69.90,68.93,69.74,250800,69.23
2013-09-10,69.38,69.42,68.93,69.19,326400,68.69
2013-09-09,68.22,69.06,67.94,69.02,337800,68.52
2013-09-06,68.19,68.65,67.58,68.23,295500,67.73
2013-09-05,68.00,68.36,67.73,68.17,272200,67.67
2013-09-04,66.56,68.62,66.56,68.17,792300,67.67
2013-09-03,67.40,67.68,66.41,66.69,322900,66.20
2013-08-30,67.69,68.00,66.83,66.99,455100,66.25
2013-08-29,67.95,68.47,67.54,67.65,436000,66.90
2013-08-28,69.13,69.60,67.65,67.96,534100,67.21
2013-08-27,68.08,69.45,68.08,69.02,328200,68.26
2013-08-26,69.86,70.22,68.96,69.12,169000,68.35
2013-08-23,70.21,70.60,69.49,69.87,115500,69.10
2013-08-22,68.92,70.63,68.36,70.03,232000,69.25
2013-08-21,69.73,69.73,68.40,68.94,295600,68.18
2013-08-20,69.36,69.94,69.00,69.66,289900,68.89
2013-08-19,68.80,69.71,68.80,69.27,291600,68.50
2013-08-16,69.71,70.00,68.68,68.75,526300,67.99
2013-08-15,70.92,71.01,69.70,69.88,232500,69.11
2013-08-14,71.51,71.87,71.12,71.15,195800,70.36
2013-08-13,71.67,71.90,71.23,71.63,234600,70.84
2013-08-12,72.11,72.16,71.37,71.50,197200,70.71
2013-08-09,73.10,73.12,72.04,72.56,287000,71.76
2013-08-08,72.12,72.92,71.99,72.86,367800,72.05
2013-08-07,72.87,73.02,72.03,72.06,227900,71.26
2013-08-06,72.97,73.32,72.58,73.02,385700,72.21
2013-08-05,72.58,73.17,72.37,72.87,215400,72.06
2013-08-02,72.80,73.06,71.91,72.62,331900,71.82
2013-08-01,73.24,73.73,72.79,72.90,323500,72.09
2013-07-31,72.01,73.40,71.94,72.51,637400,71.71
2013-07-30,72.69,72.77,71.44,71.54,226100,70.75
2013-07-29,71.76,72.29,71.60,72.08,146900,71.28
2013-07-26,72.02,72.38,71.10,72.08,185200,71.28
2013-07-25,71.94,72.63,71.87,72.42,126100,71.62
2013-07-24,72.95,73.02,71.65,71.96,181500,71.16
2013-07-23,72.98,73.17,72.18,72.77,156200,71.96
2013-07-22,72.83,73.05,72.19,72.75,290300,71.94
2013-07-19,73.71,73.71,72.86,73.00,526000,72.19
2013-07-18,73.41,73.59,73.10,73.43,216100,72.62
2013-07-17,72.90,73.61,72.89,73.41,468500,72.60
2013-07-16,72.04,72.84,71.65,72.53,336500,71.73
2013-07-15,72.04,72.35,71.74,72.23,242900,71.43
2013-07-12,71.99,72.29,71.60,72.16,375700,71.36
2013-07-11,71.56,72.18,71.00,72.05,457300,71.25
2013-07-10,69.51,70.75,69.51,70.72,441900,69.94
2013-07-09,69.50,69.85,69.17,69.66,237700,68.89
2013-07-08,67.52,69.08,67.48,69.00,398100,68.24
2013-07-05,67.74,68.09,66.84,67.48,179600,66.73
2013-07-03,67.30,67.76,66.94,67.43,134100,66.68
2013-07-02,67.45,68.06,67.19,67.74,492100,66.99
2013-07-01,67.69,68.45,67.37,67.45,394300,66.70
2013-06-28,68.30,68.75,67.52,67.55,565000,66.80
2013-06-27,68.47,69.00,68.09,68.43,186800,67.67
2013-06-26,68.16,68.77,67.88,67.93,386100,67.18
2013-06-25,68.04,68.17,67.17,67.72,258100,66.97
2013-06-24,67.94,68.53,66.97,67.61,288100,66.86
2013-06-21,67.13,69.18,67.13,68.24,621500,67.48
2013-06-20,68.53,68.61,66.44,66.50,391300,65.76
2013-06-19,70.73,71.08,68.91,69.00,243600,68.24
2013-06-18,70.57,70.89,70.19,70.64,193800,69.86
2013-06-17,70.26,71.15,70.08,70.58,242500,69.80
2013-06-14,70.23,71.07,69.77,69.94,217100,69.17
2013-06-13,69.02,70.31,68.28,70.19,277600,69.41
2013-06-12,70.33,70.74,68.95,68.97,265900,68.21
2013-06-11,69.40,70.85,69.27,69.97,271900,69.20
2013-06-10,69.88,70.45,69.22,69.87,212100,69.10
2013-06-07,69.76,70.80,69.49,69.89,428100,69.12
2013-06-06,68.08,69.20,67.88,69.13,359900,68.36
2013-06-05,69.05,69.05,68.08,68.20,274400,67.44
2013-06-04,68.46,69.21,68.35,68.48,385000,67.72
2013-06-03,68.55,69.64,67.95,68.24,539400,67.48
2013-05-31,70.60,70.78,68.82,68.82,618100,67.81
2013-05-30,70.81,71.33,70.70,70.92,218600,69.87
2013-05-29,71.11,71.49,70.45,70.64,226300,69.60
2013-05-28,71.59,72.34,71.20,71.50,154400,70.45
2013-05-24,71.06,71.51,70.59,71.03,171200,69.98
2013-05-23,70.89,71.38,70.50,71.16,212700,70.11
2013-05-22,71.74,72.93,71.03,71.14,256400,70.09
2013-05-21,72.00,72.21,71.38,71.79,245600,70.73
2013-05-20,72.79,72.94,71.93,72.15,185700,71.09
2013-05-17,72.62,72.99,72.41,72.88,281000,71.81
2013-05-16,72.78,74.29,72.50,72.76,254600,71.69
2013-05-15,71.82,73.23,71.56,72.99,284900,71.91
2013-05-14,70.42,72.00,70.42,71.95,222000,70.89
2013-05-13,70.43,70.97,70.22,70.49,315200,69.45
2013-05-10,70.54,70.97,70.21,70.58,256100,69.54
2013-05-09,71.19,71.19,70.25,70.45,203900,69.41
2013-05-08,71.08,71.49,70.64,71.22,210900,70.17
2013-05-07,70.57,71.44,70.14,71.34,243300,70.29
2013-05-06,71.40,71.59,70.15,70.55,212800,69.51
2013-05-03,71.19,71.68,70.57,71.60,277400,70.54
2013-05-02,69.99,71.18,69.69,70.92,391900,69.87
2013-05-01,70.49,70.91,69.83,69.95,186500,68.92
2013-04-30,70.32,70.61,69.35,70.50,265300,69.46
2013-04-29,70.28,70.47,69.85,70.36,162700,69.32
2013-04-26,70.25,70.37,69.87,70.20,176900,69.17
2013-04-25,70.34,70.64,69.54,70.21,198200,69.18
2013-04-24,71.53,71.53,69.86,69.95,186000,68.92
2013-04-23,71.26,71.53,70.25,71.33,249200,70.28
2013-04-22,71.61,71.61,70.78,70.96,238000,69.91
2013-04-19,70.93,71.98,70.79,71.71,422900,70.65
2013-04-18,70.77,71.43,70.23,70.70,297400,69.66
2013-04-17,71.41,71.44,70.18,70.66,301000,69.62
2013-04-16,70.40,71.75,69.75,71.74,300600,70.68
2013-04-15,70.60,71.74,70.08,70.08,359200,69.05
2013-04-12,70.54,70.86,70.13,70.80,181100,69.76
2013-04-11,70.41,71.02,70.05,70.93,186800,69.88
2013-04-10,69.32,70.41,69.04,70.38,260200,69.34
2013-04-09,69.64,69.99,69.05,69.39,202200,68.37
2013-04-08,69.37,69.72,69.27,69.68,179800,68.65
2013-04-05,69.86,69.86,69.12,69.43,278400,68.41
2013-04-04,70.58,70.76,69.82,70.07,305700,69.04
2013-04-03,71.99,71.99,70.22,70.34,266500,69.30
2013-04-02,71.40,71.95,71.17,71.86,266100,70.80
2013-04-01,71.35,71.35,70.56,71.05,310300,70.00
2013-03-28,70.27,71.46,69.97,71.40,423300,70.35
2013-03-27,69.92,70.19,69.46,70.19,171200,69.16
2013-03-26,69.60,70.35,69.30,70.34,191500,69.30
2013-03-25,69.16,69.82,68.94,69.23,258900,68.21
2013-03-22,68.58,69.27,68.54,68.94,259700,67.92
2013-03-21,68.71,69.00,68.15,68.21,201400,67.20
2013-03-20,69.04,69.14,68.68,68.94,168200,67.92
2013-03-19,68.26,68.94,68.17,68.69,218400,67.68
2013-03-18,68.14,68.59,67.82,68.04,286000,67.04
2013-03-15,68.63,69.03,68.24,68.85,506600,67.84
2013-03-14,68.52,68.88,68.29,68.83,263300,67.82
2013-03-13,68.19,68.57,67.89,68.48,178600,67.47
2013-03-12,68.36,68.36,67.99,68.17,227000,67.17
2013-03-11,67.41,68.23,67.32,68.19,271700,67.19
2013-03-08,67.69,67.70,67.14,67.48,236200,66.49
2013-03-07,68.00,68.18,67.14,67.38,344100,66.39
2013-03-06,68.11,68.30,67.34,67.88,320200,66.88
2013-03-05,67.52,68.36,67.26,68.03,359500,66.78
2013-03-04,65.66,67.21,65.64,67.21,386200,65.97
2013-03-01,65.60,66.00,65.28,65.60,605500,64.39
2013-02-28,65.78,66.12,65.50,65.62,455600,64.41
2013-02-27,65.57,65.88,65.28,65.58,429500,64.37
2013-02-26,65.96,66.40,65.40,65.65,271600,64.44
2013-02-25,67.02,67.09,65.80,65.80,393100,64.59
2013-02-22,65.93,66.87,65.86,66.87,233400,65.64
2013-02-21,66.12,66.32,65.62,65.85,288500,64.64
2013-02-20,66.45,66.90,66.04,66.11,402900,64.89
2013-02-19,65.33,66.50,65.21,66.48,575600,65.25
2013-02-15,64.57,65.71,64.38,65.24,1343600,64.04
2013-02-14,64.19,65.00,63.84,64.33,562600,63.14
2013-02-13,64.32,64.50,63.90,64.11,337300,62.93
2013-02-12,64.25,64.69,64.05,64.20,276300,63.02
2013-02-11,65.12,65.33,64.01,64.10,351000,62.92
2013-02-08,65.19,65.39,64.81,65.08,271200,63.88
2013-02-07,64.87,65.63,64.71,65.07,337600,63.87
2013-02-06,64.94,65.27,64.58,64.81,344200,63.62
2013-02-05,64.83,65.19,64.40,64.98,501700,63.78
2013-02-04,65.08,65.22,64.62,64.67,286800,63.48
2013-02-01,65.07,65.61,64.73,65.44,449000,64.23
2013-01-31,65.20,65.89,64.55,64.70,766900,63.51
2013-01-30,64.87,65.91,64.58,65.12,354000,63.92
2013-01-29,64.40,65.00,64.39,64.89,390000,63.69
2013-01-28,65.25,65.25,64.14,64.34,366700,63.15
2013-01-25,64.56,65.14,64.10,65.09,483700,63.89
2013-01-24,64.06,64.75,64.06,64.47,225600,63.28
2013-01-23,64.43,64.62,63.80,64.08,279000,62.90
2013-01-22,64.50,64.57,64.02,64.37,311300,63.18
2013-01-18,64.33,64.72,64.09,64.62,748300,63.43
2013-01-17,63.84,64.60,63.60,64.17,387200,62.99
2013-01-16,63.55,63.76,63.36,63.60,329600,62.43
2013-01-15,63.46,63.82,62.99,63.79,571400,62.61
2013-01-14,62.94,63.70,62.74,63.61,556100,62.44
2013-01-11,62.86,63.32,62.27,62.94,605500,61.78
2013-01-10,62.71,63.04,62.32,62.86,471400,61.70
2013-01-09,63.00,63.28,62.07,62.32,574600,61.17
2013-01-08,61.38,62.99,60.90,62.89,1019800,61.73
2013-01-07,62.41,62.85,61.45,61.71,762300,60.57
2013-01-04,62.51,62.83,62.29,62.73,775800,61.57
2013-01-03,63.60,63.96,62.32,62.50,547300,61.35
2013-01-02,63.72,64.00,63.23,63.92,773800,62.74
2012-12-31,62.00,63.25,61.67,63.25,448000,62.08
2012-12-28,62.70,62.86,62.05,62.05,232200,60.91
2012-12-27,62.87,63.26,62.34,62.96,383600,61.80
2012-12-26,63.12,63.54,62.65,62.72,325900,61.56
2012-12-24,63.12,63.56,62.80,63.50,128400,62.33
2012-12-21,63.71,63.98,62.86,63.31,814700,62.14
2012-12-20,63.37,63.93,63.26,63.65,493200,62.48
2012-12-19,63.94,63.94,63.16,63.21,616600,62.05
2012-12-18,63.55,64.01,63.03,64.01,593500,62.83
2012-12-17,63.37,64.09,63.16,63.59,446900,62.42
2012-12-14,63.24,63.79,62.64,63.28,476100,62.11
2012-12-13,63.93,64.27,63.17,63.24,785000,62.07
2012-12-12,65.58,65.75,63.91,64.00,724000,62.82
2012-12-11,65.59,66.07,65.04,65.48,683700,64.27
2012-12-10,64.61,65.97,64.50,65.53,852500,64.32
2012-12-07,68.23,68.91,68.01,68.57,1511300,67.31
2012-12-06,68.42,68.75,67.82,68.11,594000,66.85
2012-12-05,69.25,71.00,68.18,68.43,783500,67.17
2012-12-04,69.57,69.79,68.54,68.74,785000,67.47
2012-12-03,70.30,70.63,69.35,69.72,731700,68.44
2012-11-30,69.49,70.21,67.61,70.18,1095600,68.64
2012-11-29,69.44,70.65,69.01,70.14,467400,68.60
2012-11-28,69.12,69.79,68.41,69.35,485000,67.82
2012-11-27,70.21,70.87,68.93,69.29,755500,67.77
2012-11-26,68.09,68.36,67.64,67.98,514600,66.48
2012-11-23,67.29,68.42,67.07,68.42,89700,66.92
2012-11-21,67.25,67.63,66.54,66.97,172500,65.50
2012-11-20,66.63,67.29,66.27,67.29,237200,65.81
2012-11-19,65.78,66.83,65.21,66.83,368000,65.36
2012-11-16,64.72,65.61,63.81,65.31,1294400,63.87
2012-11-15,64.28,64.96,64.10,64.74,386300,63.32
2012-11-14,64.76,64.76,63.89,64.18,222600,62.77
2012-11-13,63.87,65.11,63.79,64.55,226900,63.13
2012-11-12,64.25,64.25,63.50,64.10,187800,62.69
2012-11-09,64.30,64.73,64.10,64.15,310900,62.74
2012-11-08,64.25,64.82,63.86,64.53,388500,63.11
2012-11-07,64.26,64.62,63.09,64.40,347000,62.98
2012-11-06,64.43,65.03,64.30,64.60,233700,63.18
2012-11-05,64.34,64.70,63.61,64.44,278100,63.02
2012-11-02,65.03,65.16,64.41,64.47,296700,63.05
2012-11-01,64.18,64.57,63.37,64.53,388700,63.11
2012-10-31,63.62,64.47,63.15,64.06,283700,62.65
2012-10-26,64.03,64.17,63.26,63.60,228900,62.20
2012-10-25,63.90,63.97,63.42,63.95,188300,62.54
2012-10-24,63.92,64.25,63.11,63.41,197800,62.02
2012-10-23,64.41,64.75,62.77,63.72,422600,62.32
2012-10-22,64.17,64.95,64.17,64.85,320200,63.42
2012-10-19,65.97,65.99,64.41,64.46,490000,63.04
2012-10-18,67.07,67.10,65.81,66.09,309700,64.64
2012-10-17,67.77,67.88,66.87,67.11,260400,65.63
2012-10-16,67.00,67.03,66.35,66.88,273500,65.41
2012-10-15,65.70,66.82,65.52,66.58,428900,65.12
2012-10-12,65.53,65.98,65.03,65.46,375700,64.02
2012-10-11,65.60,66.04,65.10,65.18,389000,63.75
2012-10-10,66.18,66.26,65.00,65.10,329100,63.67
2012-10-09,66.45,66.70,66.19,66.20,363600,64.74
2012-10-08,66.67,66.75,66.25,66.45,172800,64.99
2012-10-05,66.93,67.05,66.29,66.67,336000,65.20
2012-10-04,67.31,67.69,66.24,66.53,372800,65.07
2012-10-03,66.44,67.24,66.10,67.17,429400,65.69
2012-10-02,65.68,66.35,65.62,66.22,247900,64.76
2012-10-01,65.26,65.66,65.26,65.49,414100,64.05
2012-09-28,64.94,65.27,64.26,65.25,500700,63.81
2012-09-27,64.58,65.05,64.15,65.05,216800,63.62
2012-09-26,64.69,65.18,64.23,64.45,306700,63.03
2012-09-25,64.52,64.88,64.29,64.61,311100,63.19
2012-09-24,64.20,64.50,63.92,64.27,212300,62.86
2012-09-21,64.87,64.99,64.36,64.42,822500,63.00
2012-09-20,64.71,65.11,64.51,64.67,272800,63.25
2012-09-19,65.07,65.31,64.63,64.87,262700,63.44
2012-09-18,64.03,64.99,64.02,64.86,255400,63.43
2012-09-17,64.32,64.36,63.74,64.03,375000,62.62
2012-09-14,65.32,65.34,63.93,64.19,397000,62.78
2012-09-13,64.34,65.09,64.34,64.90,371700,63.47
2012-09-12,65.52,65.82,64.25,64.59,379700,63.17
2012-09-11,66.31,67.91,65.51,65.52,489600,64.08
2012-09-10,66.68,66.76,66.05,66.44,249700,64.98
2012-09-07,66.95,67.09,66.36,66.73,323800,65.26
2012-09-06,65.35,66.80,65.15,66.79,494800,65.32
