Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,317.42,318.76,314.97,316.47,325600,314.48
2013-12-30,316.29,316.99,313.84,316.08,339000,314.09
2013-12-27,316.00,318.99,314.21,316.38,284300,314.39
2013-12-26,323.00,323.00,313.05,315.39,340500,313.41
2013-12-24,315.26,316.79,313.96,316.20,188100,314.21
2013-12-23,318.56,318.56,314.38,315.42,460800,313.44
2013-12-20,309.45,317.15,308.40,314.34,1260700,312.37
2013-12-19,309.64,309.98,306.12,308.39,701700,306.45
2013-12-18,301.79,309.86,297.88,309.69,960400,307.74
2013-12-17,304.51,305.81,302.13,302.63,809400,300.73
2013-12-16,298.00,304.95,297.49,304.76,934300,302.85
2013-12-13,293.35,299.06,293.35,297.80,612300,295.93
2013-12-12,292.30,295.36,291.67,291.77,717300,289.94
2013-12-11,299.68,300.78,292.05,292.32,669900,290.48
2013-12-10,300.30,302.62,298.55,299.40,483700,297.52
2013-12-09,302.65,304.93,300.46,302.71,375900,300.81
2013-12-06,299.58,302.08,299.20,301.83,496000,299.93
2013-12-05,295.66,296.65,293.43,295.55,544500,293.69
2013-12-04,297.03,300.47,292.02,297.46,466500,295.59
2013-12-03,302.81,304.55,296.40,298.41,650300,296.54
2013-12-02,302.50,309.21,302.50,305.00,489300,303.08
2013-11-29,309.85,309.85,302.41,302.75,231700,300.85
2013-11-27,304.16,307.86,303.58,307.60,421500,304.00
2013-11-26,299.08,305.74,299.08,303.44,674700,299.89
2013-11-25,304.53,305.00,301.21,301.62,304200,298.09
2013-11-22,303.97,303.98,300.92,303.76,615100,300.20
2013-11-21,299.28,303.88,297.81,303.43,400400,299.88
2013-11-20,302.75,305.24,297.38,299.03,490300,295.53
2013-11-19,304.24,306.01,301.61,302.40,341600,298.86
2013-11-18,305.75,306.61,302.99,303.94,555700,300.38
2013-11-15,302.50,305.57,301.77,303.19,494700,299.64
2013-11-14,298.43,302.85,297.88,302.60,639600,299.06
2013-11-13,295.16,298.86,294.37,298.68,639500,295.18
2013-11-12,300.60,302.37,296.44,297.21,463900,293.73
2013-11-11,300.73,303.69,299.75,302.19,423500,298.65
2013-11-08,297.05,302.10,297.00,301.59,863200,298.06
2013-11-07,308.49,308.49,296.54,296.68,480900,293.21
2013-11-06,306.00,307.02,303.11,305.01,477300,301.44
2013-11-05,303.76,304.26,300.49,301.85,431200,298.32
2013-11-04,303.73,304.68,303.01,303.48,431000,299.93
2013-11-01,300.92,304.17,300.15,303.65,494400,300.09
2013-10-31,306.37,309.18,300.72,300.81,882200,297.29
2013-10-30,309.06,311.32,305.65,306.18,612100,302.59
2013-10-29,308.76,309.84,307.44,309.26,423700,305.64
2013-10-28,308.00,310.25,305.94,308.44,507100,304.83
2013-10-25,306.95,308.48,305.38,307.61,123500,304.01
2013-10-24,304.73,308.42,303.24,306.95,610000,303.36
2013-10-23,304.72,304.90,300.12,303.03,770100,299.48
2013-10-22,304.35,307.60,302.38,306.22,686500,302.63
2013-10-21,301.68,303.65,300.48,301.54,581800,298.01
2013-10-18,299.46,302.44,296.59,301.66,807800,298.13
2013-10-17,289.89,299.09,288.24,298.51,992400,295.01
2013-10-16,284.74,293.52,281.89,290.47,887300,287.07
2013-10-15,283.10,284.88,281.14,282.27,740100,278.96
2013-10-14,279.39,282.65,277.50,282.27,441400,278.96
2013-10-11,277.27,281.18,275.91,280.49,459400,277.21
2013-10-10,268.24,277.74,268.24,277.25,577900,274.00
2013-10-09,263.10,269.28,263.05,266.80,908600,263.68
2013-10-08,268.15,269.58,262.68,262.75,640400,259.67
2013-10-07,268.82,270.27,267.04,267.19,392500,264.06
2013-10-04,270.34,272.25,269.37,272.01,336600,268.82
2013-10-03,269.62,271.99,266.50,269.93,574800,266.77
2013-10-02,269.24,271.21,266.25,271.21,589600,268.03
2013-10-01,270.00,270.68,266.85,270.09,595600,266.93
2013-09-30,265.66,271.10,265.66,270.62,538000,267.45
2013-09-27,269.85,271.83,268.31,270.95,507500,267.78
2013-09-26,271.21,273.25,270.57,272.68,314200,269.49
2013-09-25,270.02,271.79,268.54,270.24,635900,267.08
2013-09-24,274.89,275.43,272.10,272.50,431000,269.31
2013-09-23,278.78,278.78,272.96,274.96,629800,271.74
2013-09-20,283.70,285.43,278.03,278.30,947800,275.04
2013-09-19,280.84,285.32,280.02,283.64,895400,280.32
2013-09-18,272.56,281.56,271.80,279.41,1183400,276.14
2013-09-17,272.66,273.30,271.28,272.99,604300,269.79
2013-09-16,271.00,273.30,269.01,272.66,1277600,269.47
2013-09-13,262.39,264.80,261.57,264.63,561000,261.53
2013-09-12,259.48,263.85,259.48,262.26,608700,259.19
2013-09-11,264.38,264.87,261.01,261.75,788900,258.69
2013-09-10,266.00,268.02,265.13,266.51,604700,263.39
2013-09-09,262.35,263.14,259.89,263.05,613600,259.97
2013-09-06,263.44,264.51,259.42,261.23,616500,258.17
2013-09-05,265.87,266.88,262.06,262.77,536200,259.69
2013-09-04,263.50,267.36,262.09,266.10,486500,262.98
2013-09-03,265.00,266.64,260.88,263.78,517000,260.69
2013-08-30,261.63,262.89,259.24,260.32,573700,257.27
2013-08-29,257.54,262.60,257.30,260.54,335600,257.49
2013-08-28,258.00,262.81,257.19,259.44,511400,254.74
2013-08-27,265.47,266.64,258.89,258.96,625000,254.27
2013-08-26,268.96,272.69,267.63,269.52,988500,264.64
2013-08-23,269.93,270.25,266.41,268.80,443200,263.93
2013-08-22,265.40,268.83,264.51,268.06,355500,263.21
2013-08-21,266.22,268.17,263.08,264.01,809900,259.23
2013-08-20,267.09,267.67,265.35,266.93,833100,262.10
2013-08-19,269.00,270.91,266.47,266.74,712200,261.91
2013-08-16,269.08,272.85,268.01,270.15,622100,265.26
2013-08-15,274.44,274.66,267.57,270.09,593000,265.20
2013-08-14,280.00,280.82,277.29,277.32,300000,272.30
2013-08-13,278.54,280.66,276.31,279.81,383000,274.74
2013-08-12,279.17,280.30,276.63,278.21,356500,273.17
2013-08-09,278.86,283.50,277.26,280.57,576200,275.49
2013-08-08,283.33,283.93,278.39,278.52,501200,273.48
2013-08-07,283.14,283.14,278.15,280.90,478000,275.81
2013-08-06,285.20,286.63,282.92,284.59,335500,279.44
2013-08-05,284.97,286.03,283.43,285.72,334500,280.55
2013-08-02,285.50,288.32,284.35,286.62,610600,281.43
2013-08-01,286.00,287.00,283.68,285.27,774500,280.10
2013-07-31,282.68,285.81,281.27,281.96,733900,276.85
2013-07-30,284.79,285.29,281.87,282.44,494500,277.33
2013-07-29,286.81,286.81,282.03,283.12,424000,277.99
2013-07-26,283.07,286.40,281.68,286.38,421300,281.19
2013-07-25,282.21,286.53,281.25,284.98,580400,279.82
2013-07-24,285.17,286.44,282.55,283.95,856300,278.81
2013-07-23,286.02,288.82,284.78,284.95,706100,279.79
2013-07-22,280.25,286.00,278.93,286.00,769400,280.82
2013-07-19,279.98,280.72,275.29,280.72,775200,275.64
2013-07-18,273.62,279.63,272.30,278.91,1233700,273.86
