Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,51.75,51.97,51.38,51.66,710500,51.54
2013-12-30,51.54,51.82,51.40,51.79,533500,51.67
2013-12-27,51.58,51.77,51.39,51.58,379800,51.46
2013-12-26,51.26,51.62,50.96,51.50,540300,51.38
2013-12-24,50.89,51.41,50.89,51.17,249200,51.05
2013-12-23,51.09,51.10,50.71,50.89,445700,50.77
2013-12-20,50.85,51.06,50.52,50.93,1018700,50.81
2013-12-19,51.02,51.08,50.43,50.75,892100,50.63
2013-12-18,50.20,51.26,50.02,51.18,1206900,51.06
2013-12-17,50.49,50.60,49.68,50.12,715900,50.00
2013-12-16,49.98,50.64,49.85,50.55,743400,50.43
2013-12-13,49.89,50.25,49.62,49.91,625500,49.79
2013-12-12,49.84,50.06,49.60,49.86,598200,49.74
2013-12-11,50.50,50.64,49.74,49.87,780700,49.75
2013-12-10,50.18,50.90,50.11,50.56,978200,50.44
2013-12-09,50.04,50.48,49.89,50.36,650100,50.24
2013-12-06,49.80,50.19,49.59,50.05,652200,49.93
2013-12-05,49.47,49.77,49.26,49.33,632200,49.21
2013-12-04,49.62,49.95,49.35,49.63,910700,49.51
2013-12-03,50.09,50.18,49.37,49.72,1017300,49.60
2013-12-02,50.01,50.68,49.74,50.20,683700,50.08
2013-11-29,50.55,50.61,49.94,49.98,514300,49.86
2013-11-27,50.28,50.61,50.07,50.42,456100,50.30
2013-11-26,50.25,50.54,49.98,50.27,836100,50.02
2013-11-25,50.19,50.44,50.10,50.20,560600,49.95
2013-11-22,50.32,50.46,49.86,50.01,836000,49.76
2013-11-21,50.01,50.51,49.97,50.32,617300,50.07
2013-11-20,50.51,50.71,49.82,49.86,776900,49.61
2013-11-19,50.33,50.69,50.21,50.51,519100,50.26
2013-11-18,50.16,50.65,50.04,50.32,620600,50.07
2013-11-15,50.20,50.42,49.74,50.17,1254200,49.92
2013-11-14,49.68,49.75,49.31,49.54,771900,49.29
2013-11-13,49.08,49.47,48.84,49.47,1233000,49.23
2013-11-12,49.64,49.69,49.15,49.34,842300,49.10
2013-11-11,49.54,49.91,49.39,49.72,653500,49.47
2013-11-08,49.37,49.78,49.32,49.50,880600,49.26
2013-11-07,50.02,50.35,49.32,49.36,944300,49.12
2013-11-06,49.69,50.20,49.59,50.04,1197300,49.79
2013-11-05,49.47,49.79,48.98,49.58,953100,49.33
2013-11-04,49.06,49.56,48.92,49.48,855900,49.24
2013-11-01,48.93,49.24,48.59,48.88,1044400,48.64
2013-10-31,48.55,49.19,48.36,48.89,1442300,48.65
2013-10-30,48.97,49.16,48.45,48.55,1218600,48.31
2013-10-29,48.87,49.01,48.79,48.86,787400,48.62
2013-10-28,48.62,48.90,48.42,48.77,990600,48.53
2013-10-25,47.96,48.76,47.93,48.60,1206900,48.36
2013-10-24,47.00,47.99,46.88,47.86,1569000,47.62
2013-10-23,46.18,46.30,45.27,46.01,1756900,45.78
2013-10-22,46.22,46.74,46.16,46.58,497300,46.35
2013-10-21,46.14,46.34,45.79,46.03,366500,45.80
2013-10-18,46.23,46.24,45.76,46.17,575200,45.94
2013-10-17,45.16,46.07,45.06,46.03,1274500,45.80
2013-10-16,45.07,45.23,44.78,45.22,1038800,45.00
2013-10-15,45.38,45.52,44.78,44.78,1185600,44.56
