Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,53.05,53.39,52.59,53.15,3994800,52.78
2013-12-30,53.03,53.48,52.56,53.42,4418200,52.69
2013-12-27,53.66,53.80,53.08,53.15,3658500,52.43
2013-12-26,53.18,53.62,52.98,53.60,2644600,52.87
2013-12-24,53.09,53.29,52.62,53.20,2533900,52.47
2013-12-23,53.42,53.59,53.02,53.33,4997600,52.60
2013-12-20,54.00,54.38,53.14,53.37,11075300,52.64
2013-12-19,53.47,54.49,52.92,53.84,11879000,53.11
2013-12-18,51.29,52.70,50.73,52.59,8873700,51.87
2013-12-17,51.00,51.32,50.39,51.10,6394600,50.40
2013-12-16,50.79,51.16,50.31,50.88,5551700,50.19
2013-12-13,50.71,50.87,50.11,50.73,5361700,50.04
2013-12-12,50.54,50.79,50.11,50.55,6328200,49.86
2013-12-11,51.11,51.11,50.39,50.65,6774300,49.96
2013-12-10,50.99,51.33,50.79,51.23,6119800,50.53
2013-12-09,50.59,52.00,50.51,51.21,7682100,50.51
2013-12-06,51.20,51.31,50.22,50.68,8421100,49.99
2013-12-05,50.96,51.60,50.64,50.80,5443400,50.11
2013-12-04,50.65,51.54,50.52,51.08,8181600,50.38
2013-12-03,51.37,51.60,50.81,50.96,4927500,50.27
2013-12-02,51.29,52.00,51.22,51.48,5884800,50.78
2013-11-29,51.95,52.08,51.34,51.38,3020700,50.68
2013-11-27,52.17,52.35,51.47,51.67,5428400,50.97
2013-11-26,52.77,52.87,51.35,51.88,10806500,51.17
2013-11-25,53.39,53.61,52.72,52.85,5835100,52.13
2013-11-22,52.46,53.54,52.19,53.41,8474900,52.68
2013-11-21,52.00,52.36,51.77,52.35,5911300,51.64
2013-11-20,51.79,52.09,51.31,51.79,6255500,51.08
2013-11-19,51.90,52.10,51.40,51.98,5163200,51.27
2013-11-18,52.62,52.68,51.76,51.86,5572100,51.15
2013-11-15,52.76,53.00,52.14,52.42,9196800,51.71
2013-11-14,52.20,53.14,52.12,52.74,10478500,52.02
2013-11-13,52.09,52.30,51.60,51.86,12097500,51.15
2013-11-12,52.40,52.85,52.02,52.54,5878800,51.82
2013-11-11,52.38,53.24,52.35,52.58,5688200,51.86
2013-11-08,51.32,52.42,51.26,52.35,7655100,51.64
2013-11-07,52.11,52.24,51.01,51.30,6434000,50.60
2013-11-06,52.87,52.89,51.91,52.04,5466000,51.33
2013-11-05,53.09,53.10,52.13,52.52,7995900,51.80
2013-11-04,52.71,53.14,52.67,53.04,9217200,52.32
2013-11-01,52.63,53.20,52.36,52.48,7328600,51.76
2013-10-31,53.09,53.14,52.50,52.52,6515800,51.80
2013-10-30,53.59,53.59,52.63,53.13,6748100,52.41
2013-10-29,52.01,53.68,51.90,53.32,13573200,52.59
2013-10-28,50.36,52.36,50.31,52.02,28012700,51.31
2013-10-25,49.23,49.35,48.53,48.77,5949800,48.11
2013-10-24,49.38,49.70,49.17,49.37,5637100,48.70
2013-10-23,49.82,49.84,48.68,48.96,5408600,48.29
2013-10-22,49.25,49.92,49.21,49.73,7794900,49.05
2013-10-21,49.67,49.67,48.75,49.27,4534200,48.60
2013-10-18,49.91,49.91,49.17,49.72,6559100,49.04
2013-10-17,48.58,49.78,48.51,49.67,7330100,48.99
2013-10-16,47.85,48.88,47.70,48.80,7092400,48.13
2013-10-15,47.52,47.94,47.36,47.39,4995000,46.74
2013-10-14,47.37,47.94,47.18,47.67,6007000,47.02
2013-10-11,47.88,47.88,47.36,47.68,5153800,47.03
2013-10-10,46.85,47.90,46.79,47.84,6864800,47.19
2013-10-09,46.69,46.80,46.16,46.41,5338800,45.78
2013-10-08,46.93,47.04,46.57,46.60,6375000,45.96
2013-10-07,47.21,47.47,47.01,47.02,4908600,46.38
2013-10-04,46.68,47.55,46.33,47.52,6265200,46.87
2013-10-03,46.78,46.93,46.14,46.56,5362100,45.93
2013-10-02,46.85,47.24,46.40,46.93,6041600,46.29
2013-10-01,46.45,47.26,46.42,47.24,7915400,46.25
2013-09-30,45.71,46.54,45.70,46.28,11380800,45.31
2013-09-27,46.59,46.72,45.90,46.20,8511700,45.23
2013-09-26,46.61,47.09,46.52,46.93,4145300,45.95
2013-09-25,46.75,46.89,46.41,46.61,6791600,45.63
