Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,55.91,56.45,55.69,55.91,902400,55.78
2013-12-30,55.67,56.14,55.32,55.96,772300,55.83
2013-12-27,55.73,55.99,55.49,55.83,696600,55.70
2013-12-26,56.17,56.29,55.43,55.75,1263300,55.62
2013-12-24,55.95,56.00,55.61,55.85,303500,55.72
2013-12-23,55.50,56.10,55.50,55.83,1104700,55.70
2013-12-20,54.78,55.11,54.48,55.02,2040000,54.89
2013-12-19,55.81,55.81,54.09,54.59,2264100,54.46
2013-12-18,55.18,55.86,53.78,55.86,2289500,55.73
2013-12-17,54.64,55.45,54.50,55.39,1340300,55.26
2013-12-16,108.00,109.50,107.50,109.39,1353200,54.57
2013-12-13,106.96,108.37,106.82,107.57,1008800,53.66
2013-12-12,105.92,107.15,105.12,106.75,1179200,53.25
2013-12-11,109.15,109.54,105.57,106.20,1497400,52.98
2013-12-10,107.35,109.07,107.35,108.96,1615800,54.35
2013-12-09,107.33,108.50,107.04,107.92,1196600,53.83
2013-12-06,107.12,107.27,106.29,107.07,1072800,53.41
2013-12-05,104.02,105.60,103.63,105.53,1517600,52.64
2013-12-04,104.13,105.27,103.42,104.30,1101600,52.03
2013-12-03,105.64,105.76,104.00,104.57,1432800,52.16
2013-12-02,107.52,107.89,105.75,106.02,1508400,52.89
2013-11-29,106.57,108.07,106.57,107.17,612000,53.46
2013-11-27,106.06,106.87,105.58,106.73,551600,53.24
2013-11-26,105.72,106.49,104.92,105.64,1389000,52.70
2013-11-25,106.68,106.68,104.99,105.75,894400,52.75
2013-11-22,106.32,106.77,105.48,106.16,1554000,52.96
2013-11-21,103.19,106.81,103.19,106.16,2383600,52.96
2013-11-20,102.27,103.47,101.97,102.53,1602400,51.15
2013-11-19,103.75,104.32,101.99,102.17,1813800,50.97
2013-11-18,104.57,105.62,103.64,103.83,1439800,51.79
2013-11-15,102.75,104.65,102.16,104.32,1604600,52.04
2013-11-14,101.90,102.50,100.71,102.10,1588600,50.93
2013-11-13,99.94,101.22,99.42,100.88,2238200,50.32
2013-11-12,101.04,101.46,99.72,100.42,1910400,50.09
2013-11-11,101.72,102.02,100.86,101.07,1357600,50.42
2013-11-08,100.81,101.98,100.37,101.25,2379800,50.51
2013-11-07,104.85,105.05,100.77,101.08,1785200,50.42
2013-11-06,103.86,105.02,103.09,104.07,1475400,51.91
2013-11-05,102.36,105.65,100.96,102.93,3341600,51.35
2013-11-04,102.91,103.37,102.33,103.00,1079800,51.38
2013-11-01,103.24,103.62,101.29,102.64,1116000,51.20
2013-10-31,100.92,104.35,100.79,103.13,1375400,51.45
2013-10-30,106.00,106.80,99.97,100.79,2817800,50.28
2013-10-29,106.23,106.53,104.55,104.90,1469000,52.20
2013-10-28,106.05,106.85,105.70,106.13,933400,52.82
2013-10-25,106.79,107.47,105.57,106.27,961000,52.89
2013-10-24,105.07,108.04,104.65,106.67,1525800,53.08
2013-10-23,106.06,106.22,104.29,105.79,973600,52.65
2013-10-22,105.48,106.92,105.23,106.55,1096400,53.02
2013-10-21,105.98,106.01,104.53,105.65,966400,52.58
2013-10-18,105.37,105.90,104.67,105.66,666000,52.58
2013-10-17,103.69,104.91,103.10,104.66,957200,52.08
2013-10-16,102.94,104.65,102.62,104.10,1091200,51.81
2013-10-15,102.95,103.00,101.37,101.84,888800,50.68
2013-10-14,102.19,103.26,101.35,103.00,787600,51.26
2013-10-11,101.41,103.08,101.17,102.90,1112600,51.21
2013-10-10,99.42,102.05,99.13,101.48,1830000,50.50
2013-10-09,98.27,98.81,96.25,97.98,2215600,48.76
2013-10-08,101.71,102.14,98.14,98.32,1596600,48.93
2013-10-07,101.93,102.74,101.53,101.62,871400,50.57
2013-10-04,101.89,104.18,101.55,103.49,1140600,51.50
2013-10-03,101.86,102.68,100.37,101.82,1048200,50.67
2013-10-02,100.60,102.37,100.33,102.31,1118000,50.91
2013-10-01,101.65,102.19,100.48,101.54,1025800,50.53
2013-09-30,99.94,101.69,99.59,101.39,1448600,50.46
2013-09-27,101.53,101.72,100.95,101.51,922400,50.52
2013-09-26,102.31,103.26,101.19,102.00,1252800,50.76
2013-09-25,102.41,102.56,101.12,102.18,895800,50.85
2013-09-24,101.11,103.09,101.01,102.32,1315800,50.92
2013-09-23,100.66,101.34,99.47,101.20,1065000,50.36
2013-09-20,101.25,102.48,100.70,100.86,1542400,50.19
2013-09-19,101.68,102.16,100.74,101.17,716200,50.35
2013-09-18,100.27,101.51,99.49,101.17,1494600,50.35
2013-09-17,100.33,100.93,99.30,100.48,1204800,50.00
2013-09-16,100.35,100.98,100.06,100.46,1311400,49.99
2013-09-13,98.64,99.23,97.74,99.09,891200,49.31
2013-09-12,99.33,99.42,97.69,98.31,994200,48.92
2013-09-11,99.62,100.22,98.59,99.54,1449000,49.54
2013-09-10,99.43,100.04,98.96,99.49,1636200,49.51
2013-09-09,97.91,98.75,97.91,98.48,1734600,49.01
2013-09-06,99.62,100.08,97.44,97.77,1650400,48.66
2013-09-05,99.56,100.31,99.17,99.28,1252400,49.41
2013-09-04,96.90,99.79,96.90,99.52,1537400,49.53
2013-09-03,97.86,98.64,96.07,96.81,972800,48.18
2013-08-30,97.85,98.04,95.75,96.58,1120800,48.06
2013-08-29,96.58,98.84,96.43,97.84,1091600,48.69
2013-08-28,94.96,97.12,94.29,96.69,1208400,48.12
2013-08-27,96.37,96.68,94.67,94.75,1347200,47.15
2013-08-26,98.45,99.19,97.29,97.66,1178600,48.60
2013-08-23,98.83,99.13,98.15,98.42,1103000,48.98
2013-08-22,96.10,99.13,96.10,98.75,924200,49.14
2013-08-21,96.46,97.45,95.64,96.02,1087600,47.78
2013-08-20,95.86,97.10,95.13,96.70,819600,48.12
2013-08-19,96.21,96.85,95.34,95.45,641000,47.50
2013-08-16,96.37,97.57,96.12,96.17,1359800,47.86
2013-08-15,97.42,97.70,95.77,96.32,1206400,47.93
2013-08-14,99.64,99.94,98.44,98.48,1218400,49.01
2013-08-13,97.49,100.54,97.38,99.83,2307000,49.68
2013-08-12,95.45,97.80,95.08,97.57,1648000,48.56
2013-08-09,96.64,97.68,95.50,95.77,1342800,47.66
2013-08-08,95.22,96.76,95.19,96.43,1469600,47.99
2013-08-07,95.49,95.55,94.24,94.31,1341600,46.93
2013-08-06,96.60,96.84,95.69,95.86,1616400,47.70
2013-08-05,97.14,97.96,96.55,96.80,1771600,48.17
2013-08-02,98.05,98.83,97.34,97.46,1702400,48.50
2013-08-01,96.42,98.98,95.82,98.70,2842400,49.12
2013-07-31,94.32,96.38,94.32,95.43,2389000,47.37
2013-07-30,94.12,94.94,93.81,94.44,1677600,46.88
2013-07-29,92.57,94.22,92.57,93.52,1240800,46.42
2013-07-26,93.00,93.74,92.43,92.53,2191800,45.93
2013-07-25,92.30,93.68,91.76,93.24,2952200,46.28
2013-07-24,92.10,93.35,92.04,92.17,2712600,45.75
2013-07-23,91.73,92.14,91.17,91.60,1192200,45.47
2013-07-22,91.33,91.75,90.92,91.66,1131800,45.50
2013-07-19,90.76,91.21,89.64,91.17,1411200,45.25
2013-07-18,89.84,90.88,88.90,90.82,2063000,45.08
2013-07-17,88.92,89.47,88.70,89.36,2281000,44.35
2013-07-16,88.82,89.03,86.83,87.21,1726200,43.29
2013-07-15,89.37,89.38,88.57,88.81,1231400,44.08
2013-07-12,88.81,89.80,88.75,89.30,2045800,44.32
2013-07-11,88.28,88.88,88.08,88.85,1650600,44.10
2013-07-10,86.72,87.29,86.53,87.25,1344800,43.31
2013-07-09,87.19,87.47,86.26,86.73,1095400,43.05
2013-07-08,86.83,87.19,85.75,86.35,1026000,42.86
2013-07-05,85.56,86.46,84.90,86.29,1811000,42.83
2013-07-03,84.46,84.84,84.14,84.47,1201200,41.93
2013-07-02,86.20,86.35,84.57,84.96,2478200,42.17
2013-07-01,86.60,86.99,85.99,86.24,1733200,42.81
2013-06-28,86.15,87.66,85.85,86.15,1773000,42.76
2013-06-27,85.36,86.76,85.24,86.43,1479200,42.90
2013-06-26,83.58,85.13,83.40,84.54,1251200,41.96
2013-06-25,82.61,83.55,82.43,83.03,1405200,41.21
2013-06-24,81.59,82.60,80.51,81.87,2012400,40.64
2013-06-21,83.80,84.04,82.85,83.26,2568800,41.33
2013-06-20,84.53,84.80,82.65,83.12,2004800,41.26
2013-06-19,86.61,87.27,85.74,85.78,1934400,42.58
2013-06-18,86.27,87.29,85.91,86.72,1976000,43.04
2013-06-17,85.37,86.68,85.25,86.29,2035600,42.83
2013-06-14,85.58,85.83,84.47,84.54,1479600,41.96
2013-06-13,83.07,85.89,82.94,85.70,1385200,42.54
2013-06-12,84.74,84.85,83.25,83.28,2035800,41.34
2013-06-11,82.62,84.18,82.12,83.61,2422800,41.50
2013-06-10,83.02,84.15,82.43,83.84,2360400,41.61
2013-06-07,80.00,82.63,78.43,82.62,2519000,41.01
2013-06-06,79.43,80.21,78.81,80.19,1601800,39.80
2013-06-05,80.10,80.40,78.81,79.45,1582200,39.43
2013-06-04,80.47,81.09,79.52,80.38,1553400,39.90
2013-06-03,81.42,82.29,79.63,80.53,2266000,39.97
2013-05-31,82.44,82.84,81.07,81.07,1632600,40.24
2013-05-30,82.98,83.63,82.73,82.79,1255800,41.09
2013-05-29,82.07,83.44,82.07,82.86,1716400,41.13
2013-05-28,83.31,84.06,82.53,82.69,1620400,41.04
2013-05-24,81.52,82.31,81.14,81.96,1258200,40.68
2013-05-23,81.67,82.65,81.36,82.15,1452600,40.78
2013-05-22,83.87,84.40,81.99,82.68,2314800,41.04
2013-05-21,84.86,85.07,83.81,83.95,1968600,41.67
2013-05-20,85.21,85.29,84.31,84.81,1185600,42.10
2013-05-17,83.24,85.38,83.23,85.35,1887800,42.36
2013-05-16,83.64,84.44,83.07,83.22,1801800,41.31
2013-05-15,83.24,84.06,82.84,83.87,1816600,41.63
2013-05-14,81.82,83.56,81.82,83.34,1493200,41.37
2013-05-13,81.77,82.23,81.36,81.92,1067600,40.66
2013-05-10,81.97,82.42,81.33,82.22,1124200,40.81
2013-05-09,82.16,82.84,81.65,81.77,1628000,40.59
2013-05-08,80.46,82.35,80.46,82.11,1940800,40.76
2013-05-07,79.64,80.62,79.02,80.61,1533200,40.01
2013-05-06,79.17,79.83,79.09,79.36,1324000,39.39
2013-05-03,78.77,79.98,78.76,79.34,1676600,39.38
2013-05-02,77.84,78.26,77.53,77.76,1232000,38.60
2013-05-01,77.97,78.47,77.30,77.62,1739800,38.53
2013-04-30,79.18,79.38,77.84,78.17,2295400,38.80
2013-04-29,78.36,79.25,77.53,79.18,2254000,39.30
2013-04-26,78.00,78.62,77.57,77.93,2109000,38.68
2013-04-25,77.01,78.43,75.78,77.55,3884000,38.49
