Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,101.15,101.62,99.89,100.37,896800,99.79
2013-12-30,100.54,101.30,100.25,101.11,502100,100.52
2013-12-27,101.07,101.50,99.80,100.40,653300,99.82
2013-12-26,103.89,104.24,102.83,104.00,608100,100.52
2013-12-24,103.51,104.03,102.57,103.42,373900,99.95
2013-12-23,103.96,105.22,103.37,103.71,789800,100.23
2013-12-20,101.96,103.62,101.81,103.50,1475400,100.03
2013-12-19,103.10,103.10,101.57,102.15,1167800,98.73
2013-12-18,101.37,103.21,99.74,103.00,1012400,99.55
2013-12-17,99.26,101.16,98.88,101.11,994400,97.72
2013-12-16,98.59,99.24,98.04,98.97,733000,95.65
2013-12-13,99.62,100.37,98.18,98.46,883800,95.16
2013-12-12,99.77,99.83,98.83,99.13,947100,95.81
2013-12-11,102.09,102.09,99.60,99.66,1243800,96.32
2013-12-10,101.70,102.96,101.38,102.23,987800,98.80
2013-12-09,100.96,102.00,100.48,102.00,876300,98.58
2013-12-06,100.93,101.42,99.94,100.73,912000,97.35
2013-12-05,99.39,100.40,98.42,100.04,1091000,96.69
2013-12-04,98.61,100.72,98.52,99.78,810800,96.44
2013-12-03,99.24,100.01,98.90,99.49,1108600,96.16
2013-12-02,99.85,101.16,99.51,99.84,1161100,96.49
2013-11-29,101.95,102.05,99.36,99.49,493900,96.16
2013-11-27,100.74,101.76,100.09,101.62,603300,98.21
2013-11-26,101.62,101.80,100.64,100.66,592700,97.29
2013-11-25,101.71,102.28,101.20,101.62,581300,98.21
2013-11-22,102.36,102.76,101.04,101.69,689700,98.28
2013-11-21,101.76,102.68,101.25,102.36,722500,98.93
2013-11-20,103.31,104.26,101.25,101.88,881000,98.47
2013-11-19,102.57,103.72,101.62,103.41,767900,99.94
2013-11-18,103.70,103.97,102.13,102.49,703600,99.06
2013-11-15,101.47,103.12,101.47,103.03,1185300,99.58
2013-11-14,101.61,102.40,101.20,101.58,700600,98.18
2013-11-13,100.39,101.37,100.06,101.32,626400,97.92
2013-11-12,100.73,101.10,99.94,100.65,852700,97.28
2013-11-11,100.66,101.73,100.66,100.96,495300,97.58
2013-11-08,100.86,100.87,98.71,100.33,1060900,96.97
2013-11-07,102.45,102.69,101.12,101.23,793900,97.84
2013-11-06,102.29,102.79,101.93,102.15,694400,98.73
2013-11-05,103.40,103.60,102.00,102.15,858600,98.73
2013-11-04,104.46,104.99,103.42,103.78,935100,100.30
2013-11-01,103.96,104.60,102.99,104.42,800800,100.92
2013-10-31,105.00,105.64,102.88,103.50,1305500,100.03
2013-10-30,106.87,106.87,103.63,105.06,1528100,101.54
2013-10-29,107.38,108.05,106.28,107.96,1034000,104.34
2013-10-28,109.81,109.83,106.95,107.39,716500,103.79
2013-10-25,107.26,109.67,107.24,109.64,991900,105.97
2013-10-24,108.40,108.75,107.32,107.38,865300,103.78
2013-10-23,109.12,109.59,107.87,108.40,697300,104.77
2013-10-22,107.55,109.69,107.55,109.37,1218700,105.71
2013-10-21,108.65,108.65,106.52,106.98,977900,103.40
2013-10-18,108.83,109.35,107.30,108.82,960400,105.17
2013-10-17,108.02,109.58,107.82,109.18,682300,105.52
2013-10-16,107.32,108.91,106.86,108.45,733900,104.82
2013-10-15,106.52,108.08,106.52,106.98,429400,103.40
2013-10-14,106.81,107.50,106.10,107.22,664500,103.63
2013-10-11,105.51,107.33,105.01,107.28,805900,103.69
2013-10-10,104.21,105.49,103.81,105.35,1317500,101.82
2013-10-09,103.82,104.67,103.19,103.44,755600,99.97
2013-10-08,104.82,104.98,103.33,103.55,1316600,100.08
2013-10-07,105.68,106.97,105.44,105.55,633800,102.01
2013-10-04,106.94,107.83,105.77,106.48,584500,102.91
2013-10-03,107.47,107.55,105.35,106.70,794500,103.12
2013-10-02,106.52,107.65,105.87,107.56,1049300,103.96
2013-10-01,107.06,108.91,106.40,107.74,1242700,104.13
2013-09-30,106.68,107.97,106.28,106.90,994200,103.32
2013-09-27,106.42,107.45,106.16,107.09,827200,103.50
2013-09-26,106.01,106.84,105.74,106.74,591800,103.16
2013-09-25,107.13,108.37,105.57,106.31,1131100,102.12
2013-09-24,109.12,109.64,107.08,107.20,912000,102.97
2013-09-23,108.94,110.38,108.35,109.43,999500,105.12
2013-09-20,111.10,111.10,108.95,109.36,1386800,105.05
2013-09-19,110.80,112.93,110.69,111.12,1181000,106.74
2013-09-18,105.62,111.03,104.70,110.89,1427100,106.52
2013-09-17,105.82,106.81,105.28,105.70,396500,101.53
2013-09-16,106.65,107.16,105.36,105.86,447400,101.69
2013-09-13,104.69,105.31,104.40,104.80,464200,100.67
2013-09-12,106.68,107.24,104.19,104.60,810500,100.48
2013-09-11,106.39,107.04,106.06,106.96,669500,102.74
2013-09-10,106.25,106.68,105.40,106.62,729000,102.42
2013-09-09,104.75,105.79,104.66,105.79,906800,101.62
2013-09-06,103.55,105.47,103.35,104.81,1015600,100.68
2013-09-05,103.33,103.45,102.20,102.48,1092300,98.44
2013-09-04,101.83,103.26,101.33,102.98,965100,98.92
2013-09-03,103.10,103.28,100.79,101.68,1258800,97.67
2013-08-30,102.52,103.08,102.10,102.50,1062900,98.46
2013-08-29,102.05,102.46,101.26,102.39,683500,98.35
2013-08-28,103.35,103.48,102.31,102.75,599300,98.70
2013-08-27,102.84,103.62,102.52,103.41,598400,99.33
2013-08-26,103.57,104.45,103.20,103.96,769700,99.86
2013-08-23,101.55,103.36,101.18,103.29,632800,99.22
2013-08-22,100.92,101.67,100.48,101.44,716900,97.44
2013-08-21,101.20,102.35,99.80,100.80,750100,96.83
2013-08-20,98.46,101.92,98.46,101.55,1194600,97.55
2013-08-19,99.45,99.91,98.21,98.27,964100,94.40
2013-08-16,101.39,101.84,98.29,99.46,1701900,95.54
2013-08-15,102.76,103.28,100.82,101.75,1327500,97.74
2013-08-14,103.11,103.50,102.53,103.41,727700,99.33
2013-08-13,103.72,103.93,102.07,103.11,1123200,99.05
2013-08-12,104.78,105.20,103.31,103.83,1003500,99.74
2013-08-09,103.07,105.30,102.61,105.09,926900,100.95
2013-08-08,103.10,103.21,102.16,103.00,847000,98.94
2013-08-07,103.75,103.92,102.25,102.65,1251700,98.60
2013-08-06,103.26,104.44,103.13,103.92,711500,99.82
2013-08-05,103.79,104.45,103.41,103.99,420500,99.89
2013-08-02,105.01,105.33,103.82,103.97,715700,99.87
2013-08-01,106.92,107.46,104.40,105.00,866600,100.86
2013-07-31,108.74,109.90,103.82,106.95,1628500,102.73
2013-07-30,109.42,110.25,108.46,108.72,747200,104.43
2013-07-29,109.44,109.84,108.47,108.97,379700,104.67
2013-07-26,108.34,109.78,107.83,109.75,535900,105.42
2013-07-25,108.40,109.37,108.07,108.55,857100,104.27
2013-07-24,111.07,111.41,108.48,109.03,1032800,104.73
2013-07-23,111.51,111.82,110.50,111.00,487400,106.62
2013-07-22,110.09,111.62,109.88,111.35,654900,106.96
2013-07-19,110.46,110.69,109.39,110.11,670900,105.77
2013-07-18,109.52,110.53,109.16,110.51,548600,106.15
2013-07-17,109.77,109.96,108.57,109.05,1004300,104.75
2013-07-16,109.66,110.19,108.90,109.50,834900,105.18
2013-07-15,110.00,110.00,108.25,109.70,856100,105.38
2013-07-12,110.91,111.44,109.21,110.36,1178000,106.01
2013-07-11,107.85,111.13,107.85,110.69,1171200,106.33
2013-07-10,107.03,107.28,105.87,106.86,743600,102.65
2013-07-09,105.96,107.75,105.89,107.31,850800,103.08
2013-07-08,105.30,106.42,105.00,105.47,1128100,101.31
2013-07-05,105.66,105.84,103.15,105.18,743700,101.03
2013-07-03,105.43,106.26,104.44,104.93,539300,100.79
2013-07-02,104.10,106.83,104.05,106.09,812600,101.91
2013-07-01,106.27,106.36,104.53,104.76,651700,100.63
2013-06-28,106.30,106.90,105.37,105.47,1079500,101.31
2013-06-27,104.45,106.62,104.44,106.48,1164300,102.28
2013-06-26,103.08,104.35,102.76,103.91,1303000,99.81
2013-06-25,103.62,103.90,101.86,102.66,1236700,97.99
2013-06-24,100.43,104.90,99.59,102.63,1484600,97.96
2013-06-21,101.47,102.94,99.71,101.94,1823600,97.30
2013-06-20,106.79,106.96,99.81,100.58,2501000,96.00
2013-06-19,111.23,111.68,107.24,107.51,924300,102.62
2013-06-18,111.16,111.92,110.44,111.20,961400,106.14
2013-06-17,110.81,111.52,110.19,111.23,1177200,106.17
2013-06-14,110.78,113.19,109.79,110.09,1184400,105.08
2013-06-13,106.66,111.32,106.26,110.78,1225700,105.74
2013-06-12,107.41,107.71,106.31,106.52,1342200,101.67
2013-06-11,108.39,108.63,106.79,106.90,1403400,102.04
2013-06-10,110.00,110.45,108.93,109.32,844700,104.35
2013-06-07,109.85,110.49,108.12,109.81,814200,104.81
2013-06-06,108.07,109.65,107.18,109.58,876200,104.59
2013-06-05,108.63,109.05,107.40,107.85,959500,102.94
2013-06-04,108.68,109.75,108.56,108.96,1267400,104.00
2013-06-03,106.88,108.67,106.18,108.49,1683700,103.55
2013-05-31,108.28,108.90,106.55,106.58,1548500,101.73
2013-05-30,109.58,110.02,108.22,108.31,1226600,103.38
2013-05-29,110.93,111.18,108.37,109.58,1471600,104.59
2013-05-28,113.36,113.62,110.55,111.15,1366600,106.09
2013-05-24,111.95,112.75,111.01,112.44,955800,107.32
2013-05-23,112.03,112.90,111.04,112.62,1736300,107.50
2013-05-22,114.68,115.85,112.27,112.99,1498900,107.85
2013-05-21,114.15,114.87,113.62,114.59,1153000,109.38
2013-05-20,112.34,113.76,112.07,113.70,1014400,108.53
2013-05-17,111.51,112.44,111.28,112.43,1150900,107.31
2013-05-16,111.35,112.17,110.83,111.34,784200,106.27
2013-05-15,110.73,111.82,110.22,111.73,1074700,106.65
2013-05-14,111.07,111.22,110.12,110.50,1229600,105.47
