Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,33.78,33.79,33.59,33.65,1132500,33.39
2013-12-30,33.40,33.67,33.28,33.66,1247800,33.40
2013-12-27,33.45,33.57,33.38,33.43,2255800,33.18
2013-12-26,33.50,33.61,33.41,33.47,1732600,33.22
2013-12-24,33.18,33.54,33.06,33.41,1200600,33.16
2013-12-23,33.19,33.30,33.03,33.07,2743600,32.82
2013-12-20,32.83,33.19,32.53,32.93,5960500,32.68
2013-12-19,32.62,32.93,32.43,32.90,2980100,32.65
2013-12-18,32.52,32.62,31.61,32.58,4636400,32.33
2013-12-17,32.42,32.57,32.23,32.48,1984800,32.23
2013-12-16,32.40,32.76,32.07,32.52,1813900,32.27
2013-12-13,32.41,32.57,32.19,32.34,1932100,32.09
2013-12-12,32.40,32.67,32.19,32.40,2348400,32.15
2013-12-11,32.76,33.13,32.41,32.51,2910100,32.26
2013-12-10,32.81,33.20,32.70,32.98,3539700,32.73
2013-12-09,32.93,32.97,32.64,32.83,2196700,32.58
2013-12-06,32.92,32.97,32.69,32.85,1712300,32.60
2013-12-05,32.65,32.85,32.32,32.48,3759800,32.23
2013-12-04,32.70,33.07,32.45,32.63,2758400,32.38
2013-12-03,32.65,32.93,32.60,32.72,2085500,32.47
2013-12-02,32.97,33.10,32.76,32.87,2272800,32.62
2013-11-29,32.85,33.11,32.85,33.00,940200,32.75
2013-11-27,33.19,33.19,32.82,32.92,1665600,32.67
2013-11-26,32.86,33.09,32.81,33.00,2135400,32.75
2013-11-25,33.32,33.37,32.81,32.86,1993600,32.61
2013-11-22,32.71,33.14,32.62,33.13,2762300,32.88
2013-11-21,32.31,32.73,32.28,32.59,1687500,32.34
2013-11-20,32.54,32.67,32.21,32.24,2637900,32.00
2013-11-19,32.41,32.57,32.28,32.39,2731100,32.14
2013-11-18,32.90,33.01,32.69,32.75,2779000,32.25
2013-11-15,32.68,32.91,32.65,32.85,3141900,32.35
2013-11-14,32.99,33.10,32.56,32.68,2910700,32.18
2013-11-13,32.08,32.87,32.05,32.83,3334000,32.33
2013-11-12,31.89,32.19,31.89,32.13,2311500,31.64
2013-11-11,31.97,32.15,31.81,32.09,1589500,31.60
2013-11-08,31.70,31.94,31.49,31.93,2789200,31.45
2013-11-07,32.01,32.25,31.52,31.66,3237400,31.18
2013-11-06,31.86,32.05,31.73,31.99,2422400,31.51
2013-11-05,31.90,31.90,31.42,31.65,3409700,31.17
2013-11-04,31.79,31.90,31.53,31.86,2768500,31.38
2013-11-01,31.96,31.96,31.59,31.73,2666600,31.25
2013-10-31,31.77,32.06,31.65,31.76,2795800,31.28
2013-10-30,31.95,32.06,31.59,31.79,2371700,31.31
2013-10-29,31.50,31.78,31.41,31.76,2465500,31.28
2013-10-28,31.21,31.46,31.02,31.45,2811600,30.97
2013-10-25,32.86,32.95,31.14,31.40,4721000,30.92
2013-10-24,30.48,30.68,30.28,30.39,3781900,29.93
2013-10-23,30.25,30.35,30.11,30.29,2116900,29.83
2013-10-22,30.37,30.59,30.24,30.36,1970900,29.90
2013-10-21,30.04,30.42,30.03,30.16,2192600,29.70
2013-10-18,30.20,30.24,29.86,30.10,1855900,29.64
2013-10-17,29.66,30.02,29.57,30.02,2269900,29.57
2013-10-16,29.68,29.93,29.49,29.76,2382900,29.31
2013-10-15,29.76,29.85,29.42,29.49,3778900,29.04
2013-10-14,29.34,29.78,28.79,29.77,1528400,29.32
2013-10-11,29.25,29.62,29.19,29.52,1510600,29.07
2013-10-10,29.01,29.26,28.70,29.25,1743800,28.81
2013-10-09,28.97,29.00,28.56,28.70,2574400,28.27
2013-10-08,29.11,29.33,28.74,28.82,2595300,28.38
2013-10-07,29.26,29.56,29.21,29.27,1616200,28.83
2013-10-04,29.24,29.66,29.14,29.57,1682200,29.12
2013-10-03,29.75,29.75,29.08,29.23,2854200,28.79
2013-10-02,29.81,29.84,29.55,29.75,3099500,29.30
2013-10-01,29.64,30.01,29.52,29.93,2322500,29.48
2013-09-30,29.83,29.94,29.61,29.67,2784400,29.22
2013-09-27,30.04,30.30,29.94,30.06,2134900,29.60
2013-09-26,30.69,30.69,30.13,30.25,1497500,29.79
2013-09-25,30.42,30.44,30.06,30.34,2505700,29.88
2013-09-24,30.58,30.61,30.11,30.26,2588500,29.80
2013-09-23,30.52,30.79,30.35,30.48,1482000,30.02
2013-09-20,30.79,31.00,30.66,30.72,4094800,30.25
2013-09-19,30.77,30.81,30.52,30.72,2529600,30.25
2013-09-18,30.63,30.77,30.37,30.71,1954700,30.24
2013-09-17,30.52,30.75,30.45,30.60,2149900,30.14
2013-09-16,30.67,30.76,30.44,30.51,1859200,30.05
2013-09-13,30.50,30.55,30.09,30.39,1959800,29.93
2013-09-12,30.77,30.80,30.30,30.47,2728700,30.01
2013-09-11,30.61,30.98,30.58,30.71,4517100,30.24
2013-09-10,30.08,30.59,30.00,30.58,3249300,30.12
2013-09-09,29.65,30.01,29.65,29.85,1989000,29.40
2013-09-06,29.49,29.70,29.03,29.60,2432500,29.15
2013-09-05,29.55,29.57,29.39,29.44,1416200,28.99
2013-09-04,29.38,29.52,29.15,29.48,2199600,29.03
2013-09-03,29.71,29.74,29.16,29.39,2527400,28.94
2013-08-30,29.73,29.74,29.19,29.25,1659300,28.81
2013-08-29,29.24,29.78,29.21,29.64,2298800,29.19
2013-08-28,29.51,29.73,29.41,29.41,2234200,28.96
2013-08-27,29.59,29.85,29.37,29.40,3932600,28.95
2013-08-26,30.16,30.25,30.00,30.02,1296500,29.57
2013-08-23,30.17,30.42,30.09,30.24,2692900,29.78
2013-08-22,29.75,30.16,29.72,30.12,2073700,29.66
2013-08-21,30.07,30.18,29.68,29.79,2622300,29.34
2013-08-20,30.11,30.21,29.93,30.10,2733500,29.64
2013-08-19,30.45,30.62,30.20,30.27,3562700,29.57
2013-08-16,30.93,31.00,30.54,30.55,3736000,29.84
2013-08-15,31.07,31.17,30.82,30.99,3114700,30.27
2013-08-14,31.24,31.43,31.04,31.26,2297700,30.53
2013-08-13,31.28,31.43,31.00,31.24,2119700,30.51
2013-08-12,30.88,31.30,30.78,31.12,1866500,30.40
2013-08-09,30.75,31.07,30.72,30.98,2056300,30.26
2013-08-08,30.87,31.04,30.59,30.87,2872500,30.15
2013-08-07,30.73,30.89,30.45,30.60,2503200,29.89
2013-08-06,30.57,30.79,30.43,30.73,3353900,30.01
2013-08-05,30.42,30.65,30.23,30.61,1968100,29.90
2013-08-02,30.16,30.44,30.10,30.39,2602800,29.68
2013-08-01,30.10,30.20,29.80,30.12,3050100,29.42
2013-07-31,29.97,30.02,29.67,29.74,3504500,29.05
2013-07-30,29.98,29.98,29.64,29.77,2490100,29.08
2013-07-29,29.64,29.83,29.54,29.74,1592800,29.05
2013-07-26,29.58,29.72,29.26,29.68,2400700,28.99
2013-07-25,29.97,30.15,29.31,29.72,2994500,29.03
2013-07-24,29.90,30.30,29.80,29.88,6210900,29.18
2013-07-23,29.96,29.98,29.71,29.76,2676100,29.07
2013-07-22,29.92,29.96,29.58,29.89,2795200,29.19
2013-07-19,29.93,29.93,29.49,29.65,2256400,28.96
2013-07-18,29.46,29.82,29.37,29.74,2439800,29.05
2013-07-17,29.43,29.52,29.27,29.43,3395900,28.74
2013-07-16,29.65,29.71,29.35,29.37,3491400,28.69
2013-07-15,29.90,30.00,29.55,29.58,3987800,28.89
2013-07-12,29.89,29.97,29.74,29.92,2596100,29.22
2013-07-11,29.38,29.80,29.10,29.76,2877100,29.07
2013-07-10,29.10,29.28,29.02,29.24,2973400,28.56
2013-07-09,29.00,29.17,28.73,29.07,2178500,28.39
2013-07-08,28.60,28.84,28.49,28.74,3078300,28.07
2013-07-05,28.27,28.28,28.02,28.26,2263000,27.60
2013-07-03,27.75,28.21,27.75,28.05,1295100,27.40
2013-07-02,28.17,28.42,27.76,27.98,2864100,27.33
2013-07-01,29.00,29.00,28.19,28.23,3584500,27.57
2013-06-28,28.56,28.76,28.39,28.62,8120200,27.95
2013-06-27,27.69,28.92,27.62,28.80,5844200,28.13
2013-06-26,27.39,27.69,27.39,27.53,2660800,26.89
2013-06-25,27.56,27.57,27.14,27.29,3602100,26.65
2013-06-24,27.38,27.64,27.21,27.24,4943200,26.61
2013-06-21,27.74,27.77,27.24,27.52,5625100,26.88
2013-06-20,27.98,28.05,27.61,27.63,3301400,26.99
2013-06-19,28.69,28.69,28.17,28.21,3358300,27.55
2013-06-18,28.57,28.71,28.37,28.64,2405600,27.97
2013-06-17,28.39,28.73,28.35,28.59,3121000,27.92
2013-06-14,28.47,28.65,28.15,28.26,2067900,27.60
2013-06-13,28.30,28.70,28.13,28.53,4684800,27.87
2013-06-12,28.89,28.91,28.20,28.25,4231100,27.59
2013-06-11,28.97,29.18,28.59,28.61,3722100,27.94
2013-06-10,29.25,29.32,29.09,29.23,4798000,28.55
2013-06-07,28.15,29.83,28.13,29.14,9362500,28.46
2013-06-06,27.27,28.00,27.10,27.99,5265100,27.34
2013-06-05,27.63,27.63,27.15,27.28,4545300,26.64
2013-06-04,27.41,27.69,27.25,27.61,5085900,26.97
2013-06-03,27.30,27.35,27.09,27.34,2945400,26.70
2013-05-31,27.53,27.69,27.31,27.32,3813700,26.68
2013-05-30,27.20,27.69,27.19,27.56,3555300,26.92
2013-05-29,27.56,27.69,27.08,27.19,4845300,26.56
2013-05-28,27.65,27.96,27.43,27.65,3260500,27.01
2013-05-24,27.21,27.43,26.92,27.40,2851400,26.76
2013-05-23,27.19,27.51,27.19,27.35,4202400,26.71
2013-05-22,27.81,27.81,27.25,27.37,4544200,26.73
2013-05-21,27.53,27.78,27.38,27.65,3190200,27.01
2013-05-20,27.61,27.85,27.60,27.71,2884500,26.82
2013-05-17,27.51,27.69,27.26,27.69,3647900,26.80
2013-05-16,27.40,27.60,27.23,27.30,3975700,26.42
2013-05-15,26.96,27.47,26.95,27.41,3473700,26.53
2013-05-14,26.94,27.32,26.94,27.14,4090400,26.27
2013-05-13,26.80,27.25,26.79,26.98,3901000,26.11
2013-05-10,27.00,27.37,26.90,27.22,4042500,26.35
2013-05-09,26.97,27.17,26.77,26.81,5806100,25.95
2013-05-08,25.79,27.25,25.77,27.11,8496900,26.24
2013-05-07,27.63,27.89,27.54,27.77,4514900,26.88
2013-05-06,27.82,27.89,27.59,27.67,4371100,26.78
2013-05-03,27.38,27.94,27.38,27.73,5013400,26.84
2013-05-02,26.78,27.25,26.70,27.23,3090200,26.36
2013-05-01,26.97,27.13,26.55,26.80,3473900,25.94
2013-04-30,26.54,26.99,26.52,26.97,3786400,26.10
2013-04-29,26.03,26.68,25.99,26.63,2834100,25.78
2013-04-26,26.06,26.20,25.91,25.98,2231500,25.15
2013-04-25,25.40,26.17,25.32,26.03,4899600,25.19
2013-04-24,24.75,25.25,24.75,25.19,3018100,24.38
2013-04-23,24.60,24.89,24.56,24.84,2019400,24.04
2013-04-22,24.46,24.68,24.30,24.48,1891600,23.69
2013-04-19,24.30,24.39,24.12,24.36,3229400,23.58
2013-04-18,24.46,24.55,24.16,24.45,3232300,23.67
2013-04-17,24.74,24.80,24.22,24.45,2975900,23.67
2013-04-16,24.88,24.98,24.70,24.84,2353600,24.04
2013-04-15,24.91,25.03,24.63,24.66,3743300,23.87
2013-04-12,24.87,24.97,24.67,24.93,2972700,24.13
2013-04-11,24.90,25.02,24.78,24.88,2151100,24.08
2013-04-10,25.03,25.09,24.62,24.93,2497100,24.13
2013-04-09,24.39,24.71,24.30,24.67,3551000,23.88
2013-04-08,24.26,24.47,24.01,24.30,3729000,23.52
2013-04-05,24.43,24.63,24.16,24.60,2399300,23.81
2013-04-04,24.46,24.79,24.41,24.78,2711400,23.98
2013-04-03,24.83,24.95,24.49,24.54,3446400,23.75
2013-04-02,24.90,25.11,24.68,24.75,2955700,23.96
2013-04-01,25.23,25.23,24.78,24.85,2050200,24.05
2013-03-28,24.90,25.19,24.90,25.18,2575400,24.37
2013-03-27,24.81,25.09,24.77,25.01,2624000,24.21
2013-03-26,25.26,25.29,24.93,24.98,2310700,24.18
2013-03-25,25.42,25.48,24.94,25.05,2326800,24.25
2013-03-22,25.25,25.37,25.09,25.32,3236400,24.51
2013-03-21,24.85,25.20,24.66,25.09,5270400,24.28
2013-03-20,25.14,25.25,25.04,25.15,2294600,24.34
2013-03-19,25.37,25.37,24.75,24.92,2975200,24.12
2013-03-18,25.18,25.42,25.08,25.22,1843100,24.41
2013-03-15,25.50,25.56,25.32,25.44,3795600,24.62
2013-03-14,25.33,25.52,25.32,25.52,2449200,24.70
2013-03-13,25.34,25.41,25.16,25.30,2560800,24.49
2013-03-12,25.03,25.22,25.02,25.22,2313200,24.41
2013-03-11,24.97,25.12,24.81,25.10,2219100,24.29
2013-03-08,25.17,25.22,24.88,25.08,1708200,24.27
2013-03-07,25.11,25.24,24.93,24.97,2307000,24.17
2013-03-06,25.00,25.19,24.94,25.11,2046200,24.30
2013-03-05,24.62,24.94,24.54,24.91,2955300,24.11
2013-03-04,24.43,24.54,24.23,24.45,2842500,23.67
2013-03-01,24.38,24.51,24.05,24.42,3653900,23.64
2013-02-28,24.63,24.81,24.49,24.51,2940200,23.72
2013-02-27,24.19,24.71,24.10,24.63,3075000,23.84
2013-02-26,24.25,24.39,23.98,24.21,2884400,23.43
2013-02-25,24.79,24.88,24.21,24.22,2944100,23.44
2013-02-22,24.63,24.79,24.41,24.56,2326300,23.77
2013-02-21,24.79,24.80,24.32,24.41,2915000,23.63
2013-02-20,25.05,25.17,24.64,24.65,4461000,23.86
2013-02-19,24.84,25.08,24.84,24.98,2502700,24.18
2013-02-15,25.22,25.36,24.98,25.05,3728100,24.00
2013-02-14,24.87,25.19,24.85,25.19,2824700,24.14
2013-02-13,24.98,25.08,24.90,25.00,2713400,23.96
2013-02-12,24.84,24.93,24.70,24.87,9288800,23.83
2013-02-11,25.13,25.13,24.85,24.86,9337300,23.82
2013-02-08,24.88,25.18,24.80,25.02,9500200,23.98
2013-02-07,24.92,24.92,24.50,24.81,3881900,23.77
2013-02-06,24.95,25.07,24.75,24.83,2882000,23.79
2013-02-05,24.90,25.13,24.79,25.05,3222100,24.00
2013-02-04,25.10,25.24,24.71,24.71,4683700,23.68
2013-02-01,24.94,25.20,24.92,25.03,3102300,23.98
2013-01-31,24.92,25.09,24.65,24.82,4271600,23.78
2013-01-30,25.12,25.17,24.80,24.86,4154700,23.82
2013-01-29,24.90,25.15,24.81,25.03,4359600,23.98
2013-01-28,25.07,25.20,25.05,25.08,3707800,24.03
2013-01-25,24.99,25.29,24.89,25.05,3318900,24.00
2013-01-24,25.05,25.24,24.83,24.90,3703100,23.86
2013-01-23,25.14,25.57,24.90,25.07,7210200,24.02
2013-01-22,24.63,24.65,24.24,24.55,5800000,23.52
2013-01-18,24.23,24.58,24.20,24.57,5349500,23.54
2013-01-17,24.23,24.30,24.02,24.22,4976300,23.21
2013-01-16,23.45,24.12,23.45,24.09,7513700,23.08
2013-01-15,23.42,23.66,23.35,23.62,2822700,22.63
2013-01-14,23.39,23.61,23.35,23.56,3205400,22.58
2013-01-11,23.00,23.34,23.00,23.34,2783300,22.37
2013-01-10,23.17,23.24,22.95,23.11,2483800,22.14
2013-01-09,22.84,23.11,22.81,23.06,3152100,22.10
2013-01-08,22.72,22.85,22.50,22.83,3431500,21.88
2013-01-07,23.05,23.05,22.71,22.82,3635200,21.87
2013-01-04,22.74,23.21,22.65,23.05,4766000,22.09
2013-01-03,22.70,23.09,22.50,22.65,4184900,21.70
2013-01-02,22.38,22.75,22.25,22.74,4378700,21.79
2012-12-31,21.79,22.03,21.67,21.98,3438800,21.06
2012-12-28,21.73,21.98,21.72,21.79,2946900,20.88
2012-12-27,22.10,22.21,21.68,21.93,4247100,21.01
2012-12-26,22.41,22.41,22.03,22.11,1906500,21.19
2012-12-24,22.34,22.43,22.19,22.34,1313700,21.41
2012-12-21,22.40,22.48,22.04,22.19,8526700,21.26
2012-12-20,22.38,22.66,22.32,22.64,5355800,21.69
2012-12-19,22.50,22.65,22.32,22.44,6362200,21.50
2012-12-18,22.12,22.59,22.01,22.40,7270800,21.46
2012-12-17,21.87,22.13,21.79,22.01,5906600,21.09
2012-12-14,21.82,21.94,21.79,21.86,4326600,20.95
2012-12-13,22.02,22.31,21.75,21.91,7077000,21.00
2012-12-12,22.25,22.28,21.77,21.85,4254500,20.94
2012-12-11,22.30,22.30,22.05,22.09,3798600,21.17
2012-12-10,21.93,22.13,21.77,22.10,2805000,21.18
2012-12-07,22.14,22.14,21.89,22.03,2526000,21.11
2012-12-06,21.96,22.13,21.86,22.05,2869300,21.13
2012-12-05,22.28,22.33,21.89,21.97,4169700,21.05
2012-12-04,21.95,22.31,21.77,22.30,5176300,21.37
2012-12-03,22.32,22.34,21.70,21.77,4013300,20.86
2012-11-30,22.19,22.24,21.98,22.16,3143500,21.23
