Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,91.00,91.18,90.46,90.81,3098900,90.22
2013-12-30,90.85,91.03,90.28,90.87,2625000,90.28
2013-12-27,91.14,91.43,90.56,90.87,3373800,90.28
2013-12-26,90.99,91.67,90.70,91.15,4790800,90.56
2013-12-24,90.00,90.98,89.99,90.91,2675700,90.32
2013-12-23,89.31,90.07,89.27,89.96,5733300,89.38
2013-12-20,87.85,89.11,87.81,88.93,7389700,88.35
2013-12-19,87.50,87.84,87.26,87.54,4299700,86.97
2013-12-18,87.01,88.46,86.65,88.17,6963200,87.60
2013-12-17,87.22,87.65,86.38,86.92,4764400,86.36
2013-12-16,86.50,87.85,86.44,87.38,6976200,86.81
2013-12-13,85.67,86.23,85.57,86.05,4226200,85.49
2013-12-12,85.37,85.70,84.84,85.57,4551700,85.01
2013-12-11,86.03,86.22,85.12,85.28,5624100,84.73
2013-12-10,85.97,86.87,85.92,86.42,4987000,85.86
2013-12-09,85.70,86.53,85.56,86.09,6023400,85.53
2013-12-06,85.06,85.58,84.93,85.50,5759300,84.94
2013-12-05,83.92,84.58,83.70,84.41,5291900,83.86
2013-12-04,83.75,84.38,83.11,83.97,5246700,83.42
2013-12-03,83.80,83.95,83.27,83.87,3924300,83.33
2013-12-02,84.70,85.09,84.03,84.25,4834700,83.70
2013-11-29,84.64,85.18,84.53,84.60,2284400,84.05
2013-11-27,84.43,84.93,84.33,84.67,3053600,84.12
2013-11-26,84.80,84.83,84.01,84.36,3834900,83.81
2013-11-25,84.40,84.94,83.87,84.40,8111400,83.85
2013-11-22,82.22,82.95,82.00,82.88,4403800,82.34
2013-11-21,83.05,83.09,81.87,82.12,6208500,81.59
2013-11-20,83.18,83.71,82.46,82.68,7443000,82.14
2013-11-19,84.11,84.50,83.48,83.67,5010300,83.13
2013-11-18,84.05,84.97,83.74,84.04,4803100,83.49
2013-11-15,84.00,84.11,83.50,83.74,4743900,83.20
2013-11-14,84.00,84.20,83.56,83.76,4496300,83.22
2013-11-13,83.46,84.25,83.00,84.20,3952800,83.65
2013-11-12,83.98,84.28,83.54,83.85,3483000,83.31
2013-11-11,84.19,84.47,83.82,84.15,2522500,83.60
2013-11-08,83.52,84.32,83.50,84.24,4557300,83.69
2013-11-07,83.95,84.43,83.50,83.65,5431600,83.11
2013-11-06,84.30,84.36,83.85,84.22,3664100,83.67
2013-11-05,83.61,84.19,83.36,84.05,4010900,83.50
2013-11-04,83.81,83.99,83.45,83.89,3892500,83.35
2013-11-01,83.78,83.80,82.80,83.59,5880200,83.05
2013-10-31,83.44,84.27,83.36,83.36,4651300,82.82
2013-10-30,84.17,84.35,83.21,83.49,4657000,82.95
2013-10-29,83.91,84.10,83.29,84.07,5324100,83.52
2013-10-28,84.50,84.73,84.15,84.28,3979200,83.73
2013-10-25,84.32,84.78,83.61,84.77,4886400,84.22
