Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,96.36,96.82,96.26,96.63,690500,96.08
2013-12-30,95.62,96.38,95.51,96.14,470200,95.59
2013-12-27,95.89,96.16,95.47,95.75,439000,95.20
2013-12-26,95.31,96.07,95.04,95.82,944900,95.27
2013-12-24,94.69,95.28,94.51,95.22,323400,94.67
2013-12-23,94.94,95.13,94.43,94.58,585400,94.04
2013-12-20,93.86,94.90,93.86,94.44,1839900,93.90
2013-12-19,92.46,93.83,92.38,93.63,993600,93.09
2013-12-18,92.57,92.88,91.91,92.83,1996200,92.30
2013-12-17,93.06,93.25,92.39,92.54,828800,91.57
2013-12-16,93.40,93.54,93.02,93.12,870400,92.15
2013-12-13,92.96,93.41,92.77,92.98,684700,92.01
2013-12-12,93.37,93.84,92.81,92.85,1163700,91.88
2013-12-11,94.27,94.38,93.32,93.44,1357300,92.46
2013-12-10,94.47,95.00,94.12,94.12,1011200,93.13
2013-12-09,94.98,95.11,94.43,94.77,721900,93.78
2013-12-06,94.12,95.09,93.90,94.85,682600,93.86
2013-12-05,93.75,94.04,92.99,93.09,1341300,92.12
2013-12-04,94.86,95.94,93.39,94.10,1450500,93.12
2013-12-03,95.13,96.19,94.94,95.40,1359900,94.40
2013-12-02,96.35,96.45,95.37,95.45,1399300,94.45
2013-11-29,97.47,97.79,96.40,96.45,541400,95.44
2013-11-27,97.11,97.44,97.00,97.34,653300,96.32
2013-11-26,97.04,97.39,96.82,97.11,902200,96.09
2013-11-25,97.02,97.28,96.93,97.04,496000,96.02
2013-11-22,95.96,96.90,95.86,96.84,466600,95.83
2013-11-21,94.91,96.33,94.74,96.12,934500,95.11
2013-11-20,94.60,95.17,94.23,94.56,1133200,93.57
2013-11-19,94.74,95.02,94.54,94.70,509700,93.71
2013-11-18,94.75,95.15,94.22,94.72,645000,93.73
2013-11-15,94.69,94.99,94.64,94.82,700500,93.83
2013-11-14,94.01,94.80,93.62,94.78,884600,93.79
2013-11-13,92.80,93.98,92.55,93.97,826100,92.99
2013-11-12,94.17,94.39,92.60,92.91,1279100,91.94
2013-11-11,94.12,94.73,93.99,94.54,656400,93.55
2013-11-08,93.52,94.37,93.52,94.32,964800,93.33
2013-11-07,94.00,94.20,93.45,93.54,1003800,92.56
2013-11-06,93.00,94.00,93.00,93.90,1188200,92.92
2013-11-05,92.50,92.84,92.22,92.83,750900,91.86
2013-11-04,92.43,92.70,92.24,92.59,460400,91.62
2013-11-01,92.10,92.27,91.83,92.09,799900,91.13
2013-10-31,92.87,92.89,92.07,92.08,938300,91.12
2013-10-30,93.20,93.38,92.32,92.74,854800,91.77
2013-10-29,93.01,93.25,92.71,93.24,829200,92.26
