Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,55.75,56.10,55.55,55.74,676100,55.74
2013-12-30,55.63,55.83,55.37,55.76,567500,55.76
2013-12-27,55.87,55.87,55.31,55.58,1177400,55.58
2013-12-26,55.57,55.75,55.31,55.67,476200,55.67
2013-12-24,55.24,55.47,55.08,55.38,458400,55.38
2013-12-23,54.98,55.35,54.67,55.31,1124200,55.31
2013-12-20,54.93,54.97,54.41,54.67,2235500,54.67
2013-12-19,55.45,55.68,54.34,54.69,1210500,54.69
2013-12-18,54.84,55.82,53.72,55.76,1699000,55.76
2013-12-17,54.18,55.06,54.06,54.93,1829600,54.93
2013-12-16,54.39,54.66,53.87,54.32,1212700,54.32
2013-12-13,54.50,54.82,53.92,54.17,930300,54.17
2013-12-12,54.50,54.86,53.83,54.03,1365400,54.03
2013-12-11,55.82,56.34,54.52,54.60,2945800,54.60
2013-12-10,56.79,57.22,55.75,55.86,1672400,55.86
2013-12-09,57.49,57.65,56.51,56.71,1386100,56.71
2013-12-06,56.80,57.52,56.51,57.42,1222600,57.42
2013-12-05,56.50,56.96,56.01,56.09,1367300,56.09
2013-12-04,57.05,57.43,55.81,56.40,1449300,56.40
2013-12-03,57.51,57.67,56.79,57.45,1517200,57.45
2013-12-02,57.59,58.08,57.40,57.68,884800,57.68
2013-11-29,57.71,58.08,57.28,57.47,463400,57.47
2013-11-27,57.70,58.05,57.25,57.65,655500,57.65
2013-11-26,58.06,58.36,57.47,57.68,1187000,57.68
2013-11-25,58.09,58.46,57.95,58.24,1343100,58.24
2013-11-22,57.96,58.03,57.52,57.96,1044800,57.96
2013-11-21,56.30,57.90,56.03,57.69,1490900,57.69
2013-11-20,56.36,56.62,55.70,55.95,1069600,55.95
2013-11-19,56.48,56.57,55.82,56.15,771900,56.15
2013-11-18,57.39,57.46,56.38,56.64,616100,56.64
2013-11-15,57.09,57.60,56.82,57.34,1004900,57.34
2013-11-14,56.94,57.19,56.50,57.09,754400,57.09
2013-11-13,56.53,56.79,55.96,56.78,615000,56.78
2013-11-12,56.26,56.97,56.01,56.47,848300,56.47
2013-11-11,56.70,56.87,56.11,56.39,862900,56.39
2013-11-08,55.99,57.09,55.95,57.04,1136600,57.04
2013-11-07,56.48,56.75,55.59,56.08,1738000,56.08
2013-11-06,56.06,56.52,55.95,56.45,912700,56.45
2013-11-05,56.21,56.39,55.75,55.90,984000,55.90
2013-11-04,56.21,56.55,55.86,56.49,887400,56.49
2013-11-01,56.31,56.52,55.70,56.17,1282600,56.17
2013-10-31,56.13,56.55,55.76,56.03,1645100,56.03
2013-10-30,56.19,56.82,55.83,55.88,1442700,55.88
