Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,231.80,233.70,231.42,233.04,411800,232.03
2013-12-30,231.64,232.68,228.22,231.82,449200,230.82
2013-12-27,232.65,233.08,229.45,231.13,388200,230.13
2013-12-26,232.39,234.50,231.98,232.65,253800,231.64
2013-12-24,230.83,233.61,230.83,231.62,190900,230.62
2013-12-23,229.75,232.74,228.09,231.12,513800,230.12
2013-12-20,226.38,228.45,226.38,228.00,820600,227.01
2013-12-19,226.16,229.74,226.16,228.02,497000,227.03
2013-12-18,229.03,230.20,223.28,228.24,787200,227.25
2013-12-17,225.64,230.41,225.50,229.65,954300,228.66
2013-12-16,226.91,227.68,222.51,226.63,817300,225.65
2013-12-13,226.49,228.06,225.19,225.55,535300,224.57
2013-12-12,227.50,228.62,225.42,225.67,606300,224.69
2013-12-11,230.00,230.00,227.43,228.10,502100,227.11
2013-12-10,231.59,233.68,229.16,229.77,672800,228.78
2013-12-09,233.09,234.11,230.75,231.59,723600,230.59
2013-12-06,237.91,238.19,232.77,233.09,712700,232.08
2013-12-05,238.29,239.40,234.81,235.62,1805300,234.60
2013-12-04,227.10,237.43,225.00,237.07,4246600,236.04
2013-12-03,216.95,217.50,213.70,214.19,534300,213.26
2013-12-02,217.86,219.80,216.89,217.01,508400,216.07
2013-11-29,216.88,219.91,215.88,217.38,181000,216.44
2013-11-27,214.67,217.67,214.59,216.50,433800,215.56
2013-11-26,214.37,215.82,212.72,214.34,426900,213.41
2013-11-25,214.98,215.45,213.33,213.64,825800,212.72
2013-11-22,215.14,215.43,213.38,215.19,496700,214.26
2013-11-21,215.46,215.98,213.64,214.62,385000,213.69
2013-11-20,214.81,215.74,213.67,214.46,425900,213.53
2013-11-19,215.83,216.91,214.09,214.48,666400,213.55
2013-11-18,219.06,220.25,216.00,216.31,615900,215.37
2013-11-15,218.52,220.38,217.90,218.90,878300,217.95
2013-11-14,218.80,220.00,216.78,218.71,510700,217.76
2013-11-13,216.15,219.58,216.00,217.40,695800,216.46
2013-11-12,219.31,220.45,216.63,218.28,894900,216.34
2013-11-11,219.86,221.48,218.50,220.50,642400,218.54
2013-11-08,211.12,219.73,210.10,219.36,1402100,217.41
2013-11-07,211.09,213.75,210.56,210.76,1024500,208.89
2013-11-06,209.21,212.27,209.21,211.64,957600,209.76
2013-11-05,212.07,213.21,207.28,209.50,1874900,207.64
2013-11-04,216.05,218.47,215.21,217.63,672700,215.70
2013-11-01,215.00,216.09,213.30,214.94,580800,213.03
2013-10-31,216.03,217.45,214.06,215.60,503200,213.68
2013-10-30,217.13,218.40,214.69,216.37,423800,214.45
2013-10-29,217.24,218.98,213.86,216.22,665200,214.30
2013-10-28,217.00,220.63,216.54,218.36,1241200,216.42
2013-10-25,210.16,210.59,207.33,209.62,561900,207.76
2013-10-24,211.72,211.72,206.75,210.13,769600,208.26
2013-10-23,214.76,215.16,211.13,212.55,505000,210.66
2013-10-22,216.00,216.73,213.27,215.82,935400,213.90
2013-10-21,215.62,217.66,213.70,215.97,1096700,214.05
2013-10-18,213.16,216.44,208.54,215.16,1886200,213.25
2013-10-17,209.13,210.88,208.46,209.54,606100,207.68
2013-10-16,206.46,211.24,205.30,208.94,601200,207.08
2013-10-15,205.59,209.00,203.79,205.16,378100,203.34
2013-10-14,204.69,206.66,204.30,206.08,438100,204.25
2013-10-11,206.57,206.76,203.04,204.55,677000,202.73
2013-10-10,209.24,209.51,205.41,206.92,938900,205.08
2013-10-09,209.80,209.80,204.28,206.46,1300000,204.62
2013-10-08,214.20,214.83,207.40,208.72,747200,206.86
2013-10-07,214.49,217.19,214.09,214.56,532500,212.65
2013-10-04,212.00,216.70,211.29,216.38,1041300,214.46
2013-10-03,212.54,214.00,210.57,211.81,567800,209.93
2013-10-02,208.74,213.90,208.65,213.90,829800,212.00
2013-10-01,210.00,213.52,209.14,210.97,734400,209.09
2013-09-30,208.81,213.78,206.80,210.83,701300,208.96
2013-09-27,210.93,213.36,210.00,210.48,489800,208.61
2013-09-26,214.70,214.72,211.63,212.35,570700,210.46
