Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,27.08,27.26,26.80,27.14,6110400,26.96
2013-12-30,27.55,27.82,27.01,27.05,6551600,26.87
2013-12-27,27.71,27.73,27.41,27.49,3888100,27.30
2013-12-26,27.58,27.72,27.20,27.72,5960200,27.53
2013-12-24,27.34,27.69,27.23,27.61,2025700,27.42
2013-12-23,27.28,27.70,27.25,27.43,6025700,27.24
2013-12-20,27.29,27.39,27.08,27.11,8467500,26.93
2013-12-19,26.57,27.32,26.55,27.21,9256500,27.03
2013-12-18,26.66,26.73,26.22,26.64,11162700,26.46
2013-12-17,26.75,27.01,26.29,26.36,10605800,26.18
2013-12-16,27.01,27.19,26.68,26.77,6311700,26.59
2013-12-13,26.65,27.05,26.46,27.00,5612600,26.82
2013-12-12,26.52,26.87,26.49,26.73,5480300,26.55
2013-12-11,26.81,26.85,26.35,26.44,6410600,26.26
2013-12-10,26.41,27.10,26.41,26.81,7833200,26.63
2013-12-09,26.54,26.60,26.27,26.38,7543900,26.20
2013-12-06,27.23,27.34,26.29,26.48,10424400,26.30
2013-12-05,27.07,27.17,26.87,27.05,9051300,26.87
2013-12-04,27.00,27.26,26.92,27.10,7835100,26.92
2013-12-03,26.63,27.06,26.48,27.01,7670200,26.83
2013-12-02,26.99,27.22,26.68,26.78,10243600,26.60
2013-11-29,26.63,27.02,26.37,26.87,4862100,26.69
2013-11-27,26.20,26.76,26.02,26.65,13445900,26.47
2013-11-26,26.18,26.48,26.05,26.31,4886300,26.13
2013-11-25,26.33,26.45,25.78,26.27,7003900,26.09
2013-11-22,26.32,26.61,25.91,26.30,6599800,26.12
2013-11-21,25.70,26.55,25.68,26.33,9787400,26.15
2013-11-20,25.50,25.85,25.46,25.55,7659700,25.38
2013-11-19,25.38,25.53,25.06,25.30,12390100,25.13
2013-11-18,25.94,26.02,25.31,25.42,9250300,25.25
2013-11-15,26.07,26.18,25.70,25.88,7493000,25.71
2013-11-14,25.92,26.14,25.70,25.95,7860700,25.77
2013-11-13,25.46,25.93,25.35,25.92,11979200,25.75
2013-11-12,25.76,25.87,25.44,25.55,8187700,25.38
2013-11-11,25.76,25.81,25.52,25.69,8572400,25.52
2013-11-08,25.49,26.08,25.49,25.71,10319500,25.54
2013-11-07,26.27,26.38,25.19,25.40,19681700,25.23
