Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,86.69,87.73,86.43,87.48,770200,87.44
2013-12-30,86.53,86.75,85.72,86.61,871600,86.57
2013-12-27,86.85,87.23,86.42,86.53,365900,86.49
2013-12-26,86.31,86.98,86.21,86.81,386100,86.77
2013-12-24,86.17,86.55,85.83,86.17,246600,86.13
2013-12-23,85.80,86.18,85.47,85.99,713900,85.95
2013-12-20,85.49,85.72,84.72,85.25,2148200,85.21
2013-12-19,84.64,85.38,83.98,85.32,1122900,85.28
2013-12-18,83.99,85.05,83.16,85.04,1086700,85.00
2013-12-17,84.15,84.18,83.52,83.78,1366700,83.74
2013-12-16,84.06,84.45,83.02,83.95,1329500,83.91
2013-12-13,84.56,85.26,83.16,83.25,1141600,83.21
2013-12-12,84.86,85.32,84.02,84.28,1525500,84.24
2013-12-11,85.97,86.49,84.85,85.13,1865900,85.09
2013-12-10,86.81,87.01,86.08,86.10,1258600,86.06
2013-12-09,87.51,87.93,86.92,87.15,1394900,87.11
2013-12-06,85.32,86.63,85.21,86.50,1362600,86.46
2013-12-05,85.87,85.92,84.23,84.32,1174000,84.28
2013-12-04,85.90,86.83,85.09,85.95,1314700,85.91
2013-12-03,86.86,87.04,86.01,86.16,1760600,86.12
2013-12-02,87.37,88.09,87.01,87.17,1321200,87.13
2013-11-29,88.44,88.49,87.34,87.45,689100,87.41
2013-11-27,88.20,88.36,87.79,88.02,996700,87.98
2013-11-26,88.03,88.57,87.78,87.95,1585200,87.91
2013-11-25,86.76,88.34,86.52,88.18,1477700,88.14
2013-11-22,85.74,86.87,85.58,86.62,1561200,86.58
2013-11-21,86.40,87.42,85.68,85.73,1714300,85.69
2013-11-20,84.78,86.45,84.52,85.82,1801100,85.78
2013-11-19,84.45,84.80,84.18,84.65,1304400,84.61
2013-11-18,83.70,84.25,83.53,84.11,918900,84.07
2013-11-15,82.91,83.66,82.79,83.64,1352300,83.60
2013-11-14,82.19,83.05,82.06,83.03,1430300,82.99
