Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,47.65,47.81,47.37,47.54,824100,47.36
2013-12-30,47.46,47.69,47.37,47.63,1179500,47.45
2013-12-27,47.49,47.70,47.26,47.47,884100,47.29
2013-12-26,48.69,48.69,47.39,47.51,1307000,47.33
2013-12-24,47.13,47.46,46.99,47.37,353200,47.19
2013-12-23,46.83,47.16,46.74,47.13,1043400,46.95
2013-12-20,46.76,46.94,46.32,46.73,2485200,46.55
2013-12-19,45.96,46.67,45.75,46.54,2326500,46.36
2013-12-18,45.50,46.39,45.13,46.36,1791000,46.18
2013-12-17,45.57,45.59,45.12,45.49,1347700,45.32
2013-12-16,45.35,45.75,45.14,45.56,1390000,45.38
2013-12-13,45.58,45.77,44.92,45.04,1195900,44.87
2013-12-12,44.98,45.78,44.87,45.51,1519300,45.34
2013-12-11,45.58,45.72,44.80,44.85,1207600,44.68
2013-12-10,45.91,46.25,45.67,45.76,1013300,45.41
2013-12-09,45.89,46.14,45.79,46.07,982000,45.72
2013-12-06,45.53,45.91,45.29,45.85,1003400,45.50
2013-12-05,45.10,45.39,44.77,44.96,817100,44.62
2013-12-04,44.95,45.79,44.77,45.26,1200500,44.92
2013-12-03,45.41,45.49,44.57,44.95,1140300,44.61
2013-12-02,45.43,45.94,45.22,45.61,1084900,45.27
2013-11-29,45.67,45.73,45.32,45.35,508400,45.01
2013-11-27,45.61,45.75,45.34,45.63,741100,45.29
2013-11-26,45.74,45.93,45.44,45.55,876600,45.21
2013-11-25,45.76,46.08,45.62,45.69,991900,45.35
2013-11-22,45.31,45.60,44.99,45.59,1139300,45.25
2013-11-21,44.97,45.52,44.84,45.29,1132700,44.95
2013-11-20,44.85,45.04,44.51,44.79,1039700,44.45
2013-11-19,44.79,45.08,44.44,44.85,820200,44.51
2013-11-18,44.90,45.25,44.61,44.77,1220000,44.43
2013-11-15,45.04,45.05,44.75,44.90,1847100,44.56
2013-11-14,44.88,45.02,44.65,44.69,1800000,44.35
2013-11-13,44.52,44.68,44.07,44.67,1482900,44.33
2013-11-12,45.00,45.16,44.34,44.64,1099500,44.30
2013-11-11,45.15,45.23,44.75,44.93,813800,44.59
2013-11-08,43.30,45.21,43.30,45.20,1690800,44.86
2013-11-07,44.06,44.22,43.36,43.38,1321700,43.05
2013-11-06,44.00,44.07,43.74,44.05,1445100,43.72
2013-11-05,43.09,44.03,43.09,43.76,2584700,43.43
2013-11-04,43.12,43.37,43.10,43.30,1264200,42.97
2013-11-01,43.27,43.44,42.92,43.04,2545500,42.72
