Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,140.00,141.39,139.96,140.97,762700,140.35
2013-12-30,139.81,140.49,139.30,139.93,714000,139.32
2013-12-27,140.43,140.43,139.29,139.83,616000,139.22
2013-12-26,139.48,140.22,139.14,139.85,625000,139.24
2013-12-24,138.99,139.84,138.13,139.40,407400,138.79
2013-12-23,138.76,139.50,138.16,138.66,1286400,138.05
2013-12-20,136.75,138.47,136.56,137.75,1856800,137.15
2013-12-19,137.13,138.00,136.28,137.20,2284000,136.60
2013-12-18,133.26,136.31,133.00,136.03,1515600,135.44
2013-12-17,132.86,133.89,132.67,133.25,1128000,132.67
2013-12-16,131.10,133.62,131.10,133.09,1647000,132.51
2013-12-13,130.26,130.47,129.35,130.01,860500,129.44
2013-12-12,130.33,131.01,129.05,129.54,1119700,128.97
2013-12-11,132.75,132.80,130.29,130.66,1121500,130.09
2013-12-10,131.43,133.48,131.25,132.86,1151500,132.28
2013-12-09,130.16,132.84,130.01,131.66,1253100,131.08
2013-12-06,131.39,131.72,130.17,130.48,1128700,129.91
2013-12-05,128.87,130.13,128.49,129.60,1135900,129.03
2013-12-04,129.50,130.14,127.81,129.02,1777200,128.46
2013-12-03,132.29,132.67,129.19,130.03,1673600,129.46
2013-12-02,132.55,134.05,131.61,132.98,878400,132.40
2013-11-29,132.99,133.31,132.17,132.36,377900,131.78
2013-11-27,131.51,132.79,131.00,132.63,708300,132.05
2013-11-26,130.80,131.41,130.50,130.98,750200,130.41
2013-11-25,130.90,131.61,130.54,130.80,872100,130.23
2013-11-22,129.01,130.40,128.70,130.37,695200,129.80
2013-11-21,128.99,129.89,128.86,129.26,687300,128.70
2013-11-20,130.64,131.00,128.30,128.74,908300,128.18
2013-11-19,131.86,132.49,129.50,130.00,926900,129.43
2013-11-18,132.38,133.86,132.26,132.59,1425400,131.39
2013-11-15,132.27,132.86,131.10,132.04,1388800,130.84
2013-11-14,131.55,132.91,131.38,132.49,1092100,131.29
2013-11-13,129.21,131.69,128.60,131.55,1131900,130.36
2013-11-12,132.39,132.55,129.80,130.10,1066900,128.92
2013-11-11,130.89,130.94,130.02,130.10,868500,128.92
2013-11-08,129.30,130.94,129.30,130.70,1379300,129.52
2013-11-07,132.44,132.98,128.76,128.89,2206800,127.72
2013-11-06,132.06,132.75,130.71,132.48,1468000,131.28
2013-11-05,129.85,132.55,128.40,131.72,2123600,130.53
2013-11-04,129.08,130.84,129.05,129.91,2250600,128.73
2013-11-01,127.42,129.15,127.00,128.85,2493500,127.68
2013-10-31,125.63,128.08,124.47,127.02,2277100,125.87
2013-10-30,127.55,128.17,124.99,125.44,3201900,124.30
2013-10-29,124.84,128.27,122.52,127.90,8651800,126.74
2013-10-28,135.63,136.31,134.59,134.91,1381500,133.69
2013-10-25,137.92,137.92,133.89,135.59,2242000,134.36
2013-10-24,136.19,137.90,135.50,137.86,1337500,136.61
2013-10-23,137.15,137.19,134.80,135.54,1734000,134.31
2013-10-22,137.60,139.17,137.45,138.18,1114100,136.93
2013-10-21,136.68,137.43,136.13,136.91,597100,135.67
2013-10-18,134.66,136.87,134.41,136.44,1045500,135.20
2013-10-17,132.84,134.32,132.48,133.98,777100,132.77
2013-10-16,133.20,133.41,131.57,133.29,1204300,132.08
2013-10-15,133.71,134.42,132.00,132.52,1913600,131.32
2013-10-14,131.42,134.55,131.14,134.07,1210800,132.86
2013-10-11,131.96,132.63,131.20,132.31,938300,131.11
2013-10-10,131.19,133.22,130.91,132.65,1033400,131.45
2013-10-09,129.57,130.47,128.15,129.34,969600,128.17
2013-10-08,131.29,132.62,129.34,129.47,1362500,128.30
2013-10-07,131.84,132.48,131.11,131.15,957900,129.96
2013-10-04,131.92,133.68,131.40,133.21,787400,132.00
2013-10-03,134.60,134.91,131.00,131.76,1247300,130.57
2013-10-02,131.98,134.77,131.82,134.64,1608900,133.42
2013-10-01,132.01,134.09,132.00,132.73,1222700,131.53
2013-09-30,132.15,133.87,131.74,132.87,925100,131.67
2013-09-27,132.98,133.80,132.60,133.54,893000,132.33
2013-09-26,134.21,135.08,133.53,134.19,896300,132.97
2013-09-25,133.92,134.71,132.46,133.70,980500,132.49
2013-09-24,133.16,135.19,132.62,133.93,1364700,132.72
2013-09-23,134.52,134.55,132.89,133.61,917000,132.40
2013-09-20,135.24,136.50,134.28,134.57,1745000,133.35
2013-09-19,134.00,135.54,133.50,135.25,1891900,134.02
2013-09-18,131.99,134.03,131.05,133.72,1830600,132.51
2013-09-17,133.22,133.47,131.74,131.96,1702500,130.76
2013-09-16,136.24,136.24,133.49,133.85,1285800,132.64
