Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,56.45,56.67,55.75,56.13,2224500,55.74
2013-12-30,56.14,56.51,55.72,56.39,1632700,56.00
2013-12-27,56.75,56.88,55.99,56.27,1225900,55.88
2013-12-26,56.51,56.88,56.39,56.57,1017600,56.18
2013-12-24,56.30,56.68,56.05,56.43,872900,56.04
2013-12-23,56.14,56.23,55.76,56.11,1412500,55.72
2013-12-20,55.49,56.45,55.41,56.06,3186600,55.67
2013-12-19,55.70,55.89,55.32,55.43,1671300,55.04
2013-12-18,55.41,55.75,54.77,55.72,2175300,55.33
2013-12-17,55.43,55.47,54.93,55.30,1960900,54.91
2013-12-16,55.60,55.83,54.90,55.32,2503100,54.93
2013-12-13,55.52,56.10,55.36,55.50,1886700,55.11
2013-12-12,55.43,56.09,55.18,55.52,2635700,55.13
2013-12-11,55.89,56.13,55.38,55.46,2936500,55.07
2013-12-10,56.13,56.27,55.51,56.15,3254000,55.76
2013-12-09,56.30,56.68,55.97,56.06,3047600,55.67
2013-12-06,56.08,56.37,55.17,55.62,2474400,55.23
2013-12-05,56.30,56.45,55.35,55.72,3170900,55.33
2013-12-04,55.72,56.56,55.61,56.47,3336100,56.08
2013-12-03,56.50,57.00,56.15,56.65,4421100,55.92
2013-12-02,57.45,57.71,56.39,56.54,7634600,55.81
2013-11-29,57.25,57.95,57.15,57.90,2832200,57.15
2013-11-27,56.28,57.41,56.14,57.13,5042300,56.39
2013-11-26,54.86,57.15,54.76,56.36,10365100,55.63
2013-11-25,54.09,54.63,54.03,54.56,2727600,53.86
2013-11-22,54.20,54.30,53.73,54.22,2618300,53.52
2013-11-21,53.44,54.13,53.21,53.97,3211600,53.27
2013-11-20,54.20,54.74,53.30,53.45,5637100,52.76
2013-11-19,53.93,54.27,53.80,53.95,2650200,53.25
2013-11-18,54.19,54.32,53.91,54.03,3676700,53.33
2013-11-15,53.88,54.37,53.46,54.14,5375100,53.44
2013-11-14,53.37,53.81,53.12,53.65,3986600,52.96
2013-11-13,52.26,53.39,52.25,53.31,3910200,52.62
2013-11-12,52.01,52.66,51.98,52.48,3093200,51.80
2013-11-11,51.69,52.20,51.57,52.03,2517600,51.36
2013-11-08,51.12,51.85,50.96,51.81,3375600,51.14
2013-11-07,52.31,52.49,51.43,51.68,4063800,51.01
2013-11-06,51.77,52.35,51.55,52.31,3950300,51.63
2013-11-05,51.00,51.98,50.77,51.77,4616600,51.10
2013-11-04,50.50,51.35,50.49,51.06,3765300,50.40
2013-11-01,50.88,51.05,50.16,50.42,3464300,49.77
2013-10-31,51.03,51.12,50.51,50.68,3903800,50.03
2013-10-30,50.92,51.13,50.65,50.83,4081700,50.17
2013-10-29,50.30,50.80,50.28,50.76,4346900,50.10
2013-10-28,49.90,50.29,49.51,50.18,4641600,49.53
2013-10-25,49.49,50.02,49.45,49.89,5401300,49.25
2013-10-24,48.52,49.19,48.25,49.09,6640200,48.46
2013-10-23,49.59,49.61,47.89,48.55,15100800,47.92
2013-10-22,49.80,50.86,49.50,50.10,20707100,49.45
2013-10-21,53.98,54.34,53.19,54.18,6048800,53.48
2013-10-18,54.20,54.38,53.62,53.87,4775200,53.17
2013-10-17,53.91,54.84,53.46,54.14,5185100,53.44
2013-10-16,53.97,54.29,53.62,53.95,4328400,53.25
2013-10-15,54.06,54.07,53.45,53.63,4793900,52.94
2013-10-14,53.57,54.12,53.17,54.12,4298100,53.42
2013-10-11,54.22,54.59,53.94,54.59,2547500,53.89
2013-10-10,54.45,54.76,54.17,54.19,2926000,53.49
2013-10-09,53.49,54.27,53.13,53.86,3539800,53.16
2013-10-08,54.42,54.47,53.30,53.59,3811100,52.90
2013-10-07,54.53,55.24,54.32,54.39,2379100,53.69
2013-10-04,54.34,55.42,54.22,55.03,3598200,54.32
2013-10-03,54.40,55.13,54.07,54.34,3746400,53.64
2013-10-02,54.15,54.34,53.80,54.30,2759900,53.60
2013-10-01,54.64,54.70,54.19,54.35,2730800,53.65
2013-09-30,53.91,54.60,53.59,54.53,2004600,53.83
2013-09-27,54.49,54.60,54.16,54.24,2209500,53.54
2013-09-26,54.49,54.86,54.25,54.50,2662500,53.80
2013-09-25,54.73,54.82,53.79,54.22,3179500,53.52
2013-09-24,54.44,55.09,54.11,54.73,2625900,54.02
2013-09-23,55.00,55.01,54.16,54.61,2428400,53.91
2013-09-20,55.38,55.42,54.62,55.04,3700600,54.33
2013-09-19,55.50,55.78,55.25,55.38,1885600,54.67
2013-09-18,55.24,55.50,54.10,55.39,3149000,54.68
2013-09-17,54.98,55.43,54.82,55.28,3952100,54.57
2013-09-16,55.19,55.81,54.80,54.98,3830100,54.27
2013-09-13,53.85,54.63,53.83,54.63,2959700,53.92
2013-09-12,54.24,54.32,53.77,53.90,2715700,53.20
2013-09-11,53.80,54.30,53.52,54.18,2286500,53.48
2013-09-10,53.75,53.89,53.20,53.75,2143400,53.06
2013-09-09,53.18,53.61,53.05,53.48,2097900,52.79
2013-09-06,53.62,53.67,52.72,53.08,2779800,52.39
2013-09-05,53.15,53.58,53.07,53.40,3647800,52.71
2013-09-04,53.15,54.00,53.15,53.41,3316000,52.39
2013-09-03,53.34,53.47,52.87,53.16,3316900,52.14
2013-08-30,52.58,53.03,52.40,52.81,2758500,51.80
