Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,43.35,43.50,43.12,43.28,1307000,42.67
2013-12-30,43.25,43.44,43.02,43.37,1168800,42.76
2013-12-27,42.67,43.70,42.67,43.30,1985000,42.69
2013-12-26,42.83,43.05,42.59,42.82,1254400,42.21
2013-12-24,42.90,42.91,42.56,42.83,712300,42.22
2013-12-23,42.80,42.89,42.44,42.79,1814500,42.18
2013-12-20,43.23,43.30,42.43,42.70,7044500,42.10
2013-12-19,43.28,43.43,42.81,43.20,3002500,42.59
2013-12-18,42.72,43.33,42.04,43.33,4878400,42.72
2013-12-17,41.08,42.98,41.05,42.74,6191700,42.14
2013-12-16,40.95,41.54,40.80,40.97,3037700,40.39
2013-12-13,40.81,40.90,40.43,40.75,2167800,40.17
2013-12-12,40.63,40.92,40.31,40.81,3336100,40.23
2013-12-11,40.88,41.12,40.53,40.64,3239000,40.06
2013-12-10,42.44,42.62,40.84,40.96,5033700,40.38
2013-12-09,42.48,43.12,42.21,42.55,6171700,41.95
2013-12-06,40.12,42.67,40.12,42.43,8138300,41.83
2013-12-05,40.02,40.89,39.74,40.10,6828100,39.53
2013-12-04,38.75,40.31,38.63,40.04,6807300,39.47
2013-12-03,38.42,38.95,38.42,38.81,1993600,38.26
2013-12-02,38.66,38.86,38.37,38.62,1677200,38.07
2013-11-29,38.84,38.99,38.65,38.73,699200,38.18
2013-11-27,38.81,38.98,38.63,38.72,1564400,38.17
2013-11-26,38.59,39.23,38.50,38.77,4463200,38.22
2013-11-25,39.08,39.23,38.68,38.80,3030900,38.25
2013-11-22,38.91,39.41,38.77,39.37,2150900,38.81
2013-11-21,38.63,38.98,38.40,38.89,2605000,38.34
2013-11-20,39.13,39.13,38.30,38.60,5343900,38.05
2013-11-19,39.70,39.80,38.88,39.20,7039300,38.65
2013-11-18,42.55,42.55,41.73,41.81,1846200,41.22
2013-11-15,42.52,42.67,42.00,42.42,1167200,41.82
2013-11-14,42.18,42.73,42.11,42.54,1093000,41.94
2013-11-13,41.64,42.20,41.47,42.18,816100,41.58
2013-11-12,41.75,41.88,41.36,41.61,1644600,41.02
2013-11-11,41.93,42.23,41.73,41.97,1194200,41.38
2013-11-08,41.85,42.04,41.44,41.93,1136800,41.34
2013-11-07,42.65,42.79,41.78,41.80,1246600,41.21
2013-11-06,42.58,42.80,42.52,42.77,1398300,42.16
2013-11-05,42.13,42.63,42.01,42.34,1138500,41.74
2013-11-04,42.85,42.92,42.15,42.31,1243100,41.71
2013-11-01,42.49,42.80,42.49,42.69,1233900,42.09
2013-10-31,42.97,43.12,42.56,42.57,1375600,41.97
2013-10-30,43.38,43.38,42.85,42.97,888300,42.36
2013-10-29,42.86,43.35,42.86,43.26,1282700,42.65
2013-10-28,42.44,43.20,42.44,42.86,2359400,42.25
2013-10-25,42.35,42.66,42.22,42.56,1152900,41.96
2013-10-24,42.80,42.84,42.01,42.40,3082200,41.80
2013-10-23,42.65,42.97,42.56,42.65,2038400,42.05
2013-10-22,41.73,42.75,41.73,42.69,1808500,42.09
2013-10-21,41.66,41.84,41.40,41.84,1055400,41.25
2013-10-18,41.71,41.78,41.42,41.59,1454600,41.00
2013-10-17,41.36,41.65,41.27,41.63,1257900,41.04
2013-10-16,41.09,41.61,41.09,41.53,1471400,40.94
