Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,56.00,56.20,55.77,55.88,485300,55.70
2013-12-30,55.69,55.98,55.54,55.83,381100,55.65
2013-12-27,55.80,55.91,55.33,55.63,465000,55.45
2013-12-26,55.41,55.71,55.29,55.55,474200,55.37
2013-12-24,54.79,55.56,54.79,55.53,328300,55.16
2013-12-23,54.90,55.38,54.81,54.92,939000,54.55
2013-12-20,54.48,54.87,53.61,54.84,1288700,54.47
2013-12-19,53.80,54.60,53.50,54.35,1334300,53.98
2013-12-18,53.37,53.53,52.21,53.45,1325100,53.09
2013-12-17,52.90,53.41,52.61,53.01,947200,52.65
2013-12-16,52.60,53.31,52.50,53.02,1001300,52.66
2013-12-13,52.55,52.85,52.06,52.32,974800,51.97
2013-12-12,52.64,52.64,52.13,52.35,695000,52.00
2013-12-11,53.30,53.48,52.83,52.91,779700,52.55
2013-12-10,53.17,54.07,53.14,53.25,1013900,52.89
2013-12-09,54.06,54.14,53.18,53.34,850600,52.98
2013-12-06,53.22,54.22,52.95,54.09,1117400,53.72
2013-12-05,53.50,53.58,52.74,52.99,960100,52.63
2013-12-04,52.46,53.85,52.46,53.61,1727800,53.25
2013-12-03,52.40,53.09,52.40,52.62,1152900,52.26
2013-12-02,52.62,52.92,52.24,52.74,573100,52.38
2013-11-29,52.85,52.86,52.53,52.62,208600,52.26
2013-11-27,52.67,52.93,52.36,52.71,511200,52.35
2013-11-26,52.97,53.08,52.42,52.67,866700,52.31
2013-11-25,53.27,53.46,52.78,52.85,706500,52.49
2013-11-22,53.78,53.78,52.99,53.26,1096600,52.90
2013-11-21,53.21,53.93,53.18,53.85,648500,53.49
2013-11-20,53.53,53.87,52.93,53.14,809400,52.78
2013-11-19,53.53,54.06,53.44,53.55,1614600,53.19
2013-11-18,53.62,53.93,53.50,53.61,967500,53.25
2013-11-15,53.11,53.73,53.07,53.59,1092500,53.23
2013-11-14,52.85,53.30,52.72,53.28,906400,52.92
2013-11-13,51.65,52.90,51.49,52.88,1050300,52.52
2013-11-12,51.00,51.88,50.95,51.84,759300,51.49
2013-11-11,51.02,51.41,50.91,51.19,687300,50.84
2013-11-08,50.23,51.12,50.02,51.03,818800,50.69
2013-11-07,51.24,51.71,50.25,50.32,991400,49.98
2013-11-06,50.93,51.21,50.64,51.19,1174200,50.84
2013-11-05,50.40,51.08,50.10,50.75,1690800,50.41
2013-11-04,50.48,50.76,50.11,50.41,1162800,50.07
2013-11-01,49.51,50.51,49.25,50.39,1870300,50.05
2013-10-31,49.19,50.00,46.80,49.26,3972800,48.93
2013-10-30,51.94,52.26,51.15,51.60,1214600,51.25
2013-10-29,52.00,52.46,51.91,51.99,1163800,51.64
2013-10-28,51.86,52.20,51.66,51.73,851600,51.38
2013-10-25,51.82,51.95,51.59,51.82,777900,51.47
2013-10-24,52.18,52.43,51.73,51.77,582600,51.42
2013-10-23,52.69,53.03,52.12,52.18,653200,51.83
2013-10-22,52.97,53.79,52.82,53.09,748900,52.73
2013-10-21,52.63,53.02,52.55,52.96,708300,52.60
2013-10-18,53.21,53.41,52.44,52.55,785500,52.20
2013-10-17,51.98,53.11,51.64,53.00,1133600,52.64
2013-10-16,52.33,52.44,52.00,52.36,1061200,52.01
2013-10-15,51.85,52.35,51.81,51.87,1343300,51.52
2013-10-14,51.84,52.22,51.69,52.14,680600,51.79
2013-10-11,51.17,52.33,51.14,52.15,1520700,51.80
2013-10-10,50.38,51.44,50.36,51.43,895200,51.08
2013-10-09,50.06,50.19,49.33,49.74,1229200,49.40
2013-10-08,50.85,50.99,49.26,49.97,1557600,49.63
2013-10-07,51.47,51.54,50.80,50.87,1152200,50.53
2013-10-04,51.52,52.35,51.38,51.92,515400,51.57
2013-10-03,51.77,51.99,51.37,51.55,658400,51.20
2013-10-02,51.57,52.25,51.51,52.15,553400,51.80
2013-10-01,51.75,52.39,51.68,51.99,925500,51.64
2013-09-30,51.60,51.99,51.11,51.74,576700,51.39
2013-09-27,51.55,52.10,51.35,52.02,615600,51.67
2013-09-26,51.69,52.14,51.59,51.81,601600,51.46
2013-09-25,51.89,52.23,51.71,51.75,890400,51.40
2013-09-24,51.86,52.57,51.80,51.90,980400,51.55
2013-09-23,51.92,52.17,51.48,51.79,723900,51.44
2013-09-20,52.77,52.92,51.98,52.01,1843500,51.66
2013-09-19,53.32,53.63,52.73,52.74,1039000,52.38
2013-09-18,53.00,53.51,52.08,53.32,871700,52.96
2013-09-17,52.65,53.19,52.30,53.01,744200,52.65
2013-09-16,52.32,52.96,52.26,52.65,1027700,52.29
2013-09-13,51.65,52.13,51.46,51.62,702500,51.27
2013-09-12,52.17,52.40,51.39,51.44,681900,51.09
2013-09-11,51.20,52.49,50.91,52.30,1322300,51.95
2013-09-10,51.16,51.32,50.82,50.85,1039800,50.51
2013-09-09,50.71,51.11,50.68,50.81,747200,50.47
2013-09-06,50.77,50.97,50.14,50.49,735600,50.15
2013-09-05,50.71,50.91,50.53,50.66,906200,50.32
2013-09-04,50.43,51.25,50.25,50.82,1154600,50.48
2013-09-03,50.92,51.41,50.07,50.46,1091500,50.12
2013-08-30,50.26,50.52,49.78,50.15,1079300,49.81
2013-08-29,49.76,50.60,49.76,50.35,526100,49.81
2013-08-28,50.21,50.77,50.01,50.01,705900,49.47
2013-08-27,50.75,50.85,50.08,50.13,792600,49.59
2013-08-26,51.41,51.84,51.27,51.33,600200,50.78
2013-08-23,51.75,51.90,51.33,51.53,530000,50.98
2013-08-22,50.78,51.91,50.71,51.59,647800,51.04
2013-08-21,51.93,51.96,50.65,50.72,925200,50.18
2013-08-20,51.13,52.32,51.08,52.10,1032800,51.54
2013-08-19,51.32,52.00,50.98,51.02,1058700,50.47
2013-08-16,51.25,52.14,51.09,51.55,830500,51.00
2013-08-15,51.60,51.72,51.07,51.30,743100,50.75
2013-08-14,52.36,52.60,51.99,52.21,1060000,51.65
2013-08-13,52.13,52.66,51.81,52.27,1336000,51.71
2013-08-12,51.86,52.76,51.85,52.13,1562600,51.57
2013-08-09,52.05,52.84,51.85,52.08,1934000,51.52
2013-08-08,53.79,53.84,52.07,52.15,2706600,51.59
2013-08-07,51.35,54.80,51.33,54.20,4582100,53.62
2013-08-06,50.16,50.22,49.43,49.96,1372900,49.43
2013-08-05,49.30,50.28,49.11,50.19,1059100,49.65
2013-08-02,49.00,49.41,48.60,49.39,1154700,48.86
2013-08-01,48.32,49.38,48.20,49.24,1152100,48.71
2013-07-31,47.70,48.21,47.54,47.66,1113600,47.15
2013-07-30,47.67,47.91,47.47,47.50,854600,46.99
2013-07-29,47.57,47.76,47.06,47.32,476600,46.81
2013-07-26,47.46,47.79,47.00,47.76,604200,47.25
2013-07-25,47.42,47.98,47.01,47.92,877600,47.41
2013-07-24,47.76,48.09,47.37,47.53,532900,47.02
2013-07-23,47.68,47.80,47.09,47.47,644700,46.96
2013-07-22,47.37,47.75,47.20,47.55,519700,47.04
2013-07-19,46.78,47.58,46.75,47.39,900700,46.88
2013-07-18,46.69,47.43,46.59,46.89,1410300,46.39
2013-07-17,46.82,47.11,46.56,46.69,727500,46.19
2013-07-16,47.75,47.92,46.61,46.78,1325400,46.28
2013-07-15,47.67,47.80,47.23,47.64,702100,47.13
2013-07-12,47.78,47.99,47.56,47.79,793300,47.28
2013-07-11,47.95,48.04,47.48,47.70,982800,47.19
2013-07-10,47.25,47.47,47.01,47.39,1073200,46.88
2013-07-09,47.42,47.66,47.00,47.28,1814000,46.77
2013-07-08,46.57,47.58,46.57,47.06,1700900,46.56
2013-07-05,45.87,46.52,45.79,46.46,1243500,45.96
