Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,59.61,59.65,59.35,59.59,447500,59.59
2013-12-30,59.60,59.73,59.36,59.48,317700,59.48
2013-12-27,59.52,59.68,59.31,59.50,353100,59.50
2013-12-26,59.35,59.59,59.21,59.41,420700,59.41
2013-12-24,58.86,59.60,58.86,59.27,226200,59.27
2013-12-23,59.45,59.55,58.50,59.05,803500,59.05
2013-12-20,58.16,59.41,57.15,59.30,1864400,59.30
2013-12-19,56.43,56.65,56.02,56.48,722300,56.48
2013-12-18,55.71,56.30,55.01,56.29,630000,56.29
2013-12-17,54.91,55.63,54.62,55.57,762300,55.57
2013-12-16,55.36,55.88,54.89,55.06,737900,55.06
2013-12-13,55.17,55.97,55.00,55.41,565400,55.41
2013-12-12,54.56,55.04,54.45,54.97,591700,54.97
2013-12-11,55.10,55.32,54.61,54.70,665700,54.70
2013-12-10,54.91,55.26,54.75,55.21,669300,55.21
2013-12-09,54.98,55.17,54.72,54.81,526200,54.81
2013-12-06,55.03,55.03,54.43,54.83,850700,54.83
2013-12-05,54.39,54.49,53.83,53.84,606500,53.84
2013-12-04,54.69,54.86,53.85,54.34,378200,54.34
2013-12-03,55.00,55.39,54.58,54.78,366900,54.78
2013-12-02,55.63,55.90,55.20,55.24,531400,55.24
2013-11-29,57.99,57.99,55.38,55.50,230800,55.50
2013-11-27,55.17,55.86,55.07,55.44,419700,55.44
2013-11-26,55.10,55.52,54.89,55.12,344800,55.12
2013-11-25,55.09,55.36,54.82,54.97,334000,54.97
2013-11-22,54.73,55.25,54.50,55.21,361100,55.21
2013-11-21,54.37,54.96,54.26,54.79,354100,54.79
2013-11-20,54.39,54.61,54.07,54.23,341700,54.23
2013-11-19,54.05,54.69,53.89,54.30,355800,54.30
2013-11-18,54.37,54.47,54.01,54.29,479900,54.29
2013-11-15,54.34,54.58,54.07,54.38,400600,54.38
2013-11-14,53.86,54.51,53.84,54.27,448100,54.27
2013-11-13,52.33,53.79,52.33,53.79,303500,53.79
2013-11-12,53.19,53.53,53.13,53.51,402000,53.51
2013-11-11,53.29,53.61,53.02,53.41,297300,53.41
2013-11-08,52.68,53.47,52.27,53.46,378800,53.46
2013-11-07,53.85,53.87,52.66,52.77,487700,52.77
2013-11-06,53.39,53.53,53.08,53.49,418100,53.49
2013-11-05,53.84,54.14,53.61,54.13,462300,53.36
2013-11-04,54.13,54.30,53.90,54.15,354000,53.38
2013-11-01,54.00,54.02,53.51,53.99,359600,53.22
2013-10-31,53.60,53.90,53.33,53.77,328700,53.01
2013-10-30,53.80,54.05,53.44,53.59,386900,52.83
2013-10-29,53.97,54.22,53.78,53.98,270900,53.21
2013-10-28,53.78,54.38,53.78,53.91,1744700,53.14
2013-10-25,53.77,53.92,53.32,53.91,1594300,53.14
2013-10-24,53.60,53.66,53.27,53.62,1447000,52.86
2013-10-23,53.20,53.52,53.04,53.46,427600,52.70
2013-10-22,53.35,53.60,53.13,53.39,351600,52.63
2013-10-21,53.28,53.44,53.09,53.35,395800,52.59
2013-10-18,52.99,53.48,52.86,53.15,1017800,52.39
2013-10-17,52.19,53.03,52.06,52.98,598700,52.23
2013-10-16,51.75,52.43,51.62,52.37,524900,51.63
2013-10-15,51.66,51.84,51.36,51.64,689700,50.91
2013-10-14,51.52,51.92,51.26,51.88,433400,51.14
2013-10-11,50.59,51.78,50.58,51.75,554200,51.01
2013-10-10,50.32,50.91,50.07,50.89,455200,50.17
2013-10-09,49.99,50.13,49.77,50.00,767500,49.29
2013-10-08,50.03,50.53,49.90,49.94,592200,49.23
2013-10-07,50.04,50.46,49.96,49.96,484900,49.25
2013-10-04,50.23,50.74,50.05,50.55,359200,49.83
2013-10-03,50.80,50.96,50.10,50.38,405800,49.66
2013-10-02,51.28,51.29,50.82,51.04,435700,50.31
2013-10-01,51.35,51.86,51.19,51.74,554100,51.00
2013-09-30,50.95,51.33,50.65,51.20,478800,50.47
2013-09-27,50.53,51.35,50.32,51.22,512100,50.49
2013-09-26,51.51,51.51,50.66,50.88,414800,50.16
2013-09-25,51.15,51.37,50.72,50.74,441300,50.02
2013-09-24,51.28,51.43,50.97,51.06,455400,50.33
2013-09-23,51.15,51.26,50.60,51.07,547500,50.34
2013-09-20,52.04,52.21,50.28,51.26,2232700,50.53
2013-09-19,51.32,51.36,50.58,50.89,702100,50.17
2013-09-18,50.24,51.22,50.13,51.03,398200,50.30
2013-09-17,50.37,50.56,50.18,50.49,214800,49.77
2013-09-16,50.46,50.80,49.95,50.18,381400,49.47
2013-09-13,49.75,49.90,49.54,49.70,292600,48.99
2013-09-12,49.65,49.89,49.57,49.70,397300,48.99
2013-09-11,49.70,49.95,49.67,49.77,369800,49.06
2013-09-10,49.57,49.99,49.54,49.75,511200,49.04
2013-09-09,48.65,49.48,48.60,49.42,334100,48.72
