Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,31.94,32.07,31.73,31.85,5122800,31.31
2013-12-30,31.84,32.10,31.79,31.96,4185700,31.42
2013-12-27,31.83,32.04,31.63,32.01,3690800,31.47
2013-12-26,31.81,31.92,31.64,31.85,3547200,31.31
2013-12-24,31.27,31.84,31.27,31.69,2965900,31.15
2013-12-23,31.06,31.40,31.06,31.36,5691000,30.83
2013-12-20,31.43,31.43,30.92,31.04,9155800,30.51
2013-12-19,31.62,31.69,30.40,31.36,13237300,30.83
2013-12-18,31.54,31.93,31.26,31.84,7107300,31.30
2013-12-17,31.00,31.61,30.96,31.44,6360800,30.91
2013-12-16,30.80,31.07,30.80,30.95,5267500,30.43
2013-12-13,30.75,30.93,30.38,30.73,6050400,30.21
2013-12-12,30.65,30.80,30.32,30.76,5381300,30.24
2013-12-11,31.50,31.55,30.65,30.71,7108700,30.19
2013-12-10,31.54,31.82,31.49,31.51,6332600,30.98
2013-12-09,31.07,31.67,31.01,31.52,5799500,30.99
2013-12-06,30.99,31.27,30.95,31.07,5759000,30.54
2013-12-05,30.47,30.87,30.39,30.65,5890700,30.13
2013-12-04,30.20,30.98,30.05,30.84,6771700,30.32
2013-12-03,30.16,30.43,29.93,30.37,5753200,29.86
2013-12-02,30.63,30.70,30.24,30.30,5119300,29.79
2013-11-29,30.71,31.03,30.66,30.70,2340600,30.18
2013-11-27,30.70,30.92,30.55,30.72,4176500,30.20
2013-11-26,30.68,30.86,30.54,30.68,6665000,30.16
2013-11-25,30.78,31.22,30.60,30.70,5267700,30.18
2013-11-22,30.97,30.99,30.60,30.67,4876500,30.15
2013-11-21,31.30,31.33,30.91,31.08,5369800,30.55
2013-11-20,32.08,32.37,31.75,31.80,5437600,30.73
2013-11-19,32.30,32.30,31.85,32.01,4567600,30.93
2013-11-18,32.19,32.31,31.98,32.19,4606900,31.11
2013-11-15,31.87,32.20,31.86,32.10,3779800,31.02
2013-11-14,31.55,31.91,31.55,31.84,4252100,30.77
2013-11-13,31.41,31.50,31.29,31.48,4161600,30.42
2013-11-12,31.58,31.75,31.35,31.43,5193600,30.37
2013-11-11,31.45,31.63,31.26,31.51,3243700,30.45
2013-11-08,31.83,31.91,30.86,31.33,10076600,30.28
2013-11-07,33.00,33.05,31.61,31.81,13537300,30.74
2013-11-06,33.60,33.93,33.57,33.89,4627800,32.75
2013-11-05,33.67,33.78,33.30,33.38,5697200,32.26
2013-11-04,33.78,33.83,33.58,33.76,3476100,32.62
2013-11-01,33.84,34.06,33.50,33.58,3978400,32.45
2013-10-31,33.56,33.87,33.31,33.86,4128200,32.72
2013-10-30,33.87,33.88,33.50,33.53,2943800,32.40
2013-10-29,33.61,34.18,33.61,33.81,4926100,32.67
2013-10-28,33.24,33.60,33.18,33.52,3841400,32.39
2013-10-25,33.18,33.43,33.03,33.27,3589200,32.15
2013-10-24,33.39,33.41,33.08,33.22,3284500,32.10
2013-10-23,33.24,33.54,33.08,33.39,3397100,32.27
2013-10-22,32.93,33.50,32.74,33.42,3623400,32.30
2013-10-21,33.10,33.19,32.77,32.99,3656100,31.88
2013-10-18,33.30,33.34,32.97,33.01,3695000,31.90
2013-10-17,32.88,33.29,32.77,33.25,3572600,32.13
2013-10-16,32.63,32.93,32.59,32.92,3557300,31.81
2013-10-15,32.74,32.89,32.48,32.53,3875200,31.44
2013-10-14,32.91,33.00,32.59,32.68,4474800,31.58
2013-10-11,33.27,33.30,32.86,33.22,4051300,32.10
2013-10-10,32.40,33.39,32.39,33.34,8815800,32.22
2013-10-09,31.39,32.33,31.34,32.19,7853100,31.11
2013-10-08,31.45,31.64,31.26,31.28,4447000,30.23
2013-10-07,31.01,31.59,31.01,31.41,3576200,30.35
2013-10-04,31.18,31.26,31.07,31.20,3262300,30.15
2013-10-03,31.48,31.50,31.08,31.19,4213100,30.14
2013-10-02,31.71,31.85,31.39,31.61,4283500,30.55
