Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,100.42,101.13,99.62,100.98,1861200,50.49
2013-12-30,99.64,100.25,98.57,100.09,1909800,50.04
2013-12-27,99.54,99.60,98.82,99.15,1445200,49.58
2013-12-26,98.61,99.64,98.16,99.44,1269400,49.72
2013-12-24,98.64,98.91,98.04,98.84,801200,49.42
2013-12-23,98.46,98.66,97.22,98.64,2646600,49.32
2013-12-20,97.33,98.61,96.70,98.16,5732000,49.08
2013-12-19,97.34,97.88,96.41,97.02,3495600,48.51
2013-12-18,94.66,96.61,93.82,96.58,3295400,48.29
2013-12-17,94.09,94.73,93.84,94.21,2228400,47.10
2013-12-16,93.66,94.43,93.23,94.32,2767200,47.16
2013-12-13,94.09,94.35,93.16,93.54,3074000,46.77
2013-12-12,93.06,93.83,92.59,93.24,2653600,46.62
2013-12-11,95.08,95.20,93.16,93.50,2401000,46.75
2013-12-10,94.38,95.30,94.33,94.69,3115400,47.35
2013-12-09,96.34,96.59,94.06,94.80,3262400,47.40
2013-12-06,95.33,96.47,94.28,96.20,6319000,48.10
2013-12-05,93.35,94.36,92.89,93.78,1927000,46.89
2013-12-04,93.11,93.94,92.66,93.35,2559000,46.67
2013-12-03,93.44,94.42,93.05,93.85,3212600,46.92
2013-12-02,93.14,94.21,93.14,93.56,3081800,46.78
2013-11-29,94.18,94.39,93.55,93.89,1527200,46.94
2013-11-27,93.81,95.25,93.81,94.42,2629000,47.21
2013-11-26,92.60,94.18,92.38,94.03,3294000,47.01
2013-11-25,93.12,93.60,92.43,92.63,3433400,46.31
2013-11-22,95.75,95.75,92.94,93.12,4296800,46.56
2013-11-21,93.40,94.03,93.15,93.74,4415200,46.87
2013-11-20,93.30,94.21,92.49,92.96,2505800,46.48
2013-11-19,93.80,94.20,93.09,93.42,4125200,46.71
2013-11-18,95.65,95.65,93.22,93.54,3544200,46.77
2013-11-15,93.85,94.72,93.27,94.37,4593000,47.19
2013-11-14,92.80,93.58,92.51,93.44,3065400,46.72
2013-11-13,91.17,92.84,91.14,92.83,3781200,46.42
2013-11-12,90.92,91.70,90.42,91.65,3870400,45.83
2013-11-11,90.01,91.00,90.01,90.72,2211400,45.36
2013-11-08,89.70,90.46,89.38,90.23,2799600,45.12
2013-11-07,90.49,91.65,89.27,89.50,3006000,44.75
2013-11-06,90.49,91.00,89.96,90.68,4600600,45.34
2013-11-05,90.67,90.70,87.21,89.59,7823400,44.79
2013-11-04,87.74,87.85,86.14,86.85,3886600,43.42
2013-11-01,87.29,87.60,86.28,87.54,3512800,43.77
2013-10-31,87.47,88.01,86.88,86.93,3465200,43.47
2013-10-30,89.12,89.53,87.29,87.46,3027600,43.73
2013-10-29,88.95,90.01,88.74,89.37,4252200,44.69
2013-10-28,86.87,88.87,86.48,88.84,4701200,44.42
2013-10-25,87.04,87.05,86.13,86.68,3263600,43.34
2013-10-24,86.19,86.85,85.72,86.61,2298600,43.31
2013-10-23,86.09,86.71,85.51,86.08,2434000,43.04
2013-10-22,86.94,87.74,86.25,86.59,3701000,43.29
2013-10-21,86.00,87.04,85.99,86.71,3025600,43.35
2013-10-18,85.95,86.01,85.33,85.77,3334400,42.88
2013-10-17,83.98,86.02,83.78,85.95,4425600,42.97
2013-10-16,86.72,86.91,83.80,84.69,8629000,42.35
2013-10-15,87.43,88.14,85.70,85.91,6986400,42.96
2013-10-14,88.28,88.48,86.99,88.22,4874600,44.11
2013-10-11,85.25,88.89,85.10,88.85,9412000,44.42
2013-10-10,82.34,84.32,82.10,84.20,3367000,42.10
2013-10-09,82.79,83.02,81.24,81.98,5343600,40.99
2013-10-08,84.10,84.30,82.03,82.18,3317800,41.09
2013-10-07,83.95,84.85,83.67,84.10,2864600,42.05
2013-10-04,83.66,84.97,83.21,84.85,4035800,42.42
2013-10-03,83.67,83.85,82.93,83.53,3332600,41.76
2013-10-02,83.16,83.90,82.85,83.76,2589800,41.88
2013-10-01,81.78,83.25,81.64,83.23,2856200,41.62
2013-09-30,81.55,82.48,79.50,82.12,4924400,41.06
2013-09-27,82.16,82.82,81.91,82.70,2437400,41.35
2013-09-26,83.47,83.47,82.39,82.99,2328800,41.49
2013-09-25,82.73,83.39,82.23,83.14,2988600,41.57
2013-09-24,82.63,83.37,82.17,82.89,3623000,41.44
2013-09-23,82.03,82.68,81.62,82.43,3342400,41.22
2013-09-20,82.68,83.35,82.25,82.30,5392000,41.15
2013-09-19,84.03,84.17,82.61,82.64,5210000,41.32
2013-09-18,81.92,83.75,81.80,83.59,7063600,41.79
