Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,63.09,63.44,62.54,63.25,1108200,63.25
2013-12-30,61.61,63.03,61.38,62.94,1595000,62.94
2013-12-27,61.22,62.04,61.22,61.67,886700,61.67
2013-12-26,61.07,61.33,60.63,61.24,796400,61.24
2013-12-24,61.16,61.28,60.75,61.18,742000,61.18
2013-12-23,61.83,61.94,60.83,61.23,1590400,61.23
2013-12-20,59.40,61.79,59.24,61.73,3324000,61.73
2013-12-19,59.33,59.85,59.07,59.12,1481500,59.12
2013-12-18,58.00,59.26,57.83,59.23,2204100,59.23
2013-12-17,58.54,58.54,57.69,57.93,1351600,57.93
2013-12-16,58.33,58.93,57.90,58.71,1791400,58.71
2013-12-13,57.69,58.17,57.29,57.99,2134600,57.99
2013-12-12,57.77,57.81,56.90,57.38,2493900,57.38
2013-12-11,58.88,59.12,57.87,57.93,1340800,57.93
2013-12-10,59.22,59.33,58.54,58.96,1524600,58.96
2013-12-09,60.01,60.44,59.12,59.33,1890600,59.33
2013-12-06,59.40,60.38,59.07,60.03,1946400,60.03
2013-12-05,59.77,60.00,58.40,58.81,1925800,58.81
2013-12-04,57.55,60.53,57.55,60.00,2959200,60.00
2013-12-03,58.05,58.58,57.68,58.16,1402400,58.16
2013-12-02,59.01,59.44,58.11,58.17,1725900,58.17
2013-11-29,59.41,59.71,58.62,59.32,1073600,59.32
2013-11-27,58.69,59.09,58.25,58.92,1541000,58.92
2013-11-26,58.89,59.12,58.42,58.77,2227800,58.77
2013-11-25,58.90,58.99,58.24,58.86,1690100,58.86
2013-11-22,58.58,59.16,58.10,59.00,2733000,59.00
2013-11-21,57.64,58.71,57.30,58.64,2088800,58.64
2013-11-20,56.42,57.62,56.40,57.40,2632500,57.40
2013-11-19,57.22,57.30,56.26,56.55,2271100,56.55
2013-11-18,57.04,57.64,56.44,57.17,2575900,57.17
2013-11-15,55.09,57.36,55.03,56.90,5843700,56.90
2013-11-14,57.70,57.78,54.52,54.96,13293400,54.96
2013-11-13,60.66,61.64,55.63,58.02,16111600,58.02
2013-11-12,59.96,61.13,59.76,60.95,2163300,60.95
2013-11-11,59.54,60.41,59.33,60.23,1429600,60.23
2013-11-08,59.80,60.34,58.98,59.79,2586600,59.79
2013-11-07,60.23,60.80,59.56,59.70,3425300,59.70
2013-11-06,57.54,59.96,57.53,59.73,3576900,59.73
2013-11-05,57.62,57.73,57.11,57.37,1763500,57.37
2013-11-04,57.21,57.89,57.02,57.66,2891100,57.66
2013-11-01,57.13,57.25,56.55,56.82,1767300,56.82
2013-10-31,56.89,57.55,56.63,56.78,2400300,56.78
2013-10-30,57.16,57.75,56.72,57.02,1691400,57.02
2013-10-29,57.68,58.08,57.05,57.21,2955900,57.21
2013-10-28,58.12,58.22,57.49,57.69,2537500,57.69
2013-10-25,58.82,59.08,57.86,57.98,3382300,57.98
2013-10-24,58.13,59.75,56.99,58.79,6512500,58.79
2013-10-23,56.50,57.01,55.42,56.07,5109500,56.07
2013-10-22,57.28,57.37,56.28,56.66,4927600,56.66
2013-10-21,57.33,57.70,56.85,56.90,2783900,56.90
2013-10-18,56.82,57.56,56.65,57.26,3933900,57.26
2013-10-17,56.90,57.31,56.48,57.25,5267600,57.25
2013-10-16,57.33,57.71,57.01,57.21,4467400,57.21
2013-10-15,58.46,58.50,56.95,57.14,4836200,57.14
2013-10-14,58.57,59.02,58.39,58.54,3747700,58.54
2013-10-11,59.03,59.83,58.75,59.08,3468800,59.08
2013-10-10,58.36,59.49,58.00,58.75,15448200,58.75
2013-10-09,67.96,68.00,66.48,66.66,3547700,66.66
2013-10-08,70.27,70.64,67.40,67.61,3139700,67.61
2013-10-07,70.66,71.74,70.00,70.45,1382100,70.45
2013-10-04,68.78,70.82,68.73,70.48,1159200,70.48
2013-10-03,70.40,70.81,68.51,68.87,1920800,68.87
2013-10-02,70.57,71.20,70.28,70.78,1119600,70.78
2013-10-01,70.75,71.28,70.57,70.93,789500,70.93
2013-09-30,70.10,70.86,69.40,70.61,1457000,70.61
2013-09-27,71.73,72.28,70.71,70.80,1958900,70.80
2013-09-26,71.79,72.63,71.79,72.06,1513400,72.06
2013-09-25,72.55,72.94,71.68,71.75,1432900,71.75
2013-09-24,73.54,73.63,71.71,72.29,2807800,72.29
2013-09-23,75.81,75.99,74.34,74.38,1201800,74.38
2013-09-20,76.73,77.16,75.94,76.08,1488800,76.08
2013-09-19,75.50,76.73,75.29,76.33,1807600,76.33
2013-09-18,74.07,75.12,73.83,74.95,870200,74.95
2013-09-17,73.81,74.27,73.38,74.00,1076100,74.00
2013-09-16,74.51,74.68,73.44,73.64,996400,73.64
2013-09-13,73.86,73.86,72.82,73.79,955200,73.79
2013-09-12,72.91,74.31,72.70,73.72,1672900,73.72
2013-09-11,71.75,72.91,71.75,72.50,1113600,72.50
2013-09-10,72.44,72.62,71.44,71.86,1256700,71.86
2013-09-09,71.68,72.14,71.21,71.96,756900,71.96
2013-09-06,71.10,71.84,70.01,71.38,1042400,71.38
2013-09-05,71.14,71.70,70.86,71.07,721800,71.07
2013-09-04,71.13,71.52,70.50,71.30,852900,71.30
2013-09-03,71.56,72.40,70.51,71.20,861700,71.20
2013-08-30,71.48,72.02,70.55,70.77,1027100,70.77
2013-08-29,70.29,71.81,69.85,71.18,775400,71.18
2013-08-28,70.48,71.05,70.20,70.26,715500,70.26
2013-08-27,71.42,71.56,70.17,70.34,1137200,70.34
2013-08-26,73.46,73.46,71.93,72.00,1160600,72.00
2013-08-23,72.74,73.44,72.50,72.71,1415900,72.71
2013-08-22,71.85,73.34,71.80,73.23,882400,73.23
2013-08-21,71.42,72.19,71.17,71.70,1527800,71.70
2013-08-20,71.52,72.21,71.18,71.74,1234200,71.74
2013-08-19,71.72,72.60,71.36,71.50,1928600,71.50
2013-08-16,72.47,72.73,71.59,71.60,1265200,71.60
2013-08-15,72.55,72.73,72.06,72.57,1758100,72.57
