Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,71.80,71.97,71.30,71.57,2301600,71.28
2013-12-30,71.39,71.85,71.39,71.58,2513600,71.29
2013-12-27,71.35,71.99,71.31,71.56,2440400,71.27
2013-12-26,71.00,71.40,70.99,71.28,2371500,70.99
2013-12-24,70.56,71.29,70.56,70.98,1698200,70.69
2013-12-23,70.50,70.74,70.12,70.52,3847700,70.23
2013-12-20,69.95,70.87,69.77,70.06,14986500,69.78
2013-12-19,69.64,70.41,69.38,70.14,5950000,69.86
2013-12-18,67.12,69.69,67.12,69.69,10322500,69.41
2013-12-17,67.85,67.91,66.77,66.81,5943300,66.54
2013-12-16,67.65,68.36,67.44,67.79,4879600,67.52
2013-12-13,67.72,67.90,67.00,67.31,3883000,67.04
2013-12-12,68.28,68.30,67.48,67.57,4907400,67.30
2013-12-11,68.02,68.73,67.93,68.14,7210300,67.86
2013-12-10,66.60,68.60,66.23,67.99,9875700,67.71
2013-12-09,66.88,67.09,66.21,66.73,5023400,66.46
2013-12-06,66.32,66.97,66.27,66.75,4028600,66.48
2013-12-05,66.06,66.53,65.77,65.87,4088300,65.60
2013-12-04,66.48,66.66,65.45,66.12,5261300,65.85
2013-12-03,66.08,66.95,66.06,66.75,4513400,66.48
2013-12-02,67.10,67.50,66.24,66.65,4813000,66.38
2013-11-29,67.09,67.64,66.90,66.96,3940100,66.69
2013-11-27,66.38,66.96,66.22,66.76,4943600,66.49
2013-11-26,66.66,67.20,66.06,66.09,5557500,65.82
2013-11-25,66.71,66.99,66.56,66.78,3546600,66.51
2013-11-22,65.98,66.71,65.98,66.68,4491400,66.41
2013-11-21,65.43,66.18,65.40,66.09,4072100,65.82
2013-11-20,65.34,65.74,65.15,65.42,3642300,65.16
2013-11-19,65.54,65.75,65.16,65.22,4042200,64.96
2013-11-18,65.60,65.69,65.24,65.44,4680200,65.18
2013-11-15,65.11,65.70,65.04,65.62,3816100,65.35
2013-11-14,64.43,65.45,64.28,65.27,4630900,65.01
2013-11-13,64.44,64.49,63.68,64.38,4085000,64.12
2013-11-12,63.74,64.04,63.55,63.96,4380700,63.70
2013-11-11,63.87,64.16,63.74,63.93,2994100,63.67
2013-11-08,63.54,63.90,63.29,63.78,6221000,63.52
2013-11-07,63.84,64.00,63.29,63.54,6027200,63.28
2013-11-06,63.78,63.97,63.50,63.87,6826300,63.61
