Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,90.98,91.49,90.70,91.33,1850900,90.80
2013-12-30,90.74,91.02,90.51,90.82,1659100,90.30
2013-12-27,90.89,91.21,90.36,90.70,2014000,90.18
2013-12-26,91.09,91.58,90.88,91.12,1971500,90.09
2013-12-24,90.79,91.36,90.68,90.86,1051300,89.83
2013-12-23,90.38,90.85,90.10,90.64,2271900,89.61
2013-12-20,89.56,90.19,89.54,90.08,4404800,89.06
2013-12-19,89.36,89.59,88.82,89.41,2517800,88.40
2013-12-18,88.49,89.47,88.03,89.41,3559400,88.40
2013-12-17,88.79,89.08,88.17,88.30,3097800,87.30
2013-12-16,87.59,89.19,87.58,88.87,4249700,87.86
2013-12-13,87.08,87.53,86.74,87.18,2353200,86.19
2013-12-12,87.05,87.57,86.65,86.84,2497500,85.86
2013-12-11,87.77,87.90,87.02,87.28,3873100,86.29
2013-12-10,87.26,88.89,87.26,88.04,5907900,87.04
2013-12-09,86.03,87.41,85.75,87.20,4939400,86.21
2013-12-06,85.65,85.85,84.93,85.32,2583800,84.35
2013-12-05,85.00,85.53,84.43,84.86,3427800,83.90
2013-12-04,82.53,86.72,82.31,85.38,11464400,84.41
2013-12-03,83.52,83.56,82.20,82.71,2528800,81.77
2013-12-02,84.26,84.43,83.74,83.87,2083600,82.92
2013-11-29,83.98,84.59,83.92,84.24,1264200,83.28
2013-11-27,84.13,85.00,83.70,83.80,1584500,82.85
2013-11-26,84.60,84.89,83.81,83.84,2205300,82.89
2013-11-25,84.56,85.14,84.30,84.68,2618600,83.72
2013-11-22,83.84,85.08,83.71,84.77,3526300,83.81
2013-11-21,84.67,84.80,83.21,83.85,4858700,82.90
2013-11-20,85.30,85.49,84.18,84.52,8696700,83.56
2013-11-19,83.40,83.45,82.02,82.81,5361700,81.87
2013-11-18,83.22,84.35,83.01,83.66,4488000,82.71
2013-11-15,83.15,83.41,82.79,82.83,4738700,81.89
2013-11-14,83.14,83.25,82.47,82.85,2447600,81.91
2013-11-13,81.58,82.86,81.58,82.84,2382000,81.90
2013-11-12,81.60,82.18,81.49,82.12,2618600,81.19
2013-11-11,81.47,82.05,81.33,81.86,2561100,80.93
2013-11-08,81.39,82.18,80.76,81.50,5590800,80.58
2013-11-07,81.69,82.29,81.47,81.56,3579300,80.64
2013-11-06,81.85,82.39,81.77,81.80,3769600,80.87
2013-11-05,81.54,82.10,81.38,81.80,2484600,80.87
2013-11-04,82.08,82.23,81.60,81.79,2256700,80.86
2013-11-01,81.84,81.92,81.28,81.64,3165900,80.71
2013-10-31,82.31,82.99,81.84,81.84,2893700,80.91
2013-10-30,82.81,82.96,82.07,82.21,2992000,81.28
2013-10-29,83.32,83.35,82.30,82.65,3025900,81.71
2013-10-28,83.48,84.01,83.30,83.47,1883100,82.52
2013-10-25,83.87,84.00,82.89,83.55,2768800,82.60
2013-10-24,84.43,84.55,83.83,84.28,1613500,83.32
2013-10-23,83.41,84.50,83.36,84.08,2568600,83.13
2013-10-22,84.55,84.75,84.16,84.54,2388800,83.58
2013-10-21,84.34,84.57,83.80,84.17,2027700,83.22
2013-10-18,83.77,84.53,83.45,84.19,2804100,83.24
2013-10-17,82.84,83.97,82.78,83.65,2234100,82.70
2013-10-16,83.13,83.13,82.42,82.97,2739300,82.03
2013-10-15,82.94,83.71,82.16,82.36,3040100,81.43
2013-10-14,81.85,83.24,81.74,83.10,3603100,82.16
2013-10-11,82.62,82.79,81.90,82.31,3833000,81.38
2013-10-10,83.42,83.45,82.33,82.92,3613500,81.98
2013-10-09,82.18,83.36,82.08,82.60,2980200,81.66
