Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,54.22,54.28,53.35,53.54,2400200,52.95
2013-12-30,53.90,54.21,53.80,54.05,1356500,53.45
2013-12-27,54.00,54.43,53.87,54.10,1351800,53.50
2013-12-26,54.39,54.44,53.77,53.87,1170100,53.27
2013-12-24,53.85,54.70,53.84,54.50,1157100,53.90
2013-12-23,53.55,54.30,53.55,54.05,1825700,53.45
2013-12-20,52.80,53.57,52.77,53.52,4133300,52.93
2013-12-19,53.04,53.53,52.50,52.79,3048800,52.20
2013-12-18,53.56,53.89,53.00,53.47,3016700,52.88
2013-12-17,54.09,54.09,53.48,53.55,2205200,52.96
2013-12-16,54.49,54.80,54.30,54.32,2691100,53.72
2013-12-13,54.67,54.84,53.45,54.20,4524500,53.60
2013-12-12,55.04,55.16,53.75,53.81,4554200,53.21
2013-12-11,57.60,57.65,55.10,55.20,5817300,54.59
2013-12-10,59.41,59.50,58.12,58.60,4038300,57.95
2013-12-09,60.16,60.52,59.73,60.33,2006700,59.66
2013-12-06,60.56,60.62,59.87,59.99,2069200,59.32
2013-12-05,60.85,61.09,60.17,60.21,1708500,59.54
2013-12-04,61.15,61.42,60.30,60.86,2494000,60.19
2013-12-03,61.12,62.03,61.00,61.43,3156900,60.75
2013-12-02,61.05,61.19,60.56,60.75,1248300,60.08
2013-11-29,61.35,61.65,60.90,60.94,826200,60.26
2013-11-27,61.86,62.13,60.71,61.42,1897400,60.74
2013-11-26,62.34,62.48,61.99,62.08,1858300,61.39
2013-11-25,61.86,62.48,61.84,62.36,1256700,61.67
2013-11-22,61.35,61.96,61.33,61.80,988700,61.11
2013-11-21,61.41,61.72,61.20,61.48,1111200,60.80
2013-11-20,61.46,62.04,61.18,61.35,1596700,60.67
2013-11-19,61.72,62.05,60.95,61.52,1952600,60.84
2013-11-18,62.50,62.56,61.65,61.86,2060100,61.17
2013-11-15,62.67,62.96,62.18,62.20,3510800,61.51
2013-11-14,62.79,63.09,62.60,62.65,2762200,61.96
2013-11-13,63.31,63.61,62.61,62.88,2500000,62.18
2013-11-12,63.73,63.84,63.16,63.32,2143500,62.62
2013-11-11,63.24,64.10,63.14,63.60,1521100,62.89
2013-11-08,63.50,63.60,62.70,63.32,1949300,62.62
2013-11-07,63.23,64.00,63.23,63.70,2283900,62.99
2013-11-06,62.83,63.48,62.62,63.11,1959300,62.41
2013-11-05,62.14,63.18,61.65,62.65,3599000,61.96
2013-11-04,62.50,62.70,61.42,62.04,7380200,61.35
2013-11-01,60.01,61.03,59.76,60.93,2737800,60.25
2013-10-31,59.65,60.04,59.58,59.91,1525500,59.25
2013-10-30,59.54,59.85,59.33,59.65,1469400,58.99
2013-10-29,59.00,59.60,58.97,59.34,1190400,58.68
2013-10-28,58.57,59.28,58.46,58.95,1440500,58.30
2013-10-25,58.22,58.62,57.97,58.59,1212500,57.94
2013-10-24,58.79,58.83,58.21,58.27,1141100,57.62
2013-10-23,58.27,58.57,57.91,58.56,1680300,57.91
2013-10-22,58.13,58.73,58.02,58.40,1798600,57.75
2013-10-21,57.75,58.61,57.75,58.18,1519700,57.53
2013-10-18,58.52,58.58,57.81,57.92,2262900,57.28
2013-10-17,57.41,60.00,57.36,58.90,3766600,58.25
2013-10-16,58.05,58.80,58.05,58.75,1472700,58.10
2013-10-15,58.62,58.70,57.88,57.90,1592100,57.26
2013-10-14,57.97,58.71,57.73,58.63,2150400,57.98
2013-10-11,58.69,58.82,58.12,58.12,2634600,57.48
2013-10-10,58.65,59.89,57.45,58.66,6793400,58.01
2013-10-09,61.87,62.10,61.46,61.70,1736900,61.02
2013-10-08,62.31,62.37,61.44,61.87,1293200,61.18
2013-10-07,61.59,62.45,61.47,62.25,1789800,61.56
2013-10-04,62.39,62.46,61.78,61.80,1897000,61.11
2013-10-03,62.42,62.65,62.17,62.50,1436700,61.81
2013-10-02,62.13,62.81,61.95,62.57,1542500,61.88
2013-10-01,61.84,62.37,61.65,62.15,844600,61.46
2013-09-30,61.43,61.96,61.31,61.79,967900,61.10
2013-09-27,61.98,62.05,61.47,61.72,1343300,61.04
2013-09-26,62.26,62.74,62.21,62.39,1420000,61.40
2013-09-25,62.34,62.54,62.10,62.18,1416400,61.19
2013-09-24,62.43,62.82,62.16,62.23,1643400,61.24
2013-09-23,61.70,62.48,61.64,62.48,1975300,61.49
2013-09-20,61.79,62.22,61.66,62.00,2735000,61.02
2013-09-19,62.21,62.70,61.73,61.81,1954000,60.83
2013-09-18,61.78,62.09,61.33,62.00,1352200,61.02
2013-09-17,61.93,62.04,61.73,61.98,964600,61.00
2013-09-16,62.04,62.04,61.71,61.80,847000,60.82
2013-09-13,61.40,61.73,60.88,61.43,1404400,60.46
2013-09-12,61.72,61.76,60.86,61.33,1275000,60.36
