Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,22.02,22.35,21.94,22.32,6111300,22.28
2013-12-30,21.67,22.00,21.36,21.93,5684000,21.89
2013-12-27,21.55,21.73,21.38,21.67,4570400,21.63
2013-12-26,21.33,21.73,21.32,21.37,5170100,21.33
2013-12-24,21.05,21.58,20.77,21.29,3768200,21.25
2013-12-23,20.73,21.30,20.73,21.13,8671300,21.10
2013-12-20,20.11,20.63,20.11,20.58,8179100,20.55
2013-12-19,19.93,20.25,19.93,20.16,7487800,20.13
2013-12-18,19.35,20.30,19.07,20.11,15790400,20.08
2013-12-17,18.96,19.11,18.68,18.91,6291600,18.88
2013-12-16,19.05,19.47,19.00,19.15,3902900,19.12
2013-12-13,19.06,19.20,18.89,18.96,3759900,18.93
2013-12-12,18.93,19.18,18.83,18.99,5193500,18.96
2013-12-11,19.49,19.51,18.90,19.01,7462000,18.98
2013-12-10,19.62,20.14,19.47,19.53,6771200,19.50
2013-12-09,19.10,19.85,19.09,19.45,7182900,19.42
2013-12-06,19.12,19.34,18.94,19.08,4490200,19.05
2013-12-05,18.94,19.10,18.72,18.79,6756800,18.76
2013-12-04,18.92,19.33,18.74,19.08,7900600,19.05
2013-12-03,19.24,19.53,19.01,19.13,5580700,19.10
2013-12-02,19.82,19.82,19.29,19.33,5209700,19.30
2013-11-29,20.05,20.10,19.63,19.88,3141900,19.85
2013-11-27,19.98,20.43,19.95,20.06,8665500,20.03
2013-11-26,19.15,19.95,19.14,19.93,10872000,19.90
2013-11-25,19.05,19.16,18.66,19.05,6835700,19.02
2013-11-22,19.48,19.68,18.95,19.05,8926900,19.02
2013-11-21,19.13,19.51,18.70,19.44,8783100,19.41
2013-11-20,19.65,19.72,18.97,19.06,8087000,19.03
2013-11-19,19.23,19.40,19.04,19.29,4737800,19.26
2013-11-18,19.60,19.77,19.16,19.30,7776300,19.27
2013-11-15,19.62,19.97,19.53,19.59,7204800,19.56
2013-11-14,19.08,19.90,18.91,19.59,10835900,19.56
2013-11-13,18.74,19.18,18.57,19.05,9686600,19.02
2013-11-12,18.42,19.27,18.12,18.91,19239200,18.88
2013-11-11,18.16,18.21,17.67,18.06,10780700,18.03
2013-11-08,18.33,18.35,17.86,18.14,20501200,18.11
2013-11-07,18.92,19.24,18.44,18.55,8049100,18.52
2013-11-06,18.46,18.77,18.26,18.73,10499500,18.70
2013-11-05,18.72,18.93,18.14,18.41,8004900,18.38
2013-11-04,18.63,19.28,18.59,18.82,6850300,18.79
2013-11-01,18.99,19.05,18.18,18.51,8982800,18.48
2013-10-31,19.53,19.53,18.94,18.95,6530100,18.92
2013-10-30,19.96,19.97,19.36,19.52,4760200,19.49
2013-10-29,19.73,19.99,19.51,19.97,4777500,19.94
2013-10-28,19.79,20.00,19.49,19.66,4904100,19.63
2013-10-25,19.93,19.98,19.60,19.77,5116000,19.74
2013-10-24,19.57,20.23,19.57,19.87,6940100,19.84
2013-10-23,19.17,19.97,19.14,19.47,7991400,19.44
2013-10-22,18.83,19.34,18.77,19.23,6641200,19.20
2013-10-21,19.16,19.25,18.31,18.67,5181900,18.64
2013-10-18,19.23,19.28,18.90,19.02,5978300,18.99
2013-10-17,17.99,19.25,17.97,19.14,12642700,19.11
2013-10-16,17.89,18.31,17.60,18.05,11696600,18.02
2013-10-15,18.21,18.24,17.65,17.69,10394300,17.66
2013-10-14,18.30,18.49,17.97,18.25,6561400,18.22
2013-10-11,18.30,18.81,18.29,18.65,4495700,18.62
2013-10-10,18.25,18.61,18.09,18.29,6603500,18.26
2013-10-09,18.03,18.25,17.66,17.93,10650100,17.90
2013-10-08,18.54,18.75,17.95,17.99,5988200,17.96
2013-10-07,18.26,18.84,18.25,18.50,6564000,18.47
2013-10-04,19.08,19.15,18.28,18.54,8108300,18.51
2013-10-03,19.49,19.69,18.98,19.07,8795300,19.04
2013-10-02,19.20,19.70,19.11,19.54,7228100,19.51
2013-10-01,19.47,19.56,19.21,19.38,7516700,19.35
2013-09-30,19.28,19.60,19.10,19.43,7702300,19.40
2013-09-27,19.82,20.02,19.57,19.63,4529600,19.60
2013-09-26,20.16,20.26,19.83,19.99,4249800,19.96
2013-09-25,20.11,20.53,19.81,20.16,4707800,20.13
2013-09-24,19.86,20.61,19.67,20.06,8563600,20.03
2013-09-23,20.18,20.28,19.59,19.81,7440200,19.78
2013-09-20,21.06,21.09,20.03,20.20,10105700,20.17
2013-09-19,21.45,21.60,20.79,21.01,8474700,20.98
2013-09-18,19.90,21.40,19.68,21.33,13832400,21.29
2013-09-17,19.77,20.19,19.75,19.95,5018700,19.92
2013-09-16,19.74,20.24,19.61,19.84,9905600,19.81
2013-09-13,19.31,19.43,18.88,19.14,5183800,19.11
2013-09-12,19.48,20.07,19.30,19.36,6758900,19.33
2013-09-11,18.89,19.70,18.88,19.50,7077500,19.47
2013-09-10,19.20,19.37,18.84,18.89,7595900,18.86
2013-09-09,18.19,19.34,18.19,19.28,10615600,19.25
2013-09-06,18.11,18.51,17.87,18.10,7702200,18.07
2013-09-05,17.82,17.86,17.52,17.77,5901300,17.74
2013-09-04,17.80,18.04,17.75,17.83,5929800,17.80
2013-09-03,17.91,18.12,17.73,17.80,6962500,17.77
2013-08-30,18.32,18.32,17.77,17.85,5478600,17.82
2013-08-29,17.81,18.53,17.73,18.40,8412900,18.37
2013-08-28,17.90,17.94,17.57,17.77,9461800,17.74
2013-08-27,18.29,18.42,17.89,17.99,11456900,17.96
2013-08-26,18.69,19.03,18.48,18.69,6831700,18.66
2013-08-23,19.39,19.39,18.47,18.73,7194900,18.70
2013-08-22,18.97,19.44,18.86,19.28,3760700,19.25
2013-08-21,18.88,19.21,18.73,18.85,7442400,18.82
2013-08-20,18.40,19.02,18.33,18.91,6073800,18.88
2013-08-19,18.97,19.29,18.21,18.30,8805200,18.27
2013-08-16,19.23,19.87,18.73,19.00,13307700,18.97
2013-08-15,17.82,19.36,17.59,19.12,16214700,19.09
2013-08-14,18.50,18.50,17.91,18.09,9419500,18.06
2013-08-13,18.85,18.91,18.19,18.54,7386900,18.51
2013-08-12,18.81,19.27,18.67,18.82,6200100,18.79
2013-08-09,18.89,19.06,18.58,18.89,5999600,18.86
2013-08-08,19.18,19.22,18.86,18.91,5454300,18.88
2013-08-07,19.50,19.54,18.82,18.98,7994500,18.95
2013-08-06,19.98,20.00,19.43,19.60,4369500,19.57
2013-08-05,20.30,20.33,19.74,19.97,5916100,19.94
2013-08-02,20.20,20.66,20.16,20.38,4600900,20.35
2013-08-01,20.36,20.76,19.93,20.11,7385900,20.08
2013-07-31,19.70,20.45,19.61,20.10,9662300,20.07
2013-07-30,19.52,19.84,19.48,19.75,7157200,19.72
2013-07-29,19.48,20.06,19.38,19.67,10822400,19.64
2013-07-26,19.40,19.90,19.21,19.33,10621400,19.30
2013-07-25,20.35,20.39,19.13,19.38,22962800,19.35
2013-07-24,22.14,22.24,21.08,21.20,7810600,21.17
2013-07-23,21.57,21.94,21.38,21.80,4671500,21.76
2013-07-22,22.27,22.34,21.49,21.58,4842400,21.54
2013-07-19,21.64,22.20,21.57,22.07,4929300,22.03
2013-07-18,22.28,22.38,21.66,21.67,4976500,21.63
2013-07-17,21.65,22.25,21.20,22.19,9131500,22.15
2013-07-16,21.77,22.28,21.25,21.70,7968200,21.66
2013-07-15,22.74,22.82,21.65,21.72,6815300,21.68
2013-07-12,22.96,23.20,22.61,22.76,4959000,22.72
2013-07-11,21.92,23.01,21.92,22.98,11785100,22.94
2013-07-10,21.25,21.35,20.84,21.05,5695500,21.02
2013-07-09,19.92,21.37,19.92,21.22,12644900,21.19
2013-07-08,20.36,20.48,19.69,19.73,7582000,19.70
2013-07-05,21.03,21.07,19.89,20.28,6154400,20.25
2013-07-03,20.77,21.12,20.72,20.96,2599900,20.93
2013-07-02,21.12,21.25,20.77,20.86,7161400,20.83
2013-07-01,21.38,21.71,20.98,21.05,6231100,21.02
2013-06-28,21.59,21.73,21.28,21.28,7291900,21.24
2013-06-27,21.08,21.77,20.83,21.71,9363200,21.67
2013-06-26,21.05,21.22,20.53,20.92,8803800,20.89
2013-06-25,21.71,21.75,20.87,20.91,10991000,20.88
2013-06-24,20.50,21.23,20.02,20.92,12263600,20.89
2013-06-21,21.52,21.65,19.94,21.10,16532300,21.07
2013-06-20,23.09,23.09,21.06,21.31,17923600,21.27
2013-06-19,24.44,24.44,23.39,23.44,5123100,23.40
2013-06-18,24.24,24.55,23.88,24.38,3677500,24.34
2013-06-17,24.10,24.65,23.98,24.26,6115700,24.22
2013-06-14,23.62,24.15,23.62,23.89,7673300,23.85
2013-06-13,22.45,23.73,22.45,23.66,7234000,23.62
2013-06-12,22.66,22.86,22.29,22.49,5985100,22.45
2013-06-11,22.69,23.02,22.17,22.32,6952500,22.28
2013-06-10,23.70,23.70,22.61,23.06,6016100,23.02
2013-06-07,23.54,24.20,23.14,23.56,8923900,23.52
2013-06-06,22.55,23.41,22.13,23.27,10558100,23.23
2013-06-05,22.75,22.97,22.09,22.65,10791900,22.61
2013-06-04,23.71,24.06,22.83,22.92,8000600,22.88
2013-06-03,24.40,24.53,23.14,23.78,7299100,23.74
2013-05-31,24.58,24.93,24.34,24.36,4208300,24.32
2013-05-30,24.63,25.05,24.32,24.74,5493200,24.70
2013-05-29,25.46,25.52,24.31,24.52,8307000,24.48
2013-05-28,26.13,26.53,25.48,25.69,5827800,25.65
2013-05-24,25.88,25.88,25.33,25.75,4469400,25.71
2013-05-23,25.70,26.43,25.46,26.01,8163800,25.97
2013-05-22,26.52,27.17,25.91,26.12,5875000,26.08
2013-05-21,26.82,26.99,25.91,26.31,5461100,26.27
2013-05-20,27.20,27.61,26.71,26.74,4060300,26.70
2013-05-17,26.95,27.35,26.88,27.23,8275000,27.19
2013-05-16,27.28,27.56,26.50,26.80,5260200,26.76
2013-05-15,27.49,27.75,27.20,27.43,5243300,27.38
2013-05-14,27.37,27.61,27.23,27.60,4003000,27.55
2013-05-13,27.07,27.39,26.97,27.35,3464700,27.30
2013-05-10,26.87,27.16,26.85,27.15,2982700,27.11
2013-05-09,26.86,27.31,26.78,26.82,5126200,26.78
2013-05-08,26.65,26.98,26.41,26.96,4428300,26.92
2013-05-07,26.68,26.84,26.41,26.75,4103800,26.71
2013-05-06,26.46,26.64,26.16,26.49,4318500,26.45
2013-05-03,26.78,27.02,26.24,26.45,4759300,26.41
2013-05-02,25.83,26.53,25.64,26.42,6285200,26.38
2013-05-01,25.97,26.04,25.39,25.58,5938500,25.54
2013-04-30,26.22,26.49,25.52,26.08,8695200,26.04
2013-04-29,26.61,27.32,26.47,26.52,9981100,26.48
2013-04-26,25.83,26.92,25.60,26.66,15525700,26.62
2013-04-25,24.21,24.79,24.01,24.53,7239300,24.49
2013-04-24,23.59,24.11,23.48,24.02,6468100,23.98
2013-04-23,22.84,23.97,22.84,23.55,7458900,23.51
2013-04-22,22.01,22.46,21.47,22.36,4021600,22.32
2013-04-19,21.58,22.21,21.54,21.98,5142000,21.94
2013-04-18,22.10,22.14,21.24,21.48,5308100,21.44
2013-04-17,22.20,22.23,21.64,22.14,5013900,22.10
2013-04-16,22.42,22.56,21.71,22.45,5696300,22.41
2013-04-15,23.21,23.22,21.85,21.90,6431500,21.86
2013-04-12,23.22,23.93,23.16,23.42,4622700,23.38
2013-04-11,23.03,23.59,23.03,23.33,3251300,23.29
2013-04-10,23.44,23.44,22.94,23.15,4528700,23.11
2013-04-09,23.51,23.63,23.15,23.27,4520500,23.23
2013-04-08,23.10,23.53,22.90,23.48,5831600,23.44
2013-04-05,22.43,23.12,22.16,23.08,6263300,23.04
2013-04-04,22.89,23.04,22.60,22.88,4508400,22.84
2013-04-03,23.45,23.57,22.10,22.84,8907400,22.80
2013-04-02,24.06,24.19,23.35,23.41,4529400,23.37
2013-04-01,24.32,24.41,23.74,23.85,3544200,23.81
2013-03-28,24.39,24.50,24.02,24.30,4061200,24.26
2013-03-27,24.09,24.42,23.90,24.39,3616900,24.35
2013-03-26,24.64,24.81,24.06,24.21,4405900,24.17
2013-03-25,24.79,25.22,24.33,24.48,4327100,24.44
2013-03-22,25.01,25.07,24.64,24.72,3711200,24.68
2013-03-21,25.34,25.34,24.45,24.88,9354900,24.84
2013-03-20,24.54,25.56,24.48,25.43,6456100,25.39
2013-03-19,24.48,24.72,24.13,24.31,4686800,24.27
2013-03-18,24.06,24.50,23.97,24.25,4693100,24.21
2013-03-15,24.42,24.76,24.30,24.34,6214500,24.30
