Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,77.11,77.33,76.85,77.20,1054100,77.10
2013-12-30,76.99,77.13,76.62,76.82,971400,76.72
2013-12-27,77.17,77.39,76.79,77.05,835600,76.95
2013-12-26,77.00,77.06,76.76,76.92,1912800,76.82
2013-12-24,76.60,77.16,76.60,76.79,1071900,76.66
2013-12-23,76.96,77.32,76.44,76.74,2249300,76.61
2013-12-20,76.33,77.08,76.28,76.54,3428500,76.41
2013-12-19,76.54,76.67,75.98,76.58,2416400,76.45
2013-12-18,74.76,77.01,74.61,76.86,3326100,76.73
2013-12-17,75.50,75.73,74.54,74.76,2247600,74.64
2013-12-16,74.24,75.54,74.11,75.31,3493200,75.18
2013-12-13,74.27,74.39,73.65,74.01,2696800,73.89
2013-12-12,72.89,74.60,72.88,74.25,3969000,74.13
2013-12-11,75.13,75.33,73.66,73.93,3088700,73.81
2013-12-10,75.04,75.33,74.55,75.15,1827100,75.02
2013-12-09,75.62,75.78,75.02,75.38,2028100,75.25
2013-12-06,74.48,75.29,74.29,75.12,1833300,74.99
2013-12-05,73.24,74.05,73.04,73.64,1902400,73.52
2013-12-04,73.39,74.29,72.91,73.66,1867700,73.54
2013-12-03,74.28,74.45,73.54,73.77,2363200,73.65
2013-12-02,74.59,75.26,74.36,74.57,2471700,74.45
2013-11-29,75.33,75.54,74.73,74.80,1343400,74.68
2013-11-27,75.72,75.93,75.18,75.36,1415900,75.23
2013-11-26,75.03,75.89,75.00,75.37,3621700,75.24
2013-11-25,75.00,75.00,74.36,74.52,1392900,74.40
2013-11-22,74.42,74.73,74.24,74.65,1938700,74.53
2013-11-21,74.20,74.40,73.89,74.33,1807000,74.21
2013-11-20,74.09,74.51,73.54,73.79,2213900,73.67
2013-11-19,74.52,74.75,74.02,74.13,1762800,74.01
2013-11-18,74.52,74.99,74.38,74.55,2821000,74.43
2013-11-15,74.17,74.74,74.05,74.49,3261800,74.37
2013-11-14,74.19,74.94,74.01,74.44,2912100,74.32
2013-11-13,73.59,73.84,73.43,73.76,2594300,73.64
2013-11-12,74.23,74.31,73.38,73.90,2271900,73.78
2013-11-11,74.60,74.77,74.06,74.36,1758500,74.24
2013-11-08,72.36,74.64,72.36,74.60,4666400,74.48
2013-11-07,73.06,73.28,71.70,71.81,1772200,71.69
2013-11-06,72.90,73.60,72.71,72.98,1725800,72.86
2013-11-05,72.66,72.77,72.26,72.59,1373000,72.47
2013-11-04,72.64,72.85,72.06,72.75,1917400,72.63
2013-11-01,72.28,72.78,72.04,72.63,2285000,72.51
2013-10-31,72.28,72.57,71.81,72.09,1464700,71.97
2013-10-30,72.54,72.82,72.01,72.04,1560700,71.92
2013-10-29,72.14,72.55,71.86,72.54,2287200,72.42
2013-10-28,72.14,72.43,71.73,72.16,1602700,72.04
2013-10-25,71.88,72.22,71.49,72.11,1722900,71.99
2013-10-24,71.95,72.24,71.52,72.05,1993100,71.93
2013-10-23,72.23,72.50,71.70,71.90,2031000,71.78
2013-10-22,72.02,72.48,71.85,72.24,2295000,72.12
2013-10-21,72.23,72.30,71.77,71.93,2613600,71.81
2013-10-18,72.69,72.69,71.65,72.00,4193900,71.88
2013-10-17,71.01,72.59,70.38,72.31,5891800,72.19
2013-10-16,69.23,69.42,68.80,69.15,4748400,69.03
2013-10-15,69.40,69.70,69.00,69.02,2432400,68.90
2013-10-14,68.97,69.71,68.84,69.55,1537200,69.43
2013-10-11,68.92,69.51,68.58,69.44,1438100,69.32
2013-10-10,67.91,69.04,67.82,68.98,2700500,68.86
2013-10-09,67.28,67.40,66.83,67.14,2927300,67.03
2013-10-08,67.88,68.52,67.26,67.31,2979500,67.20
2013-10-07,68.08,68.29,67.73,67.86,1715100,67.75
2013-10-04,68.01,68.88,67.82,68.52,1965900,68.41
2013-10-03,68.83,68.98,67.49,67.99,2547400,67.88
2013-10-02,69.16,69.16,68.38,69.13,2354600,69.01
2013-10-01,69.45,69.64,69.11,69.47,2442800,69.35
2013-09-30,69.33,69.79,69.10,69.32,2672900,69.20
2013-09-27,69.64,70.05,69.43,69.87,2376200,69.75
2013-09-26,69.62,70.14,69.36,69.77,1718100,69.65
2013-09-25,69.15,69.77,68.81,69.56,2602600,69.44
2013-09-24,69.59,69.65,68.89,68.94,2361300,68.80
2013-09-23,69.29,69.75,69.24,69.55,2158200,69.41
2013-09-20,70.32,70.72,69.57,69.57,5124400,69.43
2013-09-19,70.78,70.94,70.22,70.28,3979000,70.14
2013-09-18,70.00,70.55,69.68,70.49,2698600,70.35
2013-09-17,70.19,70.50,69.85,70.03,2602000,69.89
2013-09-16,70.41,70.64,69.87,70.11,2811000,69.97
2013-09-13,69.62,69.78,69.01,69.76,2467800,69.62
2013-09-12,69.32,69.55,69.05,69.45,2498400,69.31
2013-09-11,68.53,69.31,68.40,69.31,2087200,69.17
2013-09-10,68.18,68.94,68.06,68.46,2329100,68.32
2013-09-09,67.02,67.75,67.02,67.65,1368900,67.51
2013-09-06,67.32,67.59,66.41,66.83,1970800,66.69
