Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,76.28,76.50,75.81,76.40,4692300,76.40
2013-12-30,74.99,76.54,74.89,76.23,8578900,76.23
2013-12-27,74.65,74.78,73.93,74.35,3844800,74.35
2013-12-26,73.95,74.69,73.91,74.62,4620100,74.62
2013-12-24,73.25,73.86,73.25,73.85,2883600,73.85
2013-12-23,72.89,73.33,72.66,73.28,5621900,73.28
2013-12-20,73.10,73.56,72.34,72.40,12989700,72.40
2013-12-19,72.14,73.08,72.10,72.97,6768100,72.97
2013-12-18,70.96,72.20,70.14,72.20,7971400,72.20
2013-12-17,70.69,70.91,69.83,70.66,6829100,70.66
2013-12-16,69.91,70.85,69.91,70.51,6246600,70.51
2013-12-13,69.90,70.13,69.28,69.62,5784300,69.62
2013-12-12,69.28,70.02,68.80,69.63,8756300,69.63
2013-12-11,71.73,72.13,70.43,70.52,9519200,69.66
2013-12-10,70.91,71.65,70.90,71.57,7112200,70.70
2013-12-09,71.36,71.48,70.92,71.11,6477100,70.24
2013-12-06,70.97,71.49,70.77,71.46,5542000,70.59
2013-12-05,70.29,70.68,70.08,70.23,5587000,69.37
2013-12-04,69.42,70.48,69.32,69.97,4883800,69.12
2013-12-03,70.22,70.41,69.38,69.90,8304700,69.05
2013-12-02,70.79,71.31,70.76,70.91,6774600,70.05
2013-11-29,71.04,71.27,70.39,70.54,4801000,69.68
2013-11-27,71.21,71.25,70.46,70.77,5446100,69.91
2013-11-26,69.92,71.69,69.90,71.18,8850000,70.31
2013-11-25,70.54,70.58,69.60,69.74,5830600,68.89
2013-11-22,69.95,70.33,69.80,70.20,4667500,69.34
2013-11-21,69.46,70.01,69.27,69.94,4498300,69.09
2013-11-20,69.12,69.92,69.08,69.23,4726800,68.39
2013-11-19,69.49,69.72,69.04,69.12,4801700,68.28
2013-11-18,70.06,70.09,69.33,69.50,4904400,68.65
2013-11-15,69.77,70.17,69.55,70.00,6184400,69.15
2013-11-14,69.14,70.15,69.00,70.02,7246600,69.17
2013-11-13,67.43,68.99,67.30,68.97,5681000,68.13
2013-11-12,68.33,68.45,67.42,67.77,6586700,66.94
2013-11-11,68.48,68.74,68.19,68.34,4954000,67.51
2013-11-08,66.87,69.41,66.72,68.58,16182800,67.74
2013-11-07,69.34,69.34,67.09,67.15,10496300,66.33
2013-11-06,69.18,69.62,68.62,69.00,6503200,68.16
2013-11-05,68.77,69.06,68.06,68.85,5140600,68.01
2013-11-04,69.41,69.55,68.41,68.81,4790200,67.97
