Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,44.63,44.70,44.25,44.40,7920600,44.07
2013-12-30,44.40,44.70,44.32,44.60,5971600,44.27
2013-12-27,44.50,44.81,44.43,44.60,6081300,44.27
2013-12-26,44.58,44.99,44.34,44.86,6526100,44.21
2013-12-24,44.00,44.44,43.94,44.42,2765300,43.77
2013-12-23,44.04,44.49,43.87,43.88,6182100,43.24
2013-12-20,43.96,44.32,43.61,43.78,11715600,43.14
2013-12-19,43.15,44.57,43.06,43.90,13246900,43.26
2013-12-18,42.29,43.56,42.25,43.51,15458200,42.88
2013-12-17,41.59,42.30,41.58,42.20,14160700,41.59
2013-12-16,41.62,41.97,41.27,41.60,10935500,40.99
2013-12-13,40.97,41.68,40.68,41.52,13448200,40.92
2013-12-12,40.95,40.98,40.26,40.76,7022200,40.17
2013-12-11,41.87,41.95,40.95,41.05,11718500,40.45
2013-12-10,40.61,42.00,40.52,41.78,15417700,41.17
2013-12-09,39.29,40.81,39.27,40.80,13952900,40.21
2013-12-06,39.11,39.45,38.99,39.27,5974000,38.70
2013-12-05,38.83,39.01,38.42,38.61,6928300,38.05
2013-12-04,38.58,39.23,38.58,38.89,9832200,38.32
2013-12-03,39.81,39.87,38.46,38.72,10892500,38.16
2013-12-02,39.38,40.35,39.32,39.98,14320500,39.40
2013-11-29,39.32,39.37,38.92,39.06,3094900,38.49
2013-11-27,38.88,39.28,38.84,39.10,7141700,38.53
2013-11-26,39.03,39.20,38.60,38.79,5887700,38.23
2013-11-25,39.71,39.71,38.92,39.01,6086200,38.44
2013-11-22,39.52,39.70,39.51,39.66,4610100,39.08
2013-11-21,39.40,39.77,39.39,39.63,6275200,39.05
2013-11-20,39.76,39.83,39.11,39.26,6556800,38.69
2013-11-19,39.90,39.95,39.51,39.70,6016100,39.12
2013-11-18,40.16,40.31,39.79,39.87,7041600,39.29
2013-11-15,40.17,40.30,40.04,40.23,6434100,39.64
2013-11-14,39.81,40.13,39.70,40.10,7512700,39.52
2013-11-13,39.17,39.68,39.08,39.60,7273500,39.02
2013-11-12,39.60,39.70,39.23,39.34,5273400,38.77
2013-11-11,39.41,39.85,39.22,39.66,4900800,39.08
2013-11-08,38.65,39.67,38.65,39.67,5452900,39.09
2013-11-07,39.38,39.53,38.58,38.67,6741200,38.11
2013-11-06,38.85,39.40,38.85,39.26,4966000,38.69
