Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,54.46,54.70,54.16,54.37,719500,53.21
2013-12-30,54.28,54.83,54.08,54.47,967100,53.31
2013-12-27,54.65,54.85,54.16,54.33,755700,53.18
2013-12-26,54.02,54.41,53.92,54.32,894300,53.17
2013-12-24,54.25,54.47,53.99,54.01,1277300,52.86
2013-12-23,52.00,54.89,51.45,54.35,5610400,53.20
2013-12-20,50.97,51.09,50.53,51.09,4305000,50.00
2013-12-19,51.79,51.82,49.35,51.02,14856700,49.94
2013-12-18,52.46,52.93,52.14,52.92,2037800,51.80
2013-12-17,52.25,53.00,51.96,52.33,1635700,51.22
2013-12-16,51.74,52.75,51.70,52.29,1915500,51.18
2013-12-13,51.58,51.72,51.32,51.63,1084400,50.53
2013-12-12,51.51,51.67,50.69,51.38,1078000,50.29
2013-12-11,51.76,51.98,51.16,51.47,2148100,50.38
2013-12-10,52.21,52.38,51.72,51.83,994400,50.73
2013-12-09,52.43,52.68,52.08,52.28,1119300,51.17
2013-12-06,52.45,52.75,52.38,52.48,1029400,51.37
2013-12-05,52.24,52.49,51.94,52.06,734800,50.95
2013-12-04,52.09,52.48,51.85,52.22,1374100,51.11
2013-12-03,52.56,52.72,51.81,52.20,1142500,51.09
2013-12-02,53.19,53.42,52.58,52.91,1668900,51.79
2013-11-29,53.57,53.63,53.08,53.33,455900,52.20
2013-11-27,53.18,53.72,53.06,53.49,1103400,52.35
2013-11-26,53.42,53.67,53.18,53.23,1005300,52.10
2013-11-25,54.06,54.08,53.50,53.52,627000,52.38
2013-11-22,53.50,53.99,53.32,53.87,795000,52.73
2013-11-21,53.25,53.79,52.71,53.57,1137800,52.43
2013-11-20,52.79,53.42,52.71,52.96,1287500,51.83
2013-11-19,52.99,53.19,52.39,52.76,1423200,51.64
2013-11-18,53.52,53.69,52.90,53.15,1066700,52.02
2013-11-15,52.68,53.88,52.54,53.50,1606900,52.36
2013-11-14,52.19,52.76,52.12,52.66,718800,51.54
2013-11-13,51.52,52.33,51.43,52.21,972300,51.10
2013-11-12,51.86,52.15,51.67,51.92,1168300,50.82
2013-11-11,52.12,52.50,51.84,52.15,1013500,51.04
2013-11-08,52.14,52.32,51.91,52.16,831100,51.05
2013-11-07,53.01,53.13,52.01,52.14,1185000,51.03
2013-11-06,53.00,53.22,52.69,53.06,954100,51.93
2013-11-05,51.97,52.97,51.77,52.96,1471600,51.83
2013-11-04,51.57,52.02,51.52,51.99,943900,50.89
2013-11-01,51.64,51.74,51.13,51.48,931700,50.39
2013-10-31,52.12,52.15,51.39,51.53,984900,50.44
2013-10-30,52.67,52.70,52.04,52.23,738300,51.12
2013-10-29,51.86,52.63,51.74,52.60,1633600,51.48
2013-10-28,51.79,51.79,51.26,51.53,1155800,50.44
2013-10-25,51.62,51.74,51.15,51.70,942800,50.60
2013-10-24,51.01,51.55,50.85,51.49,1169400,50.40
2013-10-23,51.67,51.88,50.91,51.04,1728400,49.96
2013-10-22,52.10,52.23,51.87,51.95,1034000,50.85
2013-10-21,51.97,52.10,51.78,52.07,1205900,50.96
2013-10-18,52.07,52.32,51.82,52.07,1806100,50.96
2013-10-17,50.55,52.74,49.68,51.80,5511000,50.70
2013-10-16,51.24,51.31,50.47,50.66,3578900,49.58
2013-10-15,50.78,51.43,50.58,51.01,4721400,49.93
2013-10-14,50.18,51.05,50.01,50.96,2510100,49.88
2013-10-11,49.59,50.51,49.26,50.50,2841800,49.43
2013-10-10,49.48,49.89,48.78,49.78,3434300,48.72
2013-10-09,46.25,51.17,45.68,49.57,12582800,48.52
2013-10-08,46.29,46.90,45.97,46.28,2723500,45.30
2013-10-07,46.37,46.49,45.86,45.89,3979400,44.38
2013-10-04,46.01,46.72,45.93,46.72,4868900,45.18
2013-10-03,46.39,46.45,45.43,45.95,2134500,44.43
2013-10-02,46.44,46.62,46.13,46.57,1252900,45.03
2013-10-01,46.32,46.90,46.31,46.86,1386400,45.31
2013-09-30,46.30,46.58,46.05,46.29,1335800,44.76
2013-09-27,46.21,46.75,46.17,46.70,1407900,45.16
2013-09-26,46.10,46.44,45.76,46.44,1680800,44.91
2013-09-25,46.41,46.45,45.98,46.00,1955800,44.48
2013-09-24,46.36,46.58,46.05,46.42,2123000,44.89
2013-09-23,45.81,46.31,44.78,46.26,3698800,44.73
