Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,61.84,62.19,61.38,61.87,2336400,61.66
2013-12-30,61.75,62.40,61.56,61.80,2724100,61.59
2013-12-27,61.42,61.88,61.13,61.69,1472900,61.48
2013-12-26,61.16,61.46,60.60,61.12,2125300,60.91
2013-12-24,60.74,61.45,60.59,61.26,847800,61.05
2013-12-23,61.31,61.85,60.71,60.81,1940000,60.60
2013-12-20,60.94,61.11,60.13,60.94,3954400,60.73
2013-12-19,59.35,61.12,59.15,60.75,3620000,60.54
2013-12-18,59.70,59.88,58.03,59.34,4353500,59.13
2013-12-17,60.26,60.28,59.60,59.65,3026400,59.44
2013-12-16,59.62,60.56,59.54,60.40,2800500,60.19
2013-12-13,59.43,59.87,59.00,59.22,3039700,59.01
2013-12-12,59.80,60.30,59.39,59.42,2967000,59.21
2013-12-11,60.40,60.55,59.30,59.57,3354600,59.36
2013-12-10,60.48,61.51,60.45,60.82,3200800,60.39
2013-12-09,60.68,60.99,60.13,60.70,2434800,60.27
2013-12-06,61.84,61.90,60.18,60.48,3129000,60.05
2013-12-05,60.61,61.90,60.43,61.36,3845900,60.93
2013-12-04,61.26,61.80,60.77,60.81,3597300,60.38
2013-12-03,60.74,61.93,60.46,61.45,3588500,61.02
2013-12-02,60.89,60.91,60.30,60.54,3362700,60.11
2013-11-29,60.61,61.23,60.20,60.62,2250200,60.19
2013-11-27,61.27,61.51,60.44,60.57,2278600,60.14
2013-11-26,61.45,62.39,61.23,61.27,3299400,60.84
2013-11-25,62.36,62.50,60.79,61.60,3523600,61.16
2013-11-22,63.04,63.10,62.27,62.57,4494500,62.13
2013-11-21,63.22,63.52,62.47,62.60,5586800,62.16
2013-11-20,65.06,65.60,62.06,62.75,14575600,62.31
2013-11-19,59.78,63.20,59.42,62.77,11442600,62.33
2013-11-18,60.62,60.80,59.60,59.79,2724300,59.37
2013-11-15,60.93,61.11,60.23,60.48,2666600,60.05
2013-11-14,60.58,61.03,60.17,60.82,2350800,60.39
2013-11-13,59.72,60.60,59.50,60.60,2674800,60.17
2013-11-12,60.65,60.70,59.46,59.83,3234600,59.41
2013-11-11,61.51,61.51,60.44,60.71,4171600,60.28
2013-11-08,59.77,60.56,59.73,60.11,3538900,59.69
2013-11-07,61.32,61.49,59.53,59.76,6374000,59.34
2013-11-06,64.48,64.48,59.40,61.40,9580600,60.97
2013-11-05,64.27,64.44,63.45,63.79,2663200,63.34
2013-11-04,63.81,64.67,63.76,64.46,2408200,64.00
2013-11-01,63.19,63.95,62.71,63.66,2345900,63.21
2013-10-31,63.35,63.82,62.79,63.22,2407400,62.77
2013-10-30,64.63,64.98,62.85,63.41,2391000,62.96
2013-10-29,64.28,64.73,64.07,64.53,2278400,64.07
2013-10-28,64.74,64.78,63.77,64.03,2508300,63.58
2013-10-25,64.71,65.00,63.89,64.54,1924100,64.08
2013-10-24,64.13,64.80,63.97,64.50,2348900,64.04
2013-10-23,65.03,65.03,63.69,64.10,3223500,63.65
2013-10-22,66.07,66.92,65.21,65.52,5280900,65.06
2013-10-21,64.92,66.82,64.51,65.32,8475700,64.86
2013-10-18,63.44,63.58,62.58,63.21,3229200,62.76
2013-10-17,62.42,63.13,62.01,62.97,2647500,62.53
2013-10-16,61.48,63.09,61.31,62.49,4179700,62.05
2013-10-15,60.74,61.49,60.50,60.97,2868100,60.54
2013-10-14,60.30,61.20,60.14,60.94,2246700,60.51
2013-10-11,59.99,61.37,59.78,60.80,3305800,60.37
2013-10-10,58.80,60.41,58.79,60.28,4366200,59.85
2013-10-09,58.23,58.73,57.95,58.30,3133100,57.89
2013-10-08,58.61,58.99,58.14,58.20,2877200,57.79
2013-10-07,58.49,59.18,58.31,58.36,1732300,57.95
2013-10-04,58.10,59.14,57.99,58.92,2074800,58.50
2013-10-03,58.13,58.45,57.81,57.97,2166100,57.56
2013-10-02,58.40,58.66,57.58,58.29,1930300,57.88
2013-10-01,57.86,58.94,57.81,58.60,2260700,58.19
2013-09-30,57.97,57.98,57.20,57.76,3530700,57.35
2013-09-27,59.24,59.52,58.28,58.71,3262200,58.30
2013-09-26,59.53,59.74,59.05,59.47,2038900,59.05
2013-09-25,59.76,60.09,59.44,59.50,2289300,59.08
2013-09-24,59.55,60.09,59.25,59.73,2627700,59.31
2013-09-23,59.48,59.65,59.10,59.58,2918300,59.16
2013-09-20,59.72,60.24,59.38,59.54,3796500,59.12
2013-09-19,60.03,60.20,59.30,59.68,2458700,59.26
2013-09-18,58.69,60.38,58.65,59.82,4457800,59.40
2013-09-17,58.13,59.07,58.05,58.86,2027400,58.44
2013-09-16,58.95,59.00,58.00,58.11,2059700,57.70
2013-09-13,59.11,59.19,58.25,58.39,1780800,57.98
2013-09-12,59.16,59.67,58.72,58.90,1869400,58.48
2013-09-11,58.42,59.13,58.37,59.13,2996200,58.71
2013-09-10,59.18,59.18,58.36,58.70,2388300,58.07
2013-09-09,58.64,59.10,58.50,59.02,2112300,58.38
2013-09-06,58.82,59.23,58.33,58.38,2422200,57.75
2013-09-05,57.50,58.79,57.49,58.73,3291500,58.10
2013-09-04,57.20,57.85,57.16,57.50,2160600,56.88
2013-09-03,57.78,57.88,56.99,57.23,2229600,56.61
2013-08-30,56.88,57.53,56.85,57.09,2037600,56.47
2013-08-29,57.40,57.65,56.65,56.77,1937000,56.16
2013-08-28,57.02,58.38,56.98,57.50,2818000,56.88
2013-08-27,57.56,58.00,56.83,56.96,3145800,56.35
2013-08-26,58.18,58.58,58.03,58.07,2349800,57.44
2013-08-23,57.37,58.32,57.26,58.13,2219100,57.50
2013-08-22,56.24,57.71,56.15,57.33,1776000,56.71
2013-08-21,56.40,56.96,56.03,56.08,3354900,55.48
2013-08-20,56.95,57.59,56.52,56.53,2752000,55.92
2013-08-19,57.45,57.50,56.38,56.44,2860700,55.83
2013-08-16,57.81,57.89,56.88,57.38,2501500,56.76
2013-08-15,57.59,58.12,57.41,58.02,2038000,57.39
2013-08-14,57.68,58.44,57.58,57.95,3254100,57.32
