Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,55.16,55.60,55.00,55.28,2072100,54.64
2013-12-30,55.10,55.34,55.02,55.23,1163100,54.59
2013-12-27,55.00,55.37,54.85,55.05,1048800,54.41
2013-12-26,55.19,55.34,54.78,54.99,1446400,54.35
2013-12-24,54.84,55.56,54.68,55.23,1298800,54.59
2013-12-23,54.98,55.15,54.61,54.77,2313900,54.13
2013-12-20,54.92,55.45,54.70,54.77,3893300,54.13
2013-12-19,55.22,55.22,54.51,54.85,1439100,54.21
2013-12-18,54.73,55.50,54.28,55.41,2207200,54.76
2013-12-17,54.59,55.13,54.54,54.76,2769300,54.12
2013-12-16,54.82,54.98,54.29,54.59,2076200,53.95
2013-12-13,54.47,54.70,54.17,54.33,1293300,53.70
2013-12-12,54.53,54.90,54.33,54.40,2058900,53.77
2013-12-11,54.82,54.97,54.43,54.46,1770900,53.82
2013-12-10,55.41,55.55,54.81,54.84,1855400,54.20
2013-12-09,55.75,55.85,54.99,55.56,2055700,54.91
2013-12-06,55.19,55.87,55.12,55.85,1549600,55.20
2013-12-05,55.36,55.58,54.83,54.96,1782400,54.32
2013-12-04,55.01,55.60,54.76,55.55,1706900,54.90
2013-12-03,55.08,55.36,54.81,55.30,1421100,54.66
2013-12-02,55.21,55.42,54.70,55.08,1687900,54.44
2013-11-29,55.20,55.62,55.14,55.21,827400,54.57
2013-11-27,55.15,55.30,55.00,55.19,1296700,54.55
2013-11-26,55.80,55.80,55.11,55.18,2606300,54.54
2013-11-25,56.01,56.27,55.80,55.86,1792400,55.21
2013-11-22,56.11,56.40,55.89,55.92,2018900,55.27
2013-11-21,56.69,56.74,56.05,56.24,3242500,55.58
2013-11-20,57.44,57.72,56.83,56.94,2447100,56.28
2013-11-19,58.08,58.24,57.52,57.84,1328600,57.17
2013-11-18,58.00,58.28,57.83,58.22,1616400,57.54
2013-11-15,57.56,58.20,57.41,58.07,2188200,57.39
2013-11-14,57.27,57.85,57.14,57.55,1282300,56.88
2013-11-13,56.56,57.16,56.31,57.13,1736000,56.46
2013-11-12,56.95,57.10,56.36,56.83,1673200,56.17
2013-11-11,57.25,57.38,56.85,57.15,1605000,56.48
2013-11-08,57.62,57.63,56.24,57.27,3434300,56.60
2013-11-07,58.89,59.13,58.34,58.55,7001800,57.26
2013-11-06,58.57,58.83,58.41,58.82,2308800,57.52
2013-11-05,58.49,59.20,58.33,58.35,2113100,57.06
2013-11-04,58.66,58.75,58.12,58.64,1681300,57.35
2013-11-01,58.43,58.66,58.12,58.41,1283000,57.12
2013-10-31,58.23,58.43,57.41,58.22,1988200,56.94
2013-10-30,58.42,58.88,58.15,58.17,1250500,56.89
2013-10-29,58.42,58.63,58.14,58.46,1437600,57.17
2013-10-28,58.44,58.80,58.23,58.42,6990800,57.13
2013-10-25,58.15,58.59,57.77,58.59,1367600,57.30
2013-10-24,58.57,58.69,57.91,58.22,1339900,56.94
2013-10-23,58.19,59.24,58.00,58.35,3040900,57.06
2013-10-22,56.70,58.13,56.70,57.86,3015200,56.58
2013-10-21,56.64,56.91,56.34,56.65,1691100,55.40
2013-10-18,56.92,57.06,56.54,56.86,3309100,55.61
2013-10-17,55.67,56.80,55.36,56.75,1696400,55.50
2013-10-16,55.56,55.86,55.25,55.85,2237100,54.62
2013-10-15,55.79,55.96,55.27,55.31,1651300,54.09
2013-10-14,56.00,56.17,55.30,55.96,1960100,54.73
2013-10-11,56.17,56.30,55.90,56.26,1934900,55.02
2013-10-10,55.95,56.25,54.91,56.16,2882900,54.92
2013-10-09,55.50,56.52,55.42,55.83,2633600,54.60
2013-10-08,55.02,55.98,54.95,55.42,3271400,54.20
2013-10-07,54.32,55.25,54.32,54.79,1959400,53.58
2013-10-04,54.62,54.77,54.38,54.51,1642600,53.31
2013-10-03,54.99,55.00,54.38,54.63,2152400,53.43
2013-10-02,55.08,55.27,54.73,55.20,1553800,53.98
2013-10-01,55.18,55.43,54.94,55.17,1188600,53.95
2013-09-30,55.00,55.37,54.82,55.14,1854400,53.92
2013-09-27,55.47,55.70,55.03,55.15,1086600,53.93
2013-09-26,55.75,56.00,55.33,55.64,1348900,54.41
2013-09-25,56.21,56.38,55.76,55.78,1069600,54.55
2013-09-24,56.23,56.45,56.02,56.26,1519200,55.02
2013-09-23,55.84,56.73,55.54,56.40,1464200,55.16
2013-09-20,56.56,56.67,55.68,55.97,3063800,54.74
2013-09-19,57.07,57.33,56.41,56.58,1404400,55.33
2013-09-18,55.52,57.28,55.16,56.99,2683600,55.73
2013-09-17,55.31,55.49,55.11,55.28,1401500,54.06
2013-09-16,55.66,55.87,55.00,55.11,2208800,53.90
2013-09-13,54.73,55.14,54.62,54.88,1377500,53.67
2013-09-12,55.01,55.25,54.51,54.63,1977500,53.43
2013-09-11,55.54,55.67,54.73,55.00,2877100,53.79
2013-09-10,55.95,56.06,55.62,55.90,2190500,54.67
2013-09-09,55.59,55.93,55.44,55.83,1232700,54.60
2013-09-06,55.44,56.17,55.44,55.59,2581300,54.36
2013-09-05,55.55,55.73,55.15,55.15,1614000,53.93
2013-09-04,55.66,55.81,55.13,55.59,1614400,54.36
2013-09-03,56.51,56.62,55.38,55.50,1506200,54.28
2013-08-30,56.22,56.46,55.87,56.23,1441300,54.99
2013-08-29,56.25,56.47,56.02,56.20,1069300,54.96
2013-08-28,56.18,56.63,56.02,56.44,1445300,55.20
2013-08-27,55.88,56.65,55.80,56.31,1735100,55.07
2013-08-26,56.55,56.76,56.20,56.20,1960700,54.96
2013-08-23,56.14,56.83,56.00,56.59,2175500,55.34
2013-08-22,55.86,56.31,55.66,56.05,3118800,54.81
2013-08-21,56.30,56.34,55.64,55.73,1228800,54.50
2013-08-20,56.10,57.06,56.10,56.42,1455900,55.18
2013-08-19,56.61,56.77,55.98,56.10,1370000,54.86
2013-08-16,57.22,57.47,56.41,56.64,2017400,55.39
2013-08-15,58.00,58.26,57.23,57.39,1765200,56.12
2013-08-14,58.61,58.69,57.93,58.24,1273400,56.96
2013-08-13,59.26,59.28,58.63,58.71,1598000,57.42
2013-08-12,59.51,59.69,58.93,59.28,1800200,57.97
2013-08-09,60.50,60.76,60.25,60.30,4529100,58.37
2013-08-08,60.58,60.85,60.31,60.59,5873600,58.65
