Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,69.50,69.56,68.78,69.09,446300,68.84
2013-12-30,69.17,69.64,69.10,69.35,446500,69.10
2013-12-27,69.18,69.20,68.76,69.10,287100,68.85
2013-12-26,69.01,69.25,68.72,69.17,252900,68.92
2013-12-24,68.25,69.04,68.22,69.00,169400,68.75
2013-12-23,68.12,68.58,68.05,68.32,463900,68.08
2013-12-20,67.55,68.06,67.14,67.69,1073200,67.45
2013-12-19,67.18,67.59,67.02,67.07,503600,66.83
2013-12-18,67.02,67.29,66.02,67.24,1324500,67.00
2013-12-17,67.91,68.09,66.70,67.10,711900,66.86
2013-12-16,67.06,68.17,66.69,68.03,862700,67.79
2013-12-13,66.91,67.27,66.56,66.76,348000,66.52
2013-12-12,66.52,66.98,66.31,66.80,388800,66.56
2013-12-11,67.37,67.47,66.57,66.67,389500,66.43
2013-12-10,67.93,68.19,67.32,67.42,360100,67.18
2013-12-09,68.38,68.54,67.76,68.09,372900,67.85
2013-12-06,67.28,68.34,67.12,68.31,498100,68.07
2013-12-05,66.84,67.08,66.48,66.66,317500,66.42
2013-12-04,66.77,67.34,66.33,66.96,528300,66.72
2013-12-03,67.12,67.65,66.72,67.04,607100,66.80
2013-12-02,67.47,67.90,67.04,67.30,429000,67.06
2013-11-29,67.42,67.72,67.13,67.33,217700,67.09
2013-11-27,67.61,67.82,67.09,67.46,365000,67.22
2013-11-26,67.92,68.01,67.53,67.54,497700,67.30
2013-11-25,68.02,68.29,67.80,67.93,529000,67.69
2013-11-22,67.34,67.88,67.27,67.85,637100,67.61
2013-11-21,66.76,67.49,66.57,67.45,502400,67.21
2013-11-20,67.00,67.36,66.56,66.94,721400,66.48
2013-11-19,66.49,66.99,66.31,66.80,609100,66.34
2013-11-18,66.47,66.67,66.18,66.56,357100,66.10
2013-11-15,66.18,66.70,65.60,66.42,628200,65.96
2013-11-14,65.91,66.30,65.61,66.21,439300,65.76
2013-11-13,64.81,65.80,64.66,65.79,591500,65.34
2013-11-12,64.60,65.15,64.38,65.07,456000,64.62
2013-11-11,64.56,64.94,64.46,64.65,393100,64.21
2013-11-08,63.56,64.74,63.46,64.70,523300,64.26
2013-11-07,64.57,64.90,63.51,63.57,341100,63.13
2013-11-06,64.72,65.07,64.09,64.32,634700,63.88
2013-11-05,65.02,65.10,64.32,64.33,393300,63.89
2013-11-04,65.23,65.25,64.67,65.15,426500,64.70
2013-11-01,64.70,65.25,64.64,65.18,443500,64.73
2013-10-31,64.61,65.10,64.25,64.67,550900,64.23
2013-10-30,65.06,65.29,64.55,64.72,659300,64.28
2013-10-29,65.98,66.21,64.99,65.09,667400,64.64
2013-10-28,65.56,66.22,65.52,65.89,880000,65.44
2013-10-25,64.46,65.67,64.17,65.52,1095600,65.07
2013-10-24,61.83,64.20,61.54,63.73,1169400,63.29
2013-10-23,61.60,61.79,61.18,61.30,1328500,60.88
2013-10-22,61.84,62.07,61.55,61.66,1310700,61.24
2013-10-21,62.32,62.43,61.64,61.84,1114800,61.42
2013-10-18,61.95,62.24,61.67,62.17,699400,61.74
2013-10-17,60.44,61.70,60.40,61.62,609900,61.20
2013-10-16,60.40,60.60,60.07,60.59,860100,60.17
2013-10-15,60.90,60.94,60.13,60.14,620700,59.73
2013-10-14,60.50,61.26,60.17,61.15,741200,60.73
2013-10-11,60.79,61.06,60.51,60.90,421300,60.48
2013-10-10,59.81,60.83,59.59,60.82,550500,60.40
2013-10-09,59.15,59.57,59.15,59.43,703200,59.02
2013-10-08,59.49,59.58,59.00,59.17,1085100,58.76
2013-10-07,59.24,59.71,59.23,59.50,798800,59.09
2013-10-04,58.91,59.69,58.91,59.59,783900,59.18
2013-10-03,59.15,59.27,58.86,58.98,1494100,58.58
2013-10-02,59.57,59.75,58.88,59.37,688200,58.96
2013-10-01,59.68,60.24,59.60,59.87,479400,59.46
2013-09-30,59.46,59.97,59.18,59.85,497300,59.44
2013-09-27,59.64,59.86,59.07,59.81,545500,59.40
2013-09-26,59.86,60.12,59.48,59.74,501700,59.33
2013-09-25,60.24,60.40,59.59,59.68,578100,59.27
2013-09-24,60.44,60.73,60.22,60.30,721800,59.89
2013-09-23,61.51,61.67,60.80,61.06,299700,60.64
2013-09-20,62.45,62.94,61.49,61.53,1029400,61.11
2013-09-19,61.65,62.41,61.65,62.36,626900,61.93
2013-09-18,61.10,61.87,60.94,61.57,706200,61.15
