Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,46.24,46.51,46.14,46.30,1140700,45.99
2013-12-30,45.92,46.33,45.92,46.29,1909600,45.98
2013-12-27,45.81,46.20,45.72,45.97,816900,45.67
2013-12-26,46.54,46.65,46.01,46.16,915300,45.50
2013-12-24,46.03,46.75,45.93,46.53,629400,45.87
2013-12-23,46.69,46.82,46.09,46.14,1765500,45.48
2013-12-20,46.25,46.98,46.22,46.58,3111000,45.92
2013-12-19,46.01,46.19,45.41,46.12,2140100,45.46
2013-12-18,45.57,46.12,45.16,46.08,2693900,45.42
2013-12-17,45.85,46.01,45.45,45.63,1595700,44.98
2013-12-16,45.81,46.25,45.80,45.96,1410200,45.31
2013-12-13,45.59,45.85,45.45,45.68,1487500,45.03
2013-12-12,45.31,45.78,45.09,45.45,2391200,44.80
2013-12-11,45.58,45.63,44.97,45.23,2632300,44.59
2013-12-10,46.12,46.22,45.40,45.49,2850400,44.84
2013-12-09,45.90,46.33,45.87,46.22,1792900,45.56
2013-12-06,45.69,46.07,45.53,45.89,3734100,45.24
2013-12-05,45.84,45.86,45.21,45.40,2160300,44.75
2013-12-04,45.74,46.28,45.63,46.03,1292200,45.37
2013-12-03,46.03,46.22,45.72,46.02,2191500,45.36
2013-12-02,46.21,46.51,46.00,46.11,3088000,45.45
2013-11-29,45.73,46.35,45.73,46.21,1418300,45.55
2013-11-27,45.44,46.03,45.42,45.83,3083700,45.18
2013-11-26,45.62,45.78,45.27,45.41,3877000,44.76
2013-11-25,46.13,46.23,45.51,45.53,4881900,44.88
2013-11-22,47.11,47.11,45.94,46.00,7138500,45.35
2013-11-21,47.59,47.72,47.18,47.31,2669300,46.64
2013-11-20,48.48,48.53,47.47,47.52,1447700,46.84
2013-11-19,48.89,48.98,48.33,48.38,2071800,47.69
2013-11-18,49.19,49.20,48.70,48.89,1285100,48.19
2013-11-15,48.30,49.18,48.30,49.17,1941700,48.47
2013-11-14,48.16,48.67,47.84,48.59,1841200,47.90
2013-11-13,47.95,48.37,47.63,48.07,2591500,47.39
2013-11-12,48.75,49.02,48.07,48.23,2146300,47.54
2013-11-11,49.07,49.31,48.71,48.98,755900,48.28
2013-11-08,49.29,49.33,48.14,49.05,2606200,48.35
2013-11-07,49.65,49.85,49.29,49.47,1565600,48.77
2013-11-06,49.28,49.70,49.20,49.62,1451800,48.91
2013-11-05,49.45,49.77,49.14,49.26,1712500,48.56
2013-11-04,49.56,49.68,49.05,49.57,1266700,48.86
2013-11-01,49.19,49.55,49.04,49.47,1474700,48.77
2013-10-31,48.97,49.51,48.41,49.03,1910300,48.33
2013-10-30,49.64,49.95,48.77,48.95,2012700,48.25
2013-10-29,49.19,49.48,48.92,49.11,1753200,48.41
2013-10-28,49.23,49.53,48.90,49.22,1334000,48.52
2013-10-25,48.63,49.47,48.49,49.41,1248300,48.71
2013-10-24,48.71,48.78,48.12,48.76,3067400,48.07
2013-10-23,48.92,49.41,48.65,48.68,1210300,47.99
2013-10-22,48.34,49.14,48.25,48.97,1513300,48.27
2013-10-21,48.50,48.50,48.07,48.31,858200,47.62
2013-10-18,48.22,48.52,48.02,48.38,1193200,47.69
