Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,75.39,75.55,74.96,75.32,704300,75.10
2013-12-30,74.45,75.18,74.36,75.04,683900,74.82
2013-12-27,74.65,75.04,74.13,74.45,698600,74.23
2013-12-26,74.60,74.93,74.19,74.64,564700,74.42
2013-12-24,74.79,74.88,74.23,74.62,295400,74.40
2013-12-23,74.82,75.14,74.20,74.76,1055100,74.54
2013-12-20,73.28,75.06,73.28,74.35,1200200,74.13
2013-12-19,73.80,74.28,73.65,73.91,687800,73.69
2013-12-18,72.71,74.06,72.30,74.00,1459100,73.78
2013-12-17,73.08,73.27,72.34,72.75,1040800,72.53
2013-12-16,73.01,73.42,72.49,73.16,993900,72.94
2013-12-13,73.05,73.16,71.45,72.64,1405700,72.42
2013-12-12,73.56,73.56,72.29,73.07,1665900,72.85
2013-12-11,73.73,74.55,73.62,73.82,1406200,73.60
2013-12-10,73.60,73.83,73.03,73.60,885200,73.38
2013-12-09,73.97,74.35,73.48,73.89,659800,73.67
2013-12-06,73.41,73.96,73.34,73.71,836400,73.49
2013-12-05,73.01,73.29,72.62,72.73,1901600,72.51
2013-12-04,73.92,74.10,72.56,73.10,2279000,72.88
2013-12-03,74.55,74.57,73.89,74.49,1774700,74.27
2013-12-02,74.99,75.29,74.45,74.88,1136800,74.66
2013-11-29,75.26,75.77,74.93,74.96,595700,74.74
2013-11-27,74.96,75.42,74.48,75.25,1131500,75.03
2013-11-26,74.44,75.46,74.43,75.07,1382000,74.85
2013-11-25,74.93,75.22,74.17,74.32,935900,73.90
2013-11-22,74.09,75.02,74.05,75.01,1763300,74.59
2013-11-21,73.50,74.07,73.24,74.01,1127500,73.59
2013-11-20,72.89,73.91,72.50,73.30,1291000,72.89
2013-11-19,72.69,72.97,72.31,72.56,1113600,72.15
2013-11-18,73.62,73.69,72.65,72.86,956700,72.45
2013-11-15,73.23,73.67,72.53,73.67,1542100,73.25
2013-11-14,73.06,73.67,73.01,73.44,1097300,73.03
2013-11-13,70.26,73.09,70.26,73.03,2267300,72.62
2013-11-12,70.58,71.08,70.53,70.68,944600,70.28
2013-11-11,70.75,71.17,70.67,70.90,931700,70.50
2013-11-08,70.15,71.00,69.93,70.96,1055600,70.56
2013-11-07,71.31,71.59,70.22,70.32,1368400,69.92
2013-11-06,70.76,71.31,70.56,71.25,1279200,70.85
2013-11-05,69.35,71.01,69.30,70.75,1529300,70.35
2013-11-04,70.34,70.82,69.67,70.14,1784700,69.74
2013-11-01,70.70,70.94,69.27,69.94,3948000,69.55
2013-10-31,73.30,74.62,70.90,70.96,3044400,70.56
2013-10-30,73.00,73.11,71.18,71.38,1843700,70.98
2013-10-29,71.89,72.96,71.61,72.81,1881200,72.40
2013-10-28,71.72,71.80,71.29,71.56,1637600,71.16
2013-10-25,71.63,71.98,71.10,71.51,1027000,71.11
2013-10-24,71.60,71.83,71.16,71.39,1049200,70.99
2013-10-23,71.44,71.65,70.98,71.27,923800,70.87
2013-10-22,71.57,72.29,71.31,71.93,1220900,71.52
2013-10-21,72.02,72.06,70.49,71.07,1262300,70.67
2013-10-18,71.85,72.15,71.62,72.05,1671100,71.64
2013-10-17,70.94,71.84,70.36,71.71,1314800,71.31
2013-10-16,70.90,71.30,70.50,70.99,1562800,70.59
2013-10-15,71.19,71.33,70.40,70.50,1886400,70.10
2013-10-14,70.57,71.65,70.57,71.65,1048300,71.25
2013-10-11,70.51,71.03,69.98,71.01,1742100,70.61
2013-10-10,69.51,70.65,69.47,70.63,1473000,70.23
2013-10-09,68.86,69.06,68.25,68.77,1525000,68.38
2013-10-08,69.38,69.63,68.66,68.71,1655100,68.32
2013-10-07,69.31,69.60,69.00,69.29,1289600,68.90
2013-10-04,69.49,70.22,69.33,69.98,1638800,69.58
2013-10-03,70.22,70.32,69.23,69.44,921100,69.05
2013-10-02,70.29,70.44,69.51,70.41,1021900,70.01
2013-10-01,69.90,70.55,69.83,70.50,1015300,70.10
2013-09-30,70.17,70.89,69.78,69.90,1659700,69.51
2013-09-27,70.49,70.61,70.02,70.42,893800,70.02
2013-09-26,71.15,71.55,70.50,70.74,1042900,70.34
2013-09-25,71.57,71.91,70.90,71.14,1330300,70.74
2013-09-24,70.84,71.91,70.57,71.51,1604500,71.11
2013-09-23,71.65,71.67,70.75,70.76,1214300,70.36
2013-09-20,72.55,72.69,71.68,71.75,3738900,71.34
2013-09-19,72.15,72.48,71.45,72.43,1573500,72.02
2013-09-18,71.30,72.22,70.42,72.17,1334000,71.76
2013-09-17,70.95,71.52,70.94,71.33,1126900,70.93
2013-09-16,71.41,71.67,70.75,71.11,1252300,70.71
2013-09-13,70.69,71.04,70.32,70.80,1233300,70.40
2013-09-12,69.82,70.58,69.54,70.33,1388700,69.93
2013-09-11,68.84,69.70,68.69,69.69,1403700,69.30
2013-09-10,69.54,69.62,68.59,68.97,1575900,68.58
2013-09-09,68.48,69.50,68.48,69.49,1834700,69.10
2013-09-06,67.49,68.07,66.71,67.58,1385000,67.20
2013-09-05,67.42,67.93,67.16,67.37,1182800,66.99
2013-09-04,66.36,67.50,66.02,67.31,1667500,66.93
2013-09-03,66.06,67.10,66.02,66.26,1715600,65.89
2013-08-30,65.50,65.62,64.99,65.36,835500,64.99
2013-08-29,64.73,65.86,64.45,65.37,1490200,65.00
2013-08-28,65.28,65.61,64.63,65.38,1854400,65.01
2013-08-27,66.54,66.54,65.55,65.64,1724600,65.09
2013-08-26,68.13,68.56,67.26,67.27,1509200,66.71
2013-08-23,67.22,68.26,66.99,68.15,1718300,67.58
2013-08-22,66.28,67.38,66.24,67.27,1220700,66.71
2013-08-21,66.89,67.02,66.22,66.32,1994700,65.76
2013-08-20,66.69,67.66,66.34,66.86,3961100,66.30
2013-08-19,67.11,67.24,66.30,66.75,2021200,66.19
2013-08-16,67.17,67.71,66.90,67.25,1994200,66.69
2013-08-15,66.89,68.82,66.68,67.36,6230400,66.80
2013-08-14,66.21,66.41,64.94,65.13,2913500,64.58
2013-08-13,66.49,66.63,65.91,66.45,1663300,65.89
2013-08-12,66.51,66.93,66.19,66.58,1535700,66.02
2013-08-09,65.98,66.96,65.53,66.59,1527300,66.03
2013-08-08,66.74,66.96,65.86,66.00,1928700,65.45
2013-08-07,67.12,67.43,66.25,66.64,1726000,66.08
2013-08-06,67.19,67.53,66.86,67.43,1692000,66.87
2013-08-05,66.65,67.36,66.63,67.28,1449800,66.72
2013-08-02,66.53,67.01,66.46,66.89,1463500,66.33
2013-08-01,66.13,67.01,65.91,66.79,2167400,66.23
2013-07-31,65.98,66.24,65.59,65.65,1954300,65.10
2013-07-30,66.35,66.73,65.36,65.60,1890400,65.05
2013-07-29,66.12,66.83,65.68,66.00,1273200,65.45
2013-07-26,65.06,66.40,65.06,66.20,2314100,65.65
2013-07-25,64.62,65.74,64.44,65.29,3666900,64.74
2013-07-24,65.10,65.22,64.43,64.71,2425200,64.17
2013-07-23,66.53,66.60,64.90,64.95,4405000,64.41
2013-07-22,67.73,68.12,66.63,66.67,1304900,66.11
2013-07-19,66.89,68.64,66.75,67.57,2664400,67.00
2013-07-18,66.35,67.14,66.35,66.74,1397900,66.18
2013-07-17,66.90,67.19,66.29,66.33,1286300,65.77
2013-07-16,67.40,67.59,66.43,66.78,1453600,66.22
2013-07-15,68.35,68.58,66.97,67.44,1620000,66.88
2013-07-12,68.19,68.64,68.05,68.46,1163500,67.89
2013-07-11,68.08,68.35,67.69,68.06,1237400,67.49
2013-07-10,66.62,67.55,66.59,67.03,1413600,66.47
2013-07-09,67.62,67.80,66.03,66.59,2653100,66.03
2013-07-08,68.15,68.78,67.78,67.92,1068800,67.35
2013-07-05,67.94,68.31,67.39,67.93,861500,67.36
2013-07-03,67.32,67.51,66.83,67.25,606400,66.69
2013-07-02,66.83,68.04,66.80,67.45,1021800,66.89
2013-07-01,66.48,67.25,66.18,66.94,1224200,66.38
2013-06-28,66.15,66.54,65.46,65.77,1431200,65.22
2013-06-27,66.27,67.03,66.22,66.47,999400,65.91
2013-06-26,65.46,66.04,65.46,65.64,881300,65.09
2013-06-25,65.09,65.48,64.57,64.74,2147100,64.20
2013-06-24,64.89,65.71,63.93,64.74,1884600,64.20
2013-06-21,65.92,66.28,64.79,65.79,2045600,65.24
2013-06-20,67.91,67.91,65.27,65.51,2393200,64.96
2013-06-19,69.58,70.00,68.32,68.38,1148300,67.81
2013-06-18,70.35,70.35,69.20,69.72,1346600,69.14
2013-06-17,68.90,70.65,68.81,70.20,2015300,69.61
2013-06-14,67.90,68.61,67.55,68.41,1254400,67.84
2013-06-13,67.29,68.35,66.89,68.05,1067500,67.48
2013-06-12,68.36,68.59,67.35,67.42,2023600,66.86
2013-06-11,67.06,68.23,66.57,67.75,1443900,67.18
2013-06-10,68.21,68.33,67.20,67.60,1653500,67.03
2013-06-07,66.44,68.61,66.16,68.12,2414300,67.55
2013-06-06,66.54,66.92,65.23,65.97,2239100,65.42
2013-06-05,67.22,67.52,66.46,66.48,1492200,65.92
2013-06-04,67.57,68.19,67.13,67.47,2035900,66.91
2013-06-03,67.86,67.99,66.47,67.50,1330800,66.93
2013-05-31,69.02,69.26,67.78,67.78,1541200,67.21
2013-05-30,69.44,70.18,69.41,69.58,1174700,69.00
2013-05-29,70.34,70.68,69.02,69.21,1160300,68.63
2013-05-28,71.73,72.70,71.00,71.05,1715000,70.28
2013-05-24,70.05,71.12,70.03,70.95,1167000,70.18
2013-05-23,70.17,70.81,69.69,70.33,1213300,69.56
2013-05-22,71.07,72.31,70.04,70.14,1443400,69.38
2013-05-21,71.41,71.72,70.49,71.12,1180800,70.35
2013-05-20,70.72,71.69,70.39,71.46,2160200,70.68
2013-05-17,71.19,71.76,70.38,70.85,2235500,70.08
2013-05-16,71.29,71.57,70.67,70.78,1447100,70.01
2013-05-15,71.70,72.08,71.41,71.63,1338200,70.85
2013-05-14,70.92,71.83,70.85,71.80,1254200,71.02
2013-05-13,70.71,71.13,70.34,71.02,1346400,70.25
2013-05-10,69.32,71.09,69.16,71.05,1722000,70.28
2013-05-09,69.98,70.10,69.13,69.27,1599200,68.52
2013-05-08,70.39,70.67,69.95,70.01,1820900,69.25
2013-05-07,69.88,70.50,69.72,70.31,1674200,69.54
2013-05-06,71.07,71.08,69.99,70.00,2332300,69.24
2013-05-03,71.03,71.53,70.29,71.23,2083700,70.45
2013-05-02,67.09,71.78,66.70,70.60,4387900,69.83
2013-05-01,69.38,70.90,68.69,68.79,2884900,68.04
2013-04-30,69.05,70.00,68.99,69.35,2088400,68.60
2013-04-29,69.24,69.65,68.72,68.92,1489300,68.17
2013-04-26,69.14,69.63,68.83,68.88,1745600,68.13
2013-04-25,69.12,69.85,68.51,68.93,1997400,68.18
2013-04-24,70.28,70.51,68.81,68.82,1270400,68.07
2013-04-23,70.00,70.80,69.56,70.38,2069300,69.61
2013-04-22,69.49,69.82,69.16,69.59,1861800,68.83
2013-04-19,67.63,69.78,66.94,69.67,3549600,68.91
2013-04-18,66.86,67.39,66.49,67.21,1772300,66.48
2013-04-17,67.54,67.68,66.30,66.71,1858400,65.98
2013-04-16,67.80,68.12,67.46,67.89,2062400,67.15
2013-04-15,67.89,68.08,67.04,67.40,2911000,66.67
2013-04-12,67.27,68.26,66.90,68.24,1834800,67.50
2013-04-11,65.57,67.78,65.40,67.56,2414700,66.82
2013-04-10,64.56,65.87,64.45,65.49,1253300,64.78
2013-04-09,64.53,64.60,63.69,64.48,1241000,63.78
2013-04-08,63.07,64.39,63.04,64.39,1189200,63.69
2013-04-05,63.64,63.80,62.29,63.17,2177200,62.48
2013-04-04,64.92,65.16,64.37,64.53,1593400,63.83
2013-04-03,65.32,65.41,64.49,64.88,1587400,64.17
2013-04-02,64.11,65.60,64.05,65.28,1337200,64.57
2013-04-01,63.98,64.13,63.32,63.66,769500,62.97
2013-03-28,63.79,64.11,63.13,64.03,1361600,63.33
2013-03-27,63.61,63.64,63.12,63.54,969000,62.85
2013-03-26,63.67,64.01,63.31,63.99,870400,63.29
2013-03-25,64.01,64.42,63.08,63.28,852400,62.59
2013-03-22,63.14,64.14,63.11,63.89,1193600,63.19
2013-03-21,63.43,63.64,63.03,63.04,1364900,62.35
2013-03-20,62.76,63.91,62.76,63.75,2398300,63.06
2013-03-19,62.82,63.00,61.87,62.25,2340800,61.57
2013-03-18,62.72,62.97,62.26,62.44,1907800,61.76
2013-03-15,64.74,64.76,63.28,63.34,2207300,62.65
2013-03-14,65.26,65.34,64.88,65.02,1030900,64.31
