Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,70.30,70.45,69.95,70.18,1665800,69.72
2013-12-30,70.20,70.66,70.08,70.26,1142500,69.79
2013-12-27,70.22,70.47,70.01,70.21,974400,69.75
2013-12-26,69.92,70.27,69.72,70.10,1276300,69.64
2013-12-24,69.48,69.84,69.28,69.76,841100,69.30
2013-12-23,69.56,69.70,69.17,69.37,1721400,68.91
2013-12-20,68.69,69.55,68.69,69.34,5507600,68.88
2013-12-19,67.97,68.80,67.66,68.66,3430800,68.21
2013-12-18,66.73,67.97,65.99,67.95,2749300,67.50
2013-12-17,66.89,67.22,66.42,66.46,2784600,66.02
2013-12-16,66.53,67.36,66.23,66.89,3894400,66.45
2013-12-13,66.67,66.82,66.05,66.20,2687400,65.76
2013-12-12,66.29,66.86,66.17,66.61,2445200,66.17
2013-12-11,67.42,67.53,66.22,66.40,2956600,65.96
2013-12-10,67.51,67.90,67.30,67.54,2310100,67.09
2013-12-09,67.29,67.73,67.22,67.64,2005200,67.19
2013-12-06,66.67,67.31,66.51,67.18,3023500,66.74
2013-12-05,66.33,66.66,66.01,66.45,2167400,66.01
2013-12-04,66.34,67.05,65.97,66.46,2060100,66.02
2013-12-03,66.65,67.03,66.28,66.70,3490100,66.26
2013-12-02,66.99,67.34,66.69,66.76,2406000,66.32
2013-11-29,67.70,67.77,66.95,66.99,1077400,66.55
2013-11-27,67.36,67.62,67.26,67.52,1318000,67.07
2013-11-26,67.01,67.66,67.01,67.24,2012800,66.79
2013-11-25,68.24,68.24,66.83,67.00,3607800,66.56
2013-11-22,67.85,68.05,67.47,68.00,1905400,67.55
2013-11-21,67.26,67.78,67.19,67.72,2121100,67.27
2013-11-20,67.79,67.92,66.89,67.09,2184400,66.65
2013-11-19,67.59,67.85,67.22,67.36,2080100,66.91
2013-11-18,68.11,68.27,67.44,67.59,2432500,67.14
2013-11-15,68.25,68.44,67.45,67.97,3750800,67.52
2013-11-14,66.89,67.49,66.83,67.21,3323200,66.77
2013-11-13,65.47,66.86,65.47,66.85,2468900,66.41
2013-11-12,66.70,66.96,66.20,66.30,3072400,65.43
2013-11-11,66.89,67.10,66.72,66.95,2012700,66.08
2013-11-08,66.01,67.04,65.99,66.97,2727500,66.10
2013-11-07,67.21,67.45,65.84,66.05,5119600,65.19
2013-11-06,67.24,67.50,66.64,67.41,2758200,66.53
2013-11-05,66.42,67.34,66.06,66.85,3188300,65.98
2013-11-04,67.46,67.57,67.18,67.37,2319600,66.49
2013-11-01,67.27,67.37,66.55,67.03,3177700,66.15
2013-10-31,66.90,67.49,66.61,66.97,2450500,66.10
2013-10-30,67.39,67.45,66.78,66.90,2410900,66.03
2013-10-29,67.26,67.39,66.71,67.39,2186200,66.51
2013-10-28,67.20,67.25,66.79,67.12,1914000,66.24
2013-10-25,66.74,67.22,66.39,67.22,2465100,66.34
2013-10-24,66.44,66.80,66.38,66.53,2036500,65.66
2013-10-23,66.31,66.55,65.94,66.47,2740500,65.60
2013-10-22,66.22,67.00,66.13,66.40,2304900,65.53
2013-10-21,65.65,66.19,65.50,65.94,2355700,65.08
2013-10-18,65.34,65.76,65.06,65.64,4670700,64.78
2013-10-17,64.53,65.30,64.53,65.21,3031700,64.36
2013-10-16,65.20,65.41,64.68,64.74,2944400,63.89
2013-10-15,65.21,65.37,64.74,64.77,3422600,63.92
2013-10-14,64.96,65.65,64.91,65.60,1762300,64.74
2013-10-11,64.85,65.43,64.76,65.35,2068900,64.50
2013-10-10,63.80,65.03,63.73,64.98,3553100,64.13
2013-10-09,62.98,63.53,62.73,63.18,3478000,62.35
2013-10-08,63.70,63.94,62.93,62.98,3246800,62.16
2013-10-07,63.32,64.26,63.23,63.72,1968900,62.89
2013-10-04,63.79,64.14,63.52,63.97,2725600,63.13
2013-10-03,64.27,64.46,63.15,63.73,3682300,62.90
2013-10-02,64.67,64.97,64.16,64.43,4071600,63.59
2013-10-01,64.72,65.42,64.50,65.07,3002700,64.22
2013-09-30,64.27,64.99,64.15,64.70,3321300,63.85
2013-09-27,65.13,65.18,64.74,64.90,3463600,64.05
2013-09-26,64.94,65.46,64.92,65.42,2511800,64.57
2013-09-25,65.22,65.36,64.86,64.86,3056700,64.01
2013-09-24,65.00,65.60,64.90,64.96,3940400,64.11
2013-09-23,64.78,65.56,64.78,64.96,3209500,64.11
2013-09-20,66.46,66.50,64.92,64.92,5801600,64.07
2013-09-19,65.88,66.79,65.88,66.50,3184400,65.63
2013-09-18,64.70,65.93,64.59,65.69,2904100,64.83
2013-09-17,64.55,64.97,64.30,64.89,2315600,64.04
2013-09-16,64.80,65.00,64.41,64.53,2815400,63.69
2013-09-13,63.68,64.25,63.57,64.04,3039000,63.20
2013-09-12,63.49,64.13,63.40,63.61,2354200,62.78
2013-09-11,63.64,63.90,63.17,63.59,2479400,62.76
2013-09-10,63.10,63.83,63.02,63.66,3719900,62.83
2013-09-09,61.66,62.77,61.65,62.50,2910500,61.68
2013-09-06,61.95,62.25,61.08,61.47,3973400,60.67
2013-09-05,61.29,62.05,61.07,61.67,2775800,60.86
2013-09-04,60.66,61.60,60.56,61.33,3794500,60.53
2013-09-03,61.06,61.63,60.48,60.70,3282700,59.91
2013-08-30,60.92,60.92,60.14,60.37,2442800,59.58
2013-08-29,60.33,61.08,60.17,60.61,1636400,59.82
2013-08-28,60.56,61.10,60.45,60.49,2638300,59.70
2013-08-27,61.05,61.19,60.50,60.58,2875600,59.79
2013-08-26,62.06,62.39,61.63,61.75,1729700,60.94
2013-08-23,62.14,62.20,61.66,61.96,1814900,61.15
2013-08-22,61.18,62.32,61.04,62.03,2729800,61.22
2013-08-21,61.11,61.69,60.81,60.88,3309800,60.08
2013-08-20,61.17,61.81,60.81,61.56,2478300,60.76
2013-08-19,61.21,61.44,60.99,61.12,2008300,60.32
2013-08-16,60.67,61.51,60.64,61.27,2731300,60.47
2013-08-15,61.46,61.61,60.59,60.88,3308900,60.08
2013-08-14,61.92,62.38,61.92,62.07,3142600,61.26
2013-08-13,62.54,62.91,62.12,62.41,2495600,61.19
2013-08-12,61.55,62.66,61.55,62.50,3645000,61.28
2013-08-09,62.26,62.48,61.59,61.90,3378300,60.69
2013-08-08,61.99,62.56,61.94,62.31,3409900,61.09
2013-08-07,62.27,62.39,61.20,61.64,3835400,60.44
2013-08-06,61.74,62.53,61.30,62.39,3679500,61.17
2013-08-05,62.32,62.68,62.18,62.34,2864400,61.12
2013-08-02,62.16,62.55,61.80,62.55,3810800,61.33
2013-08-01,61.98,62.70,61.78,62.55,4019600,61.33
2013-07-31,60.63,61.81,60.51,61.37,4969300,60.17
2013-07-30,60.13,60.55,60.05,60.49,2966000,59.31
2013-07-29,59.61,60.13,59.60,59.78,1706000,58.61
2013-07-26,59.35,59.83,59.25,59.80,2029200,58.63
2013-07-25,59.75,59.77,59.25,59.75,3527800,58.58
2013-07-24,60.55,60.55,59.65,60.00,2332000,58.83
2013-07-23,60.28,60.50,60.10,60.23,2145400,59.05
2013-07-22,59.85,60.95,59.58,60.26,5727100,59.08
