Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,167.34,168.85,166.47,167.84,2109800,83.72
2013-12-30,168.95,170.50,166.20,167.35,2811400,83.48
2013-12-27,168.14,169.48,167.68,169.16,1685200,84.38
2013-12-26,168.46,169.54,167.67,168.02,1772200,83.81
2013-12-24,167.82,168.27,166.23,168.26,978200,83.93
2013-12-23,169.26,169.84,166.83,167.62,3028000,83.61
2013-12-20,166.12,169.32,165.45,168.52,6265800,84.06
2013-12-19,161.67,165.91,161.18,165.33,5073600,82.47
2013-12-18,159.64,162.38,158.33,162.00,5965400,80.81
2013-12-17,160.52,160.52,157.51,159.65,3471800,79.63
2013-12-16,159.34,161.97,159.34,159.74,4120200,79.68
2013-12-13,157.67,159.35,156.49,159.02,4488600,79.32
2013-12-12,156.43,159.32,156.24,158.36,3813000,78.99
2013-12-11,158.85,159.14,156.01,156.26,4240000,77.94
2013-12-10,158.43,161.94,158.14,159.31,4554400,79.47
2013-12-09,160.92,161.25,156.31,158.14,8547400,78.88
2013-12-06,166.95,167.10,159.89,160.04,7343200,79.83
2013-12-05,165.34,167.74,164.16,165.38,4473800,82.49
2013-12-04,165.60,169.11,165.50,167.13,3751400,83.37
2013-12-03,164.45,166.73,161.82,165.48,4163800,82.54
2013-12-02,166.00,166.55,163.13,165.00,3034400,82.30
2013-11-29,166.50,167.11,164.19,165.00,2248400,82.30
2013-11-27,168.93,169.69,165.52,166.43,3360200,83.02
2013-11-26,169.35,171.48,167.70,169.20,3180400,84.40
2013-11-25,169.32,169.37,165.67,169.19,3777800,84.39
2013-11-22,170.20,170.41,167.35,170.15,2536600,84.87
2013-11-21,168.12,169.96,167.80,169.31,3079200,84.45
2013-11-20,168.85,169.76,166.21,166.92,3010600,83.26
2013-11-19,168.12,169.47,165.65,167.89,3115400,83.75
2013-11-18,171.50,172.20,167.47,168.52,3032000,84.06
2013-11-15,170.28,172.14,167.88,171.38,4322400,85.49
2013-11-14,169.49,170.08,167.95,169.67,3690600,84.63
2013-11-13,166.44,169.86,165.79,169.46,4713200,84.53
2013-11-12,170.70,171.08,165.80,167.10,4579200,83.35
2013-11-11,171.21,171.64,169.63,171.45,3293200,85.52
2013-11-08,171.12,173.26,170.56,170.96,5577800,85.28
2013-11-07,179.31,180.24,165.05,171.58,9039000,85.59
2013-11-06,181.33,182.90,175.94,176.64,4666800,88.11
2013-11-05,183.34,183.34,179.52,179.73,3686200,89.65
2013-11-04,180.47,183.60,179.73,183.46,2737200,91.51
2013-11-01,178.61,180.03,175.40,178.98,3633200,89.28
2013-10-31,179.98,180.91,176.71,178.40,3954400,88.99
2013-10-30,186.32,186.85,178.89,180.33,3915000,89.95
2013-10-29,182.87,185.77,182.31,185.08,2861800,92.32
2013-10-28,183.83,183.90,181.88,182.42,1835000,90.99
2013-10-25,182.35,184.09,181.29,183.44,2583800,91.50
2013-10-24,178.06,182.57,176.11,181.43,4082000,90.50
2013-10-23,183.12,183.12,176.51,178.44,5441400,89.01
2013-10-22,186.79,188.30,183.58,185.15,3930000,92.35
2013-10-21,183.00,185.50,182.65,184.32,2405000,91.94
2013-10-18,182.66,184.17,180.84,183.79,4302000,91.68
2013-10-17,181.68,182.40,179.30,181.39,4643400,90.48
2013-10-16,182.48,185.87,181.47,182.29,4577200,90.93
2013-10-15,180.25,181.98,179.00,179.97,3037000,89.77
2013-10-14,177.36,181.08,176.33,181.06,2461200,90.22
2013-10-11,174.32,180.95,174.25,178.99,3899800,89.19
2013-10-10,173.39,174.94,172.94,174.86,3032600,87.13
2013-10-09,172.33,173.56,169.60,171.52,3839600,85.47
2013-10-08,172.34,174.65,170.41,171.46,3545000,85.44
2013-10-07,172.21,174.21,171.25,172.83,3423800,86.12
2013-10-04,171.92,174.86,170.54,174.59,3206400,87.00
2013-10-03,171.95,172.23,169.99,171.80,2515400,85.61
2013-10-02,171.87,172.36,169.18,172.36,2717600,85.89
2013-10-01,168.61,172.83,168.55,172.15,2809200,85.78
2013-09-30,167.56,170.34,167.12,169.28,2593800,84.35
2013-09-27,171.23,171.66,169.80,170.73,1660600,85.07
2013-09-26,171.72,172.17,169.82,172.09,1933600,85.75
2013-09-25,172.09,173.29,170.73,171.38,3507400,85.40
2013-09-24,169.41,173.92,168.62,172.09,4233600,85.75
2013-09-23,168.57,169.71,168.11,168.86,2652000,84.14
2013-09-20,170.50,171.53,168.53,168.87,3677400,84.15
2013-09-19,172.10,172.81,169.35,170.73,2122000,85.07
2013-09-18,167.26,172.36,167.20,171.79,2870200,85.60
2013-09-17,166.51,168.36,165.79,167.77,2069800,83.60
2013-09-16,167.54,167.99,165.08,165.80,2466600,82.62
2013-09-13,167.75,168.14,166.10,166.44,2089400,82.94
2013-09-12,167.54,168.77,167.00,167.99,3130200,83.71
2013-09-11,163.45,167.37,162.84,167.15,3613400,83.29
2013-09-10,163.50,164.72,160.93,163.50,3420600,81.47
2013-09-09,163.10,164.00,162.17,163.65,3747000,81.55
2013-09-06,162.57,164.33,160.58,161.72,3772400,80.58
2013-09-05,161.22,162.62,160.95,161.43,1967800,80.44
2013-09-04,157.49,161.01,157.49,160.53,2611800,79.99
2013-09-03,159.46,160.49,157.05,158.43,2207600,78.94
2013-08-30,157.50,158.32,156.29,157.05,2166200,78.26
2013-08-29,158.73,159.30,156.68,157.09,1990800,78.28
2013-08-28,156.94,161.32,156.83,159.46,3517800,79.46
2013-08-27,156.16,158.56,156.00,156.29,2267600,77.88
2013-08-26,157.26,159.61,156.83,157.11,2204200,78.29
2013-08-23,154.40,156.79,153.54,156.62,2084200,78.04
2013-08-22,152.73,155.36,152.45,154.40,1463000,76.94
2013-08-21,154.37,154.37,151.39,151.84,2361200,75.66
2013-08-20,152.70,155.89,152.16,154.62,2395400,77.05
2013-08-19,155.52,156.12,152.54,152.69,2752800,76.08
2013-08-16,155.53,156.89,154.31,155.49,2502000,77.48
2013-08-15,155.54,157.78,154.29,156.59,2551400,78.03
2013-08-14,158.12,158.90,156.12,156.40,2548200,77.93
2013-08-13,159.00,159.15,156.76,158.24,2282600,78.85
2013-08-12,158.16,160.45,157.46,158.76,4004400,79.11
2013-08-09,158.66,159.97,158.00,158.84,3664400,79.15
2013-08-08,157.86,160.25,156.31,158.58,4722600,79.02
2013-08-07,160.31,161.47,155.29,156.22,9410200,77.84
2013-08-06,154.10,154.91,151.31,153.22,4948800,76.35
2013-08-05,152.94,155.04,152.15,154.18,3574000,76.83
2013-08-02,150.76,153.21,150.25,153.03,2813200,76.25
2013-08-01,147.57,152.91,147.57,152.07,3991600,75.78
2013-07-31,144.62,148.17,144.62,145.49,3469400,72.50
2013-07-30,145.05,145.78,141.55,144.10,3268400,71.80
2013-07-29,145.32,145.52,143.87,144.71,1627400,72.11
2013-07-26,146.24,146.72,144.24,145.74,2974400,72.62
2013-07-25,144.07,147.40,144.00,147.37,3925000,73.43
2013-07-24,149.09,149.14,143.16,144.07,6075800,71.79
2013-07-23,149.62,149.98,148.01,148.64,3264600,74.07
2013-07-22,148.63,150.05,147.54,149.49,3240800,74.49
2013-07-19,147.81,148.70,146.51,148.67,2742200,74.08
2013-07-18,146.42,148.27,146.22,147.00,3070600,73.25
2013-07-17,145.05,146.42,144.65,145.83,2746000,72.67
